fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
871164,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,2,5,8,1,5,3,10,5,4,37%,2,,4,359,275,77%,
871164,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,10,6,23,7,14,9,11,6,3,63%,0,,1,625,548,88%,
871169,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,3,5,11,3,5,6,11,2,1,61%,2,,3,540,419,78%,
871169,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,4,3,10,3,3,7,14,5,4,39%,2,,1,344,227,66%,
871168,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,7,7,18,4,12,6,18,5,2,62%,1,0,0,611,539,88%,
871168,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,1,1,2,0,1,1,12,1,2,38%,4,1,4,383,299,78%,
871171,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,2,5,11,4,9,2,13,5,0,53%,,,3,376,291,77%,
871171,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,7,5,19,7,12,7,13,8,2,47%,,,2,332,240,72%,
871170,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,3,10,16,3,4,12,11,3,1,60%,2,,4,539,429,80%,
871170,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,6,5,13,2,9,4,16,5,1,40%,3,,2,350,233,67%,
871166,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,8,5,19,6,13,6,23,5,2,48%,2,,2,353,271,77%,
871166,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,3,2,7,2,4,3,17,4,1,52%,3,,5,383,302,79%,
871165,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,4,9,14,1,7,7,13,3,2,45%,2,0,3,398,299,75%,
871165,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,3,4,8,1,3,5,13,3,4,55%,4,1,3,480,383,80%,
871172,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,2,6,11,3,4,7,14,1,1,32%,2,,8,281,198,70%,
