fixture_id,bet_name,bet_value,bet_odd
1388308,Match Winner,Home,1.22
1388308,Match Winner,Draw,7.00
1388308,Match Winner,Away,11.00
1388308,Second Half Winner,Home,1.44
1388308,Second Half Winner,Draw,3.60
1388308,Second Half Winner,Away,6.50
1388308,Goals Over/Under,Over 1.5,1.06
1388308,Goals Over/Under,Under 1.5,10.00
1388308,Goals Over/Under,Over 2.5,1.22
1388308,Goals Over/Under,Under 2.5,4.33
1388308,Goals Over/Under,Over 3.5,1.62
1388308,Goals Over/Under,Under 3.5,2.30
1388308,Goals Over/Under,Over 0.5,1.00
1388308,Goals Over/Under,Under 0.5,34.00
1388308,Goals Over/Under,Over 8.5,21.00
1388308,Goals Over/Under,Under 8.5,1.01
1388308,Goals Over/Under,Over 9.5,41.00
1388308,Goals Over/Under,Under 9.5,1.00
1388308,Goals Over/Under,Over 4.5,2.30
1388308,Goals Over/Under,Under 4.5,1.62
1388308,Goals Over/Under,Over 7.5,13.00
1388308,Goals Over/Under,Under 7.5,1.04
1388308,Goals Over/Under,Over 5.5,3.75
1388308,Goals Over/Under,Under 5.5,1.28
1388308,Goals Over/Under,Over 6.5,6.50
1388308,Goals Over/Under,Under 6.5,1.11
1388308,HT/FT Double,Home/Draw,19.00
1388308,HT/FT Double,Home/Away,41.00
1388308,HT/FT Double,Draw/Away,23.00
1388308,HT/FT Double,Draw/Draw,13.00
1388308,HT/FT Double,Home/Home,1.67
1388308,HT/FT Double,Draw/Home,4.33
1388308,HT/FT Double,Away/Home,13.00
1388308,HT/FT Double,Away/Draw,21.00
1388308,HT/FT Double,Away/Away,17.00
1388308,Double Chance,Home/Draw,1.05
1388308,Double Chance,Home/Away,1.10
1388308,Double Chance,Draw/Away,4.00
1388308,First Half Winner,Home,1.53
1388308,First Half Winner,Draw,3.25
1388308,First Half Winner,Away,7.50
1388312,Match Winner,Home,1.90
1388312,Match Winner,Draw,3.50
1388312,Match Winner,Away,4.20
1388312,Second Half Winner,Home,2.20
1388312,Second Half Winner,Draw,2.40
1388312,Second Half Winner,Away,4.00
1388312,Goals Over/Under,Over 1.5,1.28
1388312,Goals Over/Under,Under 1.5,3.75
1388312,Goals Over/Under,Over 2.5,1.91
1388312,Goals Over/Under,Under 2.5,1.91
1388312,Goals Over/Under,Over 3.5,3.40
1388312,Goals Over/Under,Under 3.5,1.33
1388312,Goals Over/Under,Over 0.5,1.06
1388312,Goals Over/Under,Under 0.5,10.00
1388312,Goals Over/Under,Over 4.5,6.00
1388312,Goals Over/Under,Under 4.5,1.12
1388312,Goals Over/Under,Over 7.5,51.00
1388312,Goals Over/Under,Under 7.5,1.00
1388312,Goals Over/Under,Over 5.5,13.00
1388312,Goals Over/Under,Under 5.5,1.04
1388312,Goals Over/Under,Over 6.5,26.00
1388312,Goals Over/Under,Under 6.5,1.01
1388312,HT/FT Double,Home/Draw,13.00
1388312,HT/FT Double,Home/Away,34.00
1388312,HT/FT Double,Draw/Away,8.50
1388312,HT/FT Double,Draw/Draw,5.50
1388312,HT/FT Double,Home/Home,3.00
1388312,HT/FT Double,Draw/Home,4.75
1388312,HT/FT Double,Away/Home,23.00
1388312,HT/FT Double,Away/Draw,15.00
1388312,HT/FT Double,Away/Away,6.50
1388312,Double Chance,Home/Draw,1.22
1388312,Double Chance,Home/Away,1.28
1388312,Double Chance,Draw/Away,1.91
1388312,First Half Winner,Home,2.50
1388312,First Half Winner,Draw,2.20
1388312,First Half Winner,Away,4.50
