fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1388308,157,Bayern München,https://media.api-sports.io/football/teams/157.png,10,4,19,5,13,6,13,5,2,63%,4,,1,656,599,91%,1.63,-2
1388308,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,1,4,12,7,7,5,13,5,0,37%,1,,3,388,319,82%,0.54,-2
1388312,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,4,6,16,6,12,4,14,5,4,60%,4,,2,458,373,81%,2.60,1
1388312,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,5,3,14,6,9,5,18,5,3,40%,5,,3,299,214,72%,1.34,1
1388309,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,2,3,7,2,4,3,9,6,1,60%,0,,3,565,489,87%,0.71,0
1388309,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,5,4,10,1,6,4,17,4,1,40%,4,,2,387,313,81%,0.45,0
1388311,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,5,9,18,4,15,3,9,7,2,53%,1,,4,467,399,85%,2.74,-1
1388311,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,5,4,10,1,4,6,9,1,3,47%,3,,1,433,350,81%,0.53,-1
1388313,180,1. FC Heidenheim,https://media.api-sports.io/football/teams/180.png,2,4,7,1,2,5,12,2,2,49%,2,,2,392,324,83%,0.72,0
1388313,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,5,9,15,1,6,9,12,5,0,51%,3,,1,409,329,80%,2.45,0
1388316,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,2,5,8,1,6,2,21,5,2,25%,4,,5,198,125,63%,0.35,-1
1388316,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,6,9,21,6,14,7,13,11,1,75%,4,,0,618,547,89%,1.72,-1
1388315,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,7,3,11,1,8,3,13,5,4,51%,2,0,4,484,397,82%,1.29,0
1388315,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,7,1,8,0,7,1,12,2,3,49%,3,1,4,481,413,86%,1.56,0
1388314,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,2,5,19,12,14,5,7,8,5,51%,0,1,1,389,302,78%,1.52,0
1388314,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,2,8,12,2,8,4,9,3,0,49%,2,0,2,401,323,81%,1.36,0
1388310,163,Borussia Mönchengladbach,https://media.api-sports.io/football/teams/163.png,4,9,17,4,9,8,10,7,1,61%,2,,1,549,484,88%,1.04,0
1388310,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,2,3,7,2,2,5,10,6,4,39%,1,,4,350,282,81%,0.41,0
