fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
169062,184,FC Ingolstadt 04,https://media.api-sports.io/football/teams/184.png,2,10,15,3,9,6,13,3,6,37%,,,5,355,261,74%
169062,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,6,3,16,7,7,9,7,6,2,63%,,,2,592,484,82%
169046,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,8,9,18,1,10,8,19,1,1,50%,4,,2,384,267,70%
169046,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,3,1,7,3,5,2,17,4,3,50%,1,,8,397,290,73%
169045,1322,KFC Uerdingen 05,https://media.api-sports.io/football/teams/1322.png,2,5,7,0,3,4,9,1,4,25%,2,,10,310,241,78%
169045,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,11,9,27,7,19,8,11,12,0,75%,0,,2,890,817,92%
169068,179,FC Magdeburg,https://media.api-sports.io/football/teams/179.png,4,9,13,0,4,9,23,5,5,44%,3,,1,496,370,75%
169068,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,2,7,11,2,8,3,14,7,0,56%,2,,4,633,511,81%
169041,745,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,3,6,14,5,8,6,13,4,0,32%,5,,7,245,168,69%
169041,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,7,10,26,9,11,15,15,7,2,68%,3,,1,520,443,85%
169051,1619,FC 08 Villingen,https://media.api-sports.io/football/teams/1619.png,5,4,10,1,6,4,19,3,0,25%,4,1,7,275,167,61%
169051,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,10,14,28,4,20,8,14,10,3,75%,4,0,4,790,674,85%
169060,1623,SV Drochtersen/assel,https://media.api-sports.io/football/teams/1623.png,1,1,2,0,1,1,9,3,1,28%,3,,5,217,142,65%
169060,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,10,6,24,8,15,9,15,6,2,72%,2,,1,568,495,87%
169050,1662,Tus Dassendorf,https://media.api-sports.io/football/teams/1662.png,2,5,11,4,6,5,15,3,2,33%,2,,3,312,231,74%
169050,183,Dynamo Dresden,https://media.api-sports.io/football/teams/183.png,6,6,15,3,10,5,11,4,5,67%,2,,2,642,555,86%
169049,4259,Alemannia Aachen,https://media.api-sports.io/football/teams/4259.png,4,6,11,1,8,3,20,5,1,17%,1,,2,176,86,49%
169049,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,5,3,10,2,6,4,9,5,0,83%,0,,3,893,807,90%
169063,4265,Verl,https://media.api-sports.io/football/teams/4265.png,5,3,10,2,5,5,17,4,5,31%,3,,7,236,141,60%
169063,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,9,3,13,1,10,3,9,3,4,69%,2,,4,518,423,82%
169061,4266,Viktoria Berlin,https://media.api-sports.io/football/teams/4266.png,3,2,9,4,7,2,7,3,1,31%,1,,2,304,211,69%
169061,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,6,10,0,7,3,13,6,2,69%,0,,3,688,586,85%
169066,4267,Wacker Nordhausen,https://media.api-sports.io/football/teams/4267.png,2,6,9,1,4,5,20,2,3,35%,5,1,7,242,131,54%
169066,190,Erzgebirge AUE,https://media.api-sports.io/football/teams/190.png,11,9,27,7,17,10,15,3,4,65%,2,0,1,436,345,79%
169038,784,FC Wurzburger Kickers,https://media.api-sports.io/football/teams/784.png,7,12,23,4,14,9,14,5,2,28%,3,,4,381,266,70%
169038,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,7,7,20,6,12,8,18,7,1,72%,1,,4,1011,893,88%
169069,1652,SSV ULM 1846,https://media.api-sports.io/football/teams/1652.png,5,3,11,3,9,2,12,2,5,40%,2,,6,339,245,72%
169069,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,8,7,17,2,11,6,11,6,3,60%,1,,5,513,419,82%
169052,4261,Baunatal,https://media.api-sports.io/football/teams/4261.png,3,7,14,4,10,4,14,5,6,31%,3,,6,228,152,67%
169052,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,9,7,17,1,14,3,9,7,3,69%,1,,1,483,395,82%
169044,4260,Atlas Delmenhorst,https://media.api-sports.io/football/teams/4260.png,2,2,7,3,4,3,11,4,2,21%,2,,7,214,134,63%
169044,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,13,9,29,7,19,10,9,5,4,79%,1,,1,801,730,91%
169067,1324,VfL Osnabruck,https://media.api-sports.io/football/teams/1324.png,5,4,12,3,8,4,21,6,1,49%,1,,5,430,305,71%
169067,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,8,3,12,1,10,2,26,2,3,51%,1,,3,449,341,76%
169064,1625,VfB Lubeck,https://media.api-sports.io/football/teams/1625.png,6,7,15,2,11,4,21,6,2,32%,6,0,4,333,212,64%
169064,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,7,6,23,10,17,6,18,12,2,68%,3,1,3,696,585,84%
169059,1639,FC Saarbrucken,https://media.api-sports.io/football/teams/1639.png,6,3,14,5,7,7,15,5,3,48%,5,0,4,347,257,74%
169059,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,7,3,11,1,9,2,18,1,3,52%,5,2,3,354,266,75%
169040,1643,Germania Halberstadt,https://media.api-sports.io/football/teams/1643.png,0,5,5,0,3,2,14,1,2,43%,,,6,390,300,77%
169040,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,12,9,24,3,16,8,8,5,3,57%,,,0,491,412,84%
169042,1650,SV Rodinghausen,https://media.api-sports.io/football/teams/1650.png,7,9,17,1,11,6,20,7,1,39%,5,,7,373,239,64%
169042,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,10,18,35,7,21,14,15,9,1,61%,4,,3,594,463,78%
169065,4262,Eichstätt,https://media.api-sports.io/football/teams/4262.png,1,6,8,1,2,6,13,2,3,25%,0,,,212,133,63%
169065,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,5,5,12,2,9,3,13,4,2,75%,1,,,649,579,89%
169056,4263,Oberneuland,https://media.api-sports.io/football/teams/4263.png,1,0,2,1,1,1,8,0,0,19%,3,,6,196,112,57%
169056,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,13,12,27,2,22,5,12,16,1,81%,1,,0,798,720,90%
