fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
864337,184,FC Ingolstadt 04,https://media.api-sports.io/football/teams/184.png,3,1,8,4,2,6,16,4,4,37%,3,,10,311,215,69%,
864337,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,13,11,26,2,22,4,11,6,5,63%,0,,3,533,448,84%,
864343,1320,Energie Cottbus,https://media.api-sports.io/football/teams/1320.png,3,3,9,3,5,4,11,7,3,39%,0,,3,352,254,72%,
864343,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,5,5,12,2,11,1,10,1,3,61%,2,,2,560,472,84%,
864326,1328,Chemnitzer FC,https://media.api-sports.io/football/teams/1328.png,2,4,7,1,5,2,18,4,1,43%,1,,5,475,332,70%,
864326,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,8,14,27,5,17,10,18,12,1,57%,1,,1,597,473,79%,
864348,179,FC Magdeburg,https://media.api-sports.io/football/teams/179.png,3,3,8,2,6,2,5,1,4,55%,1,,4,551,455,83%,
864348,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,8,8,20,4,16,4,14,6,3,45%,1,,3,441,357,81%,
864323,12878,Teutonia Ottensen,https://media.api-sports.io/football/teams/12878.png,0,5,7,2,4,3,10,3,1,26%,1,,11,248,174,70%,
864323,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,19,13,41,9,28,13,5,15,1,74%,0,,0,745,676,91%,
864347,1620,FC Viktoria Koln,https://media.api-sports.io/football/teams/1620.png,1,0,3,2,0,3,8,1,4,23%,,,13,242,154,64%,
864347,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,18,6,28,4,18,10,5,4,1,77%,,,1,802,727,91%,
958525,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,7,1,13,5,8,5,11,3,1,43%,3,,1,367,293,80%,
958525,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,1,3,7,3,2,5,13,7,1,57%,3,,3,477,404,85%,
958518,1625,VfB Lubeck,https://media.api-sports.io/football/teams/1625.png,3,7,12,2,6,6,15,4,1,43%,1,,7,372,260,70%,
