fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1036591,1325,Carl Zeiss Jena,https://media.api-sports.io/football/teams/1325.png,2,5,11,4,7,4,5,4,3,43%,2,,7,395,327,83%,,
1036591,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,13,5,21,3,16,5,11,7,2,57%,1,,2,525,451,86%,,
1036582,9360,Balingen,https://media.api-sports.io/football/teams/9360.png,1,1,3,1,1,2,8,3,0,31%,,,6,285,197,69%,,
1036582,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,10,8,24,6,14,10,7,5,2,69%,,,1,628,564,90%,,
1036588,1620,FC Viktoria Koln,https://media.api-sports.io/football/teams/1620.png,10,5,18,3,11,7,12,7,1,62%,1,0,3,581,509,88%,,
1036588,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,5,4,9,0,6,3,4,2,3,38%,1,1,7,364,298,82%,,
1036572,4260,Atlas Delmenhorst,https://media.api-sports.io/football/teams/4260.png,4,2,6,0,3,3,5,1,0,31%,3,1,4,289,205,71%,,
1036572,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,8,12,29,9,21,8,4,12,2,69%,0,0,4,628,549,87%,,
1036580,4263,Oberneuland,https://media.api-sports.io/football/teams/4263.png,1,1,5,3,2,3,10,1,0,25%,1,,7,189,119,63%,,
1036580,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,16,8,38,14,26,12,11,14,1,75%,0,,0,596,518,87%,,
1036590,12878,Teutonia Ottensen,https://media.api-sports.io/football/teams/12878.png,1,4,5,0,1,4,9,3,4,34%,1,,3,305,238,78%,,
1036590,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,11,6,22,5,15,7,12,10,2,66%,1,,1,593,536,90%,,
1036593,14485,FC Gutersloh,https://media.api-sports.io/football/teams/14485.png,6,8,18,4,9,9,8,10,,38%,2,,6,298,207,69%,,
1036593,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,8,4,18,6,14,4,10,8,,62%,0,,6,498,419,84%,,
1036583,14524,Schott Mainz,https://media.api-sports.io/football/teams/14524.png,1,3,6,2,3,3,9,1,,28%,3,,4,264,181,69%,,
1036583,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,10,12,24,2,16,8,6,6,,72%,1,,0,701,634,90%,,
1036596,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,2,4,6,0,5,1,17,3,0,42%,5,,7,367,180,49%,,
1036596,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,7,9,22,6,15,7,13,8,4,58%,3,,0,494,325,66%,,
1036569,1316,Hallescher FC,https://media.api-sports.io/football/teams/1316.png,0,3,5,2,2,3,14,1,1,50%,2,1,3,459,352,77%,,
1036569,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,4,5,17,8,8,9,17,8,6,50%,3,0,0,452,375,83%,,
1036585,1660,SV Elversberg,https://media.api-sports.io/football/teams/1660.png,2,3,5,0,2,3,12,1,1,45%,3,1,8,454,331,73%,,
1036585,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,8,9,27,10,18,9,11,4,2,55%,2,0,2,527,407,77%,,
1036584,1621,Rot-weiss Essen,https://media.api-sports.io/football/teams/1621.png,6,9,18,3,9,9,21,3,1,36%,0,,3,339,225,66%,,
1036584,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,7,8,25,10,15,10,21,7,2,64%,5,,3,613,503,82%,,
1036577,14762,Rostocker FC,https://media.api-sports.io/football/teams/14762.png,0,0,1,1,0,1,22,0,0,37%,2,,12,343,263,77%,,
1036577,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,21,12,39,6,36,3,10,4,2,63%,0,,0,562,492,88%,,
1036576,1314,SpVgg Unterhaching,https://media.api-sports.io/football/teams/1314.png,3,3,6,0,3,3,10,2,2,37%,1,,3,306,207,68%,,
1036576,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,3,11,16,2,11,5,10,4,1,63%,1,,1,533,438,82%,,
1036575,1657,TuS RW Koblenz,https://media.api-sports.io/football/teams/1657.png,2,2,5,1,4,1,7,2,0,30%,0,,4,213,134,63%,,
1036575,745,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,9,9,23,5,18,5,10,11,3,70%,1,,2,491,412,84%,,
1036573,9330,Illertissen,https://media.api-sports.io/football/teams/9330.png,2,5,13,6,10,3,16,5,3,39%,2,,4,354,277,78%,,
1036573,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,6,4,12,2,9,3,6,4,5,61%,2,,1,568,495,87%,,
1036586,9355,Lokomotive Leipzig,https://media.api-sports.io/football/teams/9355.png,2,2,4,0,3,1,10,3,2,33%,3,,4,332,252,76%,,
1036586,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,11,4,16,1,11,5,11,5,1,67%,2,,2,692,611,88%,,
1036594,12822,Oberachern,https://media.api-sports.io/football/teams/12822.png,2,4,7,1,1,6,19,2,1,24%,3,,9,199,120,60%,,
1036594,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,11,11,30,8,16,14,4,10,1,76%,0,,2,635,548,86%,,
1036574,14722,Makkabi,https://media.api-sports.io/football/teams/14722.png,0,3,3,0,1,2,15,1,3,34%,2,,7,306,217,71%,,
1036574,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,13,2,18,3,13,5,11,8,7,66%,2,,0,584,497,85%,,
1036579,1320,Energie Cottbus,https://media.api-sports.io/football/teams/1320.png,4,2,7,1,1,6,10,6,1,35%,3,,2,353,301,85%,,
1036579,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,7,4,11,0,7,4,7,2,3,65%,0,,4,697,645,93%,,
1036589,1332,FSV Frankfurt,https://media.api-sports.io/football/teams/1332.png,5,4,13,4,6,7,21,3,1,35%,5,,5,322,190,59%,,
1036589,1321,Hansa Rostock,https://media.api-sports.io/football/teams/1321.png,6,21,33,6,17,16,21,20,4,65%,3,,4,552,434,79%,,
1036587,1626,FC Astoria Walldorf,https://media.api-sports.io/football/teams/1626.png,5,1,9,3,4,5,11,5,1,51%,2,,3,456,370,81%,,
1036587,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,8,8,18,2,15,3,6,5,2,49%,0,,5,417,333,80%,,
1036578,177,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,5,6,13,2,8,5,23,3,1,29%,4,,2,227,137,60%,,
1036578,179,FC Magdeburg,https://media.api-sports.io/football/teams/179.png,4,1,7,2,7,0,17,1,0,71%,5,,4,594,501,84%,,
1036581,1625,VfB Lubeck,https://media.api-sports.io/football/teams/1625.png,3,9,14,2,10,4,7,4,0,31%,0,,10,236,161,68%,,
1036581,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,15,7,27,5,21,6,11,10,1,69%,1,,2,529,455,86%,,
1036568,1634,FC 08 Homburg,https://media.api-sports.io/football/teams/1634.png,5,2,8,1,5,3,12,1,1,19%,3,,9,153,82,54%,,
1036568,181,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,9,10,27,8,18,9,9,18,2,81%,3,,2,683,603,88%,,
1036571,1324,VfL Osnabruck,https://media.api-sports.io/football/teams/1324.png,7,6,17,4,8,9,13,6,3,54%,3,,3,639,516,81%,,
1036571,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,6,6,14,2,8,6,15,3,4,46%,2,,6,537,431,80%,,
1036598,1313,Preussen Munster,https://media.api-sports.io/football/teams/1313.png,3,4,11,4,4,7,6,3,1,28%,1,,5,284,216,76%,,
1036598,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,9,7,26,10,24,2,7,11,3,72%,0,,3,746,677,91%,,
1036599,1319,SV Wehen,https://media.api-sports.io/football/teams/1319.png,7,7,16,2,10,6,12,4,2,32%,3,,5,335,253,76%,,
1036599,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,8,2,14,4,11,3,10,4,4,68%,1,,5,742,671,90%,,
1136770,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,5,6,12,1,7,5,17,6,3,34%,5,0,1,303,204,67%,,
1136770,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,1,7,11,3,5,6,11,6,4,66%,5,1,4,590,484,82%,,
1136767,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,3,9,16,4,8,8,8,4,3,62%,2,,0,679,599,88%,,
1136767,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,0,4,7,3,3,4,10,5,1,38%,2,,2,386,296,77%,,
1136762,186,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,9,8,27,10,20,7,10,9,2,66%,3,,2,899,794,88%,,
1136762,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,3,2,7,2,4,3,17,2,1,34%,3,,7,470,363,77%,,
1136758,1634,FC 08 Homburg,https://media.api-sports.io/football/teams/1634.png,2,3,5,0,5,0,8,4,5,30%,2,,5,271,168,62%,,
1136758,178,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,6,6,18,6,9,9,13,6,3,70%,2,,0,636,549,86%,,
1136764,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,4,4,14,6,9,5,9,6,1,48%,,,0,528,459,87%,,
1136764,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,1,3,5,1,3,2,8,4,1,52%,,,1,586,495,84%,,
1136757,188,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,7,7,19,5,10,9,14,4,0,32%,4,,9,359,238,66%,,
1136757,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,10,18,44,16,27,17,18,16,1,68%,5,,6,752,648,86%,,
1136771,745,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,4,4,9,1,3,6,10,1,,27%,2,0,1,231,135,58%,,
1136771,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,3,7,13,3,8,5,13,5,,73%,4,2,1,620,517,83%,,
1136759,1314,SpVgg Unterhaching,https://media.api-sports.io/football/teams/1314.png,10,9,25,6,14,11,13,10,4,46%,3,,2,518,380,73%,,
1136759,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,9,9,26,8,21,5,17,8,0,54%,6,,7,619,492,79%,,
1136766,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,9,4,20,7,15,5,12,7,1,65%,1,,0,535,451,84%,,
1136766,185,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,3,1,5,1,4,1,18,3,1,35%,7,,8,297,210,71%,,
1136769,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,7,8,22,7,15,7,13,8,1,54%,1,0,2,532,456,86%,,
1136769,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,3,2,6,1,4,2,14,3,5,46%,3,1,6,444,362,82%,,
1136760,189,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,3,4,11,4,7,4,11,4,0,27%,2,,6,230,154,67%,,
1136760,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,11,11,30,8,17,13,9,8,2,73%,3,,1,640,577,90%,,
1136765,191,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,11,11,27,5,17,10,18,7,1,58%,2,,6,657,534,81%,,
