fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
755735,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,1,2,3,,,,18,1,2,43%,1,0,1,,,
755735,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,1,4,5,,,,23,4,3,57%,3,0,1,,,
755734,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,6,3,9,,,,12,1,2,65%,3,0,4,,,
755734,951,Apollon Smirnis,https://media.api-sports.io/football/teams/951.png,6,4,10,,,,20,3,0,35%,5,1,0,,,
755732,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,6,3,9,,,,15,4,2,45%,1,0,1,,,
755732,956,Lamia,https://media.api-sports.io/football/teams/956.png,4,7,11,,,,16,8,1,55%,2,0,3,,,
755736,619,PAOK,https://media.api-sports.io/football/teams/619.png,2,7,9,,,,16,8,1,64%,2,0,1,,,
755736,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,1,2,3,,,,21,4,3,36%,3,0,2,,,
755733,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,6,10,16,,,,13,9,1,64%,1,0,2,,,
755733,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,2,1,3,,,,16,0,1,36%,6,0,4,,,
755730,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,9,2,11,,,,18,8,2,67%,3,0,0,,,
755730,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,0,4,4,,,,13,0,2,33%,3,1,6,,,
755731,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,3,10,13,,,,12,9,,64%,1,0,0,,,
755731,1124,OFI,https://media.api-sports.io/football/teams/1124.png,0,0,0,,,,19,2,,36%,3,0,3,,,
755741,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,1,0,1,,,,13,0,0,44%,5,0,1,,,
755741,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,1,7,8,,,,16,5,3,56%,1,0,0,,,
755737,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,1,1,2,,,,18,5,,26%,4,0,3,,,
755737,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,4,8,12,,,,13,8,,74%,2,0,0,,,
