fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,duels_total,duels_won,fouls_committed,fouls_drawn,tackles_interceptions,shots_total,shots_on,offsides,goals_total,dribbles_attempts,dribbles_success,tackles_blocks,dribbles_past,penalty_won,penalty_commited
923700,Volos NFC,2110,15504,Boris Kleiman,https://media.api-sports.io/football/players/15504.png,90.0,55,G,5.9,False,False,3,1.0,26.0,13,1,0,0,0,0.0,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,55392,Nikolai Alho,https://media.api-sports.io/football/players/55392.png,82.0,3,D,7.2,False,False,0,,33.0,27,0,0,0,0,,1.0,1.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,
923700,Volos NFC,2110,14273,Rodrigo Escoval,https://media.api-sports.io/football/players/14273.png,90.0,26,D,6.2,False,False,0,,66.0,55,1,0,0,0,,,,1.0,9.0,4.0,2.0,,,,,,,,,,,,
923700,Volos NFC,2110,20294,Christos Shelis,https://media.api-sports.io/football/players/20294.png,90.0,16,D,6.3,False,False,0,,47.0,43,1,0,0,0,,,,,4.0,3.0,1.0,2.0,,,,,,,,,,,
923700,Volos NFC,2110,47455,Antonio Luna,https://media.api-sports.io/football/players/47455.png,90.0,13,D,6.3,False,False,0,,33.0,25,0,0,0,0,,,,,2.0,1.0,,1.0,2.0,,,,,,,,,,
923700,Volos NFC,2110,68197,Javier Matilla,https://media.api-sports.io/football/players/68197.png,57.0,27,M,6.6,False,False,0,,39.0,32,1,0,0,0,,,,,4.0,2.0,2.0,2.0,,1.0,1.0,,,,,,,,
923700,Volos NFC,2110,26775,Tasos Tsokanis,https://media.api-sports.io/football/players/26775.png,90.0,6,M,6.3,True,False,0,,33.0,29,0,0,0,0,,,,1.0,4.0,3.0,1.0,1.0,,2.0,1.0,,,,,,,,
923700,Volos NFC,2110,38707,Paolo Fernandes,https://media.api-sports.io/football/players/38707.png,88.0,10,M,8.3,False,False,0,,26.0,23,0,0,0,0,,1.0,2.0,,6.0,4.0,,1.0,,2.0,2.0,1.0,1.0,3.0,3.0,,,,
923700,Volos NFC,2110,26808,Miloš Deletić,https://media.api-sports.io/football/players/26808.png,82.0,7,M,6.6,False,False,0,,23.0,16,0,0,0,0,,,2.0,,7.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,
923700,Volos NFC,2110,153504,Victor Fernandez,https://media.api-sports.io/football/players/153504.png,90.0,11,M,5.9,False,False,0,,20.0,17,0,0,0,0,,1.0,1.0,1.0,16.0,4.0,3.0,2.0,,,,,,,,,,,
923700,Volos NFC,2110,15735,Tom van Weert,https://media.api-sports.io/football/players/15735.png,90.0,9,F,7.3,False,False,0,,20.0,15,0,0,0,0,,,1.0,,5.0,4.0,,4.0,,2.0,1.0,1.0,1.0,1.0,,,,,
923700,Volos NFC,2110,2354,Symeon Papadopoulos,https://media.api-sports.io/football/players/2354.png,,30,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,161802,Efstathios Tachatos,https://media.api-sports.io/football/players/161802.png,8.0,32,D,6.3,False,True,0,,5.0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,39353,Juha Pirinen,https://media.api-sports.io/football/players/39353.png,,66,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,135859,Odysseas Lymperakis,https://media.api-sports.io/football/players/135859.png,,33,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,27030,Abdul Rahman Weiss,https://media.api-sports.io/football/players/27030.png,8.0,23,M,6.2,False,True,0,,7.0,5,0,0,0,0,,,,,3.0,,,,,,,,,,,1.0,,,
923700,Volos NFC,2110,297614,Ismahila Ouédraogo,https://media.api-sports.io/football/players/297614.png,33.0,17,M,6.2,False,True,0,,5.0,3,0,0,0,0,,,,,2.0,,1.0,,2.0,,,,,,,,,,
923700,Volos NFC,2110,333038,Dimitrios Metaxas,https://media.api-sports.io/football/players/333038.png,,21,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,27111,Ilias Tselios,https://media.api-sports.io/football/players/27111.png,2.0,38,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Volos NFC,2110,45981,Bogdan Stamenković,https://media.api-sports.io/football/players/45981.png,,99,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,26823,Nikolaos Papadopoulos,https://media.api-sports.io/football/players/26823.png,90.0,1,G,6,False,False,3,3.0,25.0,14,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,46756,David Carmona,https://media.api-sports.io/football/players/46756.png,90.0,12,D,7.2,False,False,0,,20.0,16,0,0,0,0,,,1.0,6.0,8.0,7.0,1.0,1.0,2.0,1.0,,,,,,,,,
923700,Asteras Tripolis,955,47124,Pichu Atienza,https://media.api-sports.io/football/players/47124.png,90.0,18,D,6.5,False,False,0,,62.0,53,0,0,0,0,,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,
923700,Asteras Tripolis,955,1686,Pepe Castaño,https://media.api-sports.io/football/players/1686.png,90.0,19,D,6.7,False,False,0,,54.0,50,0,0,0,0,,,,1.0,4.0,2.0,2.0,,1.0,,,,,,,,,,
923700,Asteras Tripolis,955,75844,Federico Álvarez,https://media.api-sports.io/football/players/75844.png,90.0,29,D,6.6,False,False,0,,45.0,31,0,0,0,0,,1.0,1.0,3.0,4.0,3.0,,,1.0,1.0,,,,,,,,,
923700,Asteras Tripolis,955,40209,Michael Gardawski,https://media.api-sports.io/football/players/40209.png,61.0,25,M,6.3,False,False,0,,10.0,6,1,0,0,0,,,,2.0,6.0,2.0,3.0,,,2.0,,1.0,,,,,1.0,,
923700,Asteras Tripolis,955,50991,Caleb Stanko,https://media.api-sports.io/football/players/50991.png,90.0,4,M,6.5,False,False,0,,24.0,19,0,0,0,0,,,,2.0,8.0,4.0,3.0,1.0,,,,,,,,,1.0,,
923700,Asteras Tripolis,955,26838,Juan Munafo,https://media.api-sports.io/football/players/26838.png,71.0,8,M,6.5,True,False,0,,30.0,25,1,0,0,0,,,,2.0,4.0,2.0,2.0,,,,,,,,,,,,
923700,Asteras Tripolis,955,26715,Facundo Bertoglio,https://media.api-sports.io/football/players/26715.png,90.0,20,M,7.6,False,False,0,,24.0,16,1,0,0,0,,1.0,5.0,2.0,6.0,4.0,2.0,2.0,1.0,,,,,,,,,,
923700,Asteras Tripolis,955,133918,Adrián Riera,https://media.api-sports.io/football/players/133918.png,45.0,23,F,6.9,False,False,0,,8.0,6,0,0,0,0,,,2.0,,,,,,,1.0,,,,,,,,,
923700,Asteras Tripolis,955,127376,Asier Benito,https://media.api-sports.io/football/players/127376.png,61.0,22,F,7.7,False,False,0,,14.0,11,0,0,0,0,,,2.0,1.0,7.0,3.0,2.0,2.0,,3.0,2.0,,1.0,,,,,,
923700,Asteras Tripolis,955,91215,Antonis Tsiftsis,https://media.api-sports.io/football/players/91215.png,,99,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,30395,Georgios Antzoulas,https://media.api-sports.io/football/players/30395.png,,42,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,26826,Giannis Christopoulos,https://media.api-sports.io/football/players/26826.png,,45,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,122853,Rubén García,https://media.api-sports.io/football/players/122853.png,11.0,2,D,6.7,False,True,0,,,,0,0,0,0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,
923700,Asteras Tripolis,955,26832,Christos Tasoulis,https://media.api-sports.io/football/players/26832.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,55197,Léo Tilica,https://media.api-sports.io/football/players/55197.png,45.0,7,F,7.5,False,True,0,,12.0,9,0,0,0,0,,,,,5.0,3.0,,3.0,1.0,1.0,1.0,,1.0,,,,1.0,,
923700,Asteras Tripolis,955,26722,Jerónimo Barrales,https://media.api-sports.io/football/players/26722.png,29.0,9,F,7.2,False,True,0,,8.0,2,0,0,0,0,,,,,8.0,4.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,
923700,Asteras Tripolis,955,929,Sito,https://media.api-sports.io/football/players/929.png,18.0,40,M,6.5,False,True,0,,3.0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
923700,Asteras Tripolis,955,47523,Kévin Soni,https://media.api-sports.io/football/players/47523.png,19.0,27,F,6.3,False,True,0,,3.0,2,0,0,0,0,,,,,1.0,,,,,1.0,,,,,,,,,
