rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,83,52,Super League 1: Championship Round,WWDDW,up,Promotion - Champions League (Qualification),36,26,5,5,69,17,5,3,2,0,11,1,5,4,1,0,7,2
2,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,78,31,Super League 1: Championship Round,DLDDW,down,Promotion - Champions League (Qualification),36,23,9,4,47,16,5,1,4,0,4,2,5,3,1,1,5,2
3,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,73,46,Super League 1: Championship Round,WWDWL,same,Promotion - Europa Conference League (Qualification),36,21,10,5,70,24,5,3,1,1,12,6,5,2,1,2,5,4
4,619,PAOK,https://media.api-sports.io/football/teams/619.png,67,25,Super League 1: Championship Round,LWDWL,same,Promotion - Europa Conference League (Qualification),36,19,10,7,57,32,5,2,0,3,8,8,5,2,1,2,6,9
5,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,51,14,Super League 1: Championship Round,DLWLW,same,,36,15,6,15,55,41,5,2,0,3,8,8,5,1,2,2,9,9
6,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,40,-31,Super League 1: Championship Round,LLLLL,same,,36,11,7,18,35,66,5,0,0,5,0,11,5,0,1,4,4,17
1,1124,OFI,https://media.api-sports.io/football/teams/1124.png,41,-4,Super League 1: Relegation Round,WDWDW,same,,33,10,11,12,37,41,4,1,3,0,8,5,3,3,0,0,6,2
2,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,38,-2,Super League 1: Relegation Round,DWLLD,same,,33,9,11,13,34,36,4,2,1,1,7,4,3,0,2,1,2,3
3,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,34,-17,Super League 1: Relegation Round,DWWWD,same,,33,7,13,13,33,50,3,2,0,1,4,3,4,1,2,1,5,6
4,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,31,-13,Super League 1: Relegation Round,DLDDL,same,,33,5,16,12,23,36,4,1,2,1,3,3,3,0,1,2,1,3
5,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,30,-21,Super League 1: Relegation Round,LLDLL,same,,33,7,9,17,32,53,4,0,1,3,3,8,3,0,0,3,3,7
6,956,Lamia,https://media.api-sports.io/football/teams/956.png,29,-30,Super League 1: Relegation Round,DDDWL,same,,33,5,14,14,23,53,3,2,1,0,4,1,4,1,2,1,6,7
7,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,27,-27,Super League 1: Relegation Round,DDLDW,same,Relegation,33,6,9,18,24,51,3,1,1,1,3,3,4,1,2,1,5,6
8,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,26,-23,Super League 1: Relegation Round,DDDDW,same,Relegation,33,4,14,15,25,48,3,0,3,0,6,6,4,1,3,0,5,4
1,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,61,26,Super League 1: Regular Season,WWDWW,same,Championship Round,26,19,4,3,38,12,13,10,2,1,19,6,13,9,2,2,19,6
2,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,59,37,Super League 1: Regular Season,LWWWL,same,Championship Round,26,19,2,5,51,14,13,11,0,2,29,6,13,8,2,3,22,8
3,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,56,39,Super League 1: Regular Season,WWDWW,same,Championship Round,26,16,8,2,53,14,13,9,3,1,31,6,13,7,5,1,22,8
4,619,PAOK,https://media.api-sports.io/football/teams/619.png,54,28,Super League 1: Regular Season,WWDWD,same,Championship Round,26,15,9,2,43,15,13,9,3,1,24,7,13,6,6,1,19,8
5,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,40,14,Super League 1: Regular Season,WLWWL,same,Championship Round,26,12,4,10,38,24,13,9,2,2,26,9,13,3,2,8,12,15
6,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,39,-7,Super League 1: Regular Season,LWDLW,same,Championship Round,26,11,6,9,31,38,13,5,2,6,17,25,13,6,4,3,14,13
7,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,29,-12,Super League 1: Regular Season,DLDWL,down,Relegation Round,26,7,8,11,26,38,13,3,4,6,10,17,13,4,4,5,16,21
8,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,29,-4,Super League 1: Regular Season,LLDLW,down,Relegation Round,26,7,8,11,25,29,13,5,5,3,13,10,13,2,3,8,12,19
9,1124,OFI,https://media.api-sports.io/football/teams/1124.png,26,-11,Super League 1: Regular Season,LLWLW,down,Relegation Round,26,6,8,12,23,34,13,2,4,7,6,17,13,4,4,5,17,17
10,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,25,-11,Super League 1: Regular Season,LDLDD,down,Relegation Round,26,4,13,9,19,30,13,4,8,1,12,7,13,0,5,8,7,23
11,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,23,-17,Super League 1: Regular Season,LLDDD,down,Relegation Round,26,4,11,11,24,41,13,3,6,4,13,19,13,1,5,7,11,22
12,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,18,-26,Super League 1: Regular Season,WLLLD,down,Relegation Round,26,4,6,16,16,42,13,2,5,6,9,19,13,2,1,10,7,23
13,956,Lamia,https://media.api-sports.io/football/teams/956.png,17,-32,Super League 1: Regular Season,DWDLL,down,Relegation Round,26,2,11,13,13,45,13,2,4,7,9,25,13,0,7,6,4,20
14,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,17,-24,Super League 1: Regular Season,WLDLL,down,Relegation Round,26,3,8,15,14,38,13,3,5,5,9,14,13,0,3,10,5,24
