fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
923700,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,6,3,9,0,5,4,11,3,2,52%,4,,1,383,304,79%,
923700,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,4,8,13,1,11,2,16,3,1,48%,3,,3,342,261,76%,
923699,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,5,5,11,1,6,5,9,2,,43%,2,,1,344,266,77%,
923699,1124,OFI,https://media.api-sports.io/football/teams/1124.png,2,3,9,4,6,3,21,5,,57%,5,,2,457,364,80%,
923704,956,Lamia,https://media.api-sports.io/football/teams/956.png,0,3,7,4,3,4,14,0,1,35%,1,,,247,149,60%,
923704,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,3,5,9,1,5,4,18,1,4,65%,1,,,471,393,83%,
923703,619,PAOK,https://media.api-sports.io/football/teams/619.png,7,4,15,4,9,6,10,7,,78%,0,,2,829,755,91%,
923703,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,2,2,5,1,3,2,9,4,,22%,2,,6,235,150,64%,
923702,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,3,5,12,4,9,3,10,6,1,63%,1,,1,527,453,86%,
923702,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,1,3,4,0,2,2,19,1,1,37%,4,,2,309,242,78%,
923698,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,6,3,12,3,9,3,14,7,1,59%,1,,5,524,446,85%,
923698,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,5,4,13,4,6,7,19,3,1,41%,3,,3,360,283,79%,
923701,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,3,7,15,5,11,4,11,6,3,65%,,,1,594,543,91%,
923701,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,1,7,10,2,3,7,6,2,2,35%,,,1,325,266,82%,
923707,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,4,4,12,4,5,7,19,6,3,54%,3,,2,325,238,73%,
923707,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,2,8,13,3,6,7,18,2,3,46%,2,,4,296,228,77%,
923711,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,3,7,12,2,7,5,14,6,0,55%,2,,4,411,312,76%,
923711,956,Lamia,https://media.api-sports.io/football/teams/956.png,5,4,11,2,7,4,20,8,5,45%,4,,2,325,243,75%,
923705,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,4,5,16,7,12,4,11,8,4,71%,3,,2,500,403,81%,
923705,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,3,1,5,1,2,3,18,1,1,29%,5,,4,221,118,53%,
923709,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,3,5,9,1,5,4,14,1,,33%,2,1,4,286,214,75%,
923709,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,5,3,14,6,5,9,13,4,,67%,1,0,0,550,472,86%,
923708,1124,OFI,https://media.api-sports.io/football/teams/1124.png,1,3,4,0,3,1,14,1,4,46%,2,,3,427,328,77%,
923708,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,5,4,10,1,9,1,13,3,2,54%,1,,1,493,403,82%,
923710,619,PAOK,https://media.api-sports.io/football/teams/619.png,4,6,14,4,9,5,12,8,3,57%,1,0,3,486,414,85%,
923710,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,4,2,6,0,2,4,17,3,1,43%,4,1,2,365,298,82%,
923706,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,1,2,3,0,2,1,19,0,0,26%,4,,1,204,128,63%,
923706,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,1,7,16,8,8,8,12,10,2,74%,1,,1,574,493,86%,
923718,956,Lamia,https://media.api-sports.io/football/teams/956.png,2,11,18,5,11,7,13,5,2,56%,0,,3,392,301,77%,
923718,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,3,7,10,0,4,6,14,3,1,44%,1,,2,305,230,75%,
923717,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,3,4,12,5,5,7,12,4,0,48%,0,,1,410,358,87%,
923717,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,2,5,9,2,4,5,15,4,1,52%,1,,0,439,372,85%,
923806,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,3,5,11,3,9,2,12,4,1,61%,1,0,1,417,345,83%,
923806,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,1,2,4,1,1,3,18,5,1,39%,6,1,2,262,204,78%,
923714,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,3,4,13,6,11,2,11,9,0,58%,2,,0,501,420,84%,
923714,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,1,1,5,3,2,3,15,2,1,42%,4,,2,364,279,77%,
923715,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,1,8,13,4,7,6,16,5,0,63%,2,0,0,496,416,84%,
923715,1124,OFI,https://media.api-sports.io/football/teams/1124.png,1,2,4,1,1,3,14,2,1,37%,5,1,1,294,220,75%,
923712,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,5,2,10,3,4,6,16,5,1,62%,2,,0,532,447,84%,
923712,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,0,3,7,4,4,3,15,3,0,38%,1,,3,318,240,75%,
923713,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,3,7,14,4,7,7,12,9,0,54%,4,1,2,388,309,80%,
923713,619,PAOK,https://media.api-sports.io/football/teams/619.png,2,2,7,3,5,2,25,5,1,46%,3,1,3,344,255,74%,
923722,1124,OFI,https://media.api-sports.io/football/teams/1124.png,5,2,10,3,6,4,15,3,4,71%,3,,3,600,535,89%,
923722,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,5,1,10,4,5,5,10,2,3,29%,1,,4,246,176,72%,
923725,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,7,7,15,1,11,4,12,4,3,34%,1,,2,298,204,68%,
923725,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,3,2,7,2,4,3,14,1,1,66%,3,,5,579,465,80%,
923720,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,6,5,13,2,3,10,13,3,4,57%,3,,6,498,427,86%,
923720,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,10,1,11,0,8,3,8,0,0,43%,2,,5,395,307,78%,
923721,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,4,11,18,3,13,5,12,9,4,66%,4,,0,503,433,86%,
923721,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,1,4,5,0,2,3,7,2,1,34%,1,,3,267,190,71%,
923723,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,5,4,12,3,8,4,12,5,1,54%,3,,2,423,340,80%,
923723,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,3,4,10,3,8,2,16,2,3,46%,3,,3,357,277,78%,
923719,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,6,10,18,2,11,7,10,10,,53%,1,0,3,430,362,84%,
923719,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,5,3,8,0,5,3,10,1,,47%,2,1,4,396,331,84%,
923724,619,PAOK,https://media.api-sports.io/football/teams/619.png,3,8,13,2,8,5,14,6,0,62%,2,0,3,539,446,83%,
923724,956,Lamia,https://media.api-sports.io/football/teams/956.png,3,2,6,1,3,3,11,3,2,38%,2,1,2,325,240,74%,
923732,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,0,5,6,1,3,3,13,0,0,34%,3,,2,259,180,69%,
923732,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,4,12,18,2,10,8,19,7,1,66%,3,,0,503,421,84%,
923727,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,1,9,14,4,9,5,7,6,2,56%,2,,3,499,420,84%,
923727,956,Lamia,https://media.api-sports.io/football/teams/956.png,3,4,9,2,5,4,19,1,2,44%,3,,1,404,317,78%,
923731,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,6,5,15,4,5,10,14,7,,67%,0,,3,594,548,92%,
923731,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,3,4,9,2,5,4,13,3,,33%,3,,3,280,223,80%,
923729,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,4,4,9,1,5,4,15,0,2,42%,3,,4,315,215,68%,
923729,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,5,5,12,2,5,7,15,3,1,58%,1,,3,430,341,79%,
923730,1124,OFI,https://media.api-sports.io/football/teams/1124.png,4,2,11,5,6,5,13,2,1,47%,1,,4,352,251,71%,
923730,619,PAOK,https://media.api-sports.io/football/teams/619.png,5,6,15,4,9,6,15,13,1,53%,3,,2,383,292,76%,
923726,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,3,6,12,3,4,8,8,7,4,53%,3,,1,439,360,82%,
923726,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,2,4,6,0,4,2,17,3,1,47%,0,,1,403,326,81%,
923728,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,3,5,10,2,5,5,16,1,4,57%,2,,3,429,358,83%,
923728,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,3,4,8,1,4,4,18,3,2,43%,3,,1,312,249,80%,
923739,956,Lamia,https://media.api-sports.io/football/teams/956.png,3,6,15,6,10,5,18,12,,57%,4,,2,406,287,71%,
923739,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,2,3,8,3,4,4,15,3,,43%,3,,2,326,191,59%,
923734,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,4,3,9,2,5,4,7,3,4,42%,1,,3,357,305,85%,
923734,1124,OFI,https://media.api-sports.io/football/teams/1124.png,3,7,11,1,8,3,15,3,1,58%,1,,2,492,435,88%,
923736,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,7,6,15,2,12,3,21,3,5,50%,1,,2,463,385,83%,
923736,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,2,2,5,1,2,3,16,4,1,50%,4,,4,461,383,83%,
923735,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,4,1,8,3,7,1,18,4,1,34%,5,1,2,224,135,60%,
923735,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,2,8,15,5,10,5,15,8,6,66%,3,0,2,426,340,80%,
923737,619,PAOK,https://media.api-sports.io/football/teams/619.png,3,6,12,3,10,2,14,4,2,58%,3,,3,527,430,82%,
923737,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,5,2,7,0,5,2,17,4,2,42%,2,,2,375,292,78%,
923738,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,3,11,18,4,12,6,19,6,2,66%,3,,1,500,421,84%,
923738,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,5,3,12,4,6,6,17,2,0,34%,3,,2,261,177,68%,
923733,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,8,14,27,5,20,7,12,11,1,65%,0,,1,476,406,85%,
923733,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,2,2,5,1,2,3,13,0,1,35%,1,,4,267,202,76%,
923746,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,5,1,7,1,5,2,12,2,1,31%,1,1,4,240,163,68%,
923746,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,7,5,15,3,8,7,13,8,3,69%,2,0,3,527,456,87%,
923742,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,8,6,18,4,12,6,10,7,3,60%,4,,2,482,378,78%,
923742,956,Lamia,https://media.api-sports.io/football/teams/956.png,3,2,6,1,5,1,17,2,1,40%,5,,7,326,235,72%,
923744,1124,OFI,https://media.api-sports.io/football/teams/1124.png,3,5,9,1,5,4,15,3,2,39%,3,,4,325,240,74%,
923744,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,6,7,14,1,10,4,10,4,2,61%,1,,3,522,435,83%,
923743,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,3,6,10,1,6,4,15,3,2,32%,2,0,2,277,183,66%,
923743,619,PAOK,https://media.api-sports.io/football/teams/619.png,4,4,13,5,8,5,15,9,1,68%,1,1,2,579,493,85%,
923745,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,6,5,19,8,13,6,14,4,1,64%,1,0,2,518,429,83%,
923745,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,2,2,4,0,3,1,16,3,2,36%,5,1,5,291,205,70%,
923740,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,1,3,10,6,5,5,19,8,4,51%,1,,4,357,254,71%,
923740,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,7,6,17,4,11,6,24,3,3,49%,3,,1,355,262,74%,
923741,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,4,6,13,3,7,6,14,6,2,63%,4,,1,559,480,86%,
923741,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,2,2,8,4,4,4,10,4,0,37%,1,,2,323,238,74%,
923750,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,5,8,18,5,10,8,13,11,1,64%,3,,6,458,375,82%,
923750,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,8,1,9,0,5,4,14,10,1,36%,0,,3,256,176,69%,
923748,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,5,8,15,2,7,8,10,6,2,59%,1,,5,420,342,81%,
923748,7513,Ionikos,https://media.api-sports.io/football/teams/7513.png,6,2,9,1,3,6,18,3,2,41%,2,,2,285,203,71%,
923747,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,13,8,26,5,21,5,15,14,1,67%,2,,3,526,450,86%,
923747,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,4,3,8,1,5,3,9,2,0,33%,4,,10,263,171,65%,
923752,950,PAS Giannina,https://media.api-sports.io/football/teams/950.png,4,4,11,3,9,2,16,4,2,36%,1,,1,312,218,70%,
923752,1124,OFI,https://media.api-sports.io/football/teams/1124.png,3,8,12,1,9,3,16,1,0,64%,0,,2,568,469,83%,
