fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1250509,619,PAOK,https://media.api-sports.io/football/teams/619.png,7,5,18,6,12,6,12,9,,64%,1,,3,494,430,87%,,
1250509,2099,Panserraikos,https://media.api-sports.io/football/teams/2099.png,5,5,12,2,6,6,8,1,,36%,3,,4,287,218,76%,,
1250505,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,2,1,6,3,2,4,17,3,3,41%,3,1,4,274,190,69%,,
1250505,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,5,7,16,4,10,6,20,3,3,59%,2,0,2,384,314,82%,,
1250506,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,2,8,12,2,3,9,14,2,1,59%,3,,0,376,267,71%,,
1250506,2095,Kallithea,https://media.api-sports.io/football/teams/2095.png,0,1,2,1,0,2,20,5,1,41%,6,,2,252,142,56%,,
1250507,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,1,7,13,5,10,3,13,8,2,66%,3,1,2,599,531,89%,,
1250507,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,3,6,10,1,3,7,14,2,3,34%,3,0,1,301,239,79%,,
1250504,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,5,2,7,0,6,1,15,3,1,49%,2,,2,387,318,82%,,
1250504,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,2,4,10,4,5,5,19,4,2,51%,3,,4,399,333,83%,,
1250503,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,5,10,19,4,14,5,15,6,3,72%,3,,0,575,496,86%,,
1250503,1124,OFI,https://media.api-sports.io/football/teams/1124.png,0,2,5,3,2,3,9,1,3,28%,2,,2,222,160,72%,,
1250508,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,4,6,13,3,8,5,13,4,2,46%,2,1,3,361,280,78%,,
1250508,956,Lamia,https://media.api-sports.io/football/teams/956.png,4,8,12,0,7,5,19,3,1,54%,7,1,4,424,358,84%,,
1250513,1124,OFI,https://media.api-sports.io/football/teams/1124.png,2,5,7,0,3,4,23,4,0,37%,8,1,1,270,201,74%,,
1250513,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,2,8,17,7,12,5,12,3,4,63%,6,2,1,450,362,80%,,
1250515,2099,Panserraikos,https://media.api-sports.io/football/teams/2099.png,3,2,6,1,5,1,18,4,0,40%,4,,7,257,181,70%,,
1250515,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,8,3,13,2,5,8,25,2,1,60%,6,,4,404,329,81%,,
1250510,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,5,17,30,8,19,11,4,13,2,80%,1,,0,652,564,87%,,
1250510,956,Lamia,https://media.api-sports.io/football/teams/956.png,1,1,3,1,2,1,15,1,2,20%,4,,4,170,93,55%,,
1250511,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,5,8,20,7,13,7,10,13,1,70%,3,,1,586,511,87%,,
1250511,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,2,2,5,1,2,3,16,0,1,30%,4,,4,270,180,67%,,
1250516,619,PAOK,https://media.api-sports.io/football/teams/619.png,9,4,16,3,8,8,16,4,1,63%,2,,2,573,505,88%,,
1250516,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,2,2,5,1,0,5,13,1,2,37%,5,,7,329,264,80%,,
1250514,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,5,5,16,6,11,5,13,7,3,72%,2,,3,561,481,86%,,
1250514,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,3,3,8,2,3,5,20,3,2,28%,2,,4,223,145,65%,,
1250512,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,5,5,12,2,6,6,10,7,0,61%,1,,2,448,364,81%,,
1250512,2095,Kallithea,https://media.api-sports.io/football/teams/2095.png,3,2,10,5,7,3,16,3,2,39%,2,,3,288,201,70%,,
1250523,956,Lamia,https://media.api-sports.io/football/teams/956.png,3,3,10,4,4,6,14,4,2,38%,2,,4,281,173,62%,,
1250523,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,7,5,16,4,12,4,12,6,2,62%,1,,3,464,350,75%,,
1250518,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,6,5,16,5,10,6,13,4,7,61%,3,0,4,517,452,87%,,
1250518,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,5,3,10,2,7,3,20,3,0,39%,3,1,5,318,242,76%,,
1250522,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,7,3,15,5,4,11,15,3,1,42%,4,,5,326,228,70%,,
1250522,2099,Panserraikos,https://media.api-sports.io/football/teams/2099.png,5,6,12,1,6,6,14,4,1,58%,3,,4,456,365,80%,,
1250521,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,1,3,5,1,3,2,11,0,,38%,3,,2,252,174,69%,,
1250521,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,4,6,15,5,11,4,18,6,,62%,3,,0,403,315,78%,,
1250520,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,3,6,11,2,6,5,27,7,1,63%,3,,0,555,468,84%,,
1250520,1124,OFI,https://media.api-sports.io/football/teams/1124.png,3,2,6,1,2,4,19,0,1,37%,2,,2,332,244,73%,,
1250519,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,3,2,7,2,2,5,16,4,1,44%,4,,2,335,234,70%,,
1250519,619,PAOK,https://media.api-sports.io/football/teams/619.png,4,2,8,2,6,2,16,2,3,56%,3,,2,434,343,79%,,
1250517,2095,Kallithea,https://media.api-sports.io/football/teams/2095.png,8,10,26,8,18,8,24,9,1,41%,4,,6,300,224,75%,,
1250517,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,8,4,18,6,14,4,7,3,3,59%,2,,6,459,382,83%,,
1250530,956,Lamia,https://media.api-sports.io/football/teams/956.png,2,5,10,3,5,5,15,1,2,50%,2,,4,360,256,71%,,
1250530,2095,Kallithea,https://media.api-sports.io/football/teams/2095.png,4,5,12,3,5,7,20,3,1,50%,2,,2,357,247,69%,,
1250525,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,5,8,14,1,8,6,15,6,2,68%,1,,0,467,376,81%,,
1250525,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,2,6,8,0,6,2,17,1,4,32%,5,,4,218,142,65%,,
1250528,2099,Panserraikos,https://media.api-sports.io/football/teams/2099.png,3,6,15,6,9,6,16,2,2,46%,6,0,3,329,250,76%,,
1250528,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,5,3,10,2,7,3,21,5,2,54%,4,1,2,387,296,76%,,
1250526,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,5,16,31,10,20,11,6,8,,73%,0,,0,635,557,88%,,
1250526,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,0,7,7,0,3,4,10,0,,27%,2,,4,258,178,69%,,
1250529,619,PAOK,https://media.api-sports.io/football/teams/619.png,3,6,15,6,10,5,16,6,,51%,1,,4,390,312,80%,,
1250529,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,4,1,7,2,3,4,14,4,,49%,3,,3,389,314,81%,,
1250527,1124,OFI,https://media.api-sports.io/football/teams/1124.png,6,4,15,5,9,6,19,6,1,36%,3,,3,237,178,75%,,
1250527,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,5,8,17,4,11,6,17,7,2,64%,2,,3,445,376,84%,,
1250524,575,AEK Athens FC,https://media.api-sports.io/football/teams/575.png,5,4,15,6,10,5,14,3,2,53%,2,,1,415,346,83%,,
1250524,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,2,6,9,1,5,4,14,5,1,47%,3,,3,366,284,78%,,
1250534,2110,Volos NFC,https://media.api-sports.io/football/teams/2110.png,8,3,12,1,8,4,15,4,3,43%,4,1,4,320,249,78%,,
1250534,619,PAOK,https://media.api-sports.io/football/teams/619.png,8,3,17,6,11,6,18,5,0,57%,1,0,7,420,357,85%,,
1250532,1123,Aris Thessalonikis,https://media.api-sports.io/football/teams/1123.png,4,3,7,0,4,3,12,3,1,39%,3,,1,317,223,70%,,
1250532,553,Olympiakos Piraeus,https://media.api-sports.io/football/teams/553.png,2,6,13,5,5,8,17,5,1,61%,3,,1,482,411,85%,,
1250537,949,Panetolikos,https://media.api-sports.io/football/teams/949.png,2,6,11,3,5,6,10,1,2,57%,4,0,3,513,440,86%,,
1250537,955,Asteras Tripolis,https://media.api-sports.io/football/teams/955.png,3,4,8,1,3,5,17,3,0,43%,5,1,1,385,321,83%,,
1250535,957,Levadiakos,https://media.api-sports.io/football/teams/957.png,4,6,14,4,8,6,18,4,0,50%,3,,1,335,231,69%,,
1250535,1124,OFI,https://media.api-sports.io/football/teams/1124.png,2,0,2,0,2,0,22,2,2,50%,3,,3,335,236,70%,,
1250536,617,Panathinaikos,https://media.api-sports.io/football/teams/617.png,11,4,22,7,8,14,10,7,1,67%,1,,5,607,540,89%,,
1250536,2099,Panserraikos,https://media.api-sports.io/football/teams/2099.png,6,5,12,1,7,5,16,3,1,33%,4,,8,298,227,76%,,
1250533,12260,Atromitos,https://media.api-sports.io/football/teams/12260.png,8,4,12,0,11,1,13,6,2,56%,1,,1,481,415,86%,,
1250533,956,Lamia,https://media.api-sports.io/football/teams/956.png,2,2,5,1,5,0,11,2,2,44%,1,,4,380,303,80%,,
