fixture_id,bet_name,bet_value,bet_odd
1400751,Match Winner,Home,15.00
1400751,Match Winner,Draw,5.00
1400751,Match Winner,Away,1.25
1400751,Second Half Winner,Home,11.00
1400751,Second Half Winner,Draw,2.75
1400751,Second Half Winner,Away,1.53
1400751,Goals Over/Under,Over 1.5,1.28
1400751,Goals Over/Under,Under 1.5,3.50
1400751,Goals Over/Under,Over 2.5,1.95
1400751,Goals Over/Under,Under 2.5,1.85
1400751,Goals Over/Under,Over 3.5,3.40
1400751,Goals Over/Under,Under 3.5,1.30
1400751,Goals Over/Under,Over 0.5,1.06
1400751,Goals Over/Under,Under 0.5,9.50
1400751,Goals Over/Under,Over 4.5,6.50
1400751,Goals Over/Under,Under 4.5,1.11
1400751,Goals Over/Under,Over 7.5,51.00
1400751,Goals Over/Under,Under 7.5,1.00
1400751,Goals Over/Under,Over 5.5,15.00
1400751,Goals Over/Under,Under 5.5,1.03
1400751,Goals Over/Under,Over 6.5,29.00
1400751,Goals Over/Under,Under 6.5,1.01
1400751,HT/FT Double,Home/Draw,26.00
1400751,HT/FT Double,Home/Away,26.00
1400751,HT/FT Double,Draw/Away,3.50
1400751,HT/FT Double,Draw/Draw,7.00
1400751,HT/FT Double,Home/Home,26.00
1400751,HT/FT Double,Draw/Home,23.00
1400751,HT/FT Double,Away/Home,51.00
1400751,HT/FT Double,Away/Draw,21.00
1400751,HT/FT Double,Away/Away,1.80
1400751,Double Chance,Home/Draw,3.75
1400751,Double Chance,Home/Away,1.17
1400751,Double Chance,Draw/Away,1.03
1400751,First Half Winner,Home,13.00
1400751,First Half Winner,Draw,2.50
1400751,First Half Winner,Away,1.67
1400753,Match Winner,Home,3.00
1400753,Match Winner,Draw,3.40
1400753,Match Winner,Away,2.30
1400753,Second Half Winner,Home,3.20
1400753,Second Half Winner,Draw,2.40
1400753,Second Half Winner,Away,2.60
1400753,Goals Over/Under,Over 1.5,1.28
1400753,Goals Over/Under,Under 1.5,3.50
1400753,Goals Over/Under,Over 2.5,1.95
1400753,Goals Over/Under,Under 2.5,1.85
1400753,Goals Over/Under,Over 3.5,3.40
1400753,Goals Over/Under,Under 3.5,1.30
1400753,Goals Over/Under,Over 0.5,1.05
1400753,Goals Over/Under,Under 0.5,11.00
1400753,Goals Over/Under,Over 4.5,7.00
1400753,Goals Over/Under,Under 4.5,1.10
1400753,Goals Over/Under,Over 5.5,15.00
1400753,Goals Over/Under,Under 5.5,1.03
1400753,Goals Over/Under,Over 6.5,29.00
1400753,Goals Over/Under,Under 6.5,1.01
1400753,HT/FT Double,Home/Draw,15.00
1400753,HT/FT Double,Home/Away,26.00
1400753,HT/FT Double,Draw/Away,5.50
1400753,HT/FT Double,Draw/Draw,5.00
1400753,HT/FT Double,Home/Home,5.00
1400753,HT/FT Double,Draw/Home,7.00
1400753,HT/FT Double,Away/Home,29.00
1400753,HT/FT Double,Away/Draw,13.00
1400753,HT/FT Double,Away/Away,3.75
1400753,Double Chance,Home/Draw,1.57
1400753,Double Chance,Home/Away,1.30
1400753,Double Chance,Draw/Away,1.36
1400753,First Half Winner,Home,3.60
1400753,First Half Winner,Draw,2.20
1400753,First Half Winner,Away,2.88
1400749,Match Winner,Home,1.44
1400749,Match Winner,Draw,4.33
1400749,Match Winner,Away,7.00
1400749,Second Half Winner,Home,1.80
1400749,Second Half Winner,Draw,2.60
1400749,Second Half Winner,Away,6.00
1400749,Goals Over/Under,Over 1.5,1.30
1400749,Goals Over/Under,Under 1.5,3.40
1400749,Goals Over/Under,Over 2.5,2.00
1400749,Goals Over/Under,Under 2.5,1.80
1400749,Goals Over/Under,Over 3.5,3.50
1400749,Goals Over/Under,Under 3.5,1.28
1400749,Goals Over/Under,Over 0.5,1.06
1400749,Goals Over/Under,Under 0.5,10.00
1400749,Goals Over/Under,Over 4.5,7.00
1400749,Goals Over/Under,Under 4.5,1.10
1400749,Goals Over/Under,Over 5.5,17.00
1400749,Goals Over/Under,Under 5.5,1.02
1400749,Goals Over/Under,Over 6.5,29.00
1400749,Goals Over/Under,Under 6.5,1.01
1400749,HT/FT Double,Home/Draw,17.00
1400749,HT/FT Double,Home/Away,41.00
1400749,HT/FT Double,Draw/Away,13.00
1400749,HT/FT Double,Draw/Draw,6.00
1400749,HT/FT Double,Home/Home,2.20
1400749,HT/FT Double,Draw/Home,4.00
1400749,HT/FT Double,Away/Home,23.00
1400749,HT/FT Double,Away/Draw,19.00
1400749,HT/FT Double,Away/Away,12.00
1400749,Double Chance,Home/Draw,1.10
1400749,Double Chance,Home/Away,1.20
1400749,Double Chance,Draw/Away,2.62
1400749,First Half Winner,Home,2.00
1400749,First Half Winner,Draw,2.30
1400749,First Half Winner,Away,7.00
1400748,Match Winner,Home,2.15
1400748,Match Winner,Draw,3.20
1400748,Match Winner,Away,3.40
1400748,Second Half Winner,Home,2.60
1400748,Second Half Winner,Draw,2.25
