fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,offsides,goals_assists,penalty_commited,penalty_won
291878,Torino,503,30495,Salvatore Sirigu,https://media.api-sports.io/football/players/30495.png,120,39,G,7.7,False,False,0,0,5,4.0,25,0,71%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
291878,Torino,503,30497,Gleison Bremer,https://media.api-sports.io/football/players/30497.png,120,36,D,7.3,False,False,1,1,0,,79,0,85%,0,4,4,3,1,1,0,0,0,0,,3.0,,,,,,
291878,Torino,503,30499,Koffi Djidji,https://media.api-sports.io/football/players/30499.png,120,30,D,6.9,False,False,0,0,0,,63,0,92%,0,1,0,0,0,0,0,0,0,0,,3.0,3.0,,,,,
291878,Torino,503,30853,Kevin Bonifazi,https://media.api-sports.io/football/players/30853.png,102,14,D,6.8,False,False,1,1,0,,71,1,79%,0,1,3,3,0,2,0,0,0,0,,1.0,,,,,,
291878,Torino,503,30498,Lorenzo De Silvestri,https://media.api-sports.io/football/players/30498.png,82,29,M,7.2,False,False,2,1,0,,32,0,84%,0,0,0,0,1,0,0,0,0,0,,,1.0,1.0,,,,
291878,Torino,503,30507,Soualiho Meïté,https://media.api-sports.io/football/players/30507.png,105,23,M,6.8,False,False,2,2,0,,53,1,84%,0,1,5,5,2,4,2,1,0,0,,2.0,5.0,,,,,
291878,Torino,503,2823,Saša Lukić,https://media.api-sports.io/football/players/2823.png,77,7,M,6.9,False,False,0,0,0,,50,0,87%,0,3,2,2,1,0,0,0,0,0,,2.0,2.0,,,,,
291878,Torino,503,1643,Diego Laxalt,https://media.api-sports.io/football/players/1643.png,120,93,M,8.1,False,False,1,0,0,,43,3,81%,0,2,1,1,4,1,0,0,0,0,,4.0,,,,,,
291878,Torino,503,30510,Alex Berenguer,https://media.api-sports.io/football/players/30510.png,120,21,F,8.3,False,False,4,0,0,,35,5,81%,1,0,10,7,5,4,0,0,0,0,,4.0,1.0,,1.0,1.0,,
291878,Torino,503,30515,Simone Zaza,https://media.api-sports.io/football/players/30515.png,90,11,F,6.9,False,False,2,0,0,,11,1,68%,0,1,4,2,5,1,0,0,0,0,,3.0,2.0,,,,,
291878,Torino,503,30509,Andrea Belotti,https://media.api-sports.io/football/players/30509.png,120,9,F,6.6,True,False,5,2,0,,19,0,76%,0,1,7,3,3,0,0,0,0,0,,1.0,2.0,,1.0,,,
291878,Torino,503,30503,Nicolas N'Koulou,https://media.api-sports.io/football/players/30503.png,18,33,D,6.6,False,True,0,0,0,,3,0,100%,0,0,0,0,0,1,0,0,0,0,,,,,,,,
291878,Torino,503,2771,Ola Aina,https://media.api-sports.io/football/players/2771.png,38,34,D,6.7,False,True,0,0,0,,16,1,84%,0,0,0,0,1,1,1,0,0,0,,,,,,,,
291878,Torino,503,2452,Tomás Rincón,https://media.api-sports.io/football/players/2452.png,43,88,M,7.1,False,True,0,0,0,,26,2,78%,0,0,0,0,2,1,0,0,0,0,,,,,,,,
291878,Torino,503,30514,Vincenzo Millico,https://media.api-sports.io/football/players/30514.png,30,22,F,7.1,False,True,2,1,0,,8,1,80%,0,0,3,2,0,0,0,0,0,0,,,,,,,,
291878,Genoa,495,30765,Andrei Radu,https://media.api-sports.io/football/players/30765.png,120,97,G,7.7,False,False,0,0,6,7.0,19,0,51%,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
