fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
644882,493,Spal,https://media.api-sports.io/football/teams/493.png,7,7,14,,,,13,2,4,55%,2,0,5,,,
644882,1579,Monza,https://media.api-sports.io/football/teams/1579.png,4,4,8,,,,8,4,2,45%,2,0,6,,,
644880,523,Parma,https://media.api-sports.io/football/teams/523.png,9,4,13,,,,17,10,2,61%,1,0,3,,,
644880,10137,Nuova Cosenza,https://media.api-sports.io/football/teams/10137.png,4,5,9,,,,19,5,2,39%,2,0,7,,,
644878,490,Cagliari,https://media.api-sports.io/football/teams/490.png,6,1,7,,,,23,4,1,37%,1,0,6,,,
644878,504,Verona,https://media.api-sports.io/football/teams/504.png,7,5,12,,,,17,10,5,63%,3,0,4,,,
644885,494,Udinese,https://media.api-sports.io/football/teams/494.png,5,7,12,,,,21,9,,61%,3,0,3,,,
644885,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,4,5,9,,,,21,1,,39%,3,0,5,,,
644883,500,Bologna,https://media.api-sports.io/football/teams/500.png,,,,,,,,4,,,4,0,,,,
644883,515,Spezia,https://media.api-sports.io/football/teams/515.png,,,,,,,,2,,,7,0,,,,
644884,503,Torino,https://media.api-sports.io/football/teams/503.png,4,5,9,,,,11,3,3,59%,0,0,3,,,
644884,527,Virtus Entella,https://media.api-sports.io/football/teams/527.png,2,0,2,,,,18,0,1,41%,2,0,3,,,
644881,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,6,9,15,,,,13,11,3,53%,3,0,3,,,
644881,495,Genoa,https://media.api-sports.io/football/teams/495.png,6,1,7,,,,11,2,2,47%,4,0,5,,,
655490,489,AC Milan,https://media.api-sports.io/football/teams/489.png,9,8,23,6,12,11,24,7,0,50%,3,1,3,723,640,89%
655490,503,Torino,https://media.api-sports.io/football/teams/503.png,3,5,9,1,2,7,22,3,2,50%,6,0,9,727,642,88%
648111,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,6,7,16,3,5,11,11,8,0,44%,4,,7,509,423,83%
648111,505,Inter,https://media.api-sports.io/football/teams/505.png,9,7,20,4,16,4,31,9,4,56%,7,,5,626,550,88%
655491,492,Napoli,https://media.api-sports.io/football/teams/492.png,9,7,20,4,15,5,2,5,3,59%,0,,2,680,622,91%
655491,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,6,13,3,8,5,8,2,0,41%,1,,5,449,387,86%
655492,496,Juventus,https://media.api-sports.io/football/teams/496.png,13,6,24,5,19,5,12,10,2,59%,2,,0,787,707,90%
655492,495,Genoa,https://media.api-sports.io/football/teams/495.png,3,5,13,5,6,7,17,6,0,41%,5,,10,532,436,82%
648112,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,8,17,6,9,8,17,7,2,63%,1,1,1,585,530,91%
648112,493,Spal,https://media.api-sports.io/football/teams/493.png,3,6,12,3,9,3,11,0,0,37%,0,0,3,346,264,76%
648108,499,Atalanta,https://media.api-sports.io/football/teams/499.png,14,12,30,4,19,11,22,9,4,58%,1,,2,551,493,89%
648108,490,Cagliari,https://media.api-sports.io/football/teams/490.png,3,4,7,0,6,1,14,3,2,42%,0,,11,400,312,78%
648110,497,AS Roma,https://media.api-sports.io/football/teams/497.png,4,11,17,2,12,5,18,7,7,49%,3,2,4,606,489,81%
648110,515,Spezia,https://media.api-sports.io/football/teams/515.png,8,4,13,1,6,7,23,4,6,51%,3,0,2,628,522,83%
648109,487,Lazio,https://media.api-sports.io/football/teams/487.png,4,6,12,2,6,6,9,5,2,48%,,,2,496,444,90%
648109,523,Parma,https://media.api-sports.io/football/teams/523.png,3,2,9,4,5,4,11,4,0,52%,,,3,530,452,85%
657381,505,Inter,https://media.api-sports.io/football/teams/505.png,10,8,27,9,18,9,8,12,1,65%,3,0,0,573,512,89%
657381,489,AC Milan,https://media.api-sports.io/football/teams/489.png,1,2,5,2,4,1,21,0,2,35%,5,1,8,302,242,80%
663183,499,Atalanta,https://media.api-sports.io/football/teams/499.png,8,1,12,3,10,2,12,7,1,33%,2,1,2,298,216,72%
663183,487,Lazio,https://media.api-sports.io/football/teams/487.png,4,5,11,2,6,5,15,3,0,67%,3,0,5,579,481,83%
657382,496,Juventus,https://media.api-sports.io/football/teams/496.png,12,8,24,4,18,6,14,6,3,54%,2,,1,527,457,87%
657382,493,Spal,https://media.api-sports.io/football/teams/493.png,1,4,7,2,2,5,6,2,2,46%,2,,8,431,354,82%
658490,492,Napoli,https://media.api-sports.io/football/teams/492.png,8,3,13,2,10,3,13,2,6,48%,2,,0,522,447,86%
658490,515,Spezia,https://media.api-sports.io/football/teams/515.png,2,1,4,1,3,1,6,2,2,52%,0,,4,559,488,87%
663733,505,Inter,https://media.api-sports.io/football/teams/505.png,5,4,11,2,7,4,17,4,2,48%,3,,4,458,398,87%
663733,496,Juventus,https://media.api-sports.io/football/teams/496.png,6,4,10,0,4,6,12,2,1,52%,6,,3,496,438,88%
672835,492,Napoli,https://media.api-sports.io/football/teams/492.png,2,3,10,5,3,7,9,4,0,50%,1,,4,495,385,78%
672835,499,Atalanta,https://media.api-sports.io/football/teams/499.png,4,9,17,4,10,7,12,10,1,50%,1,,2,476,394,83%
663734,496,Juventus,https://media.api-sports.io/football/teams/496.png,4,3,12,5,9,3,12,4,0,49%,1,,3,528,459,87%
663734,505,Inter,https://media.api-sports.io/football/teams/505.png,3,8,21,10,12,9,16,10,4,51%,3,,4,520,460,88%
672834,499,Atalanta,https://media.api-sports.io/football/teams/499.png,7,9,19,3,13,6,16,5,,40%,1,,3,426,348,82%
672834,492,Napoli,https://media.api-sports.io/football/teams/492.png,4,5,12,3,6,6,14,5,,60%,4,,4,646,559,87%
675487,499,Atalanta,https://media.api-sports.io/football/teams/499.png,4,5,11,2,8,3,15,3,1,57%,5,1,4,536,431,80%
675487,496,Juventus,https://media.api-sports.io/football/teams/496.png,6,3,14,5,9,5,17,1,0,43%,2,0,3,401,305,76%
