fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,shots_total,shots_on,goals_total,tackles_interceptions,fouls_committed,fouls_drawn,passes_key,goals_assists,penalty_won,offsides,tackles_blocks,penalty_commited
897489,Cagliari,490,31601,Boris Radunović,https://media.api-sports.io/football/players/31601.png,90.0,31,G,6.3,False,False,2,1.0,26.0,20,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
897489,Cagliari,490,56287,Alessandro Di Pardo,https://media.api-sports.io/football/players/56287.png,45.0,99,D,6.7,False,False,0,,31.0,26,0,0,0,0,,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
897489,Cagliari,490,31751,Giorgio Altare,https://media.api-sports.io/football/players/31751.png,90.0,15,D,7.5,False,False,0,,73.0,61,0,0,0,0,,1.0,14.0,10.0,,,,2.0,1.0,1.0,4.0,1.0,,,,,,,
897489,Cagliari,490,31073,Edoardo Goldaniga,https://media.api-sports.io/football/players/31073.png,90.0,3,D,6.6,False,False,0,,52.0,51,0,0,0,0,,,6.0,1.0,,,1.0,,,,2.0,,1.0,,,,,,
897489,Cagliari,490,321744,Adam Obert,https://media.api-sports.io/football/players/321744.png,74.0,33,D,6.6,False,False,0,,60.0,49,0,0,0,0,,1.0,4.0,1.0,1.0,,,,,,1.0,,,,,,,,
897489,Cagliari,490,30551,Nunzio Lella,https://media.api-sports.io/football/players/30551.png,73.0,23,M,6.6,False,False,0,,30.0,25,0,0,0,0,,2.0,12.0,7.0,,,,,,,,1.0,4.0,1.0,,,,,
897489,Cagliari,490,290046,Antoine Makoumbou,https://media.api-sports.io/football/players/290046.png,90.0,29,M,7.3,False,False,0,,68.0,63,0,0,0,0,,4.0,9.0,7.0,1.0,1.0,,,,,,1.0,2.0,,,,,,
897489,Cagliari,490,30629,Nicolas Viola,https://media.api-sports.io/football/players/30629.png,90.0,10,M,8.3,False,False,0,,44.0,35,0,0,0,0,,,10.0,4.0,3.0,1.0,,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,,,,
897489,Cagliari,490,237,Gastón Pereiro,https://media.api-sports.io/football/players/237.png,60.0,20,F,6.9,False,False,0,,29.0,22,0,0,0,0,,1.0,4.0,3.0,,,,,,,,,1.0,2.0,,,,,
897489,Cagliari,490,30573,Leonardo Pavoletti,https://media.api-sports.io/football/players/30573.png,85.0,30,F,7.2,True,False,0,,16.0,11,0,0,0,0,,1.0,12.0,8.0,,,,3.0,,,,1.0,1.0,2.0,,,,,
897489,Cagliari,490,140831,Zito Luvumbo,https://media.api-sports.io/football/players/140831.png,90.0,77,F,7.2,False,False,0,,17.0,8,0,0,0,0,,1.0,18.0,11.0,4.0,2.0,,3.0,,,,,8.0,,,1.0,,,
897489,Cagliari,490,30545,Simone Aresti,https://media.api-sports.io/football/players/30545.png,,18,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
897489,Cagliari,490,135863,Giuseppe Ciocci,https://media.api-sports.io/football/players/135863.png,,22,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
897489,Cagliari,490,200,Gabriele Zappa,https://media.api-sports.io/football/players/200.png,45.0,28,D,7.2,False,True,0,,47.0,37,0,0,0,0,,3.0,6.0,4.0,1.0,,,,,,2.0,,,1.0,,,1.0,,
897489,Cagliari,490,264474,Salvatore Boccia,https://media.api-sports.io/football/players/264474.png,,26,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
897489,Cagliari,490,342050,Luigi Palomba,https://media.api-sports.io/football/players/342050.png,,2,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
897489,Cagliari,490,342053,Christos Kourfalidis,https://media.api-sports.io/football/players/342053.png,12.0,39,M,6.6,False,True,0,,5.0,5,0,0,0,0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,
897489,Cagliari,490,179568,Lisandru Tramoni,https://media.api-sports.io/football/players/179568.png,,27,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
897489,Cagliari,490,30561,Alessandro Deiola,https://media.api-sports.io/football/players/30561.png,17.0,14,M,6.7,False,True,0,,6.0,5,0,0,0,0,,,3.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,
