fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
1099029,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,,,,,,,,3,,,2,0,,,,,
1099029,1584,Vicenza Virtus,https://media.api-sports.io/football/teams/1584.png,,,,,,,,4,,,3,0,,,,,
1099030,509,Cesena,https://media.api-sports.io/football/teams/509.png,,,,,,,,10,,,1,0,,,,,
1099030,527,Virtus Entella,https://media.api-sports.io/football/teams/527.png,,,,,,,,6,,,2,0,,,,,
1099021,514,Salernitana,https://media.api-sports.io/football/teams/514.png,3,4,8,1,4,4,12,3,1,60%,2,,0,625,554,89%,
1099021,516,Ternana,https://media.api-sports.io/football/teams/516.png,0,4,7,3,4,3,16,0,3,40%,2,,2,417,331,79%,
1099022,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,11,4,21,6,19,2,11,12,0,63%,6,0,0,701,607,87%,
1099022,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,2,6,9,1,6,3,18,3,2,37%,4,1,6,411,304,74%,
1099023,867,Lecce,https://media.api-sports.io/football/teams/867.png,10,10,25,5,12,13,17,7,2,52%,2,,3,437,363,83%,
1099023,895,Como,https://media.api-sports.io/football/teams/895.png,3,3,8,2,3,5,15,5,0,48%,2,,9,404,319,79%,
1108425,1579,Monza,https://media.api-sports.io/football/teams/1579.png,4,8,21,9,14,7,16,9,5,62%,1,,5,564,496,88%,
1108425,880,Reggiana,https://media.api-sports.io/football/teams/880.png,7,1,13,5,6,7,10,5,0,38%,1,,3,351,296,84%,
1099024,520,Cremonese,https://media.api-sports.io/football/teams/520.png,7,16,25,2,17,8,23,9,1,57%,2,,1,653,557,85%,
1099024,501,Crotone,https://media.api-sports.io/football/teams/501.png,2,4,7,1,4,3,20,3,6,43%,2,,4,506,397,78%,
1099025,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,5,13,26,8,11,15,15,6,,65%,1,,3,847,738,87%,
1099025,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,4,3,12,5,7,5,22,4,,35%,2,,4,436,344,79%,
1099026,515,Spezia,https://media.api-sports.io/football/teams/515.png,9,6,20,5,18,2,16,8,4,56%,1,,3,648,553,85%,
1099026,517,Venezia,https://media.api-sports.io/football/teams/517.png,5,10,20,5,12,8,15,9,3,44%,2,,7,504,396,79%,
1108426,503,Torino,https://media.api-sports.io/football/teams/503.png,14,8,28,6,15,13,11,10,3,67%,1,,0,679,620,91%,
1108426,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,1,2,5,2,3,2,6,0,2,33%,1,,13,340,281,83%,
1119495,520,Cremonese,https://media.api-sports.io/football/teams/520.png,11,16,31,4,26,5,16,6,1,66%,3,0,5,711,609,86%,
1119495,510,Cittadella,https://media.api-sports.io/football/teams/510.png,6,8,17,3,14,3,18,6,1,34%,4,1,7,378,262,69%,
1119496,514,Salernitana,https://media.api-sports.io/football/teams/514.png,7,8,18,3,14,4,10,4,1,62%,0,,1,576,518,90%,
1119496,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,1,5,6,0,3,3,11,7,2,38%,3,,3,343,267,78%,
1117765,500,Bologna,https://media.api-sports.io/football/teams/500.png,4,4,10,2,7,3,6,4,0,64%,0,0,4,620,549,89%,
1117765,504,Verona,https://media.api-sports.io/football/teams/504.png,4,5,12,3,9,3,22,6,1,36%,2,1,1,345,280,81%,
1117768,495,Genoa,https://media.api-sports.io/football/teams/495.png,8,5,18,5,9,9,16,3,5,50%,2,,2,627,521,83%,
1117768,880,Reggiana,https://media.api-sports.io/football/teams/880.png,3,8,11,0,10,1,17,4,2,50%,2,,5,640,531,83%,
1117766,867,Lecce,https://media.api-sports.io/football/teams/867.png,6,11,18,1,13,5,11,6,4,58%,2,,2,534,462,87%,
1117766,523,Parma,https://media.api-sports.io/football/teams/523.png,5,2,8,1,6,2,11,4,1,42%,3,,4,385,300,78%,
1117767,494,Udinese,https://media.api-sports.io/football/teams/494.png,1,5,8,2,6,2,11,2,3,40%,3,,8,501,403,80%,
1117767,490,Cagliari,https://media.api-sports.io/football/teams/490.png,10,9,26,7,13,13,13,15,2,60%,2,,0,745,651,87%,
1119494,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,8,13,37,16,22,15,19,17,2,60%,3,,4,694,594,86%,
1119494,515,Spezia,https://media.api-sports.io/football/teams/515.png,4,5,14,5,4,10,18,4,3,40%,4,,8,465,360,77%,
1119497,503,Torino,https://media.api-sports.io/football/teams/503.png,12,8,24,4,19,5,16,12,5,56%,0,,2,640,514,80%,
1119497,512,Frosinone,https://media.api-sports.io/football/teams/512.png,4,9,18,5,12,6,8,5,0,44%,2,,11,514,408,79%,
1140932,487,Lazio,https://media.api-sports.io/football/teams/487.png,5,6,11,0,8,3,5,5,1,55%,1,,2,642,566,88%,
1140932,495,Genoa,https://media.api-sports.io/football/teams/495.png,2,6,11,3,5,6,11,1,1,45%,2,,4,526,446,85%,
1140933,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,7,12,29,10,22,7,14,8,4,66%,3,,6,812,712,88%,
1140933,523,Parma,https://media.api-sports.io/football/teams/523.png,8,9,18,1,13,5,10,3,0,34%,2,,4,422,304,72%,
1141349,492,Napoli,https://media.api-sports.io/football/teams/492.png,2,6,9,1,5,4,12,4,1,63%,3,,4,597,520,87%,
1141349,512,Frosinone,https://media.api-sports.io/football/teams/512.png,8,2,13,3,9,4,16,6,3,37%,5,,2,356,294,83%,
1140934,505,Inter,https://media.api-sports.io/football/teams/505.png,6,9,21,6,13,8,14,12,1,56%,4,,0,719,613,85%,
1140934,500,Bologna,https://media.api-sports.io/football/teams/500.png,2,5,7,0,7,0,17,1,0,44%,3,,5,576,485,84%,
1140937,489,AC Milan,https://media.api-sports.io/football/teams/489.png,7,4,14,3,9,5,10,5,2,61%,0,,2,573,502,88%,
1140937,490,Cagliari,https://media.api-sports.io/football/teams/490.png,3,5,8,0,5,3,15,4,0,39%,3,,3,361,300,83%,
1141350,499,Atalanta,https://media.api-sports.io/football/teams/499.png,8,12,25,5,20,5,7,7,2,58%,0,,3,566,497,88%,
1141350,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,4,4,10,2,3,7,5,7,1,42%,1,,5,408,328,80%,
1140935,497,AS Roma,https://media.api-sports.io/football/teams/497.png,4,10,19,5,13,6,13,7,0,57%,3,,0,528,461,87%,
1140935,520,Cremonese,https://media.api-sports.io/football/teams/520.png,1,4,8,3,6,2,12,5,2,43%,5,,2,400,329,82%,
1140936,496,Juventus,https://media.api-sports.io/football/teams/496.png,12,8,22,2,14,8,6,8,,58%,0,,1,577,528,92%,
1140936,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,0,2,0,1,1,10,1,,42%,1,,7,434,369,85%,
1150524,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,5,4,14,5,10,4,13,10,3,38%,1,,5,453,335,74%,
1150524,500,Bologna,https://media.api-sports.io/football/teams/500.png,5,4,12,3,9,3,16,4,1,62%,2,,5,768,650,85%,
1155569,487,Lazio,https://media.api-sports.io/football/teams/487.png,5,1,9,3,7,2,9,3,0,43%,5,1,2,444,357,80%,
1155569,497,AS Roma,https://media.api-sports.io/football/teams/497.png,2,2,9,5,3,6,13,1,1,57%,2,2,4,577,480,83%,
1155570,489,AC Milan,https://media.api-sports.io/football/teams/489.png,5,2,10,3,6,4,7,7,,62%,2,1,3,596,505,85%,
1155570,499,Atalanta,https://media.api-sports.io/football/teams/499.png,5,4,11,2,8,3,13,3,,38%,1,0,4,371,296,80%,
1155571,496,Juventus,https://media.api-sports.io/football/teams/496.png,10,6,23,7,13,10,9,5,2,46%,3,,3,437,368,84%,
1155571,512,Frosinone,https://media.api-sports.io/football/teams/512.png,3,3,10,4,3,7,10,3,1,54%,0,,5,518,445,86%,
1159312,496,Juventus,https://media.api-sports.io/football/teams/496.png,3,3,9,3,6,3,12,6,2,42%,2,,0,392,321,82%,
1159312,487,Lazio,https://media.api-sports.io/football/teams/487.png,0,3,11,8,4,7,15,7,0,58%,0,,1,553,464,84%,
1159310,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,4,7,20,9,14,6,11,9,2,49%,2,,3,375,287,77%,
1159310,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,3,10,4,6,4,21,3,5,51%,3,,3,389,292,75%,
1159313,487,Lazio,https://media.api-sports.io/football/teams/487.png,5,0,9,4,5,4,10,2,1,57%,0,,1,653,563,86%,
1159313,496,Juventus,https://media.api-sports.io/football/teams/496.png,2,3,8,3,7,1,11,5,1,43%,1,,3,469,391,83%,
1159311,499,Atalanta,https://media.api-sports.io/football/teams/499.png,6,7,17,4,12,5,16,2,2,57%,2,0,3,473,362,77%,
1159311,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,4,2,9,3,5,4,10,3,1,43%,2,1,2,361,259,72%,
1197545,499,Atalanta,https://media.api-sports.io/football/teams/499.png,0,5,13,8,6,7,13,2,0,66%,3,,1,599,522,87%,
1197545,496,Juventus,https://media.api-sports.io/football/teams/496.png,2,4,9,3,6,3,9,2,3,34%,2,,1,315,236,75%,
