fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1232068,1581,Carrarese,https://media.api-sports.io/football/teams/1581.png,,,,,,,,,,,5,0,,,,,,
1232068,1580,Catania,https://media.api-sports.io/football/teams/1580.png,,,,,,,,,,,2,0,,,,,,
1232070,509,Cesena,https://media.api-sports.io/football/teams/509.png,,,,,,,,,,,2,0,,,,,,
1232070,870,Padova,https://media.api-sports.io/football/teams/870.png,,,,,,,,,,,0,0,,,,,,
1232067,528,Avellino,https://media.api-sports.io/football/teams/528.png,,,,,,,,,,,3,0,,,,,,
1232067,863,Juve Stabia,https://media.api-sports.io/football/teams/863.png,,,,,,,,,,,3,0,,,,,,
1232055,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,6,6,15,3,9,6,14,2,0,54%,,,1,482,404,84%,,
1232055,510,Cittadella,https://media.api-sports.io/football/teams/510.png,2,4,9,3,2,7,8,3,3,46%,,,4,409,339,83%,,
1279552,494,Udinese,https://media.api-sports.io/football/teams/494.png,7,5,14,2,11,3,12,4,0,60%,1,,1,546,492,90%,,
1279552,528,Avellino,https://media.api-sports.io/football/teams/528.png,1,1,2,0,1,1,11,6,2,40%,2,,3,344,282,82%,,
1232056,495,Genoa,https://media.api-sports.io/football/teams/495.png,12,9,30,9,18,12,14,7,1,54%,2,,5,446,377,85%,,
1232056,880,Reggiana,https://media.api-sports.io/football/teams/880.png,5,5,13,3,7,6,10,3,0,46%,3,,11,402,309,77%,,
1232057,1579,Monza,https://media.api-sports.io/football/teams/1579.png,5,5,16,6,11,5,13,8,2,57%,3,,0,565,514,91%,,
1232057,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,0,2,7,5,3,4,7,5,0,43%,1,,5,438,374,85%,,
1232058,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,8,13,2,6,7,16,3,1,63%,2,,3,495,420,85%,,
1232058,508,Bari,https://media.api-sports.io/football/teams/508.png,4,3,10,3,2,8,13,4,2,37%,1,,2,292,220,75%,,
1279553,504,Verona,https://media.api-sports.io/football/teams/504.png,6,3,19,10,11,8,14,3,2,56%,5,,2,478,403,84%,,
1279553,509,Cesena,https://media.api-sports.io/football/teams/509.png,3,6,13,4,11,2,7,7,2,44%,1,,5,372,289,78%,,
1232059,511,Empoli,https://media.api-sports.io/football/teams/511.png,8,11,21,2,16,5,9,8,0,57%,0,,2,474,415,88%,,
1232059,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,3,1,7,3,2,5,10,2,1,43%,2,,4,362,303,84%,,
1232060,492,Napoli,https://media.api-sports.io/football/teams/492.png,6,11,28,11,12,16,10,6,1,74%,1,,2,689,628,91%,,
1232060,899,Modena,https://media.api-sports.io/football/teams/899.png,2,1,4,1,0,4,6,1,1,26%,0,,6,241,167,69%,,
1232061,518,Brescia,https://media.api-sports.io/football/teams/518.png,5,3,9,1,8,1,13,1,1,36%,0,,8,300,242,81%,,
1232061,517,Venezia,https://media.api-sports.io/football/teams/517.png,7,8,17,2,11,6,12,9,0,64%,1,,2,507,437,86%,,
1232062,523,Parma,https://media.api-sports.io/football/teams/523.png,4,8,17,5,10,7,7,10,1,47%,1,,3,361,289,80%,,
1232062,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,5,13,4,7,6,12,5,1,53%,3,,4,428,363,85%,,
1232063,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,3,4,10,3,6,4,4,3,2,43%,0,0,4,376,304,81%,,
1232063,895,Como,https://media.api-sports.io/football/teams/895.png,5,5,10,0,4,6,13,4,0,57%,4,1,2,498,423,85%,,
1232064,503,Torino,https://media.api-sports.io/football/teams/503.png,1,5,8,2,8,0,6,6,1,60%,1,,4,537,474,88%,,
1232064,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,4,5,14,5,4,10,12,5,1,40%,4,,0,359,302,84%,,
1232065,512,Frosinone,https://media.api-sports.io/football/teams/512.png,2,2,5,1,1,4,10,7,0,60%,1,,1,484,406,84%,,
1232065,801,Pisa,https://media.api-sports.io/football/teams/801.png,4,9,16,3,11,5,19,5,2,40%,1,,2,320,250,78%,,
1279554,867,Lecce,https://media.api-sports.io/football/teams/867.png,9,9,23,5,14,9,20,8,4,36%,0,,0,336,289,86%,,
1279554,1693,Mantova,https://media.api-sports.io/football/teams/1693.png,1,2,3,0,3,0,9,3,1,64%,3,,7,605,532,88%,,
1232066,514,Salernitana,https://media.api-sports.io/football/teams/514.png,5,4,11,2,8,3,13,7,1,59%,1,,3,496,440,89%,,
1232066,515,Spezia,https://media.api-sports.io/football/teams/515.png,7,2,15,6,11,4,17,7,1,41%,2,,2,333,282,85%,,
1279555,490,Cagliari,https://media.api-sports.io/football/teams/490.png,8,10,20,2,15,5,15,7,3,53%,1,,0,453,375,83%,,
1279555,1581,Carrarese,https://media.api-sports.io/football/teams/1581.png,1,4,6,1,4,2,11,4,1,47%,2,,5,419,321,77%,,
1286331,867,Lecce,https://media.api-sports.io/football/teams/867.png,7,6,14,1,4,10,10,8,0,65%,0,,2,571,497,87%,,
1286331,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,5,6,12,1,8,4,14,4,2,35%,4,,7,314,242,77%,,
1286329,490,Cagliari,https://media.api-sports.io/football/teams/490.png,4,8,13,1,8,5,16,11,4,49%,3,,5,440,373,85%,,
1286329,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,5,12,2,5,7,11,2,5,51%,1,,3,476,422,89%,,
