fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited
21665,AS Roma,497,851,Wojciech Szczęsny,https://media.api-sports.io/football/players/851.png,90,1,G,7.3,False,False,0,0,0.0,1.0,34,0,91%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21665,AS Roma,497,9948,Bruno Peres,https://media.api-sports.io/football/players/9948.png,90,13,D,6.8,False,False,4,1,,,49,1,87%,2,14,5,2,2,1,4,0,0,0,0,,4.0,,,,
21665,AS Roma,497,772,Kōnstantinos Manōlas,https://media.api-sports.io/football/players/772.png,80,44,D,7.5,False,False,1,0,,,48,1,94%,1,6,4,1,0,2,0,0,0,0,0,,,,,,
21665,AS Roma,497,140,Thomas Vermaelen,https://media.api-sports.io/football/players/140.png,90,15,D,7.4,False,False,0,0,,,65,0,95%,1,9,4,1,1,0,1,0,0,0,0,,,,,,
21665,AS Roma,497,2284,Emerson Palmieri,https://media.api-sports.io/football/players/2284.png,76,33,D,7.1,False,False,0,0,,,42,2,93%,3,3,2,0,0,1,0,0,0,0,0,,,,,,
21665,AS Roma,497,271,Leandro Paredes,https://media.api-sports.io/football/players/271.png,89,5,M,7.8,False,False,1,0,,,53,3,93%,2,6,4,0,0,2,0,0,0,0,0,,1.0,,,,
21665,AS Roma,497,205,Radja Nainggolan,https://media.api-sports.io/football/players/205.png,90,4,M,6.8,False,False,4,0,,,40,1,85%,0,6,1,0,0,1,1,0,0,0,0,,1.0,1.0,,,
21665,AS Roma,497,1916,Kevin Strootman,https://media.api-sports.io/football/players/1916.png,90,6,M,6.5,False,False,1,0,,,70,2,98%,1,14,6,3,2,1,0,0,0,0,0,,4.0,,,,
21665,AS Roma,497,306,Mohamed Salah,https://media.api-sports.io/football/players/306.png,90,11,F,8.8,False,False,5,2,,,26,4,66%,1,10,7,4,2,3,1,0,0,0,0,,,,1.0,1.0,
21665,AS Roma,497,790,Edin Džeko,https://media.api-sports.io/football/players/790.png,90,9,F,7.8,False,False,5,3,,,18,3,85%,0,10,8,0,0,3,1,0,0,0,0,,,,1.0,1.0,
21665,AS Roma,497,791,Stephan El Shaarawy,https://media.api-sports.io/football/players/791.png,57,92,F,6.9,False,False,2,1,,,29,0,78%,0,5,4,1,1,0,0,0,0,0,0,,1.0,,,,
21665,AS Roma,497,774,Juan Jesus,https://media.api-sports.io/football/players/774.png,14,3,D,6.7,False,True,0,0,,,15,0,100%,1,0,0,0,0,0,0,0,0,0,0,,,,,,
21665,AS Roma,497,768,Federico Fazio,https://media.api-sports.io/football/players/768.png,10,20,D,6.9,False,True,0,0,,,16,0,94%,1,1,1,0,0,0,0,0,0,0,0,,,,,,
21665,AS Roma,497,793,Diego Perotti,https://media.api-sports.io/football/players/793.png,33,8,F,8.1,False,True,2,2,,,14,2,82%,1,0,0,0,0,0,0,0,0,2,0,,,,2.0,,
21665,Udinese,494,311,Orestis Karnezis,https://media.api-sports.io/football/players/311.png,90,1,G,6.5,False,False,0,0,4.0,5.0,13,0,48%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21665,Udinese,494,50140,Thomas Heurtaux,https://media.api-sports.io/football/players/50140.png,52,75,D,6.9,False,False,0,0,,,9,0,64%,2,1,0,0,0,0,0,0,0,0,0,,,,,,
21665,Udinese,494,30472,Danilo,https://media.api-sports.io/football/players/30472.png,90,5,D,5.8,False,False,0,0,,,13,0,100%,1,3,1,0,0,0,1,1,0,0,0,,,,,,1.0
21665,Udinese,494,30795,Samir,https://media.api-sports.io/football/players/30795.png,90,3,D,6.6,False,False,0,0,,,8,1,66%,3,9,4,0,0,3,2,1,0,0,0,,1.0,,,,
21665,Udinese,494,48378,Silvan Widmer,https://media.api-sports.io/football/players/48378.png,90,27,M,6.4,False,False,0,0,,,15,1,83%,0,11,6,1,1,1,0,0,0,0,0,,,,,,
21665,Udinese,494,30802,Emmanuel Badu,https://media.api-sports.io/football/players/30802.png,90,8,M,5.8,False,False,0,0,,,19,1,90%,4,10,3,1,1,1,2,0,0,0,0,,1.0,,,,1.0
21665,Udinese,494,30808,Emil Hallfreðsson,https://media.api-sports.io/football/players/30808.png,90,23,M,6.3,False,False,1,0,,,16,3,84%,0,10,4,3,3,0,3,0,0,0,0,,2.0,,,,
21665,Udinese,494,30807,Seko Fofana,https://media.api-sports.io/football/players/30807.png,79,6,M,6.8,False,False,0,0,,,11,0,68%,1,6,4,2,2,0,2,0,0,0,0,,,,,,
21665,Udinese,494,51277,Ali Adnan,https://media.api-sports.io/football/players/51277.png,90,53,M,6.2,False,False,1,0,,,7,1,63%,1,9,3,2,0,1,2,0,0,0,0,,1.0,,,,
21665,Udinese,494,2472,Rodrigo De Paul,https://media.api-sports.io/football/players/2472.png,68,10,M,7.2,False,False,2,0,,,10,1,66%,2,5,3,2,2,0,0,0,0,0,0,,1.0,,,,
21665,Udinese,494,2495,Duván Zapata,https://media.api-sports.io/football/players/2495.png,90,9,F,6.9,False,False,3,1,,,15,2,78%,0,16,9,4,2,1,2,0,0,0,0,,,,,,
21665,Udinese,494,8552,Gabriele Angella,https://media.api-sports.io/football/players/8552.png,38,4,D,6.2,False,False,1,0,,,5,0,62%,2,1,1,0,0,0,0,0,0,0,0,,,,,,
21665,Udinese,494,30901,Francesco Lodi,https://media.api-sports.io/football/players/30901.png,11,20,M,6.2,False,False,0,0,,,3,0,75%,0,1,0,0,0,0,0,0,0,0,0,,1.0,,,,
21665,Udinese,494,18811,Adalberto Peñaranda,https://media.api-sports.io/football/players/18811.png,22,11,F,6.3,False,False,3,0,,,7,0,100%,0,2,0,1,0,0,0,0,0,0,0,,1.0,,,,
21664,Juventus,496,254,Gianluigi Buffon,https://media.api-sports.io/football/players/254.png,90,1,G,6.4,False,False,0,0,1.0,0.0,21,0,80%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21664,Juventus,496,852,Andrea Barzagli,https://media.api-sports.io/football/players/852.png,90,15,D,7.0,False,False,0,0,,,73,0,92%,1,6,4,0,0,2,1,1,0,0,0,,,,,,
21664,Juventus,496,853,Leonardo Bonucci,https://media.api-sports.io/football/players/853.png,90,19,D,6.8,False,False,0,0,,,55,0,90%,2,4,2,0,0,1,1,0,0,0,0,,1.0,,,,
21664,Juventus,496,856,Giorgio Chiellini,https://media.api-sports.io/football/players/856.png,90,3,D,7.3,False,False,0,0,,,74,2,90%,0,5,2,0,0,1,2,0,0,0,0,,,1.0,,,
21664,Juventus,496,256,Dani Alves,https://media.api-sports.io/football/players/256.png,90,23,D,6.9,False,False,1,0,,,52,2,77%,2,12,5,2,0,0,2,0,0,0,0,,2.0,,,,
21664,Juventus,496,868,Sami Khedira,https://media.api-sports.io/football/players/868.png,88,6,M,7.6,False,False,3,1,,,30,1,85%,1,10,6,1,0,2,0,0,0,0,0,,1.0,,1.0,,
21664,Juventus,496,18947,Mario Lemina,https://media.api-sports.io/football/players/18947.png,90,18,M,7.5,False,False,4,2,,,34,0,91%,2,9,6,2,2,2,1,0,0,0,0,,2.0,,,,
21664,Juventus,496,191,Kwadwo Asamoah,https://media.api-sports.io/football/players/191.png,90,22,D,7.2,False,False,2,0,,,39,2,90%,0,15,11,2,2,6,2,0,0,0,0,,,,,,
