rank,team_id,team_name,team_logo,points,goals_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
1,496,Juventus,https://media.api-sports.io/football/teams/496.png,91,50,Serie A,WWLDD,,UEFA Champions League,38,29,4,5,77,27,19,18,1,0,48,9,19,11,3,5,29,18
2,497,AS Roma,https://media.api-sports.io/football/teams/497.png,87,52,Serie A,WWWWL,,UEFA Champions League,38,28,3,7,90,38,19,16,1,2,50,18,19,12,2,5,40,20
3,492,Napoli,https://media.api-sports.io/football/teams/492.png,86,55,Serie A,WWWWW,,UEFA Champions League Qualifiers,38,26,8,4,94,39,19,13,4,2,44,19,19,13,4,2,50,20
4,499,Atalanta,https://media.api-sports.io/football/teams/499.png,72,21,Serie A,WWDDD,,UEFA Europa League,38,21,9,8,62,41,19,12,4,3,31,18,19,9,5,5,31,23
5,487,Lazio,https://media.api-sports.io/football/teams/487.png,70,23,Serie A,LLLWW,,UEFA Europa League,38,21,7,10,74,51,19,12,2,5,40,23,19,9,5,5,34,28
6,489,AC Milan,https://media.api-sports.io/football/teams/489.png,63,12,Serie A,LWDLD,,,38,18,9,11,57,45,19,12,2,5,32,20,19,6,7,6,25,25
7,505,Inter,https://media.api-sports.io/football/teams/505.png,62,23,Serie A,WWLLL,,,38,19,5,14,72,49,19,11,3,5,44,22,19,8,2,9,28,27
8,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,60,6,Serie A,DLWDL,,,38,16,12,10,63,57,19,10,8,1,34,23,19,6,4,9,29,34
9,503,Torino,https://media.api-sports.io/football/teams/503.png,53,5,Serie A,WLLDD,,,38,13,14,11,71,66,19,9,8,2,43,31,19,4,6,9,28,35
10,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,49,-1,Serie A,LWWDW,,,38,14,7,17,60,61,19,8,3,8,29,26,19,6,4,9,31,35
11,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,48,-6,Serie A,LDDLD,,,38,12,12,14,49,55,19,8,6,5,28,23,19,4,6,9,21,32
12,490,Cagliari,https://media.api-sports.io/football/teams/490.png,47,-21,Serie A,WLWLW,,,38,14,5,19,55,76,19,11,3,5,38,34,19,3,2,14,17,42
13,494,Udinese,https://media.api-sports.io/football/teams/494.png,45,-9,Serie A,LDLDL,,,38,12,9,17,47,56,19,8,5,6,30,23,19,4,4,11,17,33
14,491,Chievo,https://media.api-sports.io/football/teams/491.png,43,-18,Serie A,LLDDW,,,38,12,7,19,43,61,19,6,5,8,25,30,19,6,2,11,18,31
15,500,Bologna,https://media.api-sports.io/football/teams/500.png,41,-18,Serie A,LLWLW,,,38,11,8,19,40,58,19,8,2,9,24,25,19,3,6,10,16,33
16,495,Genoa,https://media.api-sports.io/football/teams/495.png,36,-26,Serie A,LWLWL,,,38,9,9,20,38,64,19,6,7,6,24,24,19,3,2,14,14,40
17,501,Crotone,https://media.api-sports.io/football/teams/501.png,34,-24,Serie A,WLWWD,,,38,9,7,22,34,58,19,6,4,9,21,25,19,3,3,13,13,33
18,511,Empoli,https://media.api-sports.io/football/teams/511.png,32,-32,Serie A,LLLWL,,Relegation,38,8,8,22,29,61,19,5,4,10,16,29,19,3,4,12,13,32
19,522,Palermo,https://media.api-sports.io/football/teams/522.png,26,-44,Serie A,WLWDW,,Relegation,38,6,8,24,33,77,19,4,3,12,13,30,19,2,5,12,20,47
20,525,Pescara,https://media.api-sports.io/football/teams/525.png,15,-48,Serie A,DWLLL,,Relegation,38,2,9,27,35,83,19,2,5,12,19,38,19,0,4,15,16,45
