fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
21665,497,AS Roma,https://media.api-sports.io/football/teams/497.png,9,11,25,5,16,9,8,10,2,72%,0,0,1,578,519,90%
21665,494,Udinese,https://media.api-sports.io/football/teams/494.png,1,5,11,5,7,4,14,5,1,28%,2,0,5,204,151,74%
21664,496,Juventus,https://media.api-sports.io/football/teams/496.png,4,9,19,6,10,9,11,2,0,53%,1,0,0,560,495,88%
21664,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,1,2,4,1,3,1,16,1,2,47%,3,0,2,499,422,85%
21663,489,AC Milan,https://media.api-sports.io/football/teams/489.png,5,2,11,4,7,4,13,10,3,51%,2,1,2,348,276,79%
21663,503,Torino,https://media.api-sports.io/football/teams/503.png,4,10,21,7,9,12,20,10,3,49%,3,0,2,318,260,82%
21658,491,Chievo,https://media.api-sports.io/football/teams/491.png,4,5,12,3,3,9,15,4,1,34%,2,0,3,310,230,74%
21658,505,Inter,https://media.api-sports.io/football/teams/505.png,3,8,13,2,8,5,13,8,0,66%,4,0,2,589,508,86%
21660,495,Genoa,https://media.api-sports.io/football/teams/495.png,6,11,22,5,13,9,13,6,1,71%,4,0,2,554,491,89%
21660,490,Cagliari,https://media.api-sports.io/football/teams/490.png,3,1,4,0,3,1,10,1,2,29%,3,0,3,232,154,66%
21656,499,Atalanta,https://media.api-sports.io/football/teams/499.png,5,6,18,7,7,11,5,7,1,69%,2,0,2,605,525,87%
21656,487,Lazio,https://media.api-sports.io/football/teams/487.png,6,3,11,2,10,1,16,2,2,31%,2,0,3,266,184,69%
21657,500,Bologna,https://media.api-sports.io/football/teams/500.png,6,10,20,4,11,9,7,5,5,47%,1,0,0,437,354,81%
21657,501,Crotone,https://media.api-sports.io/football/teams/501.png,0,3,5,2,4,1,17,3,2,53%,1,0,5,489,394,81%
21659,511,Empoli,https://media.api-sports.io/football/teams/511.png,3,5,8,0,5,3,17,2,6,52%,2,1,4,489,380,78%
21659,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,5,6,16,5,8,8,32,5,0,48%,4,0,3,434,326,75%
21661,522,Palermo,https://media.api-sports.io/football/teams/522.png,2,3,7,2,3,4,19,4,1,40%,3,1,7,381,290,76%
21661,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,8,5,22,9,13,9,15,8,1,60%,2,0,2,572,479,84%
21662,525,Pescara,https://media.api-sports.io/football/teams/525.png,3,3,9,3,4,5,10,3,1,42%,3,0,2,470,391,83%
21662,492,Napoli,https://media.api-sports.io/football/teams/492.png,4,10,22,8,10,12,12,9,1,58%,2,0,1,619,555,90%
21655,487,Lazio,https://media.api-sports.io/football/teams/487.png,1,1,6,4,1,5,16,4,0,52%,1,0,4,551,440,80%
21655,496,Juventus,https://media.api-sports.io/football/teams/496.png,5,5,13,3,9,4,5,2,2,48%,2,0,1,485,408,84%
21654,492,Napoli,https://media.api-sports.io/football/teams/492.png,8,4,17,5,10,7,13,9,1,58%,5,0,1,567,486,86%
21654,489,AC Milan,https://media.api-sports.io/football/teams/489.png,3,6,12,3,6,6,15,4,5,42%,6,2,4,406,325,80%
21653,505,Inter,https://media.api-sports.io/football/teams/505.png,5,13,22,4,15,7,16,8,2,68%,1,0,2,542,459,85%
21653,522,Palermo,https://media.api-sports.io/football/teams/522.png,3,3,7,1,2,5,24,4,0,32%,5,0,3,260,179,69%
21650,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,5,13,5,4,9,13,2,2,40%,2,0,5,394,304,77%
21650,525,Pescara,https://media.api-sports.io/football/teams/525.png,5,7,15,3,9,6,21,7,3,60%,2,0,1,574,487,85%
21646,490,Cagliari,https://media.api-sports.io/football/teams/490.png,5,7,18,6,11,7,21,4,4,48%,3,0,5,452,379,84%
21646,497,AS Roma,https://media.api-sports.io/football/teams/497.png,7,10,21,4,14,7,9,3,1,52%,1,0,3,495,399,81%
21652,494,Udinese,https://media.api-sports.io/football/teams/494.png,3,6,11,2,7,4,15,4,3,38%,3,0,4,309,222,72%
21652,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,3,13,6,6,7,19,5,1,62%,3,1,1,502,416,83%
21649,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,4,4,8,0,3,5,13,3,4,57%,1,0,0,557,482,87%
21649,499,Atalanta,https://media.api-sports.io/football/teams/499.png,1,5,7,1,4,3,16,1,4,43%,6,1,2,404,341,84%
21647,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,8,11,0,3,8,16,1,2,45%,2,0,5,383,265,69%
21647,495,Genoa,https://media.api-sports.io/football/teams/495.png,8,9,18,1,12,6,17,6,0,55%,2,0,2,452,351,78%
21648,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,3,6,13,4,7,6,8,4,0,59%,0,0,2,577,491,85%
21648,491,Chievo,https://media.api-sports.io/football/teams/491.png,2,5,9,2,5,4,16,4,4,41%,2,0,2,387,303,78%
21651,503,Torino,https://media.api-sports.io/football/teams/503.png,11,4,20,5,13,7,14,6,4,48%,1,0,1,395,323,82%
21651,500,Bologna,https://media.api-sports.io/football/teams/500.png,2,6,10,2,4,6,12,3,3,52%,2,0,6,423,357,84%
21645,496,Juventus,https://media.api-sports.io/football/teams/496.png,10,7,23,6,20,3,10,14,3,69%,1,0,2,640,556,87%
21645,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,4,9,2,7,2,12,5,1,31%,2,0,7,293,194,66%
21644,522,Palermo,https://media.api-sports.io/football/teams/522.png,1,1,5,3,3,2,14,2,4,39%,,0,4,486,417,86%
21644,492,Napoli,https://media.api-sports.io/football/teams/492.png,7,6,17,4,10,7,7,4,2,61%,,0,1,757,693,92%
21643,500,Bologna,https://media.api-sports.io/football/teams/500.png,10,2,17,5,5,12,13,9,2,45%,1,0,4,378,309,82%
