fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,dribbles_past,penalty_commited,goals_total,penalty_won,tackles_blocks,tackles_total
9045,Juventus,496,254,Gianluigi Buffon,https://media.api-sports.io/football/players/254.png,90,1,G,7.6,True,False,0,0,0.0,2.0,24,0,88%,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,
9045,Juventus,496,1444,Stephan Lichtsteiner,https://media.api-sports.io/football/players/1444.png,90,26,D,7.7,False,False,0,0,,,69,2,90%,2,7,4,1,1,2,2,1,0,0,0,,1.0,,,,,,
9045,Juventus,496,861,Daniele Rugani,https://media.api-sports.io/football/players/861.png,90,24,D,7.2,False,False,0,0,,,67,0,88%,2,5,4,0,0,0,0,0,0,0,0,,,1.0,,,,,
9045,Juventus,496,856,Giorgio Chiellini,https://media.api-sports.io/football/players/856.png,90,3,D,7.3,False,False,0,0,,,63,0,87%,2,7,3,0,0,1,4,0,0,0,0,,,,,,,,
9045,Juventus,496,860,Alex Sandro,https://media.api-sports.io/football/players/860.png,90,12,D,7.5,False,False,0,0,,,67,2,87%,2,15,9,6,6,1,4,0,0,0,0,,1.0,,1.0,,,,
9045,Juventus,496,1214,Claudio Marchisio,https://media.api-sports.io/football/players/1214.png,62,8,M,6.5,False,False,1,0,,,45,0,86%,0,4,0,0,0,0,0,0,0,0,0,,,3.0,,,,,
9045,Juventus,496,872,Miralem Pjanić,https://media.api-sports.io/football/players/872.png,90,5,M,7.9,False,False,1,0,,,82,1,94%,4,5,1,0,0,0,1,0,0,0,0,,1.0,1.0,,,,,
9045,Juventus,496,866,Juan Cuadrado,https://media.api-sports.io/football/players/866.png,74,7,M,6.9,False,False,0,0,,,46,4,90%,0,12,5,1,1,3,0,0,0,0,0,,,2.0,,,,,
9045,Juventus,496,875,Paulo Dybala,https://media.api-sports.io/football/players/875.png,90,10,F,7.4,False,False,7,3,,,45,0,86%,0,16,6,6,4,2,0,0,0,0,0,,,2.0,,1.0,,,
9045,Juventus,496,878,Mario Mandžukić,https://media.api-sports.io/football/players/878.png,90,17,F,7.5,False,False,4,2,,,35,0,83%,3,8,3,0,0,1,1,0,0,0,0,,,,,1.0,,,
9045,Juventus,496,2297,Gonzalo Higuaín,https://media.api-sports.io/football/players/2297.png,71,9,F,7.4,False,False,4,2,,,11,0,78%,0,6,3,2,2,0,1,0,0,0,0,,,,,1.0,,,
9045,Juventus,496,869,Blaise Matuidi,https://media.api-sports.io/football/players/869.png,19,14,M,6.9,False,True,0,0,,,19,2,95%,1,2,1,0,0,0,0,0,0,0,0,,,1.0,,,,,
9045,Juventus,496,868,Sami Khedira,https://media.api-sports.io/football/players/868.png,28,6,M,6.7,False,True,0,0,,,18,0,90%,0,1,1,1,1,0,0,0,0,0,0,,,,,,,,
9045,Juventus,496,865,Douglas Costa,https://media.api-sports.io/football/players/865.png,16,11,M,7.1,False,True,0,0,,,18,2,94%,0,3,2,2,1,0,0,0,0,0,0,,,,,,,,
9045,Cagliari,490,30546,Alessio Cragno,https://media.api-sports.io/football/players/30546.png,90,28,G,6.4,False,False,0,0,3.0,4.0,8,0,53%,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,
9045,Cagliari,490,30569,Simone Padoin,https://media.api-sports.io/football/players/30569.png,63,20,M,6.3,False,False,0,0,,,21,0,77%,1,2,1,0,0,0,1,0,0,0,0,,,,,,,,
