fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,penalty_won,penalty_commited
28993,Chievo,491,30734,Stefano Sorrentino,https://media.api-sports.io/football/players/30734.png,89,70,G,7.4,False,False,0,0,3.0,8.0,14,0,51%,0,0,1,1,0,0,1,0,0,0,0,0,0.0,,,,,,
28993,Chievo,491,30745,Nenad Tomović,https://media.api-sports.io/football/players/30745.png,90,40,D,6.3,False,False,0,0,,,12,0,57%,0,2,7,3,0,0,0,1,1,0,0,0,,,,,,,
28993,Chievo,491,30742,Luca Rossettini,https://media.api-sports.io/football/players/30742.png,90,15,D,6.7,False,False,0,0,,,12,0,100%,1,1,6,4,0,0,0,0,0,0,0,0,,2.0,,,,,
28993,Chievo,491,30736,Mattia Bani,https://media.api-sports.io/football/players/30736.png,90,14,D,6.6,False,False,0,0,,,17,0,70%,0,2,12,10,0,0,1,0,0,0,0,0,,4.0,,,,,
28993,Chievo,491,30548,Fabrizio Cacciatore,https://media.api-sports.io/football/players/30548.png,90,29,D,6.4,False,False,1,0,,,26,2,89%,1,0,5,3,1,1,0,0,0,0,0,0,,1.0,2.0,,,,
28993,Chievo,491,30754,Nicola Rigoni,https://media.api-sports.io/football/players/30754.png,90,4,M,6.8,False,False,0,0,,,24,0,82%,1,2,4,2,0,0,0,0,0,0,0,0,,1.0,,,,,
28993,Chievo,491,30782,Ivan Radovanović,https://media.api-sports.io/football/players/30782.png,90,8,M,6.6,True,False,3,0,,,27,0,73%,0,1,3,1,1,1,0,1,1,0,0,0,,,1.0,,,,
28993,Chievo,491,30750,Përparim Hetemaj,https://media.api-sports.io/football/players/30750.png,78,56,M,6.2,False,False,0,0,,,17,0,89%,0,1,10,2,0,0,2,2,0,0,0,0,,,2.0,,,,
28993,Chievo,491,30747,Fabio Depaoli,https://media.api-sports.io/football/players/30747.png,90,27,D,7.2,False,False,0,0,,,10,1,71%,0,2,13,9,1,0,0,0,0,0,0,0,,4.0,1.0,,,,
28993,Chievo,491,30761,Mariusz Stępiński,https://media.api-sports.io/football/players/30761.png,66,9,F,6.9,False,False,1,1,,,9,0,81%,0,0,12,3,0,0,1,2,0,0,0,0,,1.0,2.0,1.0,,,
28993,Chievo,491,30749,Emanuele Giaccherini,https://media.api-sports.io/football/players/30749.png,90,17,M,8.3,False,False,1,1,,,16,1,80%,0,0,12,6,3,2,4,0,0,0,1,0,,,2.0,1.0,1.0,1.0,
28993,Chievo,491,30732,Andrea Seculin,https://media.api-sports.io/football/players/30732.png,1,16,G,–,False,True,0,0,3.0,0.0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
28993,Chievo,491,49938,Joel Obi,https://media.api-sports.io/football/players/49938.png,12,22,M,6.8,False,True,0,0,,,7,1,100%,0,0,2,2,1,1,0,0,0,0,0,0,,,,,,,
28993,Chievo,491,30762,Filip Đorđević,https://media.api-sports.io/football/players/30762.png,24,20,F,6.3,False,True,0,0,,,8,0,80%,1,0,9,2,2,0,0,2,0,0,0,0,,,1.0,,,,
28993,Juventus,496,851,Wojciech Szczęsny,https://media.api-sports.io/football/players/851.png,90,1,G,5.9,False,False,0,0,2.0,0.0,26,0,89%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
28993,Juventus,496,855,João Cancelo,https://media.api-sports.io/football/players/855.png,90,20,D,6.1,False,False,3,0,,,53,4,96%,0,0,12,7,6,4,0,2,0,0,0,0,,,1.0,,,,1.0
28993,Juventus,496,853,Leonardo Bonucci,https://media.api-sports.io/football/players/853.png,90,19,D,7.0,False,False,0,0,,,89,1,90%,0,2,6,4,0,0,1,0,0,0,0,0,,,,,,,
28993,Juventus,496,856,Giorgio Chiellini,https://media.api-sports.io/football/players/856.png,90,3,D,7.1,True,False,0,0,,,86,1,89%,0,1,7,6,0,0,1,0,0,0,0,0,,,,,1.0,,
28993,Juventus,496,860,Alex Sandro,https://media.api-sports.io/football/players/860.png,90,12,D,7.3,False,False,0,0,,,57,3,87%,0,1,12,6,5,3,0,1,0,0,0,0,,,,,1.0,,
28993,Juventus,496,868,Sami Khedira,https://media.api-sports.io/football/players/868.png,84,6,M,7.3,False,False,2,1,,,52,0,89%,0,1,2,1,0,0,0,1,0,0,0,0,,1.0,,1.0,,,
28993,Juventus,496,872,Miralem Pjanić,https://media.api-sports.io/football/players/872.png,90,5,M,7.0,False,False,0,0,,,94,3,90%,0,2,6,2,0,0,0,2,0,0,0,0,,,2.0,,,,
28993,Juventus,496,866,Juan Cuadrado,https://media.api-sports.io/football/players/866.png,56,16,M,6.8,False,False,1,0,,,46,2,95%,0,0,3,2,0,0,1,0,0,0,0,0,,,1.0,,,,
28993,Juventus,496,875,Paulo Dybala,https://media.api-sports.io/football/players/875.png,90,10,F,7.4,False,False,3,2,,,38,3,88%,0,0,11,4,4,3,0,1,0,0,0,0,,1.0,,,,,
28993,Juventus,496,865,Douglas Costa,https://media.api-sports.io/football/players/865.png,64,11,M,6.5,False,False,2,0,,,30,2,93%,0,0,5,1,0,0,0,0,0,0,0,0,,1.0,,,,,
28993,Juventus,496,874,Cristiano Ronaldo,https://media.api-sports.io/football/players/874.png,90,7,F,7.2,False,False,9,4,,,27,2,90%,0,0,16,5,4,0,2,1,0,0,0,0,,,,,,,
28993,Juventus,496,864,Emre Can,https://media.api-sports.io/football/players/864.png,6,23,M,6.8,False,False,1,1,,,7,0,100%,0,0,2,2,0,0,0,0,0,0,0,0,,,,,,,
28993,Juventus,496,873,Federico Bernardeschi,https://media.api-sports.io/football/players/873.png,34,33,M,7.7,False,False,4,2,,,9,0,100%,0,0,8,4,1,1,1,1,0,0,0,0,,1.0,,1.0,,,
28993,Juventus,496,878,Mario Mandžukić,https://media.api-sports.io/football/players/878.png,26,17,F,6.4,False,False,2,0,,,3,0,60%,0,1,6,4,0,0,1,0,0,0,0,0,,,1.0,,,,
28995,Lazio,487,1835,Thomas Strakosha,https://media.api-sports.io/football/players/1835.png,90,1,G,6.2,False,False,0,0,2.0,1.0,23,0,65%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
