fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
28993,491,Chievo,https://media.api-sports.io/football/teams/491.png,2,4,6.0,0,2.0,4.0,8,0,1,27%,2,0.0,8,261.0,199.0,76%,,,,,,,,,
28993,496,Juventus,https://media.api-sports.io/football/teams/496.png,10,13,27.0,4,17.0,10.0,9,8,3,73%,0,0.0,0,679.0,617.0,91%,,,,,,,,,
28995,487,Lazio,https://media.api-sports.io/football/teams/487.png,1,6,10.0,3,6.0,4.0,8,4,4,35%,,0.0,1,403.0,321.0,80%,,,,,,,,,
28995,492,Napoli,https://media.api-sports.io/football/teams/492.png,3,5,10.0,2,6.0,4.0,5,7,2,65%,,0.0,0,741.0,637.0,86%,,,,,,,,,
28999,503,Torino,https://media.api-sports.io/football/teams/503.png,4,6,10.0,0,6.0,4.0,10,6,2,42%,1,0.0,4,324.0,237.0,73%,,,,,,,,,
28999,497,AS Roma,https://media.api-sports.io/football/teams/497.png,6,6,17.0,5,12.0,5.0,14,5,1,58%,3,0.0,4,447.0,363.0,81%,,,,,,,,,
28998,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,2,5,12.0,5,9.0,3.0,23,4,3,37%,3,0.0,3,347.0,276.0,80%,,,,,,,,,
28998,505,Inter,https://media.api-sports.io/football/teams/505.png,3,8,14.0,3,7.0,7.0,11,4,1,63%,2,0.0,1,555.0,483.0,87%,,,,,,,,,
28992,500,Bologna,https://media.api-sports.io/football/teams/500.png,3,6,13.0,4,8.0,5.0,16,7,4,40%,4,1.0,4,334.0,244.0,73%,,,,,,,,,
28992,493,Spal,https://media.api-sports.io/football/teams/493.png,5,6,13.0,2,5.0,8.0,15,0,0,60%,2,0.0,3,513.0,419.0,82%,,,,,,,,,
28994,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,4,9.0,1,7.0,2.0,19,6,5,45%,3,0.0,3,407.0,306.0,75%,,,,,,,,,
28994,490,Cagliari,https://media.api-sports.io/football/teams/490.png,3,9,15.0,3,9.0,6.0,19,6,0,55%,3,0.0,2,458.0,369.0,81%,,,,,,,,,
28996,523,Parma,https://media.api-sports.io/football/teams/523.png,4,2,10.0,4,10.0,0.0,14,4,1,44%,2,0.0,2,345.0,279.0,81%,,,,,,,,,
28996,494,Udinese,https://media.api-sports.io/football/teams/494.png,5,10,17.0,2,9.0,8.0,13,5,0,56%,2,0.0,2,434.0,381.0,88%,,,,,,,,,
