fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
881780,489,AC Milan,https://media.api-sports.io/football/teams/489.png,5,7,14,2,9,5,16,5,0,59%,1,,2,502,429,85%,
881780,494,Udinese,https://media.api-sports.io/football/teams/494.png,4,4,9,1,5,4,13,1,1,41%,4,,1,343,278,81%,
881781,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,1,5,11,5,6,5,13,3,1,55%,4,,1,455,363,80%,
881781,499,Atalanta,https://media.api-sports.io/football/teams/499.png,3,3,9,3,6,3,21,2,2,45%,6,,1,371,285,77%,
881782,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,4,10,2,5,5,21,6,2,30%,4,,7,254,184,72%,
881782,505,Inter,https://media.api-sports.io/football/teams/505.png,9,5,19,5,11,8,19,8,3,70%,2,,3,603,523,87%,
881783,1579,Monza,https://media.api-sports.io/football/teams/1579.png,4,7,15,4,5,10,6,2,1,54%,1,,4,447,365,82%,
881783,503,Torino,https://media.api-sports.io/football/teams/503.png,6,3,13,4,12,1,17,7,5,46%,2,,3,377,307,81%,
881785,487,Lazio,https://media.api-sports.io/football/teams/487.png,6,2,9,1,4,5,11,3,3,41%,2,1,2,307,247,80%,
881785,500,Bologna,https://media.api-sports.io/football/teams/500.png,3,6,11,2,5,6,18,2,2,59%,6,1,5,450,387,86%,
881784,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,11,7,28,10,21,7,10,11,1,75%,0,0,2,569,507,89%,
881784,520,Cremonese,https://media.api-sports.io/football/teams/520.png,4,3,13,6,9,4,19,4,1,25%,3,1,8,191,121,63%,
881786,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,5,13,6,4,9,18,4,1,52%,3,,3,449,375,84%,
881786,497,AS Roma,https://media.api-sports.io/football/teams/497.png,5,9,20,6,14,6,9,2,3,48%,2,,2,418,345,83%,
881787,515,Spezia,https://media.api-sports.io/football/teams/515.png,2,6,9,1,4,5,15,6,3,41%,2,,5,355,275,77%,
881787,511,Empoli,https://media.api-sports.io/football/teams/511.png,5,8,18,5,9,9,8,4,1,59%,1,,1,519,416,80%,
881788,504,Verona,https://media.api-sports.io/football/teams/504.png,3,3,6,0,5,1,15,4,1,34%,2,,3,260,187,72%,
881788,492,Napoli,https://media.api-sports.io/football/teams/492.png,8,11,25,6,20,5,6,8,2,66%,2,,1,516,441,85%,
881789,496,Juventus,https://media.api-sports.io/football/teams/496.png,4,7,14,3,11,3,7,3,4,42%,1,,7,384,322,84%,
881789,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,7,6,19,6,5,14,5,2,2,58%,3,,1,531,477,90%,
881791,494,Udinese,https://media.api-sports.io/football/teams/494.png,2,5,15,8,10,5,9,6,0,47%,2,1,6,377,281,75%,
881791,514,Salernitana,https://media.api-sports.io/football/teams/514.png,6,8,17,3,11,6,12,6,1,53%,4,0,2,412,337,82%,
881790,503,Torino,https://media.api-sports.io/football/teams/503.png,1,7,10,2,6,4,11,6,4,54%,0,,2,483,403,83%,
881790,487,Lazio,https://media.api-sports.io/football/teams/487.png,2,2,7,3,5,2,12,4,0,46%,5,,1,427,335,78%,
881793,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,4,12,5,5,7,14,5,0,59%,5,,1,511,439,86%,
881793,867,Lecce,https://media.api-sports.io/football/teams/867.png,1,4,7,2,4,3,12,4,4,41%,1,,2,341,279,82%,
881792,505,Inter,https://media.api-sports.io/football/teams/505.png,8,8,19,3,14,5,11,10,5,55%,,,0,503,446,89%,
881792,515,Spezia,https://media.api-sports.io/football/teams/515.png,0,1,2,1,2,0,7,4,1,45%,,,5,420,355,85%,
881795,492,Napoli,https://media.api-sports.io/football/teams/492.png,5,8,22,9,15,7,11,10,1,54%,2,,2,489,436,89%,
881795,1579,Monza,https://media.api-sports.io/football/teams/1579.png,1,3,4,0,1,3,13,4,0,46%,1,,1,410,349,85%,
881794,511,Empoli,https://media.api-sports.io/football/teams/511.png,2,2,4,0,3,1,13,1,1,37%,1,1,2,295,219,74%,
881794,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,2,9,19,8,11,8,11,9,1,63%,3,0,2,481,418,87%,
881796,499,Atalanta,https://media.api-sports.io/football/teams/499.png,2,7,11,2,5,6,15,4,0,41%,4,,6,343,270,79%,
881796,489,AC Milan,https://media.api-sports.io/football/teams/489.png,7,9,18,2,9,9,6,6,3,59%,3,,1,519,448,86%,
881797,500,Bologna,https://media.api-sports.io/football/teams/500.png,5,7,17,5,7,10,10,9,1,53%,3,1,2,352,254,72%,
881797,504,Verona,https://media.api-sports.io/football/teams/504.png,3,8,19,8,10,9,14,8,5,47%,3,0,4,309,219,71%,
881798,497,AS Roma,https://media.api-sports.io/football/teams/497.png,12,6,27,9,17,10,7,5,1,49%,0,,3,389,305,78%,
881798,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,9,14,2,3,11,14,6,1,51%,3,,10,394,320,81%,
881799,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,1,6,9,2,6,3,8,3,1,47%,3,,4,399,333,83%,
881799,496,Juventus,https://media.api-sports.io/football/teams/496.png,4,5,10,1,6,4,14,4,3,53%,2,,1,438,380,87%,
881800,1579,Monza,https://media.api-sports.io/football/teams/1579.png,5,1,10,4,9,1,16,3,4,56%,3,,2,469,416,89%,
881800,494,Udinese,https://media.api-sports.io/football/teams/494.png,4,4,15,7,12,3,10,5,4,44%,2,,4,368,305,83%,
881801,487,Lazio,https://media.api-sports.io/football/teams/487.png,7,3,11,1,10,1,5,2,,48%,2,,6,503,442,88%,
881801,505,Inter,https://media.api-sports.io/football/teams/505.png,7,10,19,2,13,6,12,4,,52%,1,,4,539,481,89%,
881803,496,Juventus,https://media.api-sports.io/football/teams/496.png,3,8,14,3,4,10,16,4,0,57%,2,,3,502,442,88%,
881803,497,AS Roma,https://media.api-sports.io/football/teams/497.png,4,2,8,2,5,3,7,5,1,43%,2,,2,392,318,81%,
881802,520,Cremonese,https://media.api-sports.io/football/teams/520.png,6,5,16,5,11,5,9,3,1,53%,0,,4,377,270,72%,
881802,503,Torino,https://media.api-sports.io/football/teams/503.png,5,4,14,5,11,3,21,3,0,47%,3,,5,346,234,68%,
881804,489,AC Milan,https://media.api-sports.io/football/teams/489.png,7,6,19,6,14,5,13,5,2,48%,2,,1,421,351,83%,
881804,500,Bologna,https://media.api-sports.io/football/teams/500.png,0,6,8,2,2,6,9,1,2,52%,1,,5,475,389,82%,
881805,515,Spezia,https://media.api-sports.io/football/teams/515.png,2,4,7,1,6,1,17,2,3,42%,2,1,6,399,301,75%,
881805,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,8,9,21,4,17,4,10,6,1,58%,1,0,0,543,451,83%,
881806,504,Verona,https://media.api-sports.io/football/teams/504.png,2,10,14,2,4,10,15,7,2,49%,3,,6,372,270,73%,
881806,499,Atalanta,https://media.api-sports.io/football/teams/499.png,7,5,15,3,11,4,7,6,0,51%,3,,2,379,273,72%,
881807,514,Salernitana,https://media.api-sports.io/football/teams/514.png,6,2,9,1,7,2,19,6,1,45%,2,,6,386,308,80%,
881807,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,6,6,17,5,16,1,14,3,4,55%,2,,2,488,412,84%,
881808,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,5,4,10,1,6,4,12,2,1,49%,2,,2,469,391,83%,
881808,492,Napoli,https://media.api-sports.io/football/teams/492.png,2,5,13,6,10,3,14,3,2,51%,3,,5,495,424,86%,
881809,867,Lecce,https://media.api-sports.io/football/teams/867.png,5,5,15,5,10,5,10,3,4,40%,1,,2,302,233,77%,
881809,511,Empoli,https://media.api-sports.io/football/teams/511.png,3,5,9,1,4,5,5,5,1,60%,2,,4,464,371,80%,
881810,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,3,8,2,4,4,14,3,3,38%,5,,2,267,191,72%,
881810,489,AC Milan,https://media.api-sports.io/football/teams/489.png,2,5,11,4,7,4,13,8,1,62%,2,,3,448,360,80%,
881812,497,AS Roma,https://media.api-sports.io/football/teams/497.png,8,3,15,4,13,2,10,5,2,39%,0,,1,390,329,84%,
881812,1579,Monza,https://media.api-sports.io/football/teams/1579.png,1,8,13,4,9,4,7,4,1,61%,3,,5,595,546,92%,
881811,505,Inter,https://media.api-sports.io/football/teams/505.png,7,7,18,4,15,3,6,6,2,53%,0,,3,462,400,87%,
881811,520,Cremonese,https://media.api-sports.io/football/teams/520.png,4,4,11,3,8,3,14,6,2,47%,3,,4,404,330,82%,
881815,494,Udinese,https://media.api-sports.io/football/teams/494.png,3,3,8,2,6,2,13,3,5,26%,1,,2,233,165,71%,
881815,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,2,5,12,5,8,4,10,7,0,74%,2,,2,666,593,89%,
881814,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,3,4,10,3,6,4,11,5,2,44%,0,,5,485,419,86%,
881814,487,Lazio,https://media.api-sports.io/football/teams/487.png,6,3,13,4,8,5,10,7,2,56%,2,,2,621,550,89%,
881813,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,4,16,8,7,9,5,7,2,51%,0,,2,350,244,70%,
881813,504,Verona,https://media.api-sports.io/football/teams/504.png,3,4,9,2,8,1,22,10,1,49%,4,,3,326,232,71%,
881817,492,Napoli,https://media.api-sports.io/football/teams/492.png,7,8,19,4,12,7,7,6,4,71%,1,,3,654,569,87%,
881817,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,4,9,1,3,6,20,4,3,29%,4,,6,265,193,73%,
881816,496,Juventus,https://media.api-sports.io/football/teams/496.png,3,7,15,5,10,5,11,7,1,51%,0,,0,467,385,82%,
881816,515,Spezia,https://media.api-sports.io/football/teams/515.png,0,2,9,7,2,7,10,3,2,49%,2,,1,447,364,81%,
881818,499,Atalanta,https://media.api-sports.io/football/teams/499.png,5,5,12,2,9,3,14,7,5,41%,1,,1,353,254,72%,
881818,503,Torino,https://media.api-sports.io/football/teams/503.png,2,5,8,1,5,3,13,2,3,59%,3,,2,528,424,80%,
881819,500,Bologna,https://media.api-sports.io/football/teams/500.png,4,5,11,2,8,3,10,1,1,47%,2,,3,374,283,76%,
881819,514,Salernitana,https://media.api-sports.io/football/teams/514.png,4,8,20,8,13,7,11,8,0,53%,2,,3,417,314,75%,
