fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1052254,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,5,10,1,4,6,17,2,2,47%,2,,3,314,200,64%,0.70,
1052254,504,Verona,https://media.api-sports.io/football/teams/504.png,4,5,10,1,6,4,18,4,3,53%,2,,4,351,249,71%,0.51,
1052255,512,Frosinone,https://media.api-sports.io/football/teams/512.png,1,2,4,1,3,1,14,4,3,48%,3,,5,440,386,88%,0.89,
1052255,492,Napoli,https://media.api-sports.io/football/teams/492.png,8,4,19,7,13,6,17,6,3,52%,3,,0,473,420,89%,1.50,
1052256,495,Genoa,https://media.api-sports.io/football/teams/495.png,2,2,4,0,4,0,14,3,2,32%,2,,1,291,218,75%,0.21,
1052256,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,5,2,9,2,5,4,13,4,1,68%,3,,1,656,575,88%,0.99,
1052257,505,Inter,https://media.api-sports.io/football/teams/505.png,3,12,22,7,14,8,8,8,1,48%,1,,2,474,426,90%,2.69,
1052257,1579,Monza,https://media.api-sports.io/football/teams/1579.png,2,6,12,4,7,5,13,3,1,52%,1,,1,528,477,90%,0.78,
1052260,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,3,4,11,4,4,7,9,7,0,50%,,,2,491,427,87%,0.44,
1052260,499,Atalanta,https://media.api-sports.io/football/teams/499.png,6,8,16,2,10,6,13,7,2,50%,,,3,480,413,86%,1.32,
1052259,497,AS Roma,https://media.api-sports.io/football/teams/497.png,3,7,13,3,9,4,12,9,1,60%,0,,0,475,389,82%,1.90,
1052259,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,1,3,0,2,1,9,1,1,40%,4,,1,332,241,73%,0.14,
1052262,494,Udinese,https://media.api-sports.io/football/teams/494.png,5,6,18,7,6,12,12,7,3,48%,1,,1,429,378,88%,1.00,
1052262,496,Juventus,https://media.api-sports.io/football/teams/496.png,4,3,9,2,6,3,10,3,4,52%,3,,5,476,392,82%,1.85,
1052258,867,Lecce,https://media.api-sports.io/football/teams/867.png,7,8,23,8,13,10,12,5,2,48%,3,,3,458,392,86%,1.47,
