fixture_id,date,player_id,player_name,player_photo,type,injury_reason,team_id,team_name,league_id,league_name,season
1377872,2025-08-23T16:30:00+00:00,907,Romelu Lukaku,https://media.api-sports.io/football/players/907.png,Missing Fixture,Hamstring Injury,492,Napoli,135,Serie A,2025
1377872,2025-08-23T16:30:00+00:00,39143,Kristian Thorstvedt,https://media.api-sports.io/football/players/39143.png,Missing Fixture,Injury,488,Sassuolo,135,Serie A,2025
1377872,2025-08-23T16:30:00+00:00,162032,Miguel Ortega Gutierrez,https://media.api-sports.io/football/players/162032.png,Missing Fixture,Ankle surgery,492,Napoli,135,Serie A,2025
1377872,2025-08-23T16:30:00+00:00,264739,Laurs Skjellerup,https://media.api-sports.io/football/players/264739.png,Missing Fixture,Unknown Injury,488,Sassuolo,135,Serie A,2025
1377867,2025-08-23T16:30:00+00:00,3430,Caleb Ekuban,https://media.api-sports.io/football/players/3430.png,Missing Fixture,Unknown Injury,495,Genoa,135,Serie A,2025
1377867,2025-08-23T16:30:00+00:00,40563,Filip Marchwinski,https://media.api-sports.io/football/players/40563.png,Missing Fixture,Ruptured cruciate ligament,867,Lecce,135,Serie A,2025
1377867,2025-08-23T16:30:00+00:00,118956,Lameck Banda,https://media.api-sports.io/football/players/118956.png,Missing Fixture,Red card Suspended,867,Lecce,135,Serie A,2025
1377867,2025-08-23T16:30:00+00:00,23253,Gaby Jean,https://media.api-sports.io/football/players/23253.png,Missing Fixture,Ruptured cruciate ligament,867,Lecce,135,Serie A,2025
1377867,2025-08-23T16:30:00+00:00,387128,Sebastian Otoa,https://media.api-sports.io/football/players/387128.png,Missing Fixture,Muscle Injury,495,Genoa,135,Serie A,2025
1377870,2025-08-23T18:45:00+00:00,2057,Franco Vazquez,https://media.api-sports.io/football/players/2057.png,Missing Fixture,Red card Suspended,520,Cremonese,135,Serie A,2025
1377870,2025-08-23T18:45:00+00:00,30875,Mattia Valoti,https://media.api-sports.io/football/players/30875.png,Missing Fixture,Red card Suspended,520,Cremonese,135,Serie A,2025
1377870,2025-08-23T18:45:00+00:00,36986,Dennis Johnsen,https://media.api-sports.io/football/players/36986.png,Missing Fixture,Sprain,520,Cremonese,135,Serie A,2025
1377870,2025-08-23T18:45:00+00:00,22236,Rafael Leao,https://media.api-sports.io/football/players/22236.png,Missing Fixture,Calf Injury,489,AC Milan,135,Serie A,2025
1377870,2025-08-23T18:45:00+00:00,31038,Gianluca Saro,https://media.api-sports.io/football/players/31038.png,Missing Fixture,Ruptured cruciate ligament,520,Cremonese,135,Serie A,2025
1377870,2025-08-23T18:45:00+00:00,126980,Tommaso Barbieri,https://media.api-sports.io/football/players/126980.png,Missing Fixture,Red card Suspended,520,Cremonese,135,Serie A,2025
1377871,2025-08-23T18:45:00+00:00,1863,Ciro Immobile,https://media.api-sports.io/football/players/1863.png,Missing Fixture,Injured Doubtful,500,Bologna,135,Serie A,2025
1377871,2025-08-23T18:45:00+00:00,782,Lorenzo Pellegrini,https://media.api-sports.io/football/players/782.png,Missing Fixture,injured,497,AS Roma,135,Serie A,2025
1377871,2025-08-23T18:45:00+00:00,983,Leon Bailey,https://media.api-sports.io/football/players/983.png,Missing Fixture,Muscle Injury,497,AS Roma,135,Serie A,2025
1377871,2025-08-23T18:45:00+00:00,134,Juan Miranda,https://media.api-sports.io/football/players/134.png,Missing Fixture,Red card Suspended,500,Bologna,135,Serie A,2025
1377871,2025-08-23T18:45:00+00:00,47985,Emil Holm,https://media.api-sports.io/football/players/47985.png,Missing Fixture,hamstring muscle injury,500,Bologna,135,Serie A,2025
1377871,2025-08-23T18:45:00+00:00,286475,Edoardo Bove,https://media.api-sports.io/football/players/286475.png,Missing Fixture,Heart Condition,497,AS Roma,135,Serie A,2025
1377865,2025-08-24T16:30:00+00:00,30573,Leonardo Pavoletti,https://media.api-sports.io/football/players/30573.png,Missing Fixture,Knee injury,490,Cagliari,135,Serie A,2025
1377865,2025-08-24T16:30:00+00:00,30810,Rolando Mandragora,https://media.api-sports.io/football/players/30810.png,Missing Fixture,Unknown Injury,502,Fiorentina,135,Serie A,2025
1377865,2025-08-24T16:30:00+00:00,30789,Cristian Kouame,https://media.api-sports.io/football/players/30789.png,Missing Fixture,Ruptured cruciate ligament,502,Fiorentina,135,Serie A,2025
1377865,2025-08-24T16:30:00+00:00,877,Moise Keane,https://media.api-sports.io/football/players/877.png,Missing Fixture,Red card Suspended,502,Fiorentina,135,Serie A,2025
1377866,2025-08-24T16:30:00+00:00,211,Matias Vecino,https://media.api-sports.io/football/players/211.png,Missing Fixture,Thigh problems,487,Lazio,135,Serie A,2025
1377866,2025-08-24T16:30:00+00:00,1632,Alessio Romagnoli,https://media.api-sports.io/football/players/1632.png,Missing Fixture,unfit,487,Lazio,135,Serie A,2025
1377866,2025-08-24T16:30:00+00:00,32034,Alberto Dossena,https://media.api-sports.io/football/players/32034.png,Missing Fixture,Ruptured cruciate ligament,895,Como,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,849,Mattia Perin,https://media.api-sports.io/football/players/849.png,Missing Fixture,Injury,496,Juventus,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,333,Arkadiusz Milik,https://media.api-sports.io/football/players/333.png,Missing Fixture,Unknown Injury,496,Juventus,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,1208,Hernani Azevedo Junior,https://media.api-sports.io/football/players/1208.png,Missing Fixture,Injury to the ankle,523,Parma,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,125674,Juan David Cabal Murillo,https://media.api-sports.io/football/players/125674.png,Missing Fixture,fitness,496,Juventus,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,191979,Jacob Ondrejka,https://media.api-sports.io/football/players/191979.png,Missing Fixture,Fracture of the fibula,523,Parma,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,292543,Matija Frigan,https://media.api-sports.io/football/players/292543.png,Missing Fixture,Ruptured cruciate ligament,523,Parma,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,181808,Fabio Miretti,https://media.api-sports.io/football/players/181808.png,Missing Fixture,Hamstring Injury,496,Juventus,135,Serie A,2025
1377869,2025-08-24T18:45:00+00:00,181806,Nicolo Savona,https://media.api-sports.io/football/players/181806.png,Missing Fixture,Injury to the ankle,496,Juventus,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,1442,Sead Kolasinac,https://media.api-sports.io/football/players/1442.png,Missing Fixture,Ruptured cruciate ligament,499,Atalanta,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,18767,Ademola Lookman,https://media.api-sports.io/football/players/18767.png,Missing Fixture,ineligible,499,Atalanta,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,530,Mitchel Bakker,https://media.api-sports.io/football/players/530.png,Missing Fixture,Ruptured cruciate ligament,499,Atalanta,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,129790,Tomas Esteves,https://media.api-sports.io/football/players/129790.png,Missing Fixture,fitness,801,Pisa,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,331678,Henrik Meister,https://media.api-sports.io/football/players/331678.png,Missing Fixture,Unknown Injury,801,Pisa,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,364600,Isak Vural,https://media.api-sports.io/football/players/364600.png,Missing Fixture,Inflammation,801,Pisa,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,435548,Mateus Lusuardi,https://media.api-sports.io/football/players/435548.png,Missing Fixture,injured,801,Pisa,135,Serie A,2025
1377864,2025-08-24T18:45:00+00:00,419603,Francesco Coppola,https://media.api-sports.io/football/players/419603.png,Missing Fixture,Ankle surgery,801,Pisa,135,Serie A,2025
1377873,2025-08-25T16:30:00+00:00,541,Jurgen Ekkelenkamp,https://media.api-sports.io/football/players/541.png,Missing Fixture,Muscle Injury,494,Udinese,135,Serie A,2025
1377873,2025-08-25T16:30:00+00:00,194837,Tomas Suslov,https://media.api-sports.io/football/players/194837.png,Missing Fixture,Torn knee ligament,504,Verona,135,Serie A,2025
1377873,2025-08-25T16:30:00+00:00,143648,Maduka Okoye,https://media.api-sports.io/football/players/143648.png,Missing Fixture,Suspension,494,Udinese,135,Serie A,2025
1377873,2025-08-25T16:30:00+00:00,311071,Nicolas Valentini,https://media.api-sports.io/football/players/311071.png,Missing Fixture,hamstring muscle injury,504,Verona,135,Serie A,2025
1377873,2025-08-25T16:30:00+00:00,364415,Yellu Santiago,https://media.api-sports.io/football/players/364415.png,Missing Fixture,Muscle fatigue,504,Verona,135,Serie A,2025
1377868,2025-08-25T18:45:00+00:00,1640,Hakan Calhanoglu,https://media.api-sports.io/football/players/1640.png,Missing Fixture,Red card Suspended,505,Inter,135,Serie A,2025
1377868,2025-08-25T18:45:00+00:00,31010,Federico Dimarco,https://media.api-sports.io/football/players/31010.png,Missing Fixture,injured,505,Inter,135,Serie A,2025
