fixture_id,bet_name,bet_value,bet_odd
1377872,Match Winner,Home,5.75
1377872,Match Winner,Draw,3.70
1377872,Match Winner,Away,1.65
1377872,Second Half Winner,Home,4.75
1377872,Second Half Winner,Draw,2.50
1377872,Second Half Winner,Away,1.95
1377872,Goals Over/Under,Over 1.5,1.30
1377872,Goals Over/Under,Under 1.5,3.50
1377872,Goals Over/Under,Over 2.5,1.91
1377872,Goals Over/Under,Under 2.5,1.91
1377872,Goals Over/Under,Over 3.5,3.40
1377872,Goals Over/Under,Under 3.5,1.33
1377872,Goals Over/Under,Over 0.5,1.06
1377872,Goals Over/Under,Under 0.5,10.00
1377872,Goals Over/Under,Over 4.5,6.50
1377872,Goals Over/Under,Under 4.5,1.11
1377872,Goals Over/Under,Over 7.5,51.00
1377872,Goals Over/Under,Under 7.5,1.00
1377872,Goals Over/Under,Over 5.5,13.00
1377872,Goals Over/Under,Under 5.5,1.04
1377872,Goals Over/Under,Over 6.5,26.00
1377872,Goals Over/Under,Under 6.5,1.01
1377872,HT/FT Double,Home/Draw,17.00
1377872,HT/FT Double,Home/Away,23.00
1377872,HT/FT Double,Draw/Away,4.33
1377872,HT/FT Double,Draw/Draw,5.50
1377872,HT/FT Double,Home/Home,9.00
1377872,HT/FT Double,Draw/Home,11.00
1377872,HT/FT Double,Away/Home,41.00
1377872,HT/FT Double,Away/Draw,15.00
1377872,HT/FT Double,Away/Away,2.50
1377872,Double Chance,Home/Draw,2.20
1377872,Double Chance,Home/Away,1.28
1377872,Double Chance,Draw/Away,1.14
1377872,First Half Winner,Home,5.50
1377872,First Half Winner,Draw,2.25
1377872,First Half Winner,Away,2.20
1377867,Match Winner,Home,1.75
1377867,Match Winner,Draw,3.50
1377867,Match Winner,Away,5.25
1377867,Second Half Winner,Home,2.05
1377867,Second Half Winner,Draw,2.30
1377867,Second Half Winner,Away,5.00
1377867,Goals Over/Under,Over 1.5,1.44
1377867,Goals Over/Under,Under 1.5,2.75
1377867,Goals Over/Under,Over 2.5,2.38
1377867,Goals Over/Under,Under 2.5,1.57
1377867,Goals Over/Under,Over 3.5,4.50
1377867,Goals Over/Under,Under 3.5,1.20
1377867,Goals Over/Under,Over 0.5,1.10
1377867,Goals Over/Under,Under 0.5,7.00
1377867,Goals Over/Under,Over 4.5,10.00
1377867,Goals Over/Under,Under 4.5,1.06
1377867,Goals Over/Under,Over 5.5,21.00
1377867,Goals Over/Under,Under 5.5,1.01
1377867,Goals Over/Under,Over 6.5,51.00
1377867,Goals Over/Under,Under 6.5,1.00
1377867,HT/FT Double,Home/Draw,15.00
1377867,HT/FT Double,Home/Away,41.00
1377867,HT/FT Double,Draw/Away,10.00
1377867,HT/FT Double,Draw/Draw,4.75
1377867,HT/FT Double,Home/Home,2.75
1377867,HT/FT Double,Draw/Home,4.33
1377867,HT/FT Double,Away/Home,26.00
1377867,HT/FT Double,Away/Draw,17.00
1377867,HT/FT Double,Away/Away,9.00
1377867,Double Chance,Home/Draw,1.17
1377867,Double Chance,Home/Away,1.28
1377867,Double Chance,Draw/Away,2.00
1377867,First Half Winner,Home,2.40
1377867,First Half Winner,Draw,2.05
1377867,First Half Winner,Away,6.00
1377870,Match Winner,Home,1.40
1377870,Match Winner,Draw,4.75
1377870,Match Winner,Away,7.50
1377870,Second Half Winner,Home,1.73
1377870,Second Half Winner,Draw,2.75
1377870,Second Half Winner,Away,6.00
1377870,Goals Over/Under,Over 1.5,1.22
1377870,Goals Over/Under,Under 1.5,4.33
1377870,Goals Over/Under,Over 2.5,1.73
1377870,Goals Over/Under,Under 2.5,2.10
