fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
9507,523,Parma,https://media.api-sports.io/football/teams/523.png,2,9,11,,,,14,4,0,53%,2,0,1,,,
9507,520,Cremonese,https://media.api-sports.io/football/teams/520.png,1,5,6,,,,11,6,1,47%,2,0,1,,,
9501,510,Cittadella,https://media.api-sports.io/football/teams/510.png,7,7,14,,,,15,6,9,54%,2,0,3,,,
9501,507,Ascoli,https://media.api-sports.io/football/teams/507.png,5,4,9,,,,13,3,0,46%,3,0,4,,,
9504,516,Ternana,https://media.api-sports.io/football/teams/516.png,6,11,17,,,,11,7,2,53%,3,0,2,,,
9504,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,8,12,,,,13,5,2,47%,2,0,5,,,
9505,517,Venezia,https://media.api-sports.io/football/teams/517.png,2,4,6,,,,9,5,2,49%,3,0,2,,,
9505,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,2,4,,,,15,7,2,51%,2,0,1,,,
9500,519,Carpi,https://media.api-sports.io/football/teams/519.png,2,5,7,,,,20,5,2,44%,3,0,4,,,
9500,513,Novara,https://media.api-sports.io/football/teams/513.png,4,3,7,,,,16,6,0,56%,1,0,1,,,
9502,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,8,12,,,,10,5,1,55%,2,0,3,,,
9502,515,Spezia,https://media.api-sports.io/football/teams/515.png,3,5,8,,,,18,6,0,45%,2,0,3,,,
9503,526,PRO Vercelli,https://media.api-sports.io/football/teams/526.png,1,5,6,,,,18,4,5,46%,2,0,2,,,
9503,512,Frosinone,https://media.api-sports.io/football/teams/512.png,4,4,8,,,,19,6,1,54%,0,1,1,,,
9506,527,Virtus Entella,https://media.api-sports.io/football/teams/527.png,2,5,7,,,,19,7,3,44%,2,0,5,,,
9506,524,Perugia,https://media.api-sports.io/football/teams/524.png,10,4,14,,,,12,3,0,56%,0,1,1,,,
9499,528,Avellino,https://media.api-sports.io/football/teams/528.png,6,2,8,,,,16,6,5,42%,3,0,8,,,
9499,518,Brescia,https://media.api-sports.io/football/teams/518.png,9,3,12,,,,20,7,2,58%,4,1,4,,,
9498,525,Pescara,https://media.api-sports.io/football/teams/525.png,9,5,14,,,,8,4,3,47%,2,0,10,,,
9498,521,Foggia,https://media.api-sports.io/football/teams/521.png,11,11,22,,,,8,7,3,53%,1,0,4,,,
9497,508,Bari,https://media.api-sports.io/football/teams/508.png,6,6,12,,,,23,8,3,50%,1,0,1,,,
9497,509,Cesena,https://media.api-sports.io/football/teams/509.png,1,1,2,,,,13,6,1,50%,2,0,3,,,
9496,518,Brescia,https://media.api-sports.io/football/teams/518.png,3,4,7,,,,14,1,2,52%,3,0,1,,,
9496,522,Palermo,https://media.api-sports.io/football/teams/522.png,1,4,5,,,,15,3,3,48%,0,0,3,,,
9495,511,Empoli,https://media.api-sports.io/football/teams/511.png,4,4,8,,,,15,3,6,46%,4,0,3,,,
9495,508,Bari,https://media.api-sports.io/football/teams/508.png,5,4,9,,,,8,6,2,54%,2,0,1,,,
9487,507,Ascoli,https://media.api-sports.io/football/teams/507.png,1,4,5,,,,21,2,1,54%,1,0,1,,,
9487,526,PRO Vercelli,https://media.api-sports.io/football/teams/526.png,1,1,2,,,,15,5,5,46%,1,0,0,,,
9488,509,Cesena,https://media.api-sports.io/football/teams/509.png,0,6,6,,,,13,5,,54%,2,0,1,,,
9488,517,Venezia,https://media.api-sports.io/football/teams/517.png,1,8,9,,,,11,3,,46%,0,0,0,,,
9491,512,Frosinone,https://media.api-sports.io/football/teams/512.png,4,9,13,,,,11,4,1,47%,2,0,0,,,
9491,510,Cittadella,https://media.api-sports.io/football/teams/510.png,1,5,6,,,,15,4,2,53%,2,0,2,,,
9492,513,Novara,https://media.api-sports.io/football/teams/513.png,3,8,11,,,,26,5,1,52%,3,0,2,,,
9492,523,Parma,https://media.api-sports.io/football/teams/523.png,3,3,6,,,,22,8,1,48%,2,0,3,,,
9494,515,Spezia,https://media.api-sports.io/football/teams/515.png,7,2,9,,,,20,5,,64%,2,0,1,,,
9494,519,Carpi,https://media.api-sports.io/football/teams/519.png,2,2,4,,,,19,1,,36%,3,0,7,,,
9489,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,3,8,,,,14,4,5,49%,0,0,1,,,
