fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Substitutions
38144,518,Brescia,https://media.api-sports.io/football/teams/518.png,4,4,8.0,,,,25,3,2,48%,0,1.0,0.0,,,,
38144,524,Perugia,https://media.api-sports.io/football/teams/524.png,1,5,6.0,,,,17,3,2,52%,2,0.0,3.0,,,,
38146,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,3,5.0,,,,22,3,2,45%,2,0.0,2.0,,,,
38146,522,Palermo,https://media.api-sports.io/football/teams/522.png,2,5,7.0,,,,17,4,0,55%,2,0.0,2.0,,,,
38147,517,Venezia,https://media.api-sports.io/football/teams/517.png,3,3,6.0,,,,11,6,2,56%,1,0.0,1.0,,,,
38147,515,Spezia,https://media.api-sports.io/football/teams/515.png,1,5,6.0,,,,23,4,1,44%,3,0.0,2.0,,,,
38145,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,2,5.0,,,,14,3,1,44%,0,1.0,2.0,,,,
38145,525,Pescara,https://media.api-sports.io/football/teams/525.png,3,4,7.0,,,,18,7,1,56%,1,1.0,2.0,,,,
38148,504,Verona,https://media.api-sports.io/football/teams/504.png,5,3,8.0,,,,13,5,1,63%,2,0.0,3.0,,,,
38148,870,Padova,https://media.api-sports.io/football/teams/870.png,3,4,7.0,,,,20,4,5,37%,3,0.0,4.0,,,,
38149,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,3,6.0,,,,16,8,1,56%,2,0.0,2.0,,,,
38149,864,Cosenza,https://media.api-sports.io/football/teams/864.png,3,4,7.0,,,,23,5,1,44%,3,0.0,2.0,,,,
38150,510,Cittadella,https://media.api-sports.io/football/teams/510.png,7,8,15.0,,,,18,5,3,52%,2,0.0,3.0,,,,
38150,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,6,9.0,,,,12,6,2,48%,1,1.0,4.0,,,,
38151,521,Foggia,https://media.api-sports.io/football/teams/521.png,10,6,16.0,,,,8,8,2,61%,0,0.0,4.0,,,,
38151,519,Carpi,https://media.api-sports.io/football/teams/519.png,6,7,13.0,,,,21,6,3,39%,3,0.0,6.0,,,,
38152,506,Benevento,https://media.api-sports.io/football/teams/506.png,10,5,15.0,,,,15,5,1,55%,1,0.0,0.0,,,,
38152,867,Lecce,https://media.api-sports.io/football/teams/867.png,3,1,4.0,,,,12,3,2,45%,4,0.0,7.0,,,,
38153,522,Palermo,https://media.api-sports.io/football/teams/522.png,6,6,12.0,,,,15,7,0,52%,3,0.0,1.0,,,,
38153,520,Cremonese,https://media.api-sports.io/football/teams/520.png,3,8,11.0,,,,9,9,3,48%,0,0.0,4.0,,,,
38157,515,Spezia,https://media.api-sports.io/football/teams/515.png,8,6,14.0,,,,19,3,0,45%,3,0.0,4.0,,,,
38157,518,Brescia,https://media.api-sports.io/football/teams/518.png,6,4,10.0,,,,16,4,2,55%,1,0.0,4.0,,,,
38154,519,Carpi,https://media.api-sports.io/football/teams/519.png,1,,1.0,,,,,6,,,4,0.0,0.0,,,,
38154,510,Cittadella,https://media.api-sports.io/football/teams/510.png,0,,0.0,,,,,6,,,4,0.0,1.0,,,,
38156,870,Padova,https://media.api-sports.io/football/teams/870.png,6,7,13.0,,,,16,4,6,41%,4,0.0,4.0,,,,
38156,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,5,9.0,,,,15,9,2,59%,1,0.0,5.0,,,,
38158,525,Pescara,https://media.api-sports.io/football/teams/525.png,7,6,13.0,,,,13,7,2,56%,3,0.0,4.0,,,,
38158,868,Livorno,https://media.api-sports.io/football/teams/868.png,6,4,10.0,,,,12,11,0,44%,1,0.0,5.0,,,,
38159,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,1,4.0,,,,11,10,2,53%,1,0.0,3.0,,,,
38159,521,Foggia,https://media.api-sports.io/football/teams/521.png,3,1,4.0,,,,13,4,5,47%,1,0.0,2.0,,,,
38161,524,Perugia,https://media.api-sports.io/football/teams/524.png,5,5,10.0,,,,19,6,4,48%,2,1.0,5.0,,,,
38161,507,Ascoli,https://media.api-sports.io/football/teams/507.png,5,6,11.0,,,,18,9,6,52%,1,0.0,3.0,,,,
38160,867,Lecce,https://media.api-sports.io/football/teams/867.png,5,3,8.0,,,,20,5,0,55%,2,0.0,1.0,,,,
38160,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,5,7.0,,,,26,2,1,45%,3,0.0,3.0,,,,
38162,517,Venezia,https://media.api-sports.io/football/teams/517.png,9,4,13.0,,,,17,5,5,48%,2,0.0,2.0,,,,
38162,506,Benevento,https://media.api-sports.io/football/teams/506.png,5,6,11.0,,,,20,2,1,52%,3,0.0,7.0,,,,
38163,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,5,8.0,,,,37,2,2,,3,0.0,3.0,,,,
38163,867,Lecce,https://media.api-sports.io/football/teams/867.png,3,5,8.0,,,,15,6,3,,2,0.0,2.0,,,,
38165,510,Cittadella,https://media.api-sports.io/football/teams/510.png,1,1,2.0,,,,13,6,1,62%,2,0.0,1.0,,,,
38165,864,Cosenza,https://media.api-sports.io/football/teams/864.png,1,2,3.0,,,,14,0,1,38%,4,0.0,0.0,,,,
38164,518,Brescia,https://media.api-sports.io/football/teams/518.png,3,3,6.0,,,,16,5,1,,3,0.0,4.0,,,,
38164,525,Pescara,https://media.api-sports.io/football/teams/525.png,6,7,13.0,,,,9,4,1,,2,0.0,2.0,,,,
38166,520,Cremonese,https://media.api-sports.io/football/teams/520.png,2,3,5.0,,,,16,3,1,49%,0,0.0,3.0,,,,
38166,515,Spezia,https://media.api-sports.io/football/teams/515.png,3,6,9.0,,,,21,5,3,51%,2,0.0,0.0,,,,
38168,504,Verona,https://media.api-sports.io/football/teams/504.png,1,2,3.0,,,,4,4,1,64%,2,0.0,0.0,,,,
38168,519,Carpi,https://media.api-sports.io/football/teams/519.png,0,2,2.0,,,,4,3,3,36%,2,0.0,1.0,,,,
38167,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,0,2.0,,,,4,5,,42%,3,0.0,0.0,,,,
38167,870,Padova,https://media.api-sports.io/football/teams/870.png,0,1,1.0,,,,2,3,,58%,2,0.0,1.0,,,,
38169,521,Foggia,https://media.api-sports.io/football/teams/521.png,3,4,7.0,,,,15,4,0,47%,3,0.0,3.0,,,,
38169,522,Palermo,https://media.api-sports.io/football/teams/522.png,5,6,11.0,,,,20,6,1,53%,3,0.0,2.0,,,,
38170,868,Livorno,https://media.api-sports.io/football/teams/868.png,3,6,9.0,,,,12,5,0,47%,2,0.0,2.0,,,,
38170,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,4,7.0,,,,9,5,1,53%,2,0.0,3.0,,,,
38171,506,Benevento,https://media.api-sports.io/football/teams/506.png,10,6,16.0,,,,20,8,0,58%,3,0.0,4.0,,,,
38171,514,Salernitana,https://media.api-sports.io/football/teams/514.png,4,0,4.0,,,,15,2,1,42%,3,0.0,6.0,,,,
38174,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,15,18.0,,,,9,7,2,51%,2,0.0,0.0,,,,
38174,504,Verona,https://media.api-sports.io/football/teams/504.png,5,10,15.0,,,,9,5,4,49%,3,0.0,0.0,,,,
38179,515,Spezia,https://media.api-sports.io/football/teams/515.png,8,6,14.0,,,,17,4,2,45%,2,0.0,1.0,,,,
38179,510,Cittadella,https://media.api-sports.io/football/teams/510.png,2,6,8.0,,,,17,6,1,55%,3,1.0,7.0,,,,
38172,519,Carpi,https://media.api-sports.io/football/teams/519.png,3,6,9.0,,,,17,5,6,48%,0,0.0,2.0,,,,
38172,518,Brescia,https://media.api-sports.io/football/teams/518.png,2,8,10.0,,,,13,3,4,52%,2,0.0,2.0,,,,
38177,522,Palermo,https://media.api-sports.io/football/teams/522.png,6,4,10.0,,,,8,4,4,51%,1,0.0,1.0,,,,
38177,524,Perugia,https://media.api-sports.io/football/teams/524.png,6,10,16.0,,,,15,4,4,49%,2,0.0,0.0,,,,
38178,525,Pescara,https://media.api-sports.io/football/teams/525.png,3,6,9.0,,,,15,3,4,43%,4,0.0,3.0,,,,
38178,521,Foggia,https://media.api-sports.io/football/teams/521.png,3,12,15.0,,,,17,4,1,57%,2,0.0,2.0,,,,
38175,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,4,8.0,,,,22,4,6,57%,2,0.0,1.0,,,,
38175,517,Venezia,https://media.api-sports.io/football/teams/517.png,2,2,4.0,,,,15,1,2,43%,2,0.0,2.0,,,,
