fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,fouls_drawn,shots_on,offsides,goals_total,goals_assists,tackles_blocks,penalty_commited,penalty_won
747062,Frosinone,512,31098,Federico Ravaglia,https://media.api-sports.io/football/players/31098.png,90.0,1,G,6.3,False,False,2,1.0,17.0,8,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
747062,Frosinone,512,31071,Nicolò Brighenti,https://media.api-sports.io/football/players/31071.png,61.0,23,D,6.3,True,False,0,,20.0,12,0,0,0,0,,1.0,1.0,1.0,1.0,10.0,5.0,1.0,1.0,1.0,3.0,,,,,,,,
747062,Frosinone,512,268341,Frederico Gatti,https://media.api-sports.io/football/players/268341.png,90.0,6,D,6.7,False,False,0,,44.0,36,1,0,0,0,,1.0,,1.0,2.0,11.0,6.0,,,,3.0,2.0,,,,,,,
747062,Frosinone,512,31551,Przemysław Szymiński,https://media.api-sports.io/football/players/31551.png,90.0,25,D,6.3,False,False,0,,61.0,54,0,0,0,0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,
747062,Frosinone,512,31079,Francesco Zampano,https://media.api-sports.io/football/players/31079.png,90.0,11,D,6.7,False,False,0,,32.0,27,0,0,0,0,,2.0,1.0,2.0,1.0,12.0,4.0,3.0,1.0,,2.0,,1.0,,,,,,
747062,Frosinone,512,30996,Marcus Rohdén,https://media.api-sports.io/football/players/30996.png,70.0,7,M,6.3,False,False,0,,16.0,10,0,0,0,0,,,,2.0,,4.0,3.0,,,,,,,,,,,,
747062,Frosinone,512,31086,Raffaele Maiello,https://media.api-sports.io/football/players/31086.png,90.0,8,M,7.2,False,False,0,,93.0,76,0,0,0,0,,,3.0,1.0,2.0,6.0,3.0,2.0,1.0,1.0,,1.0,,,,,,,
747062,Frosinone,512,291780,Daniel Boloca,https://media.api-sports.io/football/players/291780.png,90.0,21,M,7.3,False,False,0,,49.0,46,0,0,0,0,,,3.0,1.0,1.0,12.0,8.0,5.0,4.0,,,1.0,,,,,,,
747062,Frosinone,512,32020,Luigi Canotto,https://media.api-sports.io/football/players/32020.png,76.0,27,F,6.9,False,False,0,,8.0,7,0,0,0,0,,3.0,,1.0,,11.0,5.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,
747062,Frosinone,512,31091,Camillo Ciano,https://media.api-sports.io/football/players/31091.png,77.0,28,F,7.5,False,False,0,,21.0,16,0,0,0,0,,2.0,3.0,,,5.0,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,
