fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
903549,523,Parma,https://media.api-sports.io/football/teams/523.png,6,3,10,1,5,5,15,6,1,57%,5,,3,502,441,88%,
903549,508,Bari,https://media.api-sports.io/football/teams/508.png,5,2,9,2,6,3,10,3,3,43%,3,,4,393,336,85%,
903545,510,Cittadella,https://media.api-sports.io/football/teams/510.png,5,6,15,4,10,5,10,5,2,56%,1,,5,349,247,71%,
903545,801,Pisa,https://media.api-sports.io/football/teams/801.png,8,6,16,2,11,5,16,5,1,44%,1,,2,287,182,63%,
903548,522,Palermo,https://media.api-sports.io/football/teams/522.png,3,6,12,3,8,4,17,2,2,57%,2,0,0,420,346,82%,
903548,524,Perugia,https://media.api-sports.io/football/teams/524.png,0,4,8,4,8,0,19,6,4,43%,5,1,1,303,220,73%,
903546,895,como,https://media.api-sports.io/football/teams/895.png,3,5,9,1,5,4,17,6,0,43%,1,,1,356,282,79%,
903546,490,Cagliari,https://media.api-sports.io/football/teams/490.png,2,7,12,3,6,6,11,5,2,57%,1,,2,468,405,87%,
903550,493,Spal,https://media.api-sports.io/football/teams/493.png,5,6,13,2,7,6,17,8,1,67%,3,,4,440,348,79%,
903550,1692,Reggina,https://media.api-sports.io/football/teams/1692.png,7,3,12,2,8,4,18,3,1,33%,2,,4,219,142,65%,
903543,506,Benevento,https://media.api-sports.io/football/teams/506.png,1,11,18,6,10,8,12,8,,67%,2,,1,507,424,84%,
903543,10137,Nuova Cosenza,https://media.api-sports.io/football/teams/10137.png,2,2,7,3,5,2,19,5,,33%,2,,1,248,172,69%,
903542,507,Ascoli,https://media.api-sports.io/football/teams/507.png,5,3,9,1,5,4,13,4,1,49%,2,,2,336,243,72%,
