fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,tackles_interceptions,penalty_commited,shots_total,shots_on,dribbles_past,passes_key,offsides,penalty_won,goals_total,goals_assists
1063003,Bari,508,10479,Brenno,https://media.api-sports.io/football/players/10479.png,90.0,22,G,7.3,False,False,0,2.0,30.0,20,1.0,1.0,1,0,0,0,0.0,,,,,,,,,,,,,,,,
1063003,Bari,508,284935,Mehdi Dorval,https://media.api-sports.io/football/players/284935.png,90.0,93,D,7,False,False,0,,19.0,16,11.0,6.0,0,0,0,0,,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,
1063003,Bari,508,91494,Valerio Di Cesare,https://media.api-sports.io/football/players/91494.png,66.0,6,D,5.9,True,False,0,,27.0,24,5.0,3.0,2,1,0,0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
1063003,Bari,508,30863,Francesco Vicari,https://media.api-sports.io/football/players/30863.png,90.0,23,D,6.9,False,False,0,,33.0,26,4.0,1.0,0,0,0,0,,,2.0,,,,,,,,,,,,,,
1063003,Bari,508,32122,Giacomo Ricci,https://media.api-sports.io/football/players/32122.png,90.0,31,D,6.9,False,False,0,,30.0,24,13.0,4.0,0,0,0,0,,1.0,,1.0,,2.0,3.0,,,2.0,1.0,2.0,,,,,
1063003,Bari,508,56796,Mattia Maita,https://media.api-sports.io/football/players/56796.png,50.0,4,M,5.9,False,False,0,,25.0,21,8.0,4.0,0,1,0,0,,1.0,,,,3.0,4.0,,,1.0,,,1.0,,,,
1063003,Bari,508,31086,Raffaele Maiello,https://media.api-sports.io/football/players/31086.png,90.0,17,M,7.2,False,False,0,,51.0,47,6.0,4.0,1,0,0,0,,2.0,,,,2.0,1.0,2.0,,,,1.0,1.0,,,,
1063003,Bari,508,30990,Ahmad Benali,https://media.api-sports.io/football/players/30990.png,85.0,8,M,6.6,False,False,0,,29.0,22,6.0,2.0,1,0,0,0,,1.0,2.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,
1063003,Bari,508,31996,Giuseppe Sibilli,https://media.api-sports.io/football/players/31996.png,61.0,20,M,7.3,False,False,0,,22.0,19,11.0,3.0,1,0,0,0,,1.0,,1.0,,1.0,3.0,,,1.0,,,5.0,,,,
1063003,Bari,508,345467,Marco Nasti,https://media.api-sports.io/football/players/345467.png,61.0,9,F,7.2,False,False,0,,10.0,7,5.0,3.0,0,0,0,0,,1.0,,1.0,1.0,,,,,3.0,2.0,1.0,,,,,
1063003,Bari,508,30663,Davide Diaw,https://media.api-sports.io/football/players/30663.png,15.0,18,F,6.6,False,False,0,,2.0,2,,,0,0,0,0,,,,,,,,,,,,,1.0,,,,
1063003,Bari,508,20733,Aurélien Scheidler,https://media.api-sports.io/football/players/20733.png,70.0,44,F,6.6,False,True,0,,16.0,9,7.0,4.0,0,0,0,0,,,,,,1.0,1.0,,,,,,1.0,,,,
1063003,Bari,508,105871,Žan Žužek,https://media.api-sports.io/football/players/105871.png,29.0,21,D,6.6,False,True,0,,1.0,1,1.0,1.0,0,0,0,0,,1.0,,,,,,,,,,,,,,,
1063003,Bari,508,35605,Jérémy Ménez,https://media.api-sports.io/football/players/35605.png,29.0,7,F,6.9,False,True,0,,3.0,3,3.0,2.0,1,0,0,0,,,,,,2.0,,,,,,1.0,1.0,,,,
1063003,Bari,508,31676,Raffaele Pucino,https://media.api-sports.io/football/players/31676.png,20.0,25,D,6.7,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,21067,Malcom Edjouma,https://media.api-sports.io/football/players/21067.png,20.0,24,M,6.3,False,True,0,,6.0,3,7.0,3.0,0,0,0,0,,2.0,,1.0,,,,,,,,2.0,,,,,
1063003,Bari,508,31006,Pierluigi Frattali,https://media.api-sports.io/football/players/31006.png,,1,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,31486,Marco Perrotta,https://media.api-sports.io/football/players/31486.png,,3,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,56815,Emmanuele Matino,https://media.api-sports.io/football/players/56815.png,,5,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,404570,Francesco Lops,https://media.api-sports.io/football/players/404570.png,,29,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,386380,Filippo Faggi,https://media.api-sports.io/football/players/386380.png,,19,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,56877,Nicola Bellomo,https://media.api-sports.io/football/players/56877.png,,10,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Bari,508,30847,Gregorio Morachioli,https://media.api-sports.io/football/players/30847.png,,77,F,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Palermo,522,43039,Mirko Pigliacelli,https://media.api-sports.io/football/players/43039.png,90.0,22,G,8,False,False,0,3.0,21.0,19,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,
1063003,Palermo,522,31135,Aleš Matějů,https://media.api-sports.io/football/players/31135.png,90.0,37,D,7.5,False,False,0,,59.0,56,8.0,5.0,0,0,0,0,,2.0,,,,2.0,2.0,,,,,,,,,,
1063003,Palermo,522,31725,Fabio Lucioni,https://media.api-sports.io/football/players/31725.png,90.0,5,D,7.3,False,False,0,,56.0,50,6.0,4.0,0,0,0,0,,2.0,1.0,,,1.0,2.0,,,,,,1.0,,,,
1063003,Palermo,522,31450,Ivan Marconi,https://media.api-sports.io/football/players/31450.png,69.0,15,D,6.9,False,False,0,,38.0,35,3.0,1.0,1,0,0,0,,1.0,2.0,,,,1.0,,,,,,,,,,
1063003,Palermo,522,31415,Pietro Ceccaroni,https://media.api-sports.io/football/players/31415.png,90.0,32,D,7.3,False,False,0,,47.0,45,4.0,1.0,0,0,0,0,,1.0,1.0,,,,1.0,2.0,,1.0,1.0,1.0,,,,,
1063003,Palermo,522,197788,Aljoša Vasić,https://media.api-sports.io/football/players/197788.png,78.0,20,M,7.2,False,False,0,,13.0,9,14.0,11.0,1,0,0,0,,,,,,4.0,,,,3.0,1.0,,,,,,
1063003,Palermo,522,31028,Leo Štulac,https://media.api-sports.io/football/players/31028.png,69.0,6,M,6.7,False,False,0,,27.0,22,7.0,3.0,0,0,0,0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,
1063003,Palermo,522,632,Claudio Gomes,https://media.api-sports.io/football/players/632.png,90.0,4,M,6.9,False,False,0,,25.0,22,7.0,3.0,0,0,0,0,,2.0,,,,1.0,2.0,1.0,,,,1.0,1.0,,,,
1063003,Palermo,522,30637,Roberto Insigne,https://media.api-sports.io/football/players/30637.png,78.0,11,F,7.3,False,False,0,,33.0,33,7.0,4.0,1,0,0,0,,,,4.0,4.0,,2.0,,,1.0,,,4.0,,,,
1063003,Palermo,522,56176,Matteo Brunori,https://media.api-sports.io/football/players/56176.png,90.0,9,F,6.6,True,False,0,,5.0,4,13.0,4.0,1,0,0,0,,,,1.0,,1.0,2.0,,,1.0,,1.0,,2.0,1.0,,
1063003,Palermo,522,31376,Francesco Di Mariano,https://media.api-sports.io/football/players/31376.png,78.0,10,F,6.3,False,False,0,,16.0,12,9.0,5.0,0,0,0,1,,,,1.0,,5.0,,,,1.0,,1.0,,,,,
1063003,Palermo,522,324095,Alessio Buttaro,https://media.api-sports.io/football/players/324095.png,21.0,25,D,6.7,False,True,0,,11.0,8,3.0,2.0,0,0,0,0,,1.0,,1.0,,,,,,1.0,,,,,,,
1063003,Palermo,522,31503,Leonardo Mancuso,https://media.api-sports.io/football/players/31503.png,21.0,7,F,6.6,False,True,0,,4.0,3,1.0,1.0,0,0,0,0,,,,,,,,,,1.0,,,,,,,
1063003,Palermo,522,31241,Dario Šarić,https://media.api-sports.io/football/players/31241.png,12.0,23,M,6.9,False,True,0,,6.0,5,1.0,1.0,0,0,0,0,,,,1.0,1.0,,,,,,,,1.0,,,,
1063003,Palermo,522,32131,Nicola Valente,https://media.api-sports.io/football/players/32131.png,12.0,30,M,6.6,False,True,0,,3.0,2,5.0,2.0,0,0,0,0,,,,3.0,2.0,,1.0,,,,,,1.0,,,,
1063003,Palermo,522,41989,Edoardo Soleri,https://media.api-sports.io/football/players/41989.png,12.0,27,F,6.7,False,True,0,,,,,,0,0,0,0,,,,,,,,,,1.0,,,,,,,
1063003,Palermo,522,432099,Manfredi Nespola,https://media.api-sports.io/football/players/432099.png,,12,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Palermo,522,322859,Sebastiano Desplanches,https://media.api-sports.io/football/players/322859.png,,1,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Palermo,522,15690,Simon Graves Jensen,https://media.api-sports.io/football/players/15690.png,,2,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Palermo,522,53704,Ionuț Nedelcearu,https://media.api-sports.io/football/players/53704.png,,18,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Palermo,522,31370,Jacopo Segre,https://media.api-sports.io/football/players/31370.png,,8,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063003,Palermo,522,31207,Samuele Damiani,https://media.api-sports.io/football/players/31207.png,,21,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
1063010,Ternana,516,31252,Antony Iannarilli,https://media.api-sports.io/football/players/31252.png,90.0,1,G,7.2,False,False,2,5.0,17.0,15,2.0,1.0,0,0,0,0,0.0,1.0,,,,,,,,,,1.0,,,,,
1063010,Ternana,516,280801,Salim Diakite,https://media.api-sports.io/football/players/280801.png,90.0,23,D,6.9,False,False,0,,42.0,31,9.0,5.0,0,0,0,0,,3.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,
1063010,Ternana,516,30951,Luka Bogdan,https://media.api-sports.io/football/players/30951.png,90.0,26,D,6.9,False,False,0,,53.0,35,15.0,8.0,1,0,0,0,,4.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,
1063010,Ternana,516,56642,Alessandro Celli,https://media.api-sports.io/football/players/56642.png,90.0,3,D,6.6,False,False,0,,60.0,47,10.0,8.0,1,0,0,0,,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,
1063010,Ternana,516,31669,Tiago Casasola,https://media.api-sports.io/football/players/31669.png,67.0,15,M,6.3,False,False,0,,18.0,8,7.0,3.0,0,0,0,0,,1.0,,1.0,,1.0,,,,,,2.0,1.0,1.0,,,
1063010,Ternana,516,31525,Filippo Damian,https://media.api-sports.io/football/players/31525.png,45.0,5,M,6.7,False,False,0,,9.0,5,5.0,2.0,0,0,0,0,,1.0,,,,1.0,1.0,,,,,,,,,,
1063010,Ternana,516,56655,Mattia Proietti,https://media.api-sports.io/football/players/56655.png,90.0,8,M,7.3,False,False,0,,62.0,49,5.0,4.0,1,0,0,0,,2.0,1.0,,,1.0,,4.0,,,,,3.0,,,,
