fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1063003,508,Bari,https://media.api-sports.io/football/teams/508.png,3,4,11,4,9,2,15,3,0,44%,7,2,2,304,244,80%,,
1063003,522,Palermo,https://media.api-sports.io/football/teams/522.png,2,8,16,6,8,8,14,5,2,56%,4,0,3,364,325,89%,,
1063010,516,Ternana,https://media.api-sports.io/football/teams/516.png,3,3,14,8,8,6,10,5,2,45%,4,,5,364,262,72%,,
1063010,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,6,4,13,3,8,5,12,4,1,55%,1,,2,458,368,80%,,
1063006,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,7,17,5,6,11,19,6,0,43%,3,,2,396,325,82%,,
1063006,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,2,2,6,2,4,2,7,2,2,57%,1,,3,559,485,87%,,
1063005,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,6,9,22,7,16,6,12,7,3,71%,1,0,0,443,394,89%,,
1063005,507,Ascoli,https://media.api-sports.io/football/teams/507.png,0,2,4,2,1,3,13,0,1,29%,4,3,3,190,125,66%,,
1063009,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,4,4,10,2,8,2,21,2,0,33%,3,,2,329,250,76%,,
1063009,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,7,17,5,6,11,20,1,1,67%,3,,1,681,610,90%,,
1063004,510,Cittadella,https://media.api-sports.io/football/teams/510.png,3,6,13,4,9,4,19,6,2,37%,3,,1,278,173,62%,,
1063004,880,Reggiana,https://media.api-sports.io/football/teams/880.png,1,3,8,4,2,6,20,2,1,63%,3,,2,508,410,81%,,
1063011,517,Venezia,https://media.api-sports.io/football/teams/517.png,6,8,18,4,13,5,10,9,1,46%,,,3,344,272,79%,,
1063011,895,Como,https://media.api-sports.io/football/teams/895.png,3,5,12,4,5,7,17,3,4,54%,,,3,414,336,81%,,
1063007,523,Parma,https://media.api-sports.io/football/teams/523.png,4,5,15,6,5,10,11,7,,51%,1,,2,466,391,84%,,
1063007,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,2,6,13,5,9,4,14,7,,49%,4,,2,436,359,82%,,
1063019,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,2,8,12,2,8,4,17,5,6,55%,1,,1,425,347,82%,,
1063019,801,Pisa,https://media.api-sports.io/football/teams/801.png,3,5,8,0,7,1,18,3,1,45%,4,,3,363,274,75%,,
1063020,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,8,20,8,15,5,10,8,2,61%,1,,0,529,460,87%,,
1063020,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,1,2,4,1,2,2,6,2,1,39%,1,,3,347,276,80%,,
1063014,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,13,25,7,12,13,9,5,2,60%,1,,0,480,410,85%,,
1063014,508,Bari,https://media.api-sports.io/football/teams/508.png,1,5,6,0,4,2,10,3,2,40%,3,,5,325,225,69%,,
1063018,523,Parma,https://media.api-sports.io/football/teams/523.png,3,2,10,5,6,4,16,2,0,38%,1,,0,354,246,69%,,
1063018,510,Cittadella,https://media.api-sports.io/football/teams/510.png,0,9,19,10,12,7,15,11,3,62%,2,,1,540,452,84%,,
1063015,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,1,4,7,2,3,4,16,6,1,66%,2,,2,612,510,83%,,
1063015,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,4,3,9,2,6,3,12,1,1,34%,3,,1,320,224,70%,,
1063013,895,Como,https://media.api-sports.io/football/teams/895.png,4,3,10,3,6,4,18,3,0,40%,3,,3,315,242,77%,,
1063013,880,Reggiana,https://media.api-sports.io/football/teams/880.png,5,2,12,5,5,7,14,4,1,60%,2,,2,484,392,81%,,
1063017,899,Modena,https://media.api-sports.io/football/teams/899.png,3,8,13,2,5,8,12,9,1,55%,1,0,5,483,388,80%,,
1063017,507,Ascoli,https://media.api-sports.io/football/teams/507.png,5,3,8,0,5,3,19,1,0,45%,1,1,2,391,304,78%,,
1063012,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,5,6,15,4,11,4,8,4,2,59%,1,,7,473,399,84%,,
1063012,516,Ternana,https://media.api-sports.io/football/teams/516.png,7,14,25,4,17,8,15,7,2,41%,2,,3,326,247,76%,,
1063021,507,Ascoli,https://media.api-sports.io/football/teams/507.png,5,8,19,6,10,9,14,7,2,55%,0,,4,468,394,84%,,
1063021,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,4,1,5,0,3,2,15,3,0,45%,3,,3,396,317,80%,,
1063026,801,Pisa,https://media.api-sports.io/football/teams/801.png,2,6,16,8,12,4,15,7,5,60%,1,1,0,516,453,88%,,
1063026,523,Parma,https://media.api-sports.io/football/teams/523.png,2,4,9,3,7,2,12,4,3,40%,3,1,1,351,287,82%,,
1063027,880,Reggiana,https://media.api-sports.io/football/teams/880.png,2,8,15,5,9,6,9,7,1,50%,3,1,6,396,323,82%,,
1063027,522,Palermo,https://media.api-sports.io/football/teams/522.png,9,7,18,2,13,5,19,3,1,50%,0,0,1,401,340,85%,,
1063025,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,2,7,12,3,10,2,11,6,,53%,4,,3,470,370,79%,,
1063025,899,Modena,https://media.api-sports.io/football/teams/899.png,5,3,10,2,4,6,15,3,,47%,2,,1,430,339,79%,,
1063028,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,5,8,17,4,12,5,11,7,2,47%,5,,3,430,356,83%,,
1063028,517,Venezia,https://media.api-sports.io/football/teams/517.png,5,3,13,5,9,4,7,4,2,53%,0,,4,497,411,83%,,
1063022,508,Bari,https://media.api-sports.io/football/teams/508.png,4,5,14,5,9,5,14,1,1,48%,1,,4,396,319,81%,,
1063022,510,Cittadella,https://media.api-sports.io/football/teams/510.png,5,9,17,3,10,7,14,8,1,52%,1,,3,413,344,83%,,
1063029,516,Ternana,https://media.api-sports.io/football/teams/516.png,4,3,10,3,4,6,8,8,5,54%,2,0,3,447,344,77%,,
1063029,520,Cremonese,https://media.api-sports.io/football/teams/520.png,4,8,17,5,10,7,10,5,0,46%,3,1,4,375,284,76%,,
1063023,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,5,2,10,3,3,7,15,6,,46%,2,1,2,385,289,75%,,
1063023,515,Spezia,https://media.api-sports.io/football/teams/515.png,2,3,8,3,5,3,22,5,,54%,3,0,3,434,352,81%,,
1063034,522,Palermo,https://media.api-sports.io/football/teams/522.png,6,7,16,3,10,6,14,5,2,52%,1,,0,519,440,85%,,
1063034,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,0,4,8,4,6,2,8,6,2,48%,1,,3,487,406,83%,,
1063035,523,Parma,https://media.api-sports.io/football/teams/523.png,4,11,18,3,8,10,15,6,1,60%,2,,1,512,440,86%,,
1063035,880,Reggiana,https://media.api-sports.io/football/teams/880.png,1,3,8,4,4,4,8,2,3,40%,2,,3,346,263,76%,,
1063033,899,Modena,https://media.api-sports.io/football/teams/899.png,4,5,14,5,8,6,13,7,1,44%,2,0,2,355,285,80%,,
1063033,801,Pisa,https://media.api-sports.io/football/teams/801.png,2,2,6,2,1,5,11,7,1,56%,2,1,2,452,376,83%,,
1063037,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,4,3,7,0,5,2,16,0,1,34%,2,,4,313,230,73%,,
1063037,507,Ascoli,https://media.api-sports.io/football/teams/507.png,4,6,14,4,4,10,12,8,0,66%,4,,1,592,515,87%,,
1125198,518,Brescia,https://media.api-sports.io/football/teams/518.png,1,4,7,2,4,3,19,5,2,46%,4,0,1,344,263,76%,,
1125198,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,1,6,13,6,8,5,19,7,3,54%,2,1,0,396,314,79%,,
1063036,515,Spezia,https://media.api-sports.io/football/teams/515.png,1,6,9,2,1,8,15,6,1,65%,5,,4,580,486,84%,,
1063036,895,Como,https://media.api-sports.io/football/teams/895.png,5,2,12,5,9,3,20,6,1,35%,4,,1,321,240,75%,,
1063038,516,Ternana,https://media.api-sports.io/football/teams/516.png,2,7,13,4,9,4,17,3,4,41%,3,,1,373,295,79%,,
1063038,508,Bari,https://media.api-sports.io/football/teams/508.png,1,5,10,4,1,9,17,3,1,59%,2,,2,558,479,86%,,
1063031,520,Cremonese,https://media.api-sports.io/football/teams/520.png,11,6,19,2,12,7,14,3,3,42%,2,,3,363,277,76%,,
1063031,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,4,3,8,1,6,2,12,2,1,58%,4,,9,531,444,84%,,
1063032,6379,Lecco,https://media.api-sports.io/football/teams/6379.png,7,6,17,4,11,6,7,3,1,40%,2,,4,371,308,83%,,
1063032,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,8,9,20,3,15,5,11,6,2,60%,1,,4,563,489,87%,,
1063030,510,Cittadella,https://media.api-sports.io/football/teams/510.png,4,3,8,1,5,3,13,5,,44%,3,,3,321,210,65%,,
1063030,517,Venezia,https://media.api-sports.io/football/teams/517.png,3,4,10,3,7,3,14,5,,56%,2,,4,414,283,68%,,
1063047,517,Venezia,https://media.api-sports.io/football/teams/517.png,3,2,9,4,6,3,16,3,4,40%,2,,6,378,284,75%,,
1063047,515,Spezia,https://media.api-sports.io/football/teams/515.png,7,4,23,12,11,12,17,5,1,60%,3,,2,560,476,85%,,
1063039,507,Ascoli,https://media.api-sports.io/football/teams/507.png,1,10,16,5,10,6,7,8,,51%,0,,3,398,321,81%,,
1063039,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,6,11,1,9,2,21,10,,49%,2,,1,376,303,81%,,
1063044,801,Pisa,https://media.api-sports.io/football/teams/801.png,1,2,7,4,1,6,18,3,,46%,4,1,2,398,332,83%,,
1063044,508,Bari,https://media.api-sports.io/football/teams/508.png,3,4,10,3,4,6,11,5,,54%,2,0,0,454,388,85%,,
1063043,884,Feralpisalo,https://media.api-sports.io/football/teams/884.png,1,6,10,3,7,3,8,4,0,41%,4,1,6,329,249,76%,,
1063043,899,Modena,https://media.api-sports.io/football/teams/899.png,6,6,17,5,9,8,16,7,1,59%,4,0,0,474,402,85%,,
1125199,6379,Lecco,https://media.api-sports.io/football/teams/6379.png,7,7,24,10,13,11,19,7,1,60%,3,,3,375,294,78%,,
1125199,518,Brescia,https://media.api-sports.io/football/teams/518.png,5,4,11,2,7,4,18,9,2,40%,2,,7,269,187,70%,,
1063042,10137,Cosenza,https://media.api-sports.io/football/teams/10137.png,5,3,12,4,6,6,15,5,0,54%,4,,0,445,354,80%,,
1063042,1578,Sudtirol,https://media.api-sports.io/football/teams/1578.png,2,3,6,1,3,3,11,2,1,46%,1,,3,382,274,72%,,
1063045,880,Reggiana,https://media.api-sports.io/football/teams/880.png,5,1,7,1,4,3,7,0,5,42%,0,,6,399,318,80%,,
1063045,520,Cremonese,https://media.api-sports.io/football/teams/520.png,8,18,37,11,21,16,13,14,1,58%,1,,3,502,428,85%,,
1063041,895,Como,https://media.api-sports.io/football/teams/895.png,5,7,19,7,11,8,16,1,0,52%,2,,4,432,366,85%,,
1063041,516,Ternana,https://media.api-sports.io/football/teams/516.png,4,5,10,1,7,3,16,3,2,48%,2,,3,405,327,81%,,
1063040,1687,Catanzaro,https://media.api-sports.io/football/teams/1687.png,2,4,12,6,7,5,7,8,3,64%,1,,2,511,453,89%,,
1063040,523,Parma,https://media.api-sports.io/football/teams/523.png,7,1,10,2,10,0,13,3,2,36%,4,,2,291,222,76%,,
1063046,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,5,4,12,3,7,5,14,2,3,61%,3,,4,558,474,85%,,
