fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
812846,18095,Laguna,https://media.api-sports.io/football/teams/18095.png,1,1,5,3,1,4,8,3,0,34%,2,,10,292,232,79%
812846,715,Granada CF,https://media.api-sports.io/football/teams/715.png,17,12,31,2,27,4,13,9,1,66%,1,,1,568,511,90%
812847,18100,Unami,https://media.api-sports.io/football/teams/18100.png,0,1,1,0,0,1,11,1,0,28%,4,,5,243,146,60%
812847,542,Alaves,https://media.api-sports.io/football/teams/542.png,7,5,15,3,7,8,9,9,2,72%,2,,0,606,520,86%
812843,18102,Victoria CF,https://media.api-sports.io/football/teams/18102.png,0,0,0,0,0,0,2,1,1,29%,,,9,252,171,68%
812843,533,Villarreal,https://media.api-sports.io/football/teams/533.png,16,9,29,4,25,4,7,14,1,71%,,,0,621,542,87%
812850,5261,Ebro,https://media.api-sports.io/football/teams/5261.png,0,5,5,0,3,2,11,3,1,31%,1,,2,303,216,71%
812850,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,7,6,16,3,12,4,6,4,2,69%,0,,0,685,606,88%
812845,18096,Mollerussa,https://media.api-sports.io/football/teams/18096.png,2,2,4,0,1,3,13,1,2,35%,5,1,2,303,202,67%
812845,546,Getafe,https://media.api-sports.io/football/teams/546.png,7,8,22,7,14,8,14,6,2,65%,1,0,1,553,469,85%
812848,713,Cordoba,https://media.api-sports.io/football/teams/713.png,4,4,12,4,5,7,19,2,0,32%,3,,8,369,256,69%
812848,536,Sevilla,https://media.api-sports.io/football/teams/536.png,9,11,26,6,16,10,17,12,6,68%,5,,4,786,683,87%
812853,9387,Gimnástica Segoviana,https://media.api-sports.io/football/teams/9387.png,3,6,14,5,8,6,20,4,3,45%,4,1,4,474,339,72%
812853,798,Mallorca,https://media.api-sports.io/football/teams/798.png,6,10,17,1,10,7,18,6,3,55%,3,1,3,572,441,77%
812844,9647,Solares,https://media.api-sports.io/football/teams/9647.png,5,1,10,4,3,7,18,4,2,43%,2,,7,225,78,35%
812844,540,Espanyol,https://media.api-sports.io/football/teams/540.png,10,6,21,5,15,6,7,5,1,57%,1,,3,297,164,55%
812852,9800,Panadería Pulido,https://media.api-sports.io/football/teams/9800.png,2,2,5,1,4,1,12,3,1,29%,,,10,245,139,57%
812852,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,14,8,31,9,22,9,15,9,2,71%,,,2,610,517,85%
812840,18089,CFI Alicante,https://media.api-sports.io/football/teams/18089.png,0,4,5,1,1,4,12,3,3,41%,2,,4,370,289,78%
