fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
968511,15527,Rincón,https://media.api-sports.io/football/teams/15527.png,0,0,0,0,0,0,9,0,1,33%,2,1,7,308,233,76%,
968511,540,Espanyol,https://media.api-sports.io/football/teams/540.png,10,5,19,4,10,9,13,8,4,67%,4,1,0,613,561,92%,
968517,18096,Mollerussa,https://media.api-sports.io/football/teams/18096.png,2,3,6,1,1,5,18,2,2,28%,,,1,217,133,61%,
968517,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,4,9,17,4,10,7,13,3,0,72%,,,1,569,494,87%,
968518,9586,Real Unión,https://media.api-sports.io/football/teams/9586.png,6,4,13,3,9,4,6,6,3,40%,1,,5,358,273,76%,
968518,724,Cadiz,https://media.api-sports.io/football/teams/724.png,7,9,19,3,14,5,7,9,3,60%,2,,3,534,446,84%,
968521,9767,San Roque Lepe,https://media.api-sports.io/football/teams/9767.png,3,3,11,5,5,6,17,6,5,41%,4,,6,349,216,62%,
968521,546,Getafe,https://media.api-sports.io/football/teams/546.png,9,5,22,8,13,9,28,11,4,59%,2,,1,515,362,70%,
968519,9604,Arenteiro,https://media.api-sports.io/football/teams/9604.png,5,3,9,1,8,1,14,5,3,39%,0,0,2,273,185,68%,
968519,723,Almeria,https://media.api-sports.io/football/teams/723.png,2,4,7,1,6,1,15,2,5,61%,3,1,3,444,339,76%,
968520,9687,Alzira,https://media.api-sports.io/football/teams/9687.png,4,5,15,6,9,6,12,4,2,40%,1,,7,327,234,72%,
968520,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,9,4,17,4,12,5,15,10,3,60%,1,,4,489,400,82%,
973572,9388,Guijuelo,https://media.api-sports.io/football/teams/9388.png,6,1,9,2,3,6,15,6,4,28%,4,2,1,323,209,65%,
973572,533,Villarreal,https://media.api-sports.io/football/teams/533.png,4,5,11,2,6,5,8,2,4,72%,0,0,5,849,741,87%,
973570,9413,Sestao River,https://media.api-sports.io/football/teams/9413.png,2,6,12,4,4,8,15,4,0,42%,3,,3,305,174,57%,
973570,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,4,4,8,0,6,2,13,4,3,58%,0,,2,415,303,73%,
973564,9586,Real Unión,https://media.api-sports.io/football/teams/9586.png,2,3,8,3,3,5,10,2,2,40%,2,,3,346,258,75%,
973564,798,Mallorca,https://media.api-sports.io/football/teams/798.png,4,7,12,1,8,4,20,4,2,60%,3,,2,523,434,83%,
973571,9699,Saguntino,https://media.api-sports.io/football/teams/9699.png,3,2,5,0,4,1,18,4,5,23%,4,,7,233,105,45%,
973571,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,7,11,24,6,9,15,13,7,0,77%,0,,3,792,684,86%,
973566,9578,Arenas Getxo,https://media.api-sports.io/football/teams/9578.png,3,6,11,2,6,5,14,6,1,37%,3,,7,242,152,63%,
973566,720,Valladolid,https://media.api-sports.io/football/teams/720.png,12,7,21,2,17,4,11,5,1,63%,4,,2,430,334,78%,
973573,5263,Gernika,https://media.api-sports.io/football/teams/5263.png,0,2,5,3,3,2,8,1,2,34%,1,,4,305,198,65%,
973573,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,7,8,18,3,9,9,13,4,3,66%,2,,0,593,514,87%,
973577,9384,Cacereño,https://media.api-sports.io/football/teams/9384.png,7,3,10,0,7,3,17,1,3,34%,2,,1,267,162,61%,
973577,547,Girona,https://media.api-sports.io/football/teams/547.png,2,5,8,1,6,2,13,4,4,66%,1,,4,541,437,81%,
973585,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,6,2,10,2,8,2,15,9,0,34%,2,,2,281,208,74%,
973585,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,4,13,6,7,6,9,9,1,66%,1,,3,557,493,89%,
973590,718,Oviedo,https://media.api-sports.io/football/teams/718.png,1,3,6,2,4,2,19,3,0,27%,3,0,4,193,117,61%,
973590,715,Granada CF,https://media.api-sports.io/football/teams/715.png,4,2,8,2,5,3,13,6,2,73%,4,1,0,540,442,82%,
973589,9393,La Nucía,https://media.api-sports.io/football/teams/9393.png,3,7,13,3,7,6,16,3,2,54%,1,1,2,554,473,85%,
973589,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,2,2,6,2,1,5,20,3,1,46%,3,1,3,486,402,83%,
973565,9604,Arenteiro,https://media.api-sports.io/football/teams/9604.png,2,3,7,2,5,2,14,1,4,44%,4,,7,331,238,72%,
973565,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,10,3,14,1,12,2,12,5,2,56%,4,,1,418,314,75%,
982775,540,Espanyol,https://media.api-sports.io/football/teams/540.png,6,6,15,3,9,6,19,11,9,47%,5,0,1,519,418,81%,
982775,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,2,7,14,5,9,5,17,4,1,53%,8,1,3,596,502,84%,
982774,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,7,7,20,6,15,5,17,9,2,34%,4,,4,269,214,80%,
982774,533,Villarreal,https://media.api-sports.io/football/teams/533.png,9,6,18,3,11,7,12,3,1,66%,2,,6,557,498,89%,
982773,9393,La Nucía,https://media.api-sports.io/football/teams/9393.png,0,4,5,1,4,1,10,2,3,42%,2,,1,422,351,83%,
982773,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,2,6,0,4,2,18,5,2,58%,1,,0,573,495,86%,
982778,539,Levante,https://media.api-sports.io/football/teams/539.png,7,3,12,2,6,6,11,2,6,62%,2,1,4,580,512,88%,
982778,546,Getafe,https://media.api-sports.io/football/teams/546.png,6,4,12,2,9,3,20,6,0,38%,6,0,4,352,274,78%,
982779,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,4,4,11,3,8,3,11,6,1,40%,3,,5,361,272,75%,
982779,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,5,5,11,1,4,7,11,4,3,60%,1,,2,561,480,86%,
982776,9384,Cacereño,https://media.api-sports.io/football/teams/9384.png,1,2,9,6,4,5,21,4,3,44%,5,,3,293,200,68%,
982776,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,4,2,7,1,5,2,18,3,3,56%,2,,1,400,305,76%,
982780,5280,UD Logroñés,https://media.api-sports.io/football/teams/5280.png,2,0,4,2,2,2,15,2,2,40%,2,,3,334,240,72%,
982780,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,4,4,10,2,8,2,14,3,2,60%,2,,2,491,406,83%,
982782,9398,Linares Deportivo,https://media.api-sports.io/football/teams/9398.png,2,5,11,4,4,7,7,5,1,37%,,,1,321,250,78%,
982782,536,Sevilla,https://media.api-sports.io/football/teams/536.png,5,4,11,2,9,2,7,5,3,63%,,,2,566,498,88%,
982781,9407,Pontevedra,https://media.api-sports.io/football/teams/9407.png,3,8,16,5,10,6,19,11,3,53%,4,,6,471,317,67%,
982781,798,Mallorca,https://media.api-sports.io/football/teams/798.png,8,6,18,4,12,6,21,7,10,47%,5,,3,418,277,66%,
982783,718,Oviedo,https://media.api-sports.io/football/teams/718.png,2,8,11,1,6,5,10,4,0,43%,0,,4,423,345,82%,
982783,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,6,3,12,3,8,4,12,2,1,57%,3,,2,584,492,84%,
982785,542,Alaves,https://media.api-sports.io/football/teams/542.png,5,5,12,2,8,4,19,2,2,50%,4,0,3,409,348,85%,
982785,720,Valladolid,https://media.api-sports.io/football/teams/720.png,3,8,14,3,6,8,10,1,1,50%,4,1,2,415,349,84%,
982787,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,5,5,13,3,9,4,17,6,5,32%,5,1,4,369,232,63%,
982787,727,Osasuna,https://media.api-sports.io/football/teams/727.png,5,16,27,6,13,14,14,11,1,68%,3,1,4,771,644,84%,
982786,9781,Ibiza Islas Pitiusas,https://media.api-sports.io/football/teams/9781.png,2,7,11,2,5,6,15,5,4,32%,2,,4,261,176,67%,
982786,543,Real Betis,https://media.api-sports.io/football/teams/543.png,7,6,15,2,7,8,10,7,5,68%,1,,1,571,478,84%,
982788,9692,Eldense,https://media.api-sports.io/football/teams/9692.png,4,3,12,5,6,6,13,8,2,41%,2,,4,340,254,75%,
982788,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,9,0,13,4,10,3,11,4,2,59%,0,,3,486,400,82%,
986145,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,5,8,1,5,3,21,5,1,57%,3,,1,461,374,81%,
986145,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,1,4,1,2,2,22,2,4,43%,3,,1,345,262,76%,
986142,542,Alaves,https://media.api-sports.io/football/teams/542.png,3,5,15,7,8,7,8,13,2,47%,1,,0,394,314,80%,
986142,536,Sevilla,https://media.api-sports.io/football/teams/536.png,1,3,7,3,4,3,12,2,2,53%,4,,3,468,394,84%,
986141,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,0,1,6,5,4,2,13,4,5,45%,,,4,458,379,83%,
986141,532,Valencia,https://media.api-sports.io/football/teams/532.png,8,5,14,1,13,1,14,0,3,55%,,,0,570,510,89%,
986146,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,9,6,24,9,14,10,10,17,2,63%,1,,1,509,413,81%,
986146,540,Espanyol,https://media.api-sports.io/football/teams/540.png,1,2,4,1,2,2,13,2,3,37%,4,,8,304,217,71%,
986140,539,Levante,https://media.api-sports.io/football/teams/539.png,2,4,9,3,5,4,11,9,1,49%,2,,2,506,428,85%,
986140,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,4,0,7,3,5,2,4,3,4,51%,0,,2,562,462,82%,
986143,543,Real Betis,https://media.api-sports.io/football/teams/543.png,6,5,18,7,9,9,12,7,3,54%,0,,4,597,467,78%,
986143,727,Osasuna,https://media.api-sports.io/football/teams/727.png,6,11,21,4,15,6,21,6,6,46%,2,,3,482,368,76%,
986139,10139,AD Ceuta FC,https://media.api-sports.io/football/teams/10139.png,0,6,6,0,2,4,10,6,4,35%,1,,2,295,226,77%,
986139,529,Barcelona,https://media.api-sports.io/football/teams/529.png,7,7,16,2,10,6,12,5,1,65%,0,,0,563,493,88%,
986144,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,5,12,4,7,5,22,3,1,53%,5,,3,511,450,88%,
986144,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,7,2,11,2,8,3,17,1,3,47%,4,,1,455,383,84%,
992756,529,Barcelona,https://media.api-sports.io/football/teams/529.png,6,8,19,5,14,5,10,9,5,74%,2,0,2,634,563,89%,
992756,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,4,7,1,6,1,12,3,0,26%,1,1,4,220,153,70%,
992757,727,Osasuna,https://media.api-sports.io/football/teams/727.png,5,3,12,4,9,3,16,9,3,33%,2,,6,381,262,69%,
992757,536,Sevilla,https://media.api-sports.io/football/teams/536.png,7,5,19,7,8,11,14,14,8,67%,2,,3,764,636,83%,
992758,532,Valencia,https://media.api-sports.io/football/teams/532.png,1,3,5,1,2,3,19,1,3,53%,4,,0,469,371,79%,
992758,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,3,3,10,4,6,4,15,3,4,47%,3,,1,420,307,73%,
992759,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,6,11,23,6,14,9,11,7,,61%,2,0,5,974,883,91%,
992759,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,6,6,12,0,7,5,18,6,,39%,6,1,3,628,535,85%,
997736,727,Osasuna,https://media.api-sports.io/football/teams/727.png,3,3,9,3,3,6,11,3,0,45%,3,,2,324,215,66%,
997736,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,2,3,8,3,4,4,13,5,4,55%,3,,2,392,277,71%,
997738,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,0,6,13,7,7,6,16,11,4,65%,3,,1,679,599,88%,
997738,529,Barcelona,https://media.api-sports.io/football/teams/529.png,2,1,4,1,4,0,13,2,3,35%,3,,0,379,309,82%,
997737,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,1,0,1,0,1,,1,,,76%,,,0,59,50,85%,
997737,727,Osasuna,https://media.api-sports.io/football/teams/727.png,0,1,1,0,1,,1,,,24%,,,1,17,10,59%,
997739,529,Barcelona,https://media.api-sports.io/football/teams/529.png,5,3,11,3,11,0,21,3,0,53%,7,,3,439,376,86%,
997739,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,7,2,9,0,7,2,8,1,4,47%,4,,5,400,342,86%,
