fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1311444,5256,Compostela,https://media.api-sports.io/football/teams/5256.png,0,5,7,2,3,4,16,3,5,50%,1,,1,372,275,74%,,
1311444,542,Alaves,https://media.api-sports.io/football/teams/542.png,1,6,8,1,5,3,18,6,4,50%,3,,0,369,280,76%,,
1311451,5274,Real Jaén,https://media.api-sports.io/football/teams/5274.png,4,3,7,0,3,4,6,3,0,46%,1,1,4,315,249,79%,,
1311451,724,Cadiz,https://media.api-sports.io/football/teams/724.png,6,8,19,5,10,9,13,9,5,54%,2,0,4,356,300,84%,,
1311453,9392,L'Hospitalet,https://media.api-sports.io/football/teams/9392.png,2,2,7,3,6,1,17,5,2,34%,2,,2,243,179,74%,,
1311453,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,7,6,19,6,13,6,9,3,0,66%,2,,1,474,414,87%,,
1311462,593,Europa Fc,https://media.api-sports.io/football/teams/593.png,10,10,23,3,10,13,10,5,3,60%,0,0,2,329,263,80%,,
1311462,722,Albacete,https://media.api-sports.io/football/teams/722.png,4,0,6,2,5,1,6,1,1,40%,1,1,8,216,150,69%,,
1311445,9395,Las Rozas,https://media.api-sports.io/football/teams/9395.png,2,3,6,1,3,3,19,3,3,29%,1,,2,248,164,66%,,
1311445,536,Sevilla,https://media.api-sports.io/football/teams/536.png,4,2,11,5,5,6,13,7,2,71%,1,,2,621,543,87%,,
1311467,9403,Olot,https://media.api-sports.io/football/teams/9403.png,5,1,9,3,6,3,13,5,5,45%,3,,7,247,163,66%,,
1311467,713,Cordoba,https://media.api-sports.io/football/teams/713.png,7,4,13,2,7,6,8,3,3,55%,1,,4,318,246,77%,,
1311448,9756,Ciudad de Lucena,https://media.api-sports.io/football/teams/9756.png,2,6,11,3,4,7,14,7,1,42%,3,,5,367,295,80%,,
1311448,537,Leganes,https://media.api-sports.io/football/teams/537.png,7,5,16,4,10,6,10,6,5,58%,1,,1,526,458,87%,,
1311468,717,Numancia,https://media.api-sports.io/football/teams/717.png,0,0,0,0,0,0,1,,,,,,,,,,,
1311468,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,0,0,0,0,0,0,0,,,,,,,,,,,
1311456,5277,Sant Andreu,https://media.api-sports.io/football/teams/5277.png,1,0,1,0,1,0,1,,,100%,,,,1,1,100%,,
1311456,799,Mirandes,https://media.api-sports.io/football/teams/799.png,1,0,1,0,1,0,0,,,0%,,,,0,0,,,
1311472,9384,Cacereño,https://media.api-sports.io/football/teams/9384.png,2,3,5,0,3,2,9,3,0,46%,4,,3,211,83,39%,,
1311472,9387,Gimnástica Segoviana,https://media.api-sports.io/football/teams/9387.png,4,7,13,2,5,8,9,2,2,54%,2,,0,247,108,44%,,
1311463,9407,Pontevedra,https://media.api-sports.io/football/teams/9407.png,8,12,24,4,16,8,15,6,1,70%,2,0,5,614,545,89%,,
1311463,539,Levante,https://media.api-sports.io/football/teams/539.png,6,4,10,0,9,1,9,4,1,30%,0,1,4,257,187,73%,,
1317914,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,7,13,24,4,14,10,28,8,2,41%,6,,3,482,385,80%,,
1317914,715,Granada CF,https://media.api-sports.io/football/teams/715.png,4,7,11,0,9,2,21,5,1,59%,5,,5,695,584,84%,,
1317915,593,Europa Fc,https://media.api-sports.io/football/teams/593.png,2,4,6,0,4,2,14,5,3,38%,3,,10,274,190,69%,,
1317915,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,12,6,22,4,17,5,13,5,2,62%,3,,1,484,376,78%,,
1317918,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,2,4,11,5,4,7,8,6,,57%,3,,1,315,252,80%,,
1317918,726,Huesca,https://media.api-sports.io/football/teams/726.png,2,4,9,3,7,2,10,4,,43%,2,,2,247,182,74%,,
1317916,5277,Sant Andreu,https://media.api-sports.io/football/teams/5277.png,4,2,8,2,7,1,15,4,2,51%,3,,3,422,342,81%,,
1317916,543,Real Betis,https://media.api-sports.io/football/teams/543.png,6,4,14,4,7,7,16,2,2,49%,5,,2,403,341,85%,,
1317917,5281,Unionistas de Salamanca,https://media.api-sports.io/football/teams/5281.png,5,9,19,5,12,7,16,4,2,35%,4,0,7,267,185,69%,,
1317917,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,10,4,16,2,7,9,14,3,1,65%,4,1,3,515,433,84%,,
1317921,724,Cadiz,https://media.api-sports.io/football/teams/724.png,1,1,2,0,2,0,3,1,,55%,3,,0,76,65,86%,,
1317921,9692,Eldense,https://media.api-sports.io/football/teams/9692.png,0,0,0,0,0,0,5,1,,45%,0,,1,60,43,72%,,
1317920,725,Cultural Leonesa,https://media.api-sports.io/football/teams/725.png,2,2,4,0,3,1,1,1,1,42%,0,,0,75,61,81%,,
1317920,723,Almeria,https://media.api-sports.io/football/teams/723.png,1,0,2,1,1,1,5,1,0,58%,1,,1,105,91,87%,,
1317922,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,0,0,0,0,0,0,0,,,67%,,,,1,1,100%,,
1317922,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,0,0,0,0,0,0,1,,,33%,,,,1,0,,,
1317923,5280,UD Logroñés,https://media.api-sports.io/football/teams/5280.png,1,7,9,1,4,5,16,1,0,42%,4,,2,487,394,81%,,
1317923,547,Girona,https://media.api-sports.io/football/teams/547.png,2,6,17,9,9,8,15,7,2,58%,2,,1,677,594,88%,,
1317925,9407,Pontevedra,https://media.api-sports.io/football/teams/9407.png,3,8,15,4,10,5,11,6,1,73%,,,2,714,619,87%,,
1317925,533,Villarreal,https://media.api-sports.io/football/teams/533.png,2,4,6,0,6,0,9,3,1,27%,,,2,257,186,72%,,
1317927,9418,Zamora,https://media.api-sports.io/football/teams/9418.png,0,0,0,0,0,0,0,,,32%,,,,7,6,86%,,
1317927,719,Tenerife,https://media.api-sports.io/football/teams/719.png,0,0,0,0,0,0,0,,,68%,,,,15,12,80%,,
1317928,9384,Cacereño,https://media.api-sports.io/football/teams/9384.png,2,2,5,1,2,3,15,1,0,29%,3,1,10,253,153,60%,,
1317928,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,11,11,26,4,14,12,9,7,2,71%,2,0,1,601,530,88%,,
1317929,9404,Orihuela,https://media.api-sports.io/football/teams/9404.png,4,2,9,3,3,6,21,4,3,35%,3,,8,306,190,62%,,
1317929,546,Getafe,https://media.api-sports.io/football/teams/546.png,9,11,23,3,12,11,21,6,1,65%,3,,4,585,486,83%,,
1317931,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,7,5,13,1,9,4,14,4,6,46%,3,0,4,433,313,72%,,
1317931,5254,Castellón,https://media.api-sports.io/football/teams/5254.png,5,9,17,3,7,10,13,7,1,54%,2,1,6,523,387,74%,,
1317932,5251,Barakaldo,https://media.api-sports.io/football/teams/5251.png,5,4,18,9,12,6,16,8,2,50%,5,,3,307,216,70%,,
1317932,9409,Racing Ferrol,https://media.api-sports.io/football/teams/9409.png,5,3,9,1,6,3,11,4,3,50%,2,,4,309,223,72%,,
1317933,5267,Marbella,https://media.api-sports.io/football/teams/5267.png,5,1,8,2,6,2,9,3,2,44%,4,,3,465,395,85%,,
1317933,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,3,0,4,1,2,2,20,2,1,56%,2,,4,613,529,86%,,
1317934,8157,FC Andorra,https://media.api-sports.io/football/teams/8157.png,5,10,20,5,11,9,12,10,2,67%,0,,0,551,469,85%,,
1317934,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,1,1,4,2,2,2,11,2,3,33%,3,,5,283,199,70%,,
1317937,5257,Conquense,https://media.api-sports.io/football/teams/5257.png,4,6,13,3,7,6,11,4,2,28%,6,,3,285,172,60%,,
1317937,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,5,11,22,6,12,10,12,14,4,72%,0,,4,701,616,88%,,
1317935,9403,Olot,https://media.api-sports.io/football/teams/9403.png,5,6,17,6,9,8,11,7,1,42%,1,,2,329,254,77%,,
1317935,536,Sevilla,https://media.api-sports.io/football/teams/536.png,5,3,12,4,7,5,16,1,1,58%,4,,4,483,428,89%,,
1321228,715,Granada CF,https://media.api-sports.io/football/teams/715.png,3,7,11,1,6,5,18,11,3,54%,5,,3,539,399,74%,,
1321228,546,Getafe,https://media.api-sports.io/football/teams/546.png,4,10,19,5,13,6,17,8,2,46%,5,,3,470,345,73%,,
1321222,9407,Pontevedra,https://media.api-sports.io/football/teams/9407.png,7,4,14,3,6,8,13,3,2,54%,5,,2,436,342,78%,,
1321222,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,3,6,1,5,1,11,6,2,46%,2,,4,358,257,72%,,
1321231,9409,Racing Ferrol,https://media.api-sports.io/football/teams/9409.png,2,8,18,8,11,7,11,9,1,46%,2,,3,366,289,79%,,
1321231,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,6,2,10,2,5,5,15,4,2,54%,3,,1,468,379,81%,,
1321229,726,Huesca,https://media.api-sports.io/football/teams/726.png,1,6,14,7,10,4,7,4,4,43%,4,,1,424,343,81%,,
1321229,543,Real Betis,https://media.api-sports.io/football/teams/543.png,2,8,16,6,10,6,8,12,1,57%,0,,1,568,493,87%,,
1321236,719,Tenerife,https://media.api-sports.io/football/teams/719.png,5,3,8,0,5,3,10,3,0,48%,4,,6,430,354,82%,,
1321236,727,Osasuna,https://media.api-sports.io/football/teams/727.png,7,1,12,4,9,3,11,9,4,52%,3,,4,460,380,83%,,
1321232,723,Almeria,https://media.api-sports.io/football/teams/723.png,6,4,14,4,7,7,10,2,1,48%,3,,2,414,335,81%,,
1321232,536,Sevilla,https://media.api-sports.io/football/teams/536.png,4,7,15,4,7,8,18,5,0,52%,1,,2,437,375,86%,,
1321221,9879,Barbastro,https://media.api-sports.io/football/teams/9879.png,1,0,2,1,1,1,16,1,3,25%,1,,5,228,138,61%,,
1321221,529,Barcelona,https://media.api-sports.io/football/teams/529.png,9,5,19,5,16,3,7,8,3,75%,1,,1,659,585,89%,,
1321225,5267,Marbella,https://media.api-sports.io/football/teams/5267.png,2,3,5,0,3,2,7,4,2,40%,1,,4,392,325,83%,,
1321225,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,5,8,18,5,10,8,15,6,1,60%,3,,2,600,529,88%,,
1321224,5280,UD Logroñés,https://media.api-sports.io/football/teams/5280.png,1,3,4,0,0,4,17,1,2,39%,2,,5,485,339,70%,,
1321224,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,5,8,18,5,12,6,19,5,4,61%,5,,1,754,613,81%,,
1321234,797,Elche,https://media.api-sports.io/football/teams/797.png,8,4,16,4,13,3,16,3,3,53%,5,,2,495,435,88%,,
1321234,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,2,1,6,3,4,2,13,4,1,47%,1,,4,443,365,82%,,
1321230,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,3,2,7,2,3,4,18,1,3,34%,3,1,7,285,211,74%,,
1321230,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,8,7,17,2,12,5,18,11,5,66%,5,0,2,536,461,86%,,
1321227,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,4,8,19,7,11,8,10,12,2,47%,1,,5,350,269,77%,,
1321227,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,7,5,13,1,5,8,9,3,3,53%,0,,4,404,328,81%,,
1321235,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,4,3,7,0,4,3,7,1,3,47%,0,,5,469,396,84%,,
1321235,537,Leganes,https://media.api-sports.io/football/teams/537.png,7,6,16,3,10,6,13,5,1,53%,1,,3,523,436,83%,,
1321223,9811,Deportiva Minera,https://media.api-sports.io/football/teams/9811.png,1,3,4,0,1,3,11,0,1,34%,1,,17,349,283,81%,,
1321223,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,21,8,33,4,27,6,13,9,3,66%,0,,1,692,637,92%,,
1321233,9692,Eldense,https://media.api-sports.io/football/teams/9692.png,2,7,11,2,7,4,9,3,0,44%,2,,4,386,313,81%,,
1321233,532,Valencia,https://media.api-sports.io/football/teams/532.png,6,6,16,4,8,8,7,3,3,56%,4,,2,513,438,85%,,
1334030,9612,Ourense CF,https://media.api-sports.io/football/teams/9612.png,4,4,9,1,7,2,6,4,4,42%,1,,2,395,311,79%,,
1334030,532,Valencia,https://media.api-sports.io/football/teams/532.png,3,3,9,3,6,3,12,7,1,58%,0,,4,539,466,86%,,
1334032,723,Almeria,https://media.api-sports.io/football/teams/723.png,6,4,13,3,8,5,16,4,2,52%,1,,1,497,432,87%,,
1334032,537,Leganes,https://media.api-sports.io/football/teams/537.png,4,5,10,1,5,5,9,4,1,48%,3,,4,466,384,82%,,
1334031,9407,Pontevedra,https://media.api-sports.io/football/teams/9407.png,3,4,14,7,8,6,10,8,1,84%,2,0,2,765,674,88%,,
1334031,546,Getafe,https://media.api-sports.io/football/teams/546.png,3,6,12,3,7,5,16,3,4,16%,5,2,3,149,77,52%,,
1334033,529,Barcelona,https://media.api-sports.io/football/teams/529.png,9,3,18,6,13,5,10,8,8,69%,2,,2,648,581,90%,,
1334033,543,Real Betis,https://media.api-sports.io/football/teams/543.png,3,2,8,3,8,0,8,3,6,31%,2,,4,289,225,78%,,
