fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
27144,547,Girona,https://media.api-sports.io/football/teams/547.png,1,10,13.0,2,7.0,6.0,21,3,1,67%,1,0.0,1,589.0,501.0,85%,,,,,,,,,
27144,720,Valladolid,https://media.api-sports.io/football/teams/720.png,1,1,2.0,0,0.0,2.0,20,2,1,33%,1,0.0,2,275.0,172.0,63%,,,,,,,,,
27141,543,Real Betis,https://media.api-sports.io/football/teams/543.png,8,10,22.0,4,9.0,13.0,10,5,2,77%,0,0.0,1,707.0,641.0,91%,,,,,,,,,
27141,539,Levante,https://media.api-sports.io/football/teams/539.png,4,2,6.0,0,5.0,1.0,10,3,4,23%,2,0.0,8,206.0,133.0,65%,,,,,,,,,
27142,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,2,8,12.0,2,7.0,5.0,13,8,3,48%,3,0.0,4,393.0,313.0,80%,,,,,,,,,
27142,540,Espanyol,https://media.api-sports.io/football/teams/540.png,5,4,14.0,5,8.0,6.0,14,7,1,52%,2,0.0,2,423.0,338.0,80%,,,,,,,,,
27148,533,Villarreal,https://media.api-sports.io/football/teams/533.png,7,3,16.0,6,10.0,6.0,16,4,0,52%,2,0.0,2,463.0,366.0,79%,,,,,,,,,
27148,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,4,4,9.0,1,4.0,5.0,10,6,4,48%,3,0.0,6,422.0,331.0,78%,,,,,,,,,
27140,529,Barcelona,https://media.api-sports.io/football/teams/529.png,9,12,25.0,4,18.0,7.0,6,7,3,78%,0,0.0,0,876.0,788.0,90%,,,,,,,,,
27140,542,Alaves,https://media.api-sports.io/football/teams/542.png,0,2,3.0,1,3.0,0.0,13,1,0,22%,2,0.0,6,228.0,151.0,66%,,,,,,,,,
27143,545,Eibar,https://media.api-sports.io/football/teams/545.png,6,8,18.0,4,13.0,5.0,12,7,1,68%,1,0.0,4,569.0,465.0,82%,,,,,,,,,
27143,726,Huesca,https://media.api-sports.io/football/teams/726.png,6,1,8.0,1,3.0,5.0,13,0,2,32%,1,0.0,5,272.0,183.0,67%,,,,,,,,,
27145,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,2,5,13.0,6,8.0,5.0,6,2,3,48%,1,0.0,3,412.0,348.0,84%,,,,,,,,,
27145,536,Sevilla,https://media.api-sports.io/football/teams/536.png,8,7,17.0,2,12.0,5.0,15,6,6,52%,0,0.0,1,441.0,370.0,84%,,,,,,,,,
27146,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,3,5,10.0,2,7.0,3.0,11,3,6,77%,1,0.0,1,791.0,723.0,91%,,,,,,,,,
27146,546,Getafe,https://media.api-sports.io/football/teams/546.png,1,2,5.0,2,2.0,3.0,28,0,0,23%,7,0.0,1,223.0,146.0,65%,,,,,,,,,
27147,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,8,13.0,1,7.0,6.0,10,4,0,51%,2,0.0,2,501.0,417.0,83%,,,,,,,,,
27147,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,3,9.0,3,5.0,4.0,15,10,6,49%,3,0.0,3,471.0,377.0,80%,,,,,,,,,
27139,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,5,9,17.0,3,14.0,3.0,12,6,0,66%,4,0.0,1,580.0,490.0,84%,,,,,,,,,
27139,537,Leganes,https://media.api-sports.io/football/teams/537.png,2,7,11.0,2,9.0,2.0,13,2,1,34%,5,0.0,3,296.0,208.0,70%,,,,,,,,,
27153,546,Getafe,https://media.api-sports.io/football/teams/546.png,4,3,7.0,0,4.0,3.0,14,5,2,35%,2,0.0,0,232.0,120.0,52%,,,,,,,,,
27153,545,Eibar,https://media.api-sports.io/football/teams/545.png,0,8,9.0,1,8.0,1.0,11,5,5,65%,1,0.0,2,423.0,272.0,64%,,,,,,,,,
27155,537,Leganes,https://media.api-sports.io/football/teams/537.png,5,9,18.0,4,14.0,4.0,12,5,3,66%,1,0.0,4,579.0,473.0,82%,,,,,,,,,
27155,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,6,1,7.0,0,5.0,2.0,9,0,3,34%,2,0.0,2,304.0,201.0,66%,,,,,,,,,
27149,542,Alaves,https://media.api-sports.io/football/teams/542.png,4,8,16.0,4,6.0,10.0,17,5,1,33%,3,0.0,4,265.0,189.0,71%,,,,,,,,,
27149,543,Real Betis,https://media.api-sports.io/football/teams/543.png,5,3,12.0,4,10.0,2.0,15,6,5,67%,1,0.0,4,555.0,475.0,86%,,,,,,,,,
27151,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,2,5,9.0,2,5.0,4.0,7,8,4,46%,1,0.0,3,433.0,339.0,78%,,,,,,,,,
27151,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,8,13.0,2,9.0,4.0,8,5,1,54%,1,0.0,1,496.0,413.0,83%,,,,,,,,,
27158,720,Valladolid,https://media.api-sports.io/football/teams/720.png,4,3,7.0,0,4.0,3.0,13,6,2,35%,1,0.0,4,322.0,243.0,75%,,,,,,,,,
27158,529,Barcelona,https://media.api-sports.io/football/teams/529.png,5,4,10.0,1,6.0,4.0,11,10,1,65%,1,0.0,4,594.0,504.0,85%,,,,,,,,,
27152,540,Espanyol,https://media.api-sports.io/football/teams/540.png,9,5,19.0,5,12.0,7.0,16,6,2,48%,1,0.0,3,432.0,357.0,83%,,,,,,,,,
27152,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,2,16.0,10,7.0,9.0,12,10,1,52%,1,0.0,7,473.0,383.0,81%,,,,,,,,,
27157,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,9,19.0,8,12.0,7.0,13,4,0,52%,3,0.0,6,453.0,384.0,85%,,,,,,,,,
