fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
720746,532,Valencia,https://media.api-sports.io/football/teams/532.png,2,2,4,0,3,1,24,1,2,26%,6,1,4,177,114,64%
720746,546,Getafe,https://media.api-sports.io/football/teams/546.png,4,12,22,6,11,11,15,9,2,74%,2,0,1,483,419,87%
720743,724,Cadiz,https://media.api-sports.io/football/teams/724.png,2,3,7,2,4,3,10,2,1,43%,1,,2,315,228,72%
720743,539,Levante,https://media.api-sports.io/football/teams/539.png,3,8,12,1,6,6,16,4,1,57%,5,,1,421,353,84%
720742,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,4,6,0,4,2,12,3,3,34%,1,,0,288,224,78%
720742,543,Real Betis,https://media.api-sports.io/football/teams/543.png,0,7,9,2,7,2,18,3,0,66%,3,,1,568,503,89%
720739,542,Alaves,https://media.api-sports.io/football/teams/542.png,4,3,11,4,7,4,14,0,1,41%,1,,4,394,330,84%
720739,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,7,8,19,4,10,9,10,4,2,59%,2,,3,584,518,89%
720744,727,Osasuna,https://media.api-sports.io/football/teams/727.png,1,8,14,5,8,6,18,4,1,53%,3,,3,384,288,75%
720744,540,Espanyol,https://media.api-sports.io/football/teams/540.png,3,5,10,2,5,5,12,6,3,47%,3,,1,352,250,71%
720741,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,2,3,10,5,7,3,11,2,1,53%,5,1,2,479,400,84%
720741,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,5,3,13,5,10,3,9,5,1,47%,5,1,1,429,344,80%
720740,529,Barcelona,https://media.api-sports.io/football/teams/529.png,8,4,13,1,11,2,11,5,1,62%,2,,1,540,477,88%
720740,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,3,5,11,3,8,3,18,3,2,38%,4,,4,330,258,78%
720745,536,Sevilla,https://media.api-sports.io/football/teams/536.png,8,7,21,6,12,9,14,4,1,75%,1,0,3,749,697,93%
720745,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,0,4,1,2,2,7,0,1,25%,0,1,5,242,168,69%
720747,533,Villarreal,https://media.api-sports.io/football/teams/533.png,4,8,14,2,8,6,19,6,1,61%,4,1,1,477,395,83%
720747,715,Granada CF,https://media.api-sports.io/football/teams/715.png,1,4,6,1,3,3,21,2,0,39%,1,0,3,307,231,75%
720748,797,Elche,https://media.api-sports.io/football/teams/797.png,2,6,8,0,4,4,13,6,5,50%,2,,3,373,299,80%
720748,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,3,5,9,1,6,3,19,8,1,50%,2,,2,373,294,79%
720752,543,Real Betis,https://media.api-sports.io/football/teams/543.png,7,7,16,2,8,8,12,4,,74%,4,,2,648,581,90%
720752,724,Cadiz,https://media.api-sports.io/football/teams/724.png,3,3,8,2,6,2,10,5,,26%,0,,6,208,128,62%
720749,542,Alaves,https://media.api-sports.io/football/teams/542.png,4,5,9,0,8,1,14,1,0,47%,3,1,1,319,236,74%
720749,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,8,12,2,4,8,15,8,2,53%,3,0,4,353,278,79%
720755,540,Espanyol,https://media.api-sports.io/football/teams/540.png,3,8,14,3,8,6,10,9,3,40%,3,,2,282,223,79%
720755,533,Villarreal,https://media.api-sports.io/football/teams/533.png,2,5,12,5,9,3,10,7,3,60%,4,,3,432,380,88%
720754,715,Granada CF,https://media.api-sports.io/football/teams/715.png,2,6,9,1,4,5,14,2,3,46%,4,,5,276,162,59%
720754,532,Valencia,https://media.api-sports.io/football/teams/532.png,7,10,18,1,10,8,12,6,3,54%,2,,1,310,214,69%
720750,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,7,4,16,5,10,6,15,13,3,33%,1,0,2,269,197,73%
720750,529,Barcelona,https://media.api-sports.io/football/teams/529.png,3,5,9,1,8,1,10,2,2,67%,2,1,5,589,514,87%
720758,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,8,2,13,3,11,2,19,5,0,61%,3,,1,437,368,84%
720758,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,1,7,9,1,4,5,15,4,2,39%,4,,7,268,203,76%
720751,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,4,4,8,0,5,3,16,2,5,42%,2,,2,421,355,84%
720751,797,Elche,https://media.api-sports.io/football/teams/797.png,2,2,4,0,1,3,10,1,0,58%,2,,3,582,514,88%
720756,539,Levante,https://media.api-sports.io/football/teams/539.png,4,3,8,1,6,2,17,4,0,39%,3,1,2,350,282,81%
720756,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,5,7,20,8,10,10,7,6,5,61%,2,0,1,560,502,90%
720753,546,Getafe,https://media.api-sports.io/football/teams/546.png,0,7,12,5,5,7,18,5,1,39%,3,,2,301,218,72%
720753,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,5,9,1,7,2,10,4,3,61%,2,,0,495,419,85%
720757,727,Osasuna,https://media.api-sports.io/football/teams/727.png,7,7,15,1,10,5,19,1,0,46%,4,,0,440,314,71%
720757,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,0,4,4,0,0,4,8,2,2,54%,3,,7,521,394,76%
