fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,fouls_committed,tackles_blocks,tackles_total,tackles_interceptions,offsides,dribbles_attempts,dribbles_past,fouls_drawn,penalty_won,shots_total,shots_on,goals_total,dribbles_success,penalty_commited
877947,Osasuna,727,46646,Sergio Herrera,https://media.api-sports.io/football/players/46646.png,90.0,1,G,6.9,False,False,1,2.0,26.0,14,1.0,1.0,1,0,0,0,0.0,,,,,,,,,,,,,,,,
877947,Osasuna,727,47391,Rubén Peña,https://media.api-sports.io/football/players/47391.png,62.0,15,D,6.9,False,False,0,,13.0,9,4.0,,0,0,0,0,,1.0,1.0,1.0,,,,,,,,,,,,,
877947,Osasuna,727,46652,Unai García,https://media.api-sports.io/football/players/46652.png,79.0,4,D,6.6,False,False,0,,31.0,29,5.0,1.0,1,0,0,0,,,,2.0,1.0,,,,,,,,,,,,
877947,Osasuna,727,46653,David García,https://media.api-sports.io/football/players/46653.png,90.0,5,D,6.6,True,False,0,,32.0,24,10.0,4.0,1,0,0,0,,,,3.0,1.0,2.0,2.0,,,,,,,,,,
877947,Osasuna,727,46967,Juan Cruz,https://media.api-sports.io/football/players/46967.png,90.0,3,D,6.9,False,False,0,,17.0,14,4.0,1.0,0,0,0,0,,,,2.0,1.0,1.0,,,,,,,,,,,
877947,Osasuna,727,46667,Kike Barja,https://media.api-sports.io/football/players/46667.png,56.0,11,M,5.9,False,False,0,,10.0,7,9.0,1.0,0,0,0,0,,,1.0,2.0,,1.0,,1.0,3.0,1.0,,,,,,,
877947,Osasuna,727,46662,Jon Moncayola,https://media.api-sports.io/football/players/46662.png,90.0,7,M,7,False,False,0,,31.0,28,5.0,3.0,0,0,0,0,,,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,
877947,Osasuna,727,1825,Lucas Torró,https://media.api-sports.io/football/players/1825.png,90.0,6,M,6.9,False,False,0,,20.0,16,8.0,4.0,0,0,0,0,,,,2.0,,2.0,,,,,2.0,,1.0,1.0,,,
877947,Osasuna,727,47574,Moi Gómez,https://media.api-sports.io/football/players/47574.png,90.0,16,M,7.3,False,False,0,,24.0,21,5.0,,1,0,0,0,,,4.0,1.0,,,2.0,,1.0,,,,2.0,1.0,,,
877947,Osasuna,727,47579,Chimy Ávila,https://media.api-sports.io/football/players/47579.png,81.0,9,F,7.2,False,False,0,,6.0,5,9.0,6.0,1,0,0,0,,,,,,,,4.0,3.0,1.0,4.0,,3.0,1.0,1.0,2.0,
877947,Osasuna,727,67939,Aimar Oroz,https://media.api-sports.io/football/players/67939.png,81.0,29,F,7.2,False,False,0,,22.0,22,7.0,2.0,0,0,1,0,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,
877947,Osasuna,727,47448,Aitor Fernández,https://media.api-sports.io/football/players/47448.png,,25,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Osasuna,727,46649,Juan Pérez,https://media.api-sports.io/football/players/46649.png,,13,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Osasuna,727,182592,Jorge Herrando,https://media.api-sports.io/football/players/182592.png,,31,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Osasuna,727,139001,Pablo Ibáñez Lumbreras,https://media.api-sports.io/football/players/139001.png,9.0,19,M,6.7,False,True,0,,4.0,2,,,0,0,0,0,,,1.0,,,,,,,,,,,,,,
877947,Osasuna,727,46657,Nacho Vidal,https://media.api-sports.io/football/players/46657.png,34.0,2,D,6.5,False,True,0,,9.0,4,3.0,1.0,0,0,0,0,,,,1.0,,1.0,,,,1.0,,,,,,,
877947,Osasuna,727,64309,Manuel Sánchez,https://media.api-sports.io/football/players/64309.png,11.0,20,D,6.6,False,True,0,,2.0,2,3.0,2.0,0,0,0,0,,,,,,1.0,,,1.0,,,,,,,,
877947,Osasuna,727,47361,Darko Brašanac,https://media.api-sports.io/football/players/47361.png,28.0,8,M,6.3,False,True,0,,5.0,3,4.0,2.0,0,0,0,0,,,,,,,,,1.0,,1.0,,,,,,
877947,Osasuna,727,46660,Javi Martínez,https://media.api-sports.io/football/players/46660.png,,21,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Osasuna,727,46666,Roberto Torres,https://media.api-sports.io/football/players/46666.png,,10,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Osasuna,727,288800,Iker Benito,https://media.api-sports.io/football/players/288800.png,,33,F,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Osasuna,727,47396,Kike García,https://media.api-sports.io/football/players/47396.png,9.0,18,F,6.9,False,True,0,,3.0,1,4.0,3.0,0,0,0,0,,,,,,,,,1.0,,,,1.0,1.0,,1.0,
877947,Osasuna,727,46746,Ante Budimir,https://media.api-sports.io/football/players/46746.png,,17,F,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,2701,Bono,https://media.api-sports.io/football/players/2701.png,90.0,13,G,6.3,False,False,2,3.0,39.0,32,,,0,0,0,0,0.0,,,,,,,,,,,,,,,,
877947,Sevilla,536,2054,Jesús Navas,https://media.api-sports.io/football/players/2054.png,90.0,16,D,6.2,True,False,0,,54.0,47,4.0,,0,0,0,0,,,1.0,1.0,,,,,,2.0,,,,,,,
877947,Sevilla,536,1489,Nemanja Gudelj,https://media.api-sports.io/football/players/1489.png,90.0,6,D,6.9,False,False,0,,70.0,68,7.0,5.0,0,0,0,0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,
877947,Sevilla,536,25345,Karim Rekik,https://media.api-sports.io/football/players/25345.png,90.0,4,D,6.2,False,False,0,,73.0,70,4.0,1.0,0,0,0,0,,,,2.0,,,,,,,,,,,,,
877947,Sevilla,536,1493,Marcos Acuña,https://media.api-sports.io/football/players/1493.png,90.0,19,D,6.9,False,False,0,,66.0,50,12.0,8.0,0,0,0,0,,,1.0,,,3.0,,,1.0,,2.0,,1.0,,,,
877947,Sevilla,536,452,Fernando,https://media.api-sports.io/football/players/452.png,90.0,20,M,7.3,False,False,0,,51.0,46,3.0,3.0,1,0,0,0,,,1.0,,,1.0,2.0,,,,1.0,,,,,,
877947,Sevilla,536,15,Thomas Delaney,https://media.api-sports.io/football/players/15.png,80.0,18,M,7,False,False,0,,39.0,36,6.0,3.0,0,0,0,0,,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,
877947,Sevilla,536,389,Jesús Corona,https://media.api-sports.io/football/players/389.png,63.0,9,M,6.3,False,False,0,,17.0,15,8.0,4.0,0,0,0,0,,,1.0,1.0,,1.0,,,1.0,,3.0,,,,,,
877947,Sevilla,536,30433,Papu Gómez,https://media.api-sports.io/football/players/30433.png,80.0,24,M,7.2,False,False,0,,39.0,33,7.0,5.0,1,0,0,0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,1.0,1.0
877947,Sevilla,536,1911,Lucas Ocampos,https://media.api-sports.io/football/players/1911.png,80.0,5,M,7.2,False,False,0,,30.0,25,9.0,9.0,0,0,0,0,,,,,,2.0,1.0,,2.0,,3.0,,,,,2.0,
877947,Sevilla,536,47013,Rafa Mir,https://media.api-sports.io/football/players/47013.png,63.0,12,F,7.2,False,False,0,,6.0,4,4.0,3.0,0,0,0,0,,,,,,,,1.0,,,2.0,,2.0,1.0,1.0,,
877947,Sevilla,536,308346,Alberto Flores,https://media.api-sports.io/football/players/308346.png,,31,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,2813,Marko Dmitrović,https://media.api-sports.io/football/players/2813.png,,1,G,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,378,Alex Telles,https://media.api-sports.io/football/players/378.png,10.0,3,D,6.7,False,True,0,,4.0,2,1.0,1.0,0,0,0,0,,,,,,,,,1.0,,,,,,,1.0,
877947,Sevilla,536,2468,Gonzalo Montiel,https://media.api-sports.io/football/players/2468.png,,2,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,195923,José Ángel Carmona,https://media.api-sports.io/football/players/195923.png,,30,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,297311,Kike Salas,https://media.api-sports.io/football/players/297311.png,,29,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,385,Óliver Torres,https://media.api-sports.io/football/players/385.png,,21,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,176,Erik Lamela,https://media.api-sports.io/football/players/176.png,27.0,17,M,6.3,False,True,0,,12.0,10,3.0,1.0,0,0,0,0,,,,1.0,,,1.0,,1.0,,,,1.0,,,,
877947,Sevilla,536,47389,Joan Jordán,https://media.api-sports.io/football/players/47389.png,,8,M,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
877947,Sevilla,536,149,Ivan Rakitić,https://media.api-sports.io/football/players/149.png,10.0,10,M,6.7,False,True,0,,11.0,8,4.0,3.0,0,0,0,0,,,,,,,,,,,2.0,,,,,,
877947,Sevilla,536,192032,Iván Romero,https://media.api-sports.io/football/players/192032.png,10.0,36,F,6.3,False,True,0,,3.0,1,4.0,2.0,1,0,0,0,,,,1.0,,,,,,,1.0,,,,,,
877947,Sevilla,536,47422,Youssef En-Nesyri,https://media.api-sports.io/football/players/47422.png,27.0,15,F,6.7,False,True,0,,4.0,3,5.0,2.0,0,0,0,0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,
877945,Celta Vigo,538,2464,Agustín Marchesín,https://media.api-sports.io/football/players/2464.png,90.0,1,G,6,False,False,2,,35.0,21,1.0,1.0,1,0,0,0,0.0,,,,,,,,,,,,,,,,
877945,Celta Vigo,538,47432,Hugo Mallo,https://media.api-sports.io/football/players/47432.png,90.0,2,D,6.9,True,False,0,,46.0,32,14.0,10.0,1,0,0,0,,,,2.0,,4.0,1.0,,,,,,,,,,
877945,Celta Vigo,538,1926,Joseph Aidoo,https://media.api-sports.io/football/players/1926.png,90.0,15,D,6.3,False,False,0,,61.0,52,13.0,8.0,1,0,0,0,,,,2.0,,,,,1.0,,1.0,,,,,1.0,
877945,Celta Vigo,538,47277,Unai Núñez,https://media.api-sports.io/football/players/47277.png,90.0,4,D,6.6,False,False,0,,61.0,53,8.0,1.0,0,0,0,0,,,,1.0,2.0,1.0,2.0,,,,,,,,,,
