fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
877947,727,Osasuna,https://media.api-sports.io/football/teams/727.png,5,3,12,4,4,8,16,5,5,34%,5,,2,255,201,79%,
877947,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,4,10,3,5,5,9,2,2,66%,3,,3,518,450,87%,
877945,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,3,3,8,2,3,5,17,3,1,60%,5,,0,539,443,82%,
877945,540,Espanyol,https://media.api-sports.io/football/teams/540.png,2,5,10,3,2,8,15,3,0,40%,2,,1,356,272,76%,
877950,720,Valladolid,https://media.api-sports.io/football/teams/720.png,6,5,12,1,7,5,6,4,2,52%,1,,1,434,362,83%,
877950,533,Villarreal,https://media.api-sports.io/football/teams/533.png,4,4,10,2,6,4,10,5,1,48%,0,,6,414,323,78%,
877943,529,Barcelona,https://media.api-sports.io/football/teams/529.png,6,9,21,6,15,6,16,8,4,68%,3,1,2,560,489,87%,
877943,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,2,2,4,0,3,1,14,0,4,32%,6,0,5,274,191,70%,
877946,724,Cadiz,https://media.api-sports.io/football/teams/724.png,2,3,7,2,4,3,9,3,4,40%,4,,6,291,216,74%,
877946,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,7,3,15,5,8,7,20,6,0,60%,2,,1,461,373,81%,
877951,532,Valencia,https://media.api-sports.io/football/teams/532.png,2,7,17,8,9,8,18,4,1,46%,2,1,1,352,285,81%,
877951,547,Girona,https://media.api-sports.io/football/teams/547.png,1,2,5,2,2,3,14,4,2,54%,3,0,2,397,331,83%,
877948,723,Almeria,https://media.api-sports.io/football/teams/723.png,6,3,10,1,7,3,11,2,3,32%,3,,13,315,257,82%,
877948,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,15,4,29,10,18,11,4,15,3,68%,1,,5,649,593,91%,
877942,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,6,10,23,7,13,10,13,7,1,64%,0,,2,471,388,82%,
877942,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,2,6,2,5,1,12,2,0,36%,6,,6,272,183,67%,
877949,546,Getafe,https://media.api-sports.io/football/teams/546.png,0,9,10,1,6,4,14,3,0,42%,2,,2,385,305,79%,
877949,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,5,2,12,5,5,7,19,6,5,58%,1,,0,543,469,86%,
877944,543,Real Betis,https://media.api-sports.io/football/teams/543.png,8,5,17,4,12,5,10,8,5,72%,3,0,1,605,539,89%,
877944,797,Elche,https://media.api-sports.io/football/teams/797.png,2,1,4,1,4,0,18,4,3,28%,6,1,5,224,155,69%,
877955,540,Espanyol,https://media.api-sports.io/football/teams/540.png,1,8,13,4,7,6,12,9,3,54%,2,1,1,450,386,86%,
877955,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,4,8,1,4,4,17,2,2,46%,5,1,1,395,321,81%,
877956,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,11,18,5,14,4,20,12,4,61%,3,1,2,452,384,85%,
877956,720,Valladolid,https://media.api-sports.io/football/teams/720.png,3,2,6,1,2,4,10,2,4,39%,2,1,1,303,225,74%,
877960,727,Osasuna,https://media.api-sports.io/football/teams/727.png,3,8,16,5,11,5,11,2,0,56%,2,0,2,413,313,76%,
877960,724,Cadiz,https://media.api-sports.io/football/teams/724.png,2,3,9,4,6,3,13,2,1,44%,5,1,2,335,246,73%,
877958,798,Mallorca,https://media.api-sports.io/football/teams/798.png,7,3,13,3,9,4,22,5,4,47%,7,,1,350,277,79%,
