fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1037952,723,Almeria,https://media.api-sports.io/football/teams/723.png,5,11,19,3,12,7,16,8,1,60%,1,,2,480,422,88%,1.39,
1037952,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,4,2,10,4,6,4,25,3,1,40%,3,,5,329,255,78%,2.07,
1037956,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,5,9,1,5,4,15,8,3,55%,3,1,1,397,297,75%,0.72,
1037956,532,Valencia,https://media.api-sports.io/football/teams/532.png,3,6,10,1,7,3,17,1,0,45%,2,0,2,343,244,71%,1.12,
1037960,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,11,15,2,7,8,22,4,0,48%,2,,0,376,306,81%,0.99,
1037960,547,Girona,https://media.api-sports.io/football/teams/547.png,1,2,6,3,5,1,9,1,3,52%,5,,1,416,342,82%,1.15,
1037957,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,2,1,5,2,2,3,11,3,1,69%,3,,1,605,522,86%,0.92,
1037957,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,8,12,2,8,4,21,6,6,31%,2,,1,255,178,70%,1.61,
1037953,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,1,3,7,3,5,2,18,7,2,46%,3,,6,489,419,86%,0.45,
1037953,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,8,3,14,3,10,4,6,5,2,54%,1,,1,603,528,88%,0.99,
1037955,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,1,7,11,3,8,3,11,7,6,52%,1,,3,469,385,82%,0.96,
1037955,727,Osasuna,https://media.api-sports.io/football/teams/727.png,5,5,11,1,8,3,15,2,1,48%,1,,0,433,324,75%,0.95,
1037959,533,Villarreal,https://media.api-sports.io/football/teams/533.png,5,6,18,7,12,6,13,9,2,63%,1,,3,560,481,86%,0.91,
1037959,543,Real Betis,https://media.api-sports.io/football/teams/543.png,5,2,12,5,6,6,17,4,1,37%,3,,4,317,251,79%,1.05,
1037958,546,Getafe,https://media.api-sports.io/football/teams/546.png,2,3,5,0,3,2,20,3,4,25%,8,1,3,233,167,72%,0.57,
1037958,529,Barcelona,https://media.api-sports.io/football/teams/529.png,4,7,14,3,6,8,11,4,2,75%,2,1,2,729,659,90%,1.49,
1037961,724,Cadiz,https://media.api-sports.io/football/teams/724.png,3,6,12,3,7,5,19,2,2,44%,3,1,2,298,206,69%,0.66,
1037961,542,Alaves,https://media.api-sports.io/football/teams/542.png,2,5,10,3,4,6,15,4,2,56%,2,0,2,365,274,75%,0.25,
1037954,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,6,6,14,2,11,3,15,3,3,45%,3,,3,428,351,82%,2.42,
1037954,715,Granada CF,https://media.api-sports.io/football/teams/715.png,4,0,7,3,5,2,9,3,0,55%,1,,3,527,435,83%,0.94,
1037964,798,Mallorca,https://media.api-sports.io/football/teams/798.png,1,4,8,3,7,1,12,6,6,40%,2,,3,323,272,84%,0.38,
1037964,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,7,15,5,11,4,11,5,1,60%,4,,1,517,463,90%,1.95,
1037971,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,2,9,3,8,1,12,6,2,39%,,,1,365,290,79%,1.54,
1037971,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,1,4,7,2,2,5,6,4,1,61%,,,3,605,522,86%,0.52,
1037969,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,5,11,4,7,4,12,9,0,52%,2,,6,419,315,75%,0.71,
1037969,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,6,6,17,5,10,7,12,7,3,48%,1,,1,376,279,74%,1.13,
1037962,723,Almeria,https://media.api-sports.io/football/teams/723.png,8,8,20,4,13,7,10,4,1,43%,1,,6,428,367,86%,1.33,
1037962,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,9,11,25,5,18,7,13,5,4,57%,0,,7,567,518,91%,1.98,
1037967,727,Osasuna,https://media.api-sports.io/football/teams/727.png,7,5,18,6,11,7,9,5,2,62%,1,1,0,535,436,81%,1.28,
1037967,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,2,4,8,2,5,3,14,3,0,38%,5,1,7,331,232,70%,1.56,
1037970,547,Girona,https://media.api-sports.io/football/teams/547.png,6,0,7,1,5,2,11,3,3,65%,2,,2,529,457,86%,1.42,
1037970,546,Getafe,https://media.api-sports.io/football/teams/546.png,2,6,9,1,5,4,20,2,2,35%,5,,3,274,189,69%,0.70,
1037963,529,Barcelona,https://media.api-sports.io/football/teams/529.png,10,6,24,8,19,5,9,10,1,75%,4,,1,612,559,91%,3.48,
1037963,724,Cadiz,https://media.api-sports.io/football/teams/724.png,1,7,10,2,10,0,22,2,1,25%,3,,8,196,133,68%,1.15,
1037968,543,Real Betis,https://media.api-sports.io/football/teams/543.png,0,8,14,6,10,4,10,2,3,53%,2,,1,551,485,88%,0.74,
1037968,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,1,2,5,2,4,1,8,7,2,47%,1,,0,494,423,86%,0.40,
1037966,542,Alaves,https://media.api-sports.io/football/teams/542.png,7,7,14,0,10,4,14,4,0,33%,1,,0,268,166,62%,1.85,
1037966,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,4,12,6,3,9,13,4,1,67%,2,,3,552,464,84%,0.64,
1037965,715,Granada CF,https://media.api-sports.io/football/teams/715.png,7,5,14,2,10,4,14,5,1,49%,2,1,7,360,278,77%,1.19,
1037965,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,9,6,17,2,11,6,11,6,7,51%,1,0,7,384,296,77%,2.14,
1037975,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,5,3,11,3,6,5,7,5,3,52%,1,,1,466,377,81%,0.91,
1037975,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,1,4,8,3,7,1,29,7,4,48%,4,,5,424,340,80%,1.00,
1037973,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,4,6,13,3,10,3,19,3,0,37%,2,,2,350,277,79%,1.24,
1037973,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,3,5,10,2,6,4,14,5,3,63%,3,,4,635,568,89%,1.36,
1037976,724,Cadiz,https://media.api-sports.io/football/teams/724.png,3,4,11,4,7,4,16,7,0,52%,0,1,1,345,266,77%,1.58,
1037976,723,Almeria,https://media.api-sports.io/football/teams/723.png,2,2,5,1,3,2,22,3,1,48%,5,1,2,332,253,76%,0.26,
1037974,715,Granada CF,https://media.api-sports.io/football/teams/715.png,4,3,10,3,6,4,11,5,1,53%,2,,3,354,277,78%,1.43,
1037974,798,Mallorca,https://media.api-sports.io/football/teams/798.png,5,4,10,1,10,0,27,3,1,47%,7,,1,318,243,76%,2.62,
1037979,536,Sevilla,https://media.api-sports.io/football/teams/536.png,4,13,21,4,13,8,11,6,4,51%,2,,1,394,316,80%,1.47,
1037979,547,Girona,https://media.api-sports.io/football/teams/547.png,3,5,8,0,6,2,18,6,1,49%,1,,4,411,330,80%,1.38,
1037978,533,Villarreal,https://media.api-sports.io/football/teams/533.png,6,3,13,4,10,3,12,2,5,39%,3,,7,382,327,86%,1.86,
1037978,529,Barcelona,https://media.api-sports.io/football/teams/529.png,11,4,21,6,15,6,14,6,3,61%,3,,3,592,540,91%,3.07,
1037980,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,10,16,2,10,6,13,6,3,65%,3,,0,510,428,84%,1.69,
1037980,727,Osasuna,https://media.api-sports.io/football/teams/727.png,2,3,7,2,6,1,12,3,1,35%,4,,3,283,191,67%,1.23,
1037972,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,6,5,14,3,10,4,23,5,2,47%,4,,3,401,305,76%,2.87,
1037972,543,Real Betis,https://media.api-sports.io/football/teams/543.png,4,3,9,2,6,3,11,3,2,53%,2,,2,468,370,79%,0.44,
1037981,546,Getafe,https://media.api-sports.io/football/teams/546.png,4,9,15,2,14,1,13,4,0,47%,1,,1,307,201,65%,2.26,
1037981,542,Alaves,https://media.api-sports.io/football/teams/542.png,2,9,16,5,9,7,15,5,3,53%,2,,3,337,228,68%,0.69,
1037977,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,3,7,12,2,7,5,19,8,3,56%,4,,3,477,371,78%,0.56,
1037977,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,10,4,17,3,14,3,17,3,1,44%,3,,3,386,286,74%,3.45,
1037985,724,Cadiz,https://media.api-sports.io/football/teams/724.png,4,6,18,8,9,9,21,7,2,42%,5,0,2,296,232,78%,2.09,
1037985,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,2,7,2,4,3,15,3,2,58%,4,1,1,430,360,84%,0.32,
1037982,723,Almeria,https://media.api-sports.io/football/teams/723.png,5,8,16,3,11,5,9,6,1,63%,1,,4,611,540,88%,2.98,
1037982,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,8,4,14,2,12,2,9,5,3,37%,1,,3,346,273,79%,1.54,
1037991,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,6,7,15,2,7,8,15,2,8,62%,1,,3,544,462,85%,2.32,
1037991,715,Granada CF,https://media.api-sports.io/football/teams/715.png,5,1,8,2,5,3,14,5,5,38%,5,,2,325,231,71%,0.75,
1037990,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,12,9,26,5,17,9,12,11,2,76%,2,,1,728,644,88%,2.79,
1037990,546,Getafe,https://media.api-sports.io/football/teams/546.png,2,2,6,2,3,3,16,1,0,24%,6,,10,226,151,67%,0.39,
1037987,542,Alaves,https://media.api-sports.io/football/teams/542.png,1,4,7,2,7,0,18,1,3,39%,4,,4,307,214,70%,1.30,
1037987,532,Valencia,https://media.api-sports.io/football/teams/532.png,4,3,9,2,5,4,9,2,0,61%,2,,1,486,403,83%,0.76,
1037984,543,Real Betis,https://media.api-sports.io/football/teams/543.png,5,7,14,2,10,4,22,2,2,56%,3,,6,481,408,85%,1.07,
1037984,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,6,4,15,5,9,6,20,3,4,44%,5,,5,372,285,77%,1.43,
1037986,547,Girona,https://media.api-sports.io/football/teams/547.png,6,4,11,1,7,4,15,3,4,46%,3,,5,410,355,87%,1.03,
1037986,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,5,1,10,4,6,4,10,5,0,54%,3,,5,484,417,86%,1.06,
1037988,798,Mallorca,https://media.api-sports.io/football/teams/798.png,2,2,8,4,5,3,12,3,5,33%,0,,3,249,145,58%,0.38,
1037988,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,3,4,11,4,8,3,17,5,4,67%,1,,1,479,390,81%,0.62,
1037989,727,Osasuna,https://media.api-sports.io/football/teams/727.png,3,2,11,6,7,4,6,8,2,30%,1,1,2,255,194,76%,0.77,
1037989,529,Barcelona,https://media.api-sports.io/football/teams/529.png,4,3,9,2,7,2,16,5,2,70%,3,0,2,649,587,90%,2.00,
1038001,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,11,6,20,3,13,7,15,5,0,52%,2,,1,385,285,74%,2.58,
1038001,542,Alaves,https://media.api-sports.io/football/teams/542.png,1,5,9,3,7,2,14,3,1,48%,3,,9,352,251,71%,0.67,
1037992,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,9,9,20,2,15,5,10,5,1,66%,1,,4,489,377,77%,2.87,
1037992,724,Cadiz,https://media.api-sports.io/football/teams/724.png,4,0,5,1,2,3,20,4,4,34%,4,,5,260,166,64%,0.29,
1037998,532,Valencia,https://media.api-sports.io/football/teams/532.png,8,1,12,3,8,4,13,5,,37%,1,,3,329,258,78%,1.84,
1037998,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,4,11,4,7,4,17,8,,63%,5,,5,541,458,85%,0.75,
1037994,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,4,9,16,3,12,4,9,10,2,61%,1,,2,515,425,83%,1.35,
1037994,798,Mallorca,https://media.api-sports.io/football/teams/798.png,4,3,7,0,5,2,15,1,0,39%,3,,4,346,263,76%,0.78,
1037993,529,Barcelona,https://media.api-sports.io/football/teams/529.png,9,6,17,2,10,7,9,9,3,66%,1,,2,655,595,91%,2.42,
1037993,543,Real Betis,https://media.api-sports.io/football/teams/543.png,2,8,11,1,6,5,10,5,3,34%,2,,4,338,283,84%,0.85,
1037995,546,Getafe,https://media.api-sports.io/football/teams/546.png,6,2,11,3,10,1,15,6,0,45%,6,1,1,351,236,67%,0.50,
1037995,727,Osasuna,https://media.api-sports.io/football/teams/727.png,3,5,8,0,4,4,11,3,7,55%,2,0,3,441,326,74%,1.13,
1037997,533,Villarreal,https://media.api-sports.io/football/teams/533.png,4,2,10,4,9,1,16,6,1,63%,2,,6,497,429,86%,0.90,
1037997,723,Almeria,https://media.api-sports.io/football/teams/723.png,7,8,17,2,10,7,6,6,1,37%,3,,2,295,224,76%,1.51,
1038000,536,Sevilla,https://media.api-sports.io/football/teams/536.png,9,10,26,7,16,10,13,7,6,44%,3,,2,343,257,75%,1.75,
1038000,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,2,8,14,4,5,9,12,3,0,56%,5,,8,476,390,82%,1.06,
1037996,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,8,5,17,4,11,6,11,4,3,51%,3,,4,516,449,87%,2.05,
1037996,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,5,6,15,4,8,7,14,3,2,49%,2,,6,494,430,87%,1.66,
1037999,715,Granada CF,https://media.api-sports.io/football/teams/715.png,5,5,12,2,8,4,13,4,3,42%,3,,3,311,247,79%,1.62,
1037999,547,Girona,https://media.api-sports.io/football/teams/547.png,7,2,13,4,7,6,21,5,5,58%,3,,3,443,379,86%,2.77,
1038009,542,Alaves,https://media.api-sports.io/football/teams/542.png,5,6,15,4,11,4,13,3,4,43%,2,,1,373,270,72%,1.15,
1038009,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,3,6,11,2,8,3,9,4,0,57%,2,,5,496,396,80%,1.73,
1038006,547,Girona,https://media.api-sports.io/football/teams/547.png,10,10,23,3,16,7,10,6,1,56%,1,,2,529,465,88%,3.22,
1038006,798,Mallorca,https://media.api-sports.io/football/teams/798.png,5,5,15,5,10,5,12,5,3,44%,5,,4,405,343,85%,1.79,
1038007,727,Osasuna,https://media.api-sports.io/football/teams/727.png,2,7,16,7,13,3,11,7,2,44%,2,,3,322,200,62%,1.42,
1038007,536,Sevilla,https://media.api-sports.io/football/teams/536.png,3,10,15,2,8,7,7,4,4,56%,3,,2,424,298,70%,0.77,
1038004,529,Barcelona,https://media.api-sports.io/football/teams/529.png,6,6,15,3,7,8,10,2,2,74%,2,,5,810,739,91%,1.59,
1038004,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,7,4,13,2,12,1,11,3,0,26%,1,,3,275,203,74%,1.54,
1038002,723,Almeria,https://media.api-sports.io/football/teams/723.png,10,5,17,2,13,4,12,7,3,61%,4,,3,544,462,85%,2.67,
1038002,532,Valencia,https://media.api-sports.io/football/teams/532.png,5,1,7,1,5,2,10,3,1,39%,2,,8,350,255,73%,0.76,
1038010,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,6,2,10,2,6,4,13,2,3,61%,3,,4,484,396,82%,1.95,
1038010,546,Getafe,https://media.api-sports.io/football/teams/546.png,7,3,10,0,7,3,24,1,1,39%,2,,2,298,201,67%,1.47,
1038008,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,6,3,11,2,7,4,20,2,6,41%,2,0,5,326,256,79%,1.21,
1038008,533,Villarreal,https://media.api-sports.io/football/teams/533.png,6,6,13,1,9,4,18,8,2,59%,3,1,5,474,406,86%,1.64,
1038011,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,3,6,10,1,5,5,13,6,4,58%,6,1,1,442,364,82%,0.60,
1038011,715,Granada CF,https://media.api-sports.io/football/teams/715.png,1,1,2,0,0,2,19,7,5,42%,4,0,2,311,215,69%,0.04,
1038005,543,Real Betis,https://media.api-sports.io/football/teams/543.png,7,11,21,3,15,6,10,11,1,63%,2,,0,499,452,91%,1.86,
1038005,724,Cadiz,https://media.api-sports.io/football/teams/724.png,1,3,5,1,4,1,14,8,5,37%,3,,6,286,221,77%,0.22,
1038003,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,4,3,10,3,7,3,13,6,1,36%,1,,4,344,285,83%,1.29,
1038003,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,5,8,20,7,9,11,10,11,1,64%,3,,1,603,561,93%,1.01,
1038014,536,Sevilla,https://media.api-sports.io/football/teams/536.png,9,4,18,5,15,3,15,9,0,47%,3,,0,365,294,81%,2.22,
1038014,723,Almeria,https://media.api-sports.io/football/teams/723.png,1,7,10,2,10,0,16,4,2,53%,2,,4,421,344,82%,1.78,
1038016,798,Mallorca,https://media.api-sports.io/football/teams/798.png,5,2,10,3,7,3,19,7,6,30%,4,1,2,246,152,62%,0.79,
1038016,529,Barcelona,https://media.api-sports.io/football/teams/529.png,4,5,10,1,6,4,7,2,1,70%,1,0,3,584,497,85%,1.89,
1038012,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,4,1,8,3,6,2,9,5,6,48%,5,1,3,382,294,77%,0.74,
1038012,546,Getafe,https://media.api-sports.io/football/teams/546.png,5,4,13,4,9,4,19,4,1,52%,6,0,2,395,293,74%,1.36,
1038018,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,6,14,5,11,3,9,5,4,53%,3,,3,461,409,89%,1.91,
1038018,547,Girona,https://media.api-sports.io/football/teams/547.png,5,9,17,3,13,4,11,6,0,47%,2,,2,405,356,88%,2.15,
1038020,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,9,3,21,9,17,4,7,7,6,47%,0,,2,572,507,89%,1.76,
