fixture_id,bet_name,bet_value,bet_odd
1390824,Match Winner,Home,2.25
1390824,Match Winner,Draw,3.25
1390824,Match Winner,Away,3.30
1390824,Second Half Winner,Home,2.60
1390824,Second Half Winner,Draw,2.30
1390824,Second Half Winner,Away,3.40
1390824,Goals Over/Under,Over 1.5,1.40
1390824,Goals Over/Under,Under 1.5,3.00
1390824,Goals Over/Under,Over 2.5,2.20
1390824,Goals Over/Under,Under 2.5,1.67
1390824,Goals Over/Under,Over 3.5,4.00
1390824,Goals Over/Under,Under 3.5,1.25
1390824,Goals Over/Under,Over 0.5,1.08
1390824,Goals Over/Under,Under 0.5,8.00
1390824,Goals Over/Under,Over 4.5,8.00
1390824,Goals Over/Under,Under 4.5,1.08
1390824,Goals Over/Under,Over 5.5,17.00
1390824,Goals Over/Under,Under 5.5,1.02
1390824,Goals Over/Under,Over 6.5,34.00
1390824,Goals Over/Under,Under 6.5,1.00
1390824,HT/FT Double,Home/Draw,13.00
1390824,HT/FT Double,Home/Away,34.00
1390824,HT/FT Double,Draw/Away,7.00
1390824,HT/FT Double,Draw/Draw,5.00
1390824,HT/FT Double,Home/Home,3.60
1390824,HT/FT Double,Draw/Home,5.50
1390824,HT/FT Double,Away/Home,26.00
1390824,HT/FT Double,Away/Draw,15.00
1390824,HT/FT Double,Away/Away,5.50
1390824,Double Chance,Home/Draw,1.33
1390824,Double Chance,Home/Away,1.33
1390824,Double Chance,Draw/Away,1.62
1390824,First Half Winner,Home,2.88
1390824,First Half Winner,Draw,2.10
1390824,First Half Winner,Away,4.00
1390828,Match Winner,Home,1.40
1390828,Match Winner,Draw,4.75
1390828,Match Winner,Away,7.50
1390828,Second Half Winner,Home,1.73
1390828,Second Half Winner,Draw,2.75
1390828,Second Half Winner,Away,6.50
1390828,Goals Over/Under,Over 1.5,1.25
1390828,Goals Over/Under,Under 1.5,4.00
1390828,Goals Over/Under,Over 2.5,1.80
1390828,Goals Over/Under,Under 2.5,2.00
1390828,Goals Over/Under,Over 3.5,3.20
1390828,Goals Over/Under,Under 3.5,1.36
1390828,Goals Over/Under,Over 0.5,1.04
1390828,Goals Over/Under,Under 0.5,13.00
1390828,Goals Over/Under,Over 4.5,5.50
1390828,Goals Over/Under,Under 4.5,1.14
1390828,Goals Over/Under,Over 7.5,51.00
1390828,Goals Over/Under,Under 7.5,1.00
1390828,Goals Over/Under,Over 5.5,11.00
1390828,Goals Over/Under,Under 5.5,1.05
1390828,Goals Over/Under,Over 6.5,23.00
1390828,Goals Over/Under,Under 6.5,1.01
1390828,HT/FT Double,Home/Draw,17.00
1390828,HT/FT Double,Home/Away,51.00
1390828,HT/FT Double,Draw/Away,15.00
1390828,HT/FT Double,Draw/Draw,6.50
1390828,HT/FT Double,Home/Home,2.05
1390828,HT/FT Double,Draw/Home,4.00
1390828,HT/FT Double,Away/Home,21.00
1390828,HT/FT Double,Away/Draw,21.00
1390828,HT/FT Double,Away/Away,15.00
1390828,Double Chance,Home/Draw,1.10
1390828,Double Chance,Home/Away,1.18
1390828,Double Chance,Draw/Away,2.75
1390828,First Half Winner,Home,1.91
1390828,First Half Winner,Draw,2.40
1390828,First Half Winner,Away,7.50
1390825,Match Winner,Home,7.50
1390825,Match Winner,Draw,5.50
1390825,Match Winner,Away,1.36
1390825,Second Half Winner,Home,6.00
1390825,Second Half Winner,Draw,3.00
1390825,Second Half Winner,Away,1.62
1390825,Goals Over/Under,Over 1.5,1.14
1390825,Goals Over/Under,Under 1.5,5.50
1390825,Goals Over/Under,Over 2.5,1.44
1390825,Goals Over/Under,Under 2.5,2.75
1390825,Goals Over/Under,Over 3.5,2.20
1390825,Goals Over/Under,Under 3.5,1.67
1390825,Goals Over/Under,Over 0.5,1.02
1390825,Goals Over/Under,Under 0.5,19.00
1390825,Goals Over/Under,Over 8.5,51.00
1390825,Goals Over/Under,Under 8.5,1.00
1390825,Goals Over/Under,Over 4.5,3.75
1390825,Goals Over/Under,Under 4.5,1.28
1390825,Goals Over/Under,Over 7.5,23.00
1390825,Goals Over/Under,Under 7.5,1.01
1390825,Goals Over/Under,Over 5.5,6.50
1390825,Goals Over/Under,Under 5.5,1.11
1390825,Goals Over/Under,Over 6.5,13.00
1390825,Goals Over/Under,Under 6.5,1.04
1390825,HT/FT Double,Home/Draw,19.00
1390825,HT/FT Double,Home/Away,17.00
1390825,HT/FT Double,Draw/Away,4.33
1390825,HT/FT Double,Draw/Draw,8.00
1390825,HT/FT Double,Home/Home,13.00
1390825,HT/FT Double,Draw/Home,17.00
1390825,HT/FT Double,Away/Home,41.00
1390825,HT/FT Double,Away/Draw,17.00
1390825,HT/FT Double,Away/Away,1.95
1390825,Double Chance,Home/Draw,3.00
1390825,Double Chance,Home/Away,1.14
1390825,Double Chance,Draw/Away,1.10
1390825,First Half Winner,Home,7.00
1390825,First Half Winner,Draw,2.75
1390825,First Half Winner,Away,1.73
1390827,Match Winner,Home,2.40
1390827,Match Winner,Draw,3.10
1390827,Match Winner,Away,3.20
1390827,Second Half Winner,Home,2.75
1390827,Second Half Winner,Draw,2.20
1390827,Second Half Winner,Away,3.25
1390827,Goals Over/Under,Over 1.5,1.44
1390827,Goals Over/Under,Under 1.5,2.75
1390827,Goals Over/Under,Over 2.5,2.38
1390827,Goals Over/Under,Under 2.5,1.57
1390827,Goals Over/Under,Over 3.5,4.50
1390827,Goals Over/Under,Under 3.5,1.20
1390827,Goals Over/Under,Over 0.5,1.10
1390827,Goals Over/Under,Under 0.5,7.00
1390827,Goals Over/Under,Over 4.5,10.00
1390827,Goals Over/Under,Under 4.5,1.06
1390827,Goals Over/Under,Over 5.5,21.00
1390827,Goals Over/Under,Under 5.5,1.01
1390827,Goals Over/Under,Over 6.5,51.00
1390827,Goals Over/Under,Under 6.5,1.00
1390827,HT/FT Double,Home/Draw,15.00
1390827,HT/FT Double,Home/Away,34.00
1390827,HT/FT Double,Draw/Away,6.50
1390827,HT/FT Double,Draw/Draw,4.50
1390827,HT/FT Double,Home/Home,4.00
1390827,HT/FT Double,Draw/Home,5.50
1390827,HT/FT Double,Away/Home,29.00
1390827,HT/FT Double,Away/Draw,15.00
1390827,HT/FT Double,Away/Away,5.00
1390827,Double Chance,Home/Draw,1.36
1390827,Double Chance,Home/Away,1.36
1390827,Double Chance,Draw/Away,1.53
1390827,First Half Winner,Home,3.20
1390827,First Half Winner,Draw,2.00
1390827,First Half Winner,Away,3.75
1390819,Match Winner,Home,2.20
1390819,Match Winner,Draw,3.10
1390819,Match Winner,Away,3.70
1390819,Second Half Winner,Home,2.60
1390819,Second Half Winner,Draw,2.20
1390819,Second Half Winner,Away,3.60
1390819,Goals Over/Under,Over 1.5,1.50
1390819,Goals Over/Under,Under 1.5,2.62
1390819,Goals Over/Under,Over 2.5,2.50
1390819,Goals Over/Under,Under 2.5,1.53
1390819,Goals Over/Under,Over 3.5,5.00
1390819,Goals Over/Under,Under 3.5,1.17
1390819,Goals Over/Under,Over 0.5,1.11
1390819,Goals Over/Under,Under 0.5,6.50
1390819,Goals Over/Under,Over 4.5,11.00
1390819,Goals Over/Under,Under 4.5,1.05
1390819,Goals Over/Under,Over 5.5,23.00
1390819,Goals Over/Under,Under 5.5,1.01
1390819,Goals Over/Under,Over 6.5,51.00
1390819,Goals Over/Under,Under 6.5,1.00
1390819,HT/FT Double,Home/Draw,15.00
1390819,HT/FT Double,Home/Away,34.00
1390819,HT/FT Double,Draw/Away,7.00
1390819,HT/FT Double,Draw/Draw,4.33
1390819,HT/FT Double,Home/Home,3.60
1390819,HT/FT Double,Draw/Home,5.00
1390819,HT/FT Double,Away/Home,29.00
1390819,HT/FT Double,Away/Draw,15.00
1390819,HT/FT Double,Away/Away,6.00
1390819,Double Chance,Home/Draw,1.28
1390819,Double Chance,Home/Away,1.36
1390819,Double Chance,Draw/Away,1.67
1390819,First Half Winner,Home,3.00
1390819,First Half Winner,Draw,1.95
1390819,First Half Winner,Away,4.33
1390821,Match Winner,Home,1.67
1390821,Match Winner,Draw,3.40
1390821,Match Winner,Away,6.00
1390821,Second Half Winner,Home,2.05
1390821,Second Half Winner,Draw,2.25
1390821,Second Half Winner,Away,5.50
1390821,Goals Over/Under,Over 1.5,1.50
1390821,Goals Over/Under,Under 1.5,2.62
1390821,Goals Over/Under,Over 2.5,2.62
1390821,Goals Over/Under,Under 2.5,1.50
1390821,Goals Over/Under,Over 3.5,5.00
1390821,Goals Over/Under,Under 3.5,1.17
1390821,Goals Over/Under,Over 0.5,1.11
1390821,Goals Over/Under,Under 0.5,6.50
1390821,Goals Over/Under,Over 4.5,11.00
1390821,Goals Over/Under,Under 4.5,1.05
1390821,Goals Over/Under,Over 5.5,23.00
1390821,Goals Over/Under,Under 5.5,1.01
1390821,Goals Over/Under,Over 6.5,51.00
1390821,Goals Over/Under,Under 6.5,1.00
1390821,HT/FT Double,Home/Draw,15.00
1390821,HT/FT Double,Home/Away,41.00
1390821,HT/FT Double,Draw/Away,11.00
1390821,HT/FT Double,Draw/Draw,4.50
1390821,HT/FT Double,Home/Home,2.62
1390821,HT/FT Double,Draw/Home,4.00
1390821,HT/FT Double,Away/Home,29.00
1390821,HT/FT Double,Away/Draw,19.00
1390821,HT/FT Double,Away/Away,10.00
1390821,Double Chance,Home/Draw,1.12
1390821,Double Chance,Home/Away,1.30
1390821,Double Chance,Draw/Away,2.15
1390821,First Half Winner,Home,2.30
1390821,First Half Winner,Draw,2.00
1390821,First Half Winner,Away,6.50
1390820,Match Winner,Home,1.62
1390820,Match Winner,Draw,3.70
1390820,Match Winner,Away,5.75
1390820,Second Half Winner,Home,2.00
1390820,Second Half Winner,Draw,2.38
1390820,Second Half Winner,Away,5.50
1390820,Goals Over/Under,Over 1.5,1.40
1390820,Goals Over/Under,Under 1.5,3.00
1390820,Goals Over/Under,Over 2.5,2.20
1390820,Goals Over/Under,Under 2.5,1.67
1390820,Goals Over/Under,Over 3.5,4.33
1390820,Goals Over/Under,Under 3.5,1.22
1390820,Goals Over/Under,Over 0.5,1.08
1390820,Goals Over/Under,Under 0.5,8.00
1390820,Goals Over/Under,Over 4.5,9.00
1390820,Goals Over/Under,Under 4.5,1.07
1390820,Goals Over/Under,Over 5.5,19.00
1390820,Goals Over/Under,Under 5.5,1.02
1390820,Goals Over/Under,Over 6.5,41.00
1390820,Goals Over/Under,Under 6.5,1.00
1390820,HT/FT Double,Home/Draw,15.00
1390820,HT/FT Double,Home/Away,41.00
1390820,HT/FT Double,Draw/Away,11.00
1390820,HT/FT Double,Draw/Draw,5.00
1390820,HT/FT Double,Home/Home,2.60
1390820,HT/FT Double,Draw/Home,4.33
1390820,HT/FT Double,Away/Home,26.00
1390820,HT/FT Double,Away/Draw,17.00
1390820,HT/FT Double,Away/Away,9.50
1390820,Double Chance,Home/Draw,1.14
1390820,Double Chance,Home/Away,1.28
1390820,Double Chance,Draw/Away,2.25
1390820,First Half Winner,Home,2.25
1390820,First Half Winner,Draw,2.10
1390820,First Half Winner,Away,6.00
1390823,Match Winner,Home,5.50
1390823,Match Winner,Draw,3.90
1390823,Match Winner,Away,1.62
1390823,Second Half Winner,Home,4.75
1390823,Second Half Winner,Draw,2.60
1390823,Second Half Winner,Away,1.95
1390823,Goals Over/Under,Over 1.5,1.28
1390823,Goals Over/Under,Under 1.5,3.75
1390823,Goals Over/Under,Over 2.5,1.91
1390823,Goals Over/Under,Under 2.5,1.91
1390823,Goals Over/Under,Over 3.5,3.20
1390823,Goals Over/Under,Under 3.5,1.36
1390823,Goals Over/Under,Over 0.5,1.05
1390823,Goals Over/Under,Under 0.5,11.00
1390823,Goals Over/Under,Over 4.5,6.00
1390823,Goals Over/Under,Under 4.5,1.12
1390823,Goals Over/Under,Over 7.5,51.00
1390823,Goals Over/Under,Under 7.5,1.00
1390823,Goals Over/Under,Over 5.5,13.00
1390823,Goals Over/Under,Under 5.5,1.04
1390823,Goals Over/Under,Over 6.5,26.00
1390823,Goals Over/Under,Under 6.5,1.01
1390823,HT/FT Double,Home/Draw,17.00
1390823,HT/FT Double,Home/Away,21.00
1390823,HT/FT Double,Draw/Away,4.50
1390823,HT/FT Double,Draw/Draw,6.00
1390823,HT/FT Double,Home/Home,9.00
1390823,HT/FT Double,Draw/Home,11.00
1390823,HT/FT Double,Away/Home,41.00
1390823,HT/FT Double,Away/Draw,15.00
1390823,HT/FT Double,Away/Away,2.50
1390823,Double Chance,Home/Draw,2.25
1390823,Double Chance,Home/Away,1.25
1390823,Double Chance,Draw/Away,1.14
1390823,First Half Winner,Home,5.50
1390823,First Half Winner,Draw,2.30
1390823,First Half Winner,Away,2.20
1390822,Match Winner,Home,3.20
1390822,Match Winner,Draw,3.25
1390822,Match Winner,Away,2.30
1390822,Second Half Winner,Home,3.25
1390822,Second Half Winner,Draw,2.30
1390822,Second Half Winner,Away,2.62
1390822,Goals Over/Under,Over 1.5,1.36
1390822,Goals Over/Under,Under 1.5,3.20
1390822,Goals Over/Under,Over 2.5,2.20
1390822,Goals Over/Under,Under 2.5,1.67
1390822,Goals Over/Under,Over 3.5,4.00
1390822,Goals Over/Under,Under 3.5,1.25
1390822,Goals Over/Under,Over 0.5,1.07
1390822,Goals Over/Under,Under 0.5,9.00
1390822,Goals Over/Under,Over 4.5,8.00
1390822,Goals Over/Under,Under 4.5,1.08
1390822,Goals Over/Under,Over 5.5,17.00
1390822,Goals Over/Under,Under 5.5,1.02
1390822,Goals Over/Under,Over 6.5,34.00
1390822,Goals Over/Under,Under 6.5,1.00
1390822,HT/FT Double,Home/Draw,15.00
1390822,HT/FT Double,Home/Away,29.00
1390822,HT/FT Double,Draw/Away,5.50
1390822,HT/FT Double,Draw/Draw,4.75
1390822,HT/FT Double,Home/Home,5.00
1390822,HT/FT Double,Draw/Home,7.00
1390822,HT/FT Double,Away/Home,34.00
1390822,HT/FT Double,Away/Draw,15.00
1390822,HT/FT Double,Away/Away,3.75
1390822,Double Chance,Home/Draw,1.57
1390822,Double Chance,Home/Away,1.33
1390822,Double Chance,Draw/Away,1.36
1390822,First Half Winner,Home,3.75
1390822,First Half Winner,Draw,2.05
1390822,First Half Winner,Away,3.00
1390826,Match Winner,Home,1.22
1390826,Match Winner,Draw,7.00
1390826,Match Winner,Away,11.00
1390826,Second Half Winner,Home,1.44
1390826,Second Half Winner,Draw,3.40
1390826,Second Half Winner,Away,8.50
1390826,Goals Over/Under,Over 1.5,1.14
1390826,Goals Over/Under,Under 1.5,5.50
1390826,Goals Over/Under,Over 2.5,1.44
1390826,Goals Over/Under,Under 2.5,2.75
1390826,Goals Over/Under,Over 3.5,2.10
1390826,Goals Over/Under,Under 3.5,1.73
1390826,Goals Over/Under,Over 0.5,1.01
1390826,Goals Over/Under,Under 0.5,21.00
1390826,Goals Over/Under,Over 8.5,51.00
1390826,Goals Over/Under,Under 8.5,1.00
1390826,Goals Over/Under,Over 4.5,3.50
1390826,Goals Over/Under,Under 4.5,1.30
1390826,Goals Over/Under,Over 7.5,23.00
1390826,Goals Over/Under,Under 7.5,1.01
1390826,Goals Over/Under,Over 5.5,6.00
1390826,Goals Over/Under,Under 5.5,1.12
1390826,Goals Over/Under,Over 6.5,13.00
1390826,Goals Over/Under,Under 6.5,1.04
1390826,HT/FT Double,Home/Draw,21.00
1390826,HT/FT Double,Home/Away,51.00
1390826,HT/FT Double,Draw/Away,23.00
1390826,HT/FT Double,Draw/Draw,10.00
1390826,HT/FT Double,Home/Home,1.67
1390826,HT/FT Double,Draw/Home,4.00
1390826,HT/FT Double,Away/Home,17.00
1390826,HT/FT Double,Away/Draw,23.00
1390826,HT/FT Double,Away/Away,21.00
1390826,Double Chance,Home/Draw,1.05
1390826,Double Chance,Home/Away,1.10
1390826,Double Chance,Draw/Away,4.00
1390826,First Half Winner,Home,1.57
1390826,First Half Winner,Draw,2.88
1390826,First Half Winner,Away,9.50
1390832,Match Winner,Home,11.00
1390832,Match Winner,Draw,6.00
1390832,Match Winner,Away,1.25
1390832,Second Half Winner,Home,7.00
1390832,Second Half Winner,Draw,3.40
1390832,Second Half Winner,Away,1.44
1390832,Goals Over/Under,Over 1.5,1.10
1390832,Goals Over/Under,Under 1.5,7.00
1390832,Goals Over/Under,Over 2.5,1.36
1390832,Goals Over/Under,Under 2.5,3.20
1390832,Goals Over/Under,Over 3.5,1.91
1390832,Goals Over/Under,Under 3.5,1.91
1390832,Goals Over/Under,Over 0.5,1.01
1390832,Goals Over/Under,Under 0.5,21.00
1390832,Goals Over/Under,Over 8.5,34.00
1390832,Goals Over/Under,Under 8.5,1.00
1390832,Goals Over/Under,Over 4.5,3.00
1390832,Goals Over/Under,Under 4.5,1.40
1390832,Goals Over/Under,Over 7.5,19.00
1390832,Goals Over/Under,Under 7.5,1.02
1390832,Goals Over/Under,Over 5.5,5.00
1390832,Goals Over/Under,Under 5.5,1.17
1390832,Goals Over/Under,Over 6.5,10.00
1390832,Goals Over/Under,Under 6.5,1.06
1390832,HT/FT Double,Home/Draw,21.00
1390832,HT/FT Double,Home/Away,15.00
1390832,HT/FT Double,Draw/Away,4.00
1390832,HT/FT Double,Draw/Draw,11.00
1390832,HT/FT Double,Home/Home,19.00
1390832,HT/FT Double,Draw/Home,23.00
1390832,HT/FT Double,Away/Home,51.00
1390832,HT/FT Double,Away/Draw,19.00
1390832,HT/FT Double,Away/Away,1.67
1390832,Double Chance,Home/Draw,3.75
1390832,Double Chance,Home/Away,1.12
1390832,Double Chance,Draw/Away,1.05
1390832,First Half Winner,Home,8.00
1390832,First Half Winner,Draw,3.00
1390832,First Half Winner,Away,1.62
1390829,Match Winner,Home,1.62
1390829,Match Winner,Draw,3.70
1390829,Match Winner,Away,5.75
1390829,Second Half Winner,Home,2.00
1390829,Second Half Winner,Draw,2.40
1390829,Second Half Winner,Away,5.00
1390829,Goals Over/Under,Over 1.5,1.36
1390829,Goals Over/Under,Under 1.5,3.20
1390829,Goals Over/Under,Over 2.5,2.10
1390829,Goals Over/Under,Under 2.5,1.73
1390829,Goals Over/Under,Over 3.5,4.00
1390829,Goals Over/Under,Under 3.5,1.25
