fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,passes_total,passes_accuracy,duels_total,dribbles_attempts,fouls_committed,cards_yellow,cards_red,penalty_commited,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_won,fouls_drawn,offsides,shots_total,dribbles_past,dribbles_success,shots_on,goals_total,tackles_blocks,passes_key,goals_saves,penalty_won
1390824,Girona,547,158,Paulo Gazzaniga,https://media.api-sports.io/football/players/158.png,43.0,13,G,4.2,False,False,2,0.0,16.0,14,2.0,1.0,1.0,0,1,1.0,0,0,0.0,,,,,,,,,,,,,,
1390824,Girona,547,283668,Arnau Martínez,https://media.api-sports.io/football/players/283668.png,58.0,4,D,6,True,False,0,0.0,34.0,28,6.0,1.0,,0,0,,0,0,,1.0,1.0,3.0,1.0,,,,,,,,,,
1390824,Girona,547,47334,David López,https://media.api-sports.io/football/players/47334.png,90.0,5,D,5.9,False,False,0,0.0,76.0,59,3.0,,1.0,0,0,,0,0,,1.0,,2.0,,1.0,,,,,,,,,
1390824,Girona,547,66407,Ladislav Krejčí,https://media.api-sports.io/football/players/66407.png,90.0,18,D,5.9,False,False,0,0.0,42.0,37,7.0,,1.0,0,0,,0,0,,,1.0,3.0,,,1.0,,,,,,,,
1390824,Girona,547,531,Daley Blind,https://media.api-sports.io/football/players/531.png,58.0,17,D,6.3,False,False,0,0.0,27.0,24,9.0,,,0,0,,0,0,,3.0,,6.0,,,,2.0,,,,,,,
1390824,Girona,547,2449,Yangel Herrera,https://media.api-sports.io/football/players/2449.png,70.0,21,M,6.3,False,False,0,0.0,18.0,11,12.0,2.0,1.0,0,0,,0,0,,,,6.0,3.0,,1.0,,1.0,,,,,,
1390824,Girona,547,306727,Jhon Solís,https://media.api-sports.io/football/players/306727.png,90.0,22,M,6.2,False,False,0,0.0,33.0,30,12.0,4.0,,0,0,,0,0,,1.0,,4.0,1.0,,,3.0,2.0,,,,,,
1390824,Girona,547,339105,Joel Roca,https://media.api-sports.io/football/players/339105.png,90.0,33,M,7.9,False,False,0,0.0,14.0,10,23.0,8.0,1.0,0,0,,0,0,,3.0,,9.0,2.0,,1.0,2.0,3.0,1.0,1.0,1.0,,,
1390824,Girona,547,2182,Viktor Tsygankov,https://media.api-sports.io/football/players/2182.png,90.0,15,F,7.6,False,False,0,1.0,28.0,21,10.0,1.0,2.0,0,0,,0,0,,2.0,,7.0,3.0,,,,1.0,,,,3.0,,
1390824,Girona,547,109564,Bojan Miovski,https://media.api-sports.io/football/players/109564.png,45.0,19,F,6.3,False,False,0,0.0,3.0,2,1.0,1.0,,0,0,,0,0,,,,,,,,,,,,,,,
1390824,Girona,547,281795,Yáser Asprilla,https://media.api-sports.io/football/players/281795.png,45.0,10,F,6.7,False,False,0,0.0,7.0,6,6.0,,,0,0,,0,0,,1.0,,3.0,1.0,,,,,,,,,,
1390824,Girona,547,432476,Vladyslav Krapyvtsov,https://media.api-sports.io/football/players/432476.png,46.0,25,G,7.6,False,True,0,0.0,23.0,9,1.0,,,0,0,,0,0,0.0,,,1.0,1.0,,,,,,,,,2.0,
1390824,Girona,547,47520,Portu,https://media.api-sports.io/football/players/47520.png,45.0,8,F,6.6,False,True,0,0.0,8.0,6,6.0,,,0,0,,0,0,,,,3.0,1.0,,,,,,,,1.0,,
1390824,Girona,547,414359,Vitor Reis,https://media.api-sports.io/football/players/414359.png,33.0,12,D,6.9,False,True,0,0.0,20.0,13,2.0,,,0,0,,0,0,,,1.0,1.0,1.0,,,,,,,,,,
1390824,Girona,547,313025,Hugo Rincón,https://media.api-sports.io/football/players/313025.png,33.0,2,D,6.9,False,True,0,0.0,12.0,8,5.0,1.0,1.0,0,0,,0,0,,,,2.0,1.0,,,,1.0,,,1.0,,,
1390824,Girona,547,45,Thomas Lemar,https://media.api-sports.io/football/players/45.png,21.0,11,M,6.9,False,True,0,0.0,21.0,18,6.0,1.0,,0,0,,0,0,,1.0,,3.0,1.0,,1.0,,1.0,1.0,,,,,
1390824,Girona,547,47153,Juan Carlos,https://media.api-sports.io/football/players/47153.png,,1,G,,False,True,0,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,
1390824,Girona,547,162434,Alejandro Francés,https://media.api-sports.io/football/players/162434.png,,16,D,,False,True,0,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,
1390824,Girona,547,1700,Iván Martín,https://media.api-sports.io/football/players/1700.png,,23,M,,False,True,0,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,
1390824,Girona,547,491106,Gibert Jordana,https://media.api-sports.io/football/players/491106.png,,28,D,,False,True,0,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,
1390824,Girona,547,455366,Papa Dame Ba,https://media.api-sports.io/football/players/455366.png,,44,F,,False,True,0,,,,,,,0,0,,0,0,,,,,,,,,,,,,,,
1390824,Rayo Vallecano,728,11379,Augusto Batalla,https://media.api-sports.io/football/players/11379.png,90.0,13,G,6.9,False,False,1,0.0,21.0,13,,,,0,0,,0,0,0.0,,,,,,,,,,,,,1.0,
