fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,goals_assists,passes_key,tackles_blocks,shots_total,shots_on,goals_total,offsides,penalty_won,penalty_commited
721261,Huesca,726,1684,Andrés Fernández,https://media.api-sports.io/football/players/1684.png,90.0,1,G,7.7,False,False,0,4.0,39.0,31,1.0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
721261,Huesca,726,5971,Julio Buffarini,https://media.api-sports.io/football/players/5971.png,90.0,19,D,7.2,False,False,0,,39.0,30,12.0,0,0,0,0,,2.0,6.0,8.0,2.0,1.0,1.0,4.0,,,,,,,,,,
721261,Huesca,726,46896,Cristian Salvador,https://media.api-sports.io/football/players/46896.png,90.0,6,D,6.9,False,False,0,,69.0,64,12.0,0,0,0,0,,1.0,,6.0,1.0,,2.0,2.0,1.0,,,,,,,,,
721261,Huesca,726,47569,Jorge Pulido,https://media.api-sports.io/football/players/47569.png,90.0,14,D,9,True,False,0,,83.0,73,8.0,0,0,0,0,,,1.0,6.0,,,,1.0,,1.0,1.0,5.0,,,,,,
721261,Huesca,726,47139,Marc Mateu,https://media.api-sports.io/football/players/47139.png,84.0,21,D,7.3,False,False,0,,44.0,39,8.0,0,0,0,0,,2.0,,5.0,2.0,2.0,,1.0,1.0,,1.0,,,,,,,
721261,Huesca,726,41735,Kelechi Nwakali,https://media.api-sports.io/football/players/41735.png,65.0,8,M,6.9,False,False,0,,34.0,26,9.0,0,0,0,0,,,1.0,5.0,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,
721261,Huesca,726,755,Jaime Seoane,https://media.api-sports.io/football/players/755.png,90.0,20,M,7.9,False,False,0,,43.0,41,10.0,0,0,0,0,,,2.0,6.0,1.0,1.0,,3.0,2.0,,,1.0,1.0,1.0,1.0,,,
721261,Huesca,726,47287,Mikel Rico,https://media.api-sports.io/football/players/47287.png,90.0,17,M,6.3,False,False,0,,49.0,38,5.0,0,0,0,0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,
721261,Huesca,726,60,Joaquín Muñoz,https://media.api-sports.io/football/players/60.png,65.0,11,F,7.3,False,False,0,,13.0,11,2.0,0,0,0,0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,
721261,Huesca,726,47179,Dani Escriche,https://media.api-sports.io/football/players/47179.png,90.0,10,F,6.5,False,False,0,,18.0,13,13.0,1,0,0,0,,1.0,,4.0,3.0,1.0,,,4.0,,,,,,,,,
721261,Huesca,726,47573,David Ferreiro,https://media.api-sports.io/football/players/47573.png,80.0,7,F,7.3,False,False,0,,30.0,27,10.0,0,0,0,0,,1.0,3.0,7.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,
721261,Huesca,726,131551,Miguel San Roman,https://media.api-sports.io/football/players/131551.png,,13,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
721261,Huesca,726,21433,Florian Miguel,https://media.api-sports.io/football/players/21433.png,25.0,3,D,7.2,False,True,0,,15.0,11,2.0,0,0,0,0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,
721261,Huesca,726,1703,Andrei Rațiu,https://media.api-sports.io/football/players/1703.png,12.0,2,D,6.3,False,True,0,,4.0,3,2.0,0,0,0,0,,,,1.0,1.0,1.0,,,,,,,,,,,,
721261,Huesca,726,46805,Pedro Mosquera,https://media.api-sports.io/football/players/46805.png,25.0,5,M,6.5,False,True,0,,14.0,13,4.0,0,0,0,0,,,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,
721261,Huesca,726,107195,Enzo Lombardo,https://media.api-sports.io/football/players/107195.png,10.0,24,F,6.7,False,True,0,,6.0,6,4.0,0,0,0,0,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
721261,Huesca,726,285422,Pablo Tomeo,https://media.api-sports.io/football/players/285422.png,,26,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
721261,Huesca,726,185200,Alberto Fuentes,https://media.api-sports.io/football/players/185200.png,,27,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
721261,Huesca,726,188319,Kevin Omoruyi,https://media.api-sports.io/football/players/188319.png,,28,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
721261,Eibar,545,47476,Yoel Rodríguez,https://media.api-sports.io/football/players/47476.png,90.0,13,G,6.2,False,False,2,1.0,20.0,13,,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
721261,Eibar,545,46709,Álvaro Tejero,https://media.api-sports.io/football/players/46709.png,90.0,15,D,6.9,False,False,0,,39.0,31,10.0,0,0,0,0,,,3.0,4.0,3.0,1.0,1.0,2.0,3.0,,2.0,,,,,,,
721261,Eibar,545,41145,Frederico Venancio,https://media.api-sports.io/football/players/41145.png,90.0,3,D,6.6,False,False,0,,50.0,44,2.0,0,0,0,0,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,
721261,Eibar,545,47377,Anaitz Arbilla,https://media.api-sports.io/football/players/47377.png,90.0,23,D,6.7,True,False,0,,68.0,61,1.0,0,0,0,0,,,,1.0,,,,1.0,,,,,,,,,,
