fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %
721261,726,Huesca,https://media.api-sports.io/football/teams/726.png,3,0,5,2,3,2,10,4,,55%,1,,4,500,426,85%
721261,545,Eibar,https://media.api-sports.io/football/teams/545.png,5,2,12,5,9,3,16,3,,45%,1,,1,410,334,81%
721268,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,0,7,11,4,4,7,11,1,1,52%,2,,2,461,394,85%
721268,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,2,4,10,4,6,4,16,6,1,48%,2,,0,417,345,83%
721266,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,4,3,9,2,8,1,11,4,1,52%,2,,3,455,375,82%
721266,537,Leganes,https://media.api-sports.io/football/teams/537.png,3,5,10,2,6,4,17,1,3,48%,2,,3,415,319,77%
721260,547,Girona,https://media.api-sports.io/football/teams/547.png,3,6,10,1,8,2,18,4,2,54%,3,,2,374,284,76%
721260,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,2,8,13,3,4,9,14,1,0,46%,2,,1,323,231,72%
721265,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,2,3,6,1,5,1,13,3,1,49%,2,0,3,383,278,73%
721265,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,3,6,11,2,7,4,12,7,0,51%,2,1,1,382,277,73%
721267,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,2,9,14,3,5,9,9,0,1,61%,1,,4,596,504,85%
721267,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,4,4,11,3,9,2,8,5,2,39%,1,,1,369,264,72%
721264,718,Oviedo,https://media.api-sports.io/football/teams/718.png,6,3,10,1,8,2,13,2,1,50%,4,,4,344,250,73%
721264,716,Lugo,https://media.api-sports.io/football/teams/716.png,6,3,10,1,7,3,14,1,0,50%,3,,4,350,246,70%
721262,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,3,2,12,7,2,10,22,2,1,49%,2,1,3,359,289,81%
721262,720,Valladolid,https://media.api-sports.io/football/teams/720.png,4,10,16,2,9,7,18,3,2,51%,4,0,2,364,300,82%
721270,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,4,5,12,3,6,6,9,5,,52%,1,,5,320,218,68%
721270,719,Tenerife,https://media.api-sports.io/football/teams/719.png,7,3,12,2,6,6,18,4,,48%,2,,3,300,205,68%
721263,535,Malaga,https://media.api-sports.io/football/teams/535.png,5,11,23,7,14,9,13,7,1,43%,1,,2,336,263,78%
721263,799,Mirandes,https://media.api-sports.io/football/teams/799.png,2,2,6,2,2,4,10,8,2,57%,2,,5,461,378,82%
721269,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,4,3,10,3,7,3,17,6,5,54%,2,,6,363,275,76%
721269,723,Almeria,https://media.api-sports.io/football/teams/723.png,9,7,20,4,13,7,16,3,2,46%,2,,3,318,234,74%
721280,720,Valladolid,https://media.api-sports.io/football/teams/720.png,2,5,11,4,4,7,15,3,2,45%,3,,2,376,316,84%
721280,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,2,9,14,3,7,7,11,4,0,55%,4,,0,469,398,85%
721271,723,Almeria,https://media.api-sports.io/football/teams/723.png,4,7,14,3,9,5,11,4,2,61%,1,,0,536,464,87%
721271,718,Oviedo,https://media.api-sports.io/football/teams/718.png,1,3,4,0,4,0,16,3,3,39%,3,,2,345,267,77%
721277,716,Lugo,https://media.api-sports.io/football/teams/716.png,1,6,9,2,7,2,15,6,1,33%,1,,1,251,165,66%
721277,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,1,5,12,6,7,5,10,5,1,67%,1,,1,549,480,87%
721279,719,Tenerife,https://media.api-sports.io/football/teams/719.png,5,7,16,4,7,9,12,5,1,48%,1,,1,439,343,78%
721279,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,1,3,7,3,2,5,15,3,3,52%,0,,5,482,391,81%
721281,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,5,7,16,4,11,5,13,3,,63%,,,3,465,373,80%
721281,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,5,2,12,5,6,6,11,1,,37%,,,5,282,173,61%
721275,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,2,5,11,4,3,8,16,5,4,55%,1,,1,411,336,82%
721275,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,3,7,1,4,3,12,1,1,45%,2,,0,343,261,76%
721272,545,Eibar,https://media.api-sports.io/football/teams/545.png,10,6,21,5,13,8,11,10,1,64%,4,0,2,498,405,81%
721272,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,3,1,4,0,3,1,14,1,0,36%,1,1,9,295,200,68%
721273,547,Girona,https://media.api-sports.io/football/teams/547.png,1,4,7,2,5,2,18,6,3,52%,3,,,460,388,84%
721273,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,0,3,4,1,1,3,15,1,0,48%,6,,,418,351,84%
721274,726,Huesca,https://media.api-sports.io/football/teams/726.png,5,13,19,1,9,10,14,6,3,61%,1,,3,496,418,84%
721274,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,3,4,8,1,4,4,19,2,2,39%,2,,4,318,229,72%
721278,799,Mirandes,https://media.api-sports.io/football/teams/799.png,7,7,14,0,10,4,8,6,3,62%,0,,5,497,386,78%
721278,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,5,9,15,1,10,5,16,2,2,38%,2,,5,296,198,67%
721276,537,Leganes,https://media.api-sports.io/football/teams/537.png,6,12,24,6,10,14,12,4,2,71%,0,0,1,669,587,88%
721276,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,1,2,5,2,3,2,9,0,0,29%,1,1,6,280,174,62%
721284,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,5,5,10,0,4,6,13,1,6,36%,2,,5,312,236,76%
721284,726,Huesca,https://media.api-sports.io/football/teams/726.png,5,5,15,5,11,4,14,7,1,64%,1,,3,539,477,88%
721286,535,Malaga,https://media.api-sports.io/football/teams/535.png,7,10,19,2,9,10,26,6,4,53%,3,1,3,319,245,77%
721286,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,3,5,11,3,2,9,14,2,0,47%,4,0,6,292,223,76%
721290,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,7,10,20,3,11,9,18,7,2,47%,3,,2,442,376,85%
721290,799,Mirandes,https://media.api-sports.io/football/teams/799.png,3,1,5,1,3,2,14,2,0,53%,2,,5,509,429,84%
721283,537,Leganes,https://media.api-sports.io/football/teams/537.png,3,8,15,4,9,6,11,9,1,47%,1,,2,370,293,79%
721283,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,4,3,9,2,6,3,16,3,2,53%,0,,2,439,342,78%
721287,718,Oviedo,https://media.api-sports.io/football/teams/718.png,2,7,11,2,6,5,14,7,1,46%,4,,0,360,272,76%
721287,719,Tenerife,https://media.api-sports.io/football/teams/719.png,0,7,8,1,2,6,16,2,1,54%,2,,2,432,333,77%
721288,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,4,4,9,1,3,6,21,2,2,36%,6,,6,288,205,71%
721288,547,Girona,https://media.api-sports.io/football/teams/547.png,7,2,11,2,6,5,10,6,3,64%,4,,2,510,422,83%
721292,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,5,4,17,8,7,10,13,7,5,50%,4,0,1,371,298,80%
721292,723,Almeria,https://media.api-sports.io/football/teams/723.png,3,2,6,1,4,2,12,1,0,50%,1,1,3,394,319,81%
721285,716,Lugo,https://media.api-sports.io/football/teams/716.png,2,5,10,3,6,4,18,5,2,52%,1,0,1,392,300,77%
721285,720,Valladolid,https://media.api-sports.io/football/teams/720.png,3,2,5,0,3,2,10,1,0,48%,4,1,3,383,278,73%
721289,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,2,8,15,5,9,6,10,7,0,69%,2,,0,561,491,88%
721289,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,0,4,5,1,2,3,15,0,2,31%,1,,2,259,171,66%
721282,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,2,6,12,4,7,5,13,4,,44%,1,,2,354,251,71%
721282,545,Eibar,https://media.api-sports.io/football/teams/545.png,3,5,10,2,4,6,10,5,,56%,0,,2,457,351,77%
721291,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,4,5,11,2,8,3,17,3,6,57%,2,,2,427,354,83%
721291,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,2,2,6,2,1,5,15,0,1,43%,3,,4,337,264,78%
721298,547,Girona,https://media.api-sports.io/football/teams/547.png,6,6,20,8,12,8,9,9,3,64%,1,,4,533,446,84%
721298,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,6,6,15,3,4,11,11,2,1,36%,1,,5,308,228,74%
721296,545,Eibar,https://media.api-sports.io/football/teams/545.png,3,10,14,1,7,7,13,2,,59%,2,,2,517,421,81%
721296,537,Leganes,https://media.api-sports.io/football/teams/537.png,2,3,8,3,7,1,18,3,,41%,2,,2,354,256,72%
721302,719,Tenerife,https://media.api-sports.io/football/teams/719.png,4,8,18,6,10,8,19,5,4,42%,1,,4,367,286,78%
721302,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,4,6,12,2,4,8,10,2,0,58%,1,,3,531,451,85%
721295,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,4,7,12,1,9,3,12,3,4,46%,1,,6,388,322,83%
721295,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,6,3,11,2,6,5,12,2,1,54%,0,,3,468,402,86%
721293,723,Almeria,https://media.api-sports.io/football/teams/723.png,3,5,9,1,7,2,10,1,3,42%,3,1,6,311,250,80%
721293,535,Malaga,https://media.api-sports.io/football/teams/535.png,6,10,17,1,10,7,14,5,4,58%,3,0,1,416,342,82%
721297,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,4,6,13,3,6,7,14,4,2,53%,1,,1,326,221,68%
721297,716,Lugo,https://media.api-sports.io/football/teams/716.png,2,2,4,0,3,1,18,3,0,47%,2,,3,291,194,67%
721300,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,3,15,25,7,16,9,8,14,2,74%,,,3,516,425,82%
721300,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,4,5,11,2,3,8,15,1,2,26%,,,2,178,93,52%
721294,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,8,5,14,1,13,1,16,4,4,34%,4,,1,244,175,72%
721294,720,Valladolid,https://media.api-sports.io/football/teams/720.png,1,7,10,2,4,6,13,1,0,66%,2,,5,472,405,86%
721303,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,2,5,8,1,5,3,12,4,0,38%,2,,2,288,182,63%
721303,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,4,8,15,3,11,4,11,4,4,62%,2,,1,474,376,79%
721301,799,Mirandes,https://media.api-sports.io/football/teams/799.png,5,1,7,1,5,2,11,2,2,39%,1,,1,303,224,74%
721301,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,3,7,15,5,3,12,21,7,0,61%,3,,1,478,398,83%
721299,726,Huesca,https://media.api-sports.io/football/teams/726.png,5,6,14,3,10,4,12,6,3,71%,4,1,0,555,490,88%
721299,718,Oviedo,https://media.api-sports.io/football/teams/718.png,2,5,9,2,6,3,14,3,4,29%,5,0,4,229,155,68%
721313,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,5,7,14,2,8,6,7,3,5,45%,0,,1,422,358,85%
721313,537,Leganes,https://media.api-sports.io/football/teams/537.png,2,8,14,4,6,8,8,4,2,55%,3,,3,500,422,84%
721304,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,4,8,16,4,12,4,12,5,1,51%,2,0,0,396,311,79%
721304,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,2,4,9,3,6,3,9,3,3,49%,1,1,4,412,308,75%
721312,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,7,1,10,2,5,5,8,7,1,61%,2,,1,531,450,85%
721312,545,Eibar,https://media.api-sports.io/football/teams/545.png,4,6,11,1,5,6,10,2,0,39%,2,,5,350,271,77%
721306,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,7,3,13,3,7,6,8,8,1,60%,3,,1,506,413,82%
721306,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,2,4,7,1,3,4,23,3,0,40%,2,,6,339,245,72%
721309,799,Mirandes,https://media.api-sports.io/football/teams/799.png,7,3,15,5,10,5,9,6,1,58%,4,1,3,511,438,86%
721309,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,6,7,13,0,9,4,16,2,0,42%,3,0,6,372,303,81%
721310,718,Oviedo,https://media.api-sports.io/football/teams/718.png,4,10,17,3,11,6,16,5,0,45%,2,,2,314,228,73%
721310,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,2,4,8,2,3,5,19,5,1,55%,4,,3,390,310,79%
721314,720,Valladolid,https://media.api-sports.io/football/teams/720.png,5,6,15,4,8,7,8,6,1,65%,3,,4,405,318,79%
721314,719,Tenerife,https://media.api-sports.io/football/teams/719.png,7,4,12,1,8,4,22,3,3,35%,5,,5,229,160,70%
721311,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,6,4,12,2,7,5,14,5,6,41%,2,,1,300,217,72%
721311,723,Almeria,https://media.api-sports.io/football/teams/723.png,1,5,9,3,3,6,7,3,5,59%,2,,5,438,355,81%
721305,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,4,7,14,3,7,7,15,5,1,41%,5,0,6,267,182,68%
721305,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,6,7,16,3,11,5,8,10,2,59%,3,1,3,376,291,77%
721308,535,Malaga,https://media.api-sports.io/football/teams/535.png,6,5,14,3,9,5,9,0,0,42%,3,,3,368,295,80%
721308,547,Girona,https://media.api-sports.io/football/teams/547.png,3,2,11,6,6,5,13,3,6,58%,5,,4,499,432,87%
721307,716,Lugo,https://media.api-sports.io/football/teams/716.png,8,8,21,5,15,6,14,4,1,39%,1,,2,267,207,78%
721307,726,Huesca,https://media.api-sports.io/football/teams/726.png,3,2,6,1,6,0,13,3,1,61%,1,,5,451,387,86%
721323,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,1,6,10,3,9,1,14,5,3,54%,4,,2,447,351,79%
721323,723,Almeria,https://media.api-sports.io/football/teams/723.png,5,7,16,4,13,3,7,2,7,46%,2,,1,385,299,78%
721318,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,4,4,10,2,5,5,16,5,0,62%,2,,3,460,364,79%
721318,718,Oviedo,https://media.api-sports.io/football/teams/718.png,4,6,12,2,6,6,17,3,1,38%,1,,3,290,208,72%
721319,537,Leganes,https://media.api-sports.io/football/teams/537.png,2,7,10,1,6,4,9,2,1,53%,,,2,455,342,75%
721319,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,2,4,10,4,4,6,14,5,0,47%,,,1,395,285,72%
721322,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,12,5,19,2,13,6,6,9,4,58%,4,0,0,508,430,85%
721322,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,1,1,3,1,2,1,13,2,0,42%,7,1,11,380,293,77%
721316,547,Girona,https://media.api-sports.io/football/teams/547.png,2,5,9,2,5,4,10,3,3,49%,2,,3,457,386,84%
721316,720,Valladolid,https://media.api-sports.io/football/teams/720.png,3,5,15,7,7,8,16,3,1,51%,2,,1,461,365,79%
721325,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,4,5,13,4,10,3,12,8,3,70%,3,,2,449,376,84%
721325,716,Lugo,https://media.api-sports.io/football/teams/716.png,3,4,7,0,5,2,19,3,2,30%,1,,2,201,121,60%
721317,726,Huesca,https://media.api-sports.io/football/teams/726.png,2,4,6,0,4,2,23,6,5,67%,4,1,6,437,351,80%
721317,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,6,4,14,4,9,5,13,4,3,33%,3,0,2,211,123,58%
721320,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,6,1,10,3,9,1,12,10,2,50%,1,0,1,401,320,80%
721320,535,Malaga,https://media.api-sports.io/football/teams/535.png,1,6,8,1,5,3,10,3,0,50%,4,1,2,406,324,80%
721315,545,Eibar,https://media.api-sports.io/football/teams/545.png,4,7,13,2,12,1,17,9,1,46%,5,,2,382,304,80%
721315,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,3,3,9,3,3,6,9,4,2,54%,3,,1,466,384,82%
721321,719,Tenerife,https://media.api-sports.io/football/teams/719.png,5,7,16,4,10,6,17,6,1,51%,4,,4,408,333,82%
721321,799,Mirandes,https://media.api-sports.io/football/teams/799.png,6,3,11,2,6,5,16,2,0,49%,4,,4,406,325,80%
721324,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,2,7,10,1,3,7,10,1,1,41%,1,,3,397,309,78%
721324,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,3,7,14,4,7,7,13,4,2,59%,2,,2,586,513,88%
721331,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,5,8,17,4,8,9,10,6,0,50%,1,,2,436,349,80%
721331,726,Huesca,https://media.api-sports.io/football/teams/726.png,4,5,12,3,10,2,18,5,4,50%,4,,4,439,348,79%
721334,723,Almeria,https://media.api-sports.io/football/teams/723.png,6,6,15,3,10,5,9,7,2,64%,2,,4,568,495,87%
721334,719,Tenerife,https://media.api-sports.io/football/teams/719.png,5,4,12,3,6,6,10,3,1,36%,3,,4,318,236,74%
721326,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,5,9,15,1,11,4,21,5,1,49%,2,,2,326,240,74%
721326,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,2,6,11,3,5,6,12,3,2,51%,3,,3,343,260,76%
721327,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,8,4,13,1,8,5,16,3,2,45%,3,,3,374,292,78%
721327,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,4,9,16,3,11,5,16,3,1,55%,2,,6,439,348,79%
721335,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,5,4,11,2,7,4,15,3,2,37%,3,1,4,284,192,68%
721335,545,Eibar,https://media.api-sports.io/football/teams/545.png,5,4,10,1,9,1,13,5,3,63%,0,0,4,486,370,76%
721329,799,Mirandes,https://media.api-sports.io/football/teams/799.png,4,4,11,3,7,4,13,3,1,54%,1,,3,473,379,80%
721329,537,Leganes,https://media.api-sports.io/football/teams/537.png,4,6,13,3,10,3,18,5,3,46%,3,,3,395,298,75%
721332,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,4,13,27,10,14,13,13,6,2,73%,4,0,2,572,502,88%
721332,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,0,3,0,1,2,17,2,4,27%,6,1,2,209,121,58%
721330,718,Oviedo,https://media.api-sports.io/football/teams/718.png,2,6,12,4,6,6,14,7,,38%,3,1,2,381,300,79%
721330,547,Girona,https://media.api-sports.io/football/teams/547.png,2,4,9,3,4,5,6,5,,62%,2,0,2,634,556,88%
721328,716,Lugo,https://media.api-sports.io/football/teams/716.png,3,10,15,2,10,5,9,3,1,37%,1,,1,262,181,69%
721328,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,2,9,13,2,8,5,8,3,3,63%,1,,2,476,398,84%
721333,720,Valladolid,https://media.api-sports.io/football/teams/720.png,8,8,19,3,14,5,11,10,0,59%,2,,4,534,455,85%
721333,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,4,2,10,4,6,4,9,0,2,41%,1,,6,392,315,80%
721336,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,6,3,13,4,11,2,24,3,2,38%,5,,2,255,163,64%
721336,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,3,6,9,0,8,1,12,0,5,62%,9,,4,430,323,75%
721344,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,4,4,10,2,5,5,10,7,2,48%,3,0,1,357,257,72%
721344,720,Valladolid,https://media.api-sports.io/football/teams/720.png,3,2,7,2,4,3,12,3,4,52%,2,1,2,385,294,76%
721340,726,Huesca,https://media.api-sports.io/football/teams/726.png,4,3,10,3,6,4,17,7,4,55%,2,,1,402,313,78%
721340,719,Tenerife,https://media.api-sports.io/football/teams/719.png,3,3,9,3,4,5,16,3,2,45%,4,,3,344,246,72%
721347,9380,Amorebieta,https://media.api-sports.io/football/teams/9380.png,5,3,11,3,7,4,13,4,2,36%,2,,1,307,197,64%
721347,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,2,5,10,3,6,4,11,6,4,64%,4,,4,556,455,82%
721345,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,2,10,14,2,8,6,10,6,1,64%,2,,1,504,426,85%
721345,718,Oviedo,https://media.api-sports.io/football/teams/718.png,1,4,8,3,3,5,16,2,0,36%,6,,2,284,199,70%
721346,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,6,7,15,2,9,6,9,5,3,62%,5,,3,561,493,88%
721346,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,7,3,10,0,5,5,10,3,0,38%,0,,5,348,263,76%
721338,545,Eibar,https://media.api-sports.io/football/teams/545.png,5,4,11,2,5,6,9,3,0,44%,,,1,426,336,79%
721338,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,1,2,13,10,11,2,8,11,3,56%,,,3,533,436,82%
721343,535,Malaga,https://media.api-sports.io/football/teams/535.png,1,5,11,5,6,5,12,6,3,60%,2,,4,419,339,81%
721343,4906,Fuenlabrada,https://media.api-sports.io/football/teams/4906.png,4,5,14,5,9,5,9,7,3,40%,1,,0,277,179,65%
721342,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,9,3,13,1,8,5,22,3,2,58%,3,0,0,489,415,85%
721342,5262,FC Cartagena,https://media.api-sports.io/football/teams/5262.png,1,6,10,3,8,2,22,2,2,42%,4,1,5,349,264,76%
721337,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,3,2,7,2,4,3,12,2,0,38%,1,,3,333,249,75%
721337,799,Mirandes,https://media.api-sports.io/football/teams/799.png,3,9,13,1,7,6,8,5,4,62%,1,,1,561,489,87%
721341,537,Leganes,https://media.api-sports.io/football/teams/537.png,3,7,13,3,4,9,9,8,2,67%,2,,2,452,353,78%
721341,716,Lugo,https://media.api-sports.io/football/teams/716.png,3,1,5,1,4,1,16,1,1,33%,2,,2,232,142,61%
721339,547,Girona,https://media.api-sports.io/football/teams/547.png,3,5,9,1,8,1,17,5,2,51%,2,,2,469,371,79%
721339,723,Almeria,https://media.api-sports.io/football/teams/723.png,4,7,14,3,6,8,14,4,3,49%,3,,2,474,367,77%
721355,720,Valladolid,https://media.api-sports.io/football/teams/720.png,5,8,18,5,10,8,13,8,2,63%,4,,2,437,346,79%
721355,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,4,7,0,5,2,16,5,1,37%,3,,5,261,161,62%
721350,716,Lugo,https://media.api-sports.io/football/teams/716.png,5,5,11,1,8,3,17,8,1,43%,3,,1,254,175,69%
721350,547,Girona,https://media.api-sports.io/football/teams/547.png,1,4,8,3,4,4,15,6,3,57%,5,,4,341,266,78%
721351,799,Mirandes,https://media.api-sports.io/football/teams/799.png,6,4,11,1,6,5,13,2,,50%,0,,9,415,326,79%
721351,545,Eibar,https://media.api-sports.io/football/teams/545.png,12,8,22,2,17,5,16,7,,50%,1,,3,429,337,79%
721358,723,Almeria,https://media.api-sports.io/football/teams/723.png,5,6,17,6,11,6,20,9,4,40%,2,,3,331,250,76%
721358,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,4,6,11,1,4,7,13,4,3,60%,4,,4,510,421,83%
721352,718,Oviedo,https://media.api-sports.io/football/teams/718.png,4,4,12,4,8,4,13,2,2,37%,5,,2,326,250,77%
721352,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,3,3,8,2,4,4,9,4,2,63%,2,,3,562,475,85%
721353,9585,Real Sociedad II,https://media.api-sports.io/football/teams/9585.png,3,2,8,3,6,2,12,4,1,55%,1,1,2,434,348,80%
721353,4907,Ponferradina,https://media.api-sports.io/football/teams/4907.png,3,4,9,2,2,7,15,3,4,45%,2,1,1,365,270,74%
