fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals
878331,539,Levante,https://media.api-sports.io/football/teams/539.png,2,9,16,5,9,7,19,10,1,58%,4,1,2,394,315,80%,
878331,726,Huesca,https://media.api-sports.io/football/teams/726.png,2,3,9,4,6,3,9,2,4,42%,1,0,2,299,237,79%,
878324,545,Eibar,https://media.api-sports.io/football/teams/545.png,3,5,13,5,7,6,15,6,1,62%,4,,0,498,423,85%,
878324,719,Tenerife,https://media.api-sports.io/football/teams/719.png,1,4,6,1,3,3,6,4,3,38%,2,,1,302,219,73%,
878326,799,Mirandes,https://media.api-sports.io/football/teams/799.png,2,7,15,6,5,10,16,3,3,48%,1,,3,355,255,72%,
878326,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,4,3,8,1,7,1,5,2,1,52%,2,,1,383,286,75%,
878328,537,Leganes,https://media.api-sports.io/football/teams/537.png,2,10,15,3,5,10,11,3,3,62%,3,,1,489,412,84%,
878328,542,Alaves,https://media.api-sports.io/football/teams/542.png,3,2,9,4,6,3,14,3,1,38%,3,,1,298,220,74%,
878325,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,5,3,12,4,7,5,11,4,4,58%,5,,3,502,418,83%,
878325,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,4,2,8,2,6,2,20,2,1,42%,3,,5,356,276,78%,
878327,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,5,1,8,2,4,4,21,1,1,45%,1,,3,355,257,72%,
878327,9595,Villarreal II,https://media.api-sports.io/football/teams/9595.png,5,3,10,2,3,7,18,3,0,55%,2,,5,441,346,78%,
878330,9390,Ibiza,https://media.api-sports.io/football/teams/9390.png,0,8,11,3,6,5,8,3,4,54%,1,,2,444,339,76%,
878330,715,Granada CF,https://media.api-sports.io/football/teams/715.png,3,6,11,2,8,3,13,1,3,46%,2,,0,381,283,74%,
878322,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,1,7,9,1,7,2,12,4,4,42%,2,,3,306,207,68%,
878322,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,5,11,3,5,6,15,5,2,58%,1,,0,451,368,82%,
