fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,penalty_home,penalty_away
1045188,2023-08-11 17:00:00+00:00,1691773200,FT,90,1691773200,1691776800,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Instalaciones de Lezama Campo 2,Lezama,12288,Dámaso Arcediano,Amorebieta,9380,https://media.api-sports.io/football/teams/9380.png,,Levante,539,https://media.api-sports.io/football/teams/539.png,,1,1,0,1,1,1,,
1045196,2023-08-11 19:30:00+00:00,1691782200,FT,90,1691782200,1691785800,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Municipal José Zorrilla,Valladolid,1492,Jon González,Valladolid,720,https://media.api-sports.io/football/teams/720.png,True,Sporting Gijon,731,https://media.api-sports.io/football/teams/731.png,False,2,0,1,0,2,0,,
1045194,2023-08-12 17:00:00+00:00,1691859600,FT,90,1691859600,1691863200,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Campos de Sport de El Sardinero,Santander,3516,Iván Caparrós,Racing Santander,4665,https://media.api-sports.io/football/teams/4665.png,True,Eibar,545,https://media.api-sports.io/football/teams/545.png,False,4,0,3,0,4,0,,
1045197,2023-08-12 19:00:00+00:00,1691866800,FT,90,1691866800,1691870400,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio de la Romareda,Zaragoza,1493,Alejandro Quintero,Zaragoza,732,https://media.api-sports.io/football/teams/732.png,True,Villarreal II,9595,https://media.api-sports.io/football/teams/9595.png,False,2,0,0,0,2,0,,
1045191,2023-08-12 20:00:00+00:00,1691870400,FT,90,1691870400,1691874000,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Manuel Martínez Valero,Elche,1473,Germán Cid,Elche,797,https://media.api-sports.io/football/teams/797.png,False,Racing Ferrol,9409,https://media.api-sports.io/football/teams/9409.png,True,0,1,0,0,0,1,,
1045189,2023-08-13 15:00:00+00:00,1691938800,FT,90,1691938800,1691942400,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Municipal de El Plantío,Burgos,6674,Andrés Fuentes,Burgos,9580,https://media.api-sports.io/football/teams/9580.png,,Huesca,726,https://media.api-sports.io/football/teams/726.png,,1,1,1,1,1,1,,
1045187,2023-08-13 17:30:00+00:00,1691947800,FT,90,1691947800,1691951400,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Carlos Belmonte,Albacete,1458,Adrián Cordero,Albacete,722,https://media.api-sports.io/football/teams/722.png,,Espanyol,540,https://media.api-sports.io/football/teams/540.png,,1,1,0,1,1,1,,
1045190,2023-08-13 17:30:00+00:00,1691947800,FT,90,1691947800,1691951400,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Municipal Cartagonova,Cartagena,3976,Miguel Sesma,FC Cartagena,5262,https://media.api-sports.io/football/teams/5262.png,False,Eldense,9692,https://media.api-sports.io/football/teams/9692.png,True,0,1,0,1,0,1,,
1045193,2023-08-13 20:00:00+00:00,1691956800,FT,90,1691956800,1691960400,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Municipal de Butarque,Leganés,1464,Rafael Sánchez,Leganes,537,https://media.api-sports.io/football/teams/537.png,False,FC Andorra,8157,https://media.api-sports.io/football/teams/8157.png,True,0,1,0,1,0,1,,
1045192,2023-08-14 17:00:00+00:00,1692032400,FT,90,1692032400,1692036000,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Municipal de Anduva,Miranda de Ebro,2920,Miguel González,Mirandes,799,https://media.api-sports.io/football/teams/799.png,True,Alcorcon,711,https://media.api-sports.io/football/teams/711.png,False,4,0,2,0,4,0,,
1045195,2023-08-14 19:30:00+00:00,1692041400,FT,90,1692041400,1692045000,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 1,Estadio Heliodoro Rodríguez Lopéz,Tenerife,1496,Saúl Ais,Tenerife,719,https://media.api-sports.io/football/teams/719.png,True,Oviedo,718,https://media.api-sports.io/football/teams/718.png,False,1,0,1,0,1,0,,
1045200,2023-08-18 17:00:00+00:00,1692378000,FT,90,1692378000,1692381600,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 2,Estadi Nacional,Andorra la Vella,2618,Álvaro Moreno,FC Andorra,8157,https://media.api-sports.io/football/teams/8157.png,True,FC Cartagena,5262,https://media.api-sports.io/football/teams/5262.png,False,3,2,0,0,3,2,,
1045208,2023-08-18 19:30:00+00:00,1692387000,FT,90,1692387000,1692390600,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 2,Estadio de la Romareda,Zaragoza,1493,Rubén Ávalos,Zaragoza,732,https://media.api-sports.io/football/teams/732.png,True,Valladolid,720,https://media.api-sports.io/football/teams/720.png,False,1,0,1,0,1,0,,
1045201,2023-08-19 15:00:00+00:00,1692457200,FT,90,1692457200,1692460800,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 2,Estadio Municipal de Ipurúa,Eibar,1472,Oliver De La Fuente,Eibar,545,https://media.api-sports.io/football/teams/545.png,True,Elche,797,https://media.api-sports.io/football/teams/797.png,False,2,1,1,0,2,1,,
1045202,2023-08-19 17:00:00+00:00,1692464400,FT,90,1692464400,1692468000,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 2,RCDE Stadium,Cornella de Llobregat,1474,Raúl González,Espanyol,540,https://media.api-sports.io/football/teams/540.png,True,Racing Santander,4665,https://media.api-sports.io/football/teams/4665.png,False,2,0,1,0,2,0,,
1045204,2023-08-19 17:30:00+00:00,1692466200,FT,90,1692466200,1692469800,,Spain,141,Segunda División,https://media.api-sports.io/flags/es.svg,https://media.api-sports.io/football/leagues/141.png,2023,Regular Season - 2,Estadio Ciudad de Valencia,Valencia,1482,José Guzmán,Levante,539,https://media.api-sports.io/football/teams/539.png,True,Burgos,9580,https://media.api-sports.io/football/teams/9580.png,False,3,2,2,1,3,2,,
