fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_interceptions,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,fouls_drawn,shots_total,offsides,shots_on,goals_total,goals_assists,tackles_blocks,penalty_won,penalty_commited
1045188,Amorebieta,9380,286611,Pablo Cunat,https://media.api-sports.io/football/players/286611.png,90.0,30,G,7,False,False,0,1.0,26.0,13,2.0,2.0,0,0,0,0,0.0,,,,,,,,,,,,,,,,
1045188,Amorebieta,9380,46853,Jorge Mier,https://media.api-sports.io/football/players/46853.png,90.0,2,D,6.9,False,False,0,,28.0,20,10.0,4.0,0,0,0,0,,1.0,3.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,
1045188,Amorebieta,9380,165713,Manu Hernando,https://media.api-sports.io/football/players/165713.png,90.0,4,D,6.9,False,False,0,,37.0,30,6.0,3.0,0,0,0,0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,
1045188,Amorebieta,9380,47565,Xabier Etxeita,https://media.api-sports.io/football/players/47565.png,90.0,3,D,6.9,False,False,0,,32.0,27,8.0,6.0,0,0,0,0,,,1.0,,,,1.0,,2.0,2.0,,,,,,,
1045188,Amorebieta,9380,181569,Iker Seguin,https://media.api-sports.io/football/players/181569.png,89.0,11,D,7.7,True,False,0,,27.0,23,2.0,2.0,0,0,0,0,,4.0,2.0,1.0,,,,,,1.0,,,,,,,
1045188,Amorebieta,9380,3608,Kwasi Sibo,https://media.api-sports.io/football/players/3608.png,90.0,20,M,6.9,False,False,0,,36.0,30,9.0,3.0,0,0,0,0,,,3.0,1.0,,,1.0,2.0,,,1.0,,,,,,
1045188,Amorebieta,9380,47200,Àlex Carbonell,https://media.api-sports.io/football/players/47200.png,85.0,21,M,7.2,False,False,0,,35.0,28,14.0,9.0,0,0,0,0,,,3.0,1.0,,,1.0,2.0,4.0,1.0,,1.0,,,,,
1045188,Amorebieta,9380,369481,Luis Quintero,https://media.api-sports.io/football/players/369481.png,63.0,27,M,6.7,False,False,0,,17.0,10,14.0,6.0,0,0,0,0,,,1.0,1.0,7.0,3.0,2.0,,2.0,2.0,,1.0,,,,,
1045188,Amorebieta,9380,44870,Ryan Edwards,https://media.api-sports.io/football/players/44870.png,90.0,10,M,6.2,False,False,0,,12.0,11,8.0,1.0,0,0,0,0,,,1.0,,,,,5.0,,,1.0,,,,,,
1045188,Amorebieta,9380,47175,Rayco Rodriguez,https://media.api-sports.io/football/players/47175.png,90.0,17,M,7.2,False,False,0,,23.0,12,16.0,12.0,0,0,0,0,,,1.0,2.0,3.0,3.0,,1.0,4.0,1.0,,,,,,,
1045188,Amorebieta,9380,104903,Eneko Jauregi,https://media.api-sports.io/football/players/104903.png,85.0,9,F,7.3,False,False,0,,15.0,9,21.0,11.0,0,0,0,0,,,,,2.0,1.0,,2.0,5.0,1.0,,1.0,1.0,,,,
1045188,Amorebieta,9380,104850,Josué Dorrio,https://media.api-sports.io/football/players/104850.png,27.0,7,M,6.9,False,True,0,,2.0,,3.0,3.0,0,0,0,0,,1.0,3.0,1.0,,,,,,,,,,,,,
1045188,Amorebieta,9380,46830,Erik Morán,https://media.api-sports.io/football/players/46830.png,14.0,8,M,6.5,False,True,0,,3.0,,1.0,,0,0,0,0,,,,,,,,1.0,,,,,,,,,
1045188,Amorebieta,9380,47412,Javier Eraso,https://media.api-sports.io/football/players/47412.png,14.0,14,M,6.5,False,True,0,,,,2.0,,0,0,0,0,,,,,,,,2.0,,,,,,,,,
1045188,Amorebieta,9380,347886,Félix Garreta,https://media.api-sports.io/football/players/347886.png,1.0,28,D,,False,True,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
