fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
1217505,715,Granada CF,https://media.api-sports.io/football/teams/715.png,9,10,20,1,17,3,9,9,3,66%,6,,1,452,394,87%,,
1217505,722,Albacete,https://media.api-sports.io/football/teams/722.png,3,2,9,4,7,2,11,5,7,34%,3,,8,240,178,74%,,
1217508,799,Mirandes,https://media.api-sports.io/football/teams/799.png,1,1,4,2,4,0,7,2,1,31%,1,,5,236,166,70%,,
1217508,713,Cordoba,https://media.api-sports.io/football/teams/713.png,6,7,24,11,12,12,13,9,0,69%,1,,0,505,441,87%,,
1217500,724,Cadiz,https://media.api-sports.io/football/teams/724.png,3,6,12,3,10,2,14,6,3,61%,3,,3,414,336,81%,,
1217500,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,8,3,11,0,10,1,18,0,1,39%,2,,3,286,201,70%,,
1217507,545,Eibar,https://media.api-sports.io/football/teams/545.png,3,2,8,3,5,3,16,3,0,36%,4,,4,251,137,55%,,
1217507,5254,Castellón,https://media.api-sports.io/football/teams/5254.png,4,4,11,3,10,1,9,3,3,64%,1,,2,458,365,80%,,
1217504,9409,Racing Ferrol,https://media.api-sports.io/football/teams/9409.png,5,3,12,4,9,3,13,3,3,44%,1,,1,326,253,78%,,
1217504,535,Malaga,https://media.api-sports.io/football/teams/535.png,3,4,9,2,7,2,18,3,2,56%,3,,3,436,348,80%,,
1217501,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,7,4,16,5,12,4,12,3,1,64%,3,,3,519,444,86%,,
1217501,718,Oviedo,https://media.api-sports.io/football/teams/718.png,4,1,7,2,4,3,20,5,1,36%,4,,7,298,219,73%,,
1217509,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,1,8,12,3,8,4,13,7,1,69%,2,,3,589,490,83%,,
1217509,539,Levante,https://media.api-sports.io/football/teams/539.png,5,1,9,3,4,5,15,1,1,31%,2,,0,271,196,72%,,
1217506,4665,Racing Santander,https://media.api-sports.io/football/teams/4665.png,5,4,12,3,11,1,16,5,4,37%,3,,6,307,206,67%,,
1217506,723,Almeria,https://media.api-sports.io/football/teams/723.png,8,10,20,2,14,6,15,7,0,63%,2,,3,513,421,82%,,
1217502,797,Elche,https://media.api-sports.io/football/teams/797.png,3,4,12,5,9,3,14,3,1,74%,3,,1,643,577,90%,,
1217502,726,Huesca,https://media.api-sports.io/football/teams/726.png,3,2,6,1,2,4,17,1,3,26%,3,,3,228,174,76%,,
1217499,9580,Burgos,https://media.api-sports.io/football/teams/9580.png,6,4,12,2,9,3,11,5,1,56%,2,,2,408,314,77%,,
