fixture_id,bet_name,bet_value,bet_odd
1396944,Match Winner,Home,1.91
1396944,Match Winner,Draw,3.20
1396944,Match Winner,Away,4.33
1396944,Second Half Winner,Home,2.25
1396944,Second Half Winner,Draw,2.38
1396944,Second Half Winner,Away,4.00
1396944,Goals Over/Under,Over 1.5,1.36
1396944,Goals Over/Under,Under 1.5,3.00
1396944,Goals Over/Under,Over 2.5,2.20
1396944,Goals Over/Under,Under 2.5,1.65
1396944,Goals Over/Under,Over 3.5,4.00
1396944,Goals Over/Under,Under 3.5,1.22
1396944,Goals Over/Under,Over 0.5,1.07
1396944,Goals Over/Under,Under 0.5,9.00
1396944,Goals Over/Under,Over 4.5,9.00
1396944,Goals Over/Under,Under 4.5,1.07
1396944,Goals Over/Under,Over 7.5,51.00
1396944,Goals Over/Under,Under 7.5,1.00
1396944,Goals Over/Under,Over 5.5,19.00
1396944,Goals Over/Under,Under 5.5,1.02
1396944,Goals Over/Under,Over 6.5,41.00
1396944,Goals Over/Under,Under 6.5,1.00
1396944,HT/FT Double,Home/Draw,15.00
1396944,HT/FT Double,Home/Away,34.00
1396944,HT/FT Double,Draw/Away,8.50
1396944,HT/FT Double,Draw/Draw,5.00
1396944,HT/FT Double,Home/Home,3.10
1396944,HT/FT Double,Draw/Home,4.75
1396944,HT/FT Double,Away/Home,26.00
1396944,HT/FT Double,Away/Draw,15.00
1396944,HT/FT Double,Away/Away,7.00
1396944,Double Chance,Home/Draw,1.20
1396944,Double Chance,Home/Away,1.36
1396944,Double Chance,Draw/Away,1.83
1396944,First Half Winner,Home,2.60
1396944,First Half Winner,Draw,2.10
1396944,First Half Winner,Away,4.75
1391254,Match Winner,Home,1.83
1391254,Match Winner,Draw,3.20
1391254,Match Winner,Away,4.75
1391254,Second Half Winner,Home,2.25
1391254,Second Half Winner,Draw,2.20
1391254,Second Half Winner,Away,4.50
1391254,Goals Over/Under,Over 1.5,1.50
1391254,Goals Over/Under,Under 1.5,2.50
1391254,Goals Over/Under,Over 2.5,2.50
1391254,Goals Over/Under,Under 2.5,1.50
1391254,Goals Over/Under,Over 3.5,5.00
1391254,Goals Over/Under,Under 3.5,1.17
1391254,Goals Over/Under,Over 0.5,1.10
1391254,Goals Over/Under,Under 0.5,7.00
1391254,Goals Over/Under,Over 4.5,11.00
1391254,Goals Over/Under,Under 4.5,1.05
1391254,Goals Over/Under,Over 5.5,26.00
1391254,Goals Over/Under,Under 5.5,1.01
1391254,Goals Over/Under,Over 6.5,51.00
1391254,Goals Over/Under,Under 6.5,1.00
1391254,HT/FT Double,Home/Draw,15.00
1391254,HT/FT Double,Home/Away,41.00
1391254,HT/FT Double,Draw/Away,9.00
1391254,HT/FT Double,Draw/Draw,4.50
1391254,HT/FT Double,Home/Home,3.00
1391254,HT/FT Double,Draw/Home,4.50
1391254,HT/FT Double,Away/Home,29.00
1391254,HT/FT Double,Away/Draw,17.00
1391254,HT/FT Double,Away/Away,8.00
1391254,Double Chance,Home/Draw,1.18
1391254,Double Chance,Home/Away,1.36
1391254,Double Chance,Draw/Away,1.91
1391254,First Half Winner,Home,2.50
1391254,First Half Winner,Draw,2.00
1391254,First Half Winner,Away,5.50
1391256,Match Winner,Home,1.90
1391256,Match Winner,Draw,3.70
1391256,Match Winner,Away,3.80
1391256,Second Half Winner,Home,2.25
1391256,Second Half Winner,Draw,2.62
1391256,Second Half Winner,Away,3.40
1391256,Goals Over/Under,Over 1.5,1.17
1391256,Goals Over/Under,Under 1.5,5.00
1391256,Goals Over/Under,Over 2.5,1.57
1391256,Goals Over/Under,Under 2.5,2.35
1391256,Goals Over/Under,Over 3.5,2.38
1391256,Goals Over/Under,Under 3.5,1.53
1391256,Goals Over/Under,Over 0.5,1.02
1391256,Goals Over/Under,Under 0.5,17.00
1391256,Goals Over/Under,Over 4.5,4.00
1391256,Goals Over/Under,Under 4.5,1.22
1391256,Goals Over/Under,Over 7.5,29.00
1391256,Goals Over/Under,Under 7.5,1.01
1391256,Goals Over/Under,Over 5.5,8.00
1391256,Goals Over/Under,Under 5.5,1.08
1391256,Goals Over/Under,Over 6.5,17.00
1391256,Goals Over/Under,Under 6.5,1.02
1391256,HT/FT Double,Home/Draw,13.00
1391256,HT/FT Double,Home/Away,26.00
1391256,HT/FT Double,Draw/Away,8.50
1391256,HT/FT Double,Draw/Draw,6.50
1391256,HT/FT Double,Home/Home,3.00
1391256,HT/FT Double,Draw/Home,5.50
1391256,HT/FT Double,Away/Home,19.00
1391256,HT/FT Double,Away/Draw,15.00
1391256,HT/FT Double,Away/Away,6.00
1391256,Double Chance,Home/Draw,1.25
1391256,Double Chance,Home/Away,1.28
1391256,Double Chance,Draw/Away,1.91
1391256,First Half Winner,Home,2.50
1391256,First Half Winner,Draw,2.40
1391256,First Half Winner,Away,3.75
1391259,Match Winner,Home,2.30
1391259,Match Winner,Draw,2.90
1391259,Match Winner,Away,3.40
1391259,Second Half Winner,Home,3.00
1391259,Second Half Winner,Draw,2.10
1391259,Second Half Winner,Away,3.20
1391259,Goals Over/Under,Over 1.5,1.53
1391259,Goals Over/Under,Under 1.5,2.38
1391259,Goals Over/Under,Over 2.5,2.70
1391259,Goals Over/Under,Under 2.5,1.44
1391259,Goals Over/Under,Over 3.5,5.50
1391259,Goals Over/Under,Under 3.5,1.14
1391259,Goals Over/Under,Over 0.5,1.11
1391259,Goals Over/Under,Under 0.5,6.50
1391259,Goals Over/Under,Over 4.5,13.00
1391259,Goals Over/Under,Under 4.5,1.04
1391259,Goals Over/Under,Over 5.5,26.00
1391259,Goals Over/Under,Under 5.5,1.01
1391259,Goals Over/Under,Over 6.5,51.00
1391259,Goals Over/Under,Under 6.5,1.00
1391259,HT/FT Double,Home/Draw,15.00
1391259,HT/FT Double,Home/Away,41.00
1391259,HT/FT Double,Draw/Away,7.00
1391259,HT/FT Double,Draw/Draw,4.00
1391259,HT/FT Double,Home/Home,4.00
1391259,HT/FT Double,Draw/Home,5.50
1391259,HT/FT Double,Away/Home,34.00
1391259,HT/FT Double,Away/Draw,15.00
1391259,HT/FT Double,Away/Away,5.50
1391259,Double Chance,Home/Draw,1.30
1391259,Double Chance,Home/Away,1.40
1391259,Double Chance,Draw/Away,1.57
1391259,First Half Winner,Home,3.20
1391259,First Half Winner,Draw,1.91
1391259,First Half Winner,Away,4.00
1391253,Match Winner,Home,2.62
1391253,Match Winner,Draw,3.00
1391253,Match Winner,Away,2.90
1391253,Second Half Winner,Home,2.88
1391253,Second Half Winner,Draw,2.30
1391253,Second Half Winner,Away,3.00
1391253,Goals Over/Under,Over 1.5,1.36
1391253,Goals Over/Under,Under 1.5,3.00
1391253,Goals Over/Under,Over 2.5,2.25
1391253,Goals Over/Under,Under 2.5,1.62
1391253,Goals Over/Under,Over 3.5,4.00
1391253,Goals Over/Under,Under 3.5,1.22
1391253,Goals Over/Under,Over 0.5,1.08
1391253,Goals Over/Under,Under 0.5,8.00
1391253,Goals Over/Under,Over 4.5,9.00
1391253,Goals Over/Under,Under 4.5,1.07
1391253,Goals Over/Under,Over 7.5,51.00
1391253,Goals Over/Under,Under 7.5,1.00
1391253,Goals Over/Under,Over 5.5,19.00
1391253,Goals Over/Under,Under 5.5,1.02
1391253,Goals Over/Under,Over 6.5,41.00
1391253,Goals Over/Under,Under 6.5,1.00
1391253,HT/FT Double,Home/Draw,15.00
1391253,HT/FT Double,Home/Away,29.00
1391253,HT/FT Double,Draw/Away,6.50
1391253,HT/FT Double,Draw/Draw,4.75
1391253,HT/FT Double,Home/Home,4.33
1391253,HT/FT Double,Draw/Home,6.00
1391253,HT/FT Double,Away/Home,29.00
1391253,HT/FT Double,Away/Draw,15.00
1391253,HT/FT Double,Away/Away,4.75
1391253,Double Chance,Home/Draw,1.40
1391253,Double Chance,Home/Away,1.36
1391253,Double Chance,Draw/Away,1.44
1391253,First Half Winner,Home,3.25
1391253,First Half Winner,Draw,2.05
1391253,First Half Winner,Away,3.50
1391257,Match Winner,Home,2.62
1391257,Match Winner,Draw,2.90
1391257,Match Winner,Away,2.90
1391257,Second Half Winner,Home,2.88
1391257,Second Half Winner,Draw,2.30
1391257,Second Half Winner,Away,3.00
1391257,Goals Over/Under,Over 1.5,1.36
1391257,Goals Over/Under,Under 1.5,3.00
1391257,Goals Over/Under,Over 2.5,2.20
1391257,Goals Over/Under,Under 2.5,1.65
1391257,Goals Over/Under,Over 3.5,3.75
1391257,Goals Over/Under,Under 3.5,1.25
1391257,Goals Over/Under,Over 0.5,1.08
1391257,Goals Over/Under,Under 0.5,8.00
1391257,Goals Over/Under,Over 4.5,9.00
1391257,Goals Over/Under,Under 4.5,1.07
1391257,Goals Over/Under,Over 5.5,19.00
1391257,Goals Over/Under,Under 5.5,1.02
1391257,Goals Over/Under,Over 6.5,41.00
1391257,Goals Over/Under,Under 6.5,1.00
1391257,HT/FT Double,Home/Draw,13.00
1391257,HT/FT Double,Home/Away,29.00
1391257,HT/FT Double,Draw/Away,6.50
1391257,HT/FT Double,Draw/Draw,4.75
1391257,HT/FT Double,Home/Home,4.33
1391257,HT/FT Double,Draw/Home,6.00
1391257,HT/FT Double,Away/Home,29.00
1391257,HT/FT Double,Away/Draw,15.00
1391257,HT/FT Double,Away/Away,4.75
1391257,Double Chance,Home/Draw,1.40
1391257,Double Chance,Home/Away,1.40
1391257,Double Chance,Draw/Away,1.44
1391257,First Half Winner,Home,3.25
1391257,First Half Winner,Draw,2.05
1391257,First Half Winner,Away,3.50
1391255,Match Winner,Home,1.55
1391255,Match Winner,Draw,3.80
1391255,Match Winner,Away,6.25
1391255,Second Half Winner,Home,1.91
1391255,Second Half Winner,Draw,2.40
1391255,Second Half Winner,Away,5.50
1391255,Goals Over/Under,Over 1.5,1.36
1391255,Goals Over/Under,Under 1.5,3.00
1391255,Goals Over/Under,Over 2.5,2.15
1391255,Goals Over/Under,Under 2.5,1.67
1391255,Goals Over/Under,Over 3.5,4.00
1391255,Goals Over/Under,Under 3.5,1.22
