fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,shots_total,shots_on,dribbles_past,offsides,goals_total,goals_saves,penalty_won,penalty_commited
1396944,Valladolid,720,329663,Guilherme Fernandes,https://media.api-sports.io/football/players/329663.png,90.0,13,G,6.5,False,False,0,0.0,21.0,8,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1396944,Valladolid,720,46824,Iván Alejo,https://media.api-sports.io/football/players/46824.png,81.0,14,D,7.9,False,False,0,0.0,23.0,15,0,0,0,0,,1.0,6.0,1.0,1.0,17.0,11.0,1.0,1.0,2.0,4.0,,,,,,,,
1396944,Valladolid,720,285422,Pablo Tomeo,https://media.api-sports.io/football/players/285422.png,90.0,15,D,7.2,False,False,0,0.0,28.0,20,0,0,0,0,,,2.0,,2.0,5.0,5.0,,,,,1.0,1.0,,,,,,
1396944,Valladolid,720,298064,David Torres,https://media.api-sports.io/football/players/298064.png,90.0,4,D,7,False,False,0,0.0,27.0,19,0,0,0,0,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,
1396944,Valladolid,720,293603,Guille Bueno,https://media.api-sports.io/football/players/293603.png,87.0,3,D,6.9,False,False,0,0.0,23.0,17,0,0,0,0,,2.0,1.0,,1.0,7.0,2.0,2.0,,,,,,1.0,,,,,
1396944,Valladolid,720,14341,Stanko Jurić,https://media.api-sports.io/football/players/14341.png,90.0,24,M,7.2,True,False,0,0.0,36.0,24,0,0,0,0,,1.0,2.0,,3.0,12.0,7.0,1.0,,4.0,2.0,,,1.0,,,,,
1396944,Valladolid,720,181463,Víctor Meseguer,https://media.api-sports.io/football/players/181463.png,76.0,8,M,6.6,False,False,0,0.0,15.0,10,1,0,0,0,,,3.0,,,7.0,3.0,,,,2.0,1.0,1.0,1.0,,,,,
1396944,Valladolid,720,104793,Amath Ndiaye,https://media.api-sports.io/football/players/104793.png,90.0,11,M,9.5,False,False,0,0.0,23.0,19,0,0,0,0,,1.0,6.0,,,15.0,7.0,2.0,1.0,,1.0,3.0,2.0,2.0,1.0,2.0,,,
1396944,Valladolid,720,331004,Chuky,https://media.api-sports.io/football/players/331004.png,81.0,20,M,8.3,False,False,0,1.0,19.0,13,1,0,0,0,,1.0,1.0,,,8.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,
1396944,Valladolid,720,292219,Stipe Biuk,https://media.api-sports.io/football/players/292219.png,76.0,17,M,7.6,False,False,0,1.0,21.0,16,1,0,0,0,,5.0,4.0,,1.0,14.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,
