fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
164174,2019-08-02 18:45:00+00:00,1564771500,FT,90,1564771500,1564775100,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,Kenilworth Road,"Luton, Bedfordshire",551,O. Langford,Luton,1359,https://media.api-sports.io/football/teams/1359.png,,Middlesbrough,70,https://media.api-sports.io/football/teams/70.png,,3,3,2,2,3,3,Luton,https://media.api-sports.io/football/teams/1359.png,4,3,12,5,9,3,14,8,2.0,49%,2.0,,5.0,299,218,73%,Middlesbrough,https://media.api-sports.io/football/teams/70.png,8,5,17,4,8,9,20,11,2.0,51%,2.0,,1.0,304,227,75%,,,
164179,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,Madejski Stadium,"Reading, Berkshire",576,J. Linington,Reading,53,https://media.api-sports.io/football/teams/53.png,False,Sheffield Wednesday,74,https://media.api-sports.io/football/teams/74.png,True,1,3,0,1,1,3,Reading,https://media.api-sports.io/football/teams/53.png,4,6,14,4,8,6,12,7,1.0,59%,0.0,0.0,2.0,490,392,80%,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,5,6,13,2,8,5,15,3,0.0,41%,3.0,1.0,2.0,335,257,77%,,,
164177,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,Griffin Park,"Brentford, Middlesex",507,G. Ward,Brentford,55,https://media.api-sports.io/football/teams/55.png,False,Birmingham,54,https://media.api-sports.io/football/teams/54.png,True,0,1,0,1,0,1,Brentford,https://media.api-sports.io/football/teams/55.png,3,9,15,3,10,5,10,6,0.0,75%,1.0,,0.0,718,615,86%,Birmingham,https://media.api-sports.io/football/teams/54.png,1,0,1,0,0,1,12,2,2.0,25%,3.0,,3.0,234,129,55%,,,
164178,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,The Den,London,559,S. Martin,Millwall,58,https://media.api-sports.io/football/teams/58.png,True,Preston,59,https://media.api-sports.io/football/teams/59.png,False,1,0,1,0,1,0,Millwall,https://media.api-sports.io/football/teams/58.png,3,4,11,4,6,5,11,8,1.0,37%,2.0,,0.0,226,121,54%,Preston,https://media.api-sports.io/football/teams/59.png,1,4,5,0,4,1,18,7,2.0,63%,3.0,,2.0,401,306,76%,,,
164182,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,DW Stadium,Wigan,599,D. Webb,Wigan,61,https://media.api-sports.io/football/teams/61.png,True,Cardiff,43,https://media.api-sports.io/football/teams/43.png,False,3,2,0,1,3,2,Wigan,https://media.api-sports.io/football/teams/61.png,4,3,12,5,6,6,9,6,0.0,56%,2.0,,2.0,326,223,68%,Cardiff,https://media.api-sports.io/football/teams/43.png,4,5,13,4,10,3,15,6,2.0,44%,4.0,,1.0,249,152,61%,,,
164176,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,Ewood Park,"Blackburn, Lancashire",500,A.  Woolmer,Blackburn,67,https://media.api-sports.io/football/teams/67.png,False,Charlton,1335,https://media.api-sports.io/football/teams/1335.png,True,1,2,0,1,1,2,Blackburn,https://media.api-sports.io/football/teams/67.png,2,6,14,6,7,7,15,12,5.0,62%,0.0,,3.0,449,353,79%,Charlton,https://media.api-sports.io/football/teams/1335.png,5,2,9,2,6,3,13,2,2.0,38%,3.0,,1.0,288,185,64%,,,
164180,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,bet365 Stadium,"Stoke-on-Trent, Staffordshire",588,D. Bond,Stoke City,75,https://media.api-sports.io/football/teams/75.png,False,QPR,72,https://media.api-sports.io/football/teams/72.png,True,1,2,0,1,1,2,Stoke City,https://media.api-sports.io/football/teams/75.png,1,10,12,1,9,3,18,7,0.0,55%,1.0,,1.0,418,307,73%,QPR,https://media.api-sports.io/football/teams/72.png,3,2,6,1,4,2,14,0,3.0,45%,3.0,,0.0,352,252,72%,,,
164181,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,Liberty Stadium,Swansea,591,J. Brooks,Swansea,76,https://media.api-sports.io/football/teams/76.png,True,Hull City,64,https://media.api-sports.io/football/teams/64.png,False,2,1,0,1,2,1,Swansea,https://media.api-sports.io/football/teams/76.png,8,6,19,5,14,5,9,10,2.0,63%,3.0,,3.0,580,482,83%,Hull City,https://media.api-sports.io/football/teams/64.png,4,4,12,4,5,7,10,4,1.0,37%,2.0,,6.0,340,237,70%,,,
164175,2019-08-03 14:00:00+00:00,1564840800,FT,90,1564840800,1564844400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,Oakwell,"Barnsley, South Yorkshire",497,A. Davies,Barnsley,747,https://media.api-sports.io/football/teams/747.png,True,Fulham,36,https://media.api-sports.io/football/teams/36.png,False,1,0,1,0,1,0,Barnsley,https://media.api-sports.io/football/teams/747.png,4,9,17,4,10,7,16,7,2.0,45%,3.0,,3.0,343,261,76%,Fulham,https://media.api-sports.io/football/teams/36.png,4,8,15,3,9,6,14,5,1.0,55%,1.0,,2.0,415,315,76%,,,
164183,2019-08-03 16:30:00+00:00,1564849800,FT,90,1564849800,1564853400,,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2019,Regular Season - 1,The City Ground,"Nottingham, Nottinghamshire",566,D. England,Nottingham Forest,65,https://media.api-sports.io/football/teams/65.png,False,West Brom,60,https://media.api-sports.io/football/teams/60.png,True,1,2,1,2,1,2,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,4,7,15,4,6,9,8,9,2.0,45%,0.0,,1.0,384,302,79%,West Brom,https://media.api-sports.io/football/teams/60.png,3,5,12,4,7,5,6,5,0.0,55%,1.0,,3.0,481,383,80%,,,
