fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
1386551,2025-08-08 19:00:00+00:00,1754679600,FT,90,1754679600,1754683200,11,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,St. Andrew's @ Knighthead Park,Birmingham,,Andrew Kitchen,Birmingham,54,https://media.api-sports.io/football/teams/54.png,Ipswich,57,https://media.api-sports.io/football/teams/57.png,1,1,0,0,1,1,3,8,11,0,6,5,16,1,1.0,0.51,2.0,0.0,0,366,276,0.75,1,5,7,1,6,1,22,4,0.0,0.49,3.0,0.0,2,348,275,0.79,232,116,174,116,116,116,116,116,58,0,58,116,0,0,58,0,6,17
1386553,2025-08-09 11:30:00+00:00,1754739000,FT,90,1754739000,1754742600,7,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,St. Mary's Stadium,"Southampton, Hampshire",585,James Bell,Southampton,41,https://media.api-sports.io/football/teams/41.png,Wrexham,1837,https://media.api-sports.io/football/teams/1837.png,2,1,0,1,2,1,10,10,27,7,22,5,12,7,1.0,0.75,2.0,0.0,1,609,527,0.87,2,5,10,3,6,4,13,3,2.0,0.25,2.0,0.0,7,204,130,0.64,232,0,174,174,116,290,116,116,58,0,58,0,0,116,58,-116,6,19
1386554,2025-08-09 11:30:00+00:00,1754739000,FT,90,1754739000,1754742600,7,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,The Valley,London,518,Stephen Martin,Charlton,1335,https://media.api-sports.io/football/teams/1335.png,Watford,38,https://media.api-sports.io/football/teams/38.png,1,0,0,0,1,0,5,4,12,3,9,3,6,3,0.0,0.42,1.0,0.0,1,295,224,0.76,1,5,10,4,4,6,16,2,0.0,0.58,2.0,0.0,4,411,329,0.8,232,174,58,116,0,116,116,116,58,58,58,0,0,58,58,0,10,13
1386552,2025-08-09 11:30:00+00:00,1754739000,FT,90,1754739000,1754742600,10,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,The Coventry Building Society Arena,"Coventry, West Midlands",11896,Robert Madley,Coventry,1346,https://media.api-sports.io/football/teams/1346.png,Hull City,64,https://media.api-sports.io/football/teams/64.png,0,0,0,0,0,0,3,8,18,7,10,8,7,8,1.0,0.58,3.0,0.0,3,381,313,0.82,3,3,7,1,5,2,11,2,2.0,0.42,3.0,0.0,3,295,217,0.74,232,232,290,174,174,116,116,116,58,58,58,58,0,0,116,58,5,6
1386555,2025-08-09 14:00:00+00:00,1754748000,FT,90,1754748000,1754751600,10,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,The Hawthorns,West Bromwich,597,David Webb,West Brom,60,https://media.api-sports.io/football/teams/60.png,Blackburn,67,https://media.api-sports.io/football/teams/67.png,1,0,1,0,1,0,5,7,13,1,8,5,13,3,0.0,0.44,4.0,1.0,1,334,261,0.78,1,7,10,2,6,4,13,7,0.0,0.56,0.0,0.0,4,417,330,0.79,348,0,232,58,116,174,116,116,116,0,0,0,0,116,116,-116,3,21
1386557,2025-08-09 14:00:00+00:00,1754748000,FT,90,1754748000,1754751600,7,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,Riverside Stadium,Middlesbrough,558,Farai Hallam,Middlesbrough,70,https://media.api-sports.io/football/teams/70.png,Swansea,76,https://media.api-sports.io/football/teams/76.png,1,0,0,0,1,0,3,1,6,2,2,4,15,7,0.0,0.54,2.0,0.0,1,442,351,0.79,1,1,3,1,1,2,15,2,6.0,0.46,5.0,0.0,2,376,289,0.77,348,174,232,58,0,58,116,116,116,58,0,0,0,58,232,0,2,15
1386560,2025-08-09 14:00:00+00:00,1754748000,FT,90,1754748000,1754751600,8,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,Carrow Road,"Norwich, Norfolk",565,Adam Herczeg,Norwich,71,https://media.api-sports.io/football/teams/71.png,Millwall,58,https://media.api-sports.io/football/teams/58.png,1,2,0,0,1,2,3,8,15,4,6,9,5,6,1.0,0.59,1.0,0.0,1,424,352,0.83,3,6,15,6,9,6,15,5,1.0,0.41,4.0,0.0,2,284,198,0.7,174,174,174,116,174,232,116,116,58,58,0,0,58,58,0,-116,11,16
1386558,2025-08-09 14:00:00+00:00,1754748000,FT,90,1754748000,1754751600,8,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,MATRADE Loftus Road,London,20414,Oliver Langford,Qpr,72,https://media.api-sports.io/football/teams/72.png,Preston,59,https://media.api-sports.io/football/teams/59.png,1,1,1,0,1,1,3,5,13,5,5,8,7,5,4.0,0.58,0.0,0.0,1,388,298,0.77,3,5,11,3,8,3,9,4,4.0,0.42,3.0,0.0,3,275,191,0.69,58,232,116,174,174,116,116,116,0,58,58,58,58,0,-58,58,18,6
1386556,2025-08-09 14:00:00+00:00,1754748000,FT,90,1754748000,1754751600,9,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,bet365 Stadium,"Stoke-on-Trent, Staffordshire",588,Elliot Bell,Stoke City,75,https://media.api-sports.io/football/teams/75.png,Derby,69,https://media.api-sports.io/football/teams/69.png,3,1,0,0,3,1,7,4,12,1,6,6,12,7,2.0,0.68,1.0,0.0,1,441,381,0.86,2,1,3,0,2,1,14,3,2.0,0.32,2.0,0.0,4,205,125,0.61,348,0,348,232,58,464,116,116,116,0,0,0,0,116,290,-232,1,22
1386559,2025-08-09 14:00:00+00:00,1754748000,FT,90,1754748000,1754751600,10,England,40,Championship,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/40.png,2025,Regular Season - 1,The Kassam Stadium,"Oxford, Oxfordshire",569,Dean Whitestone,Oxford United,1338,https://media.api-sports.io/football/teams/1338.png,Portsmouth,1355,https://media.api-sports.io/football/teams/1355.png,0,1,0,1,0,1,4,3,18,11,13,5,15,8,3.0,0.49,1.0,0.0,3,299,201,0.67,4,5,9,0,7,2,10,4,2.0,0.51,2.0,0.0,4,323,229,0.71,0,174,116,116,232,116,116,116,0,58,0,0,116,58,-116,0,20,13
