fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
734763,2021-08-24 18:00:00+00:00,1629828000,FT,90,1629828000,1629831600,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 1,Sands  Stadium,Scunthorpe,,A. Haines,Scunthorpe,1340,https://media.api-sports.io/football/teams/1340.png,False,Manchester City U21,7197,https://media.api-sports.io/football/teams/7197.png,True,0,3,0,2,0,3,Scunthorpe,https://media.api-sports.io/football/teams/1340.png,1.0,5.0,7.0,1.0,5.0,2.0,7.0,1.0,4.0,28%,0.0,,4.0,269.0,203.0,75%,Manchester City U21,https://media.api-sports.io/football/teams/7197.png,7.0,1.0,17.0,9.0,8.0,9.0,5.0,11.0,2.0,72%,1.0,,1.0,709.0,650.0,92%,,,
734764,2021-08-24 18:00:00+00:00,1629828000,PEN,120,1629828000,1629831600,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 1,St James Park,"Exeter, Devon",532.0,R. Lewis,Exeter City,1364,https://media.api-sports.io/football/teams/1364.png,False,Chelsea U21,7192,https://media.api-sports.io/football/teams/7192.png,True,1,1,0,1,1,1,Exeter City,https://media.api-sports.io/football/teams/1364.png,2.0,1.0,4.0,1.0,4.0,0.0,12.0,2.0,5.0,36%,1.0,,1.0,365.0,285.0,78%,Chelsea U21,https://media.api-sports.io/football/teams/7192.png,2.0,8.0,14.0,4.0,10.0,4.0,4.0,5.0,1.0,64%,0.0,,1.0,667.0,583.0,87%,,,
734829,2021-08-24 18:00:00+00:00,1629828000,FT,90,1629828000,1629831600,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 1,LNER Stadium,"Lincoln, Lincolnshire",10610.0,C. Sarginson,Lincoln,1379,https://media.api-sports.io/football/teams/1379.png,True,Manchester United U21,7198,https://media.api-sports.io/football/teams/7198.png,False,3,2,2,0,3,2,Lincoln,https://media.api-sports.io/football/teams/1379.png,7.0,7.0,19.0,5.0,13.0,6.0,8.0,6.0,2.0,44%,1.0,0.0,0.0,468.0,392.0,84%,Manchester United U21,https://media.api-sports.io/football/teams/7198.png,2.0,5.0,11.0,4.0,7.0,4.0,17.0,4.0,0.0,56%,2.0,1.0,3.0,596.0,538.0,90%,,,
734769,2021-08-31 18:00:00+00:00,1630432800,PEN,120,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 2,DW Stadium,Wigan,599.0,M. Edwards,Wigan,61,https://media.api-sports.io/football/teams/61.png,False,Wolves U21,7204,https://media.api-sports.io/football/teams/7204.png,True,0,0,0,0,0,0,Wigan,https://media.api-sports.io/football/teams/61.png,4.0,3.0,8.0,1.0,4.0,4.0,12.0,3.0,1.0,55%,2.0,,3.0,546.0,476.0,87%,Wolves U21,https://media.api-sports.io/football/teams/7204.png,3.0,3.0,6.0,0.0,2.0,4.0,7.0,0.0,1.0,45%,1.0,,4.0,453.0,370.0,82%,,,
734770,2021-08-31 18:00:00+00:00,1630432800,FT,90,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 2,University of Bolton Stadium,Bolton,502.0,S. Oldham,Bolton,68,https://media.api-sports.io/football/teams/68.png,True,Port Vale,1351,https://media.api-sports.io/football/teams/1351.png,False,3,2,1,2,3,2,Bolton,https://media.api-sports.io/football/teams/68.png,4.0,4.0,11.0,3.0,4.0,7.0,10.0,2.0,2.0,55%,4.0,,2.0,556.0,470.0,85%,Port Vale,https://media.api-sports.io/football/teams/1351.png,4.0,4.0,10.0,2.0,8.0,2.0,9.0,3.0,0.0,45%,0.0,,1.0,455.0,351.0,77%,,,
734773,2021-08-31 18:00:00+00:00,1630432800,FT,90,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 2,Hillsborough,Sheffield,582.0,P. Wright,Sheffield Wednesday,74,https://media.api-sports.io/football/teams/74.png,True,Newcastle United U21,7199,https://media.api-sports.io/football/teams/7199.png,False,3,0,1,0,3,0,Sheffield Wednesday,https://media.api-sports.io/football/teams/74.png,9.0,15.0,29.0,5.0,19.0,10.0,8.0,12.0,4.0,67%,2.0,,0.0,630.0,564.0,90%,Newcastle United U21,https://media.api-sports.io/football/teams/7199.png,0.0,2.0,2.0,0.0,1.0,1.0,12.0,0.0,1.0,33%,3.0,,4.0,319.0,246.0,77%,,,
734774,2021-08-31 18:00:00+00:00,1630432800,FT,90,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 2,Pirelli Stadium,"Burton-upon-Trent, Staffordshire",513.0,B. Huxtable,Burton Albion,748,https://media.api-sports.io/football/teams/748.png,False,Milton Keynes Dons,1348,https://media.api-sports.io/football/teams/1348.png,True,1,2,0,0,1,2,Burton Albion,https://media.api-sports.io/football/teams/748.png,1.0,2.0,4.0,1.0,2.0,2.0,15.0,3.0,0.0,41%,1.0,,6.0,391.0,308.0,79%,Milton Keynes Dons,https://media.api-sports.io/football/teams/1348.png,9.0,1.0,13.0,3.0,5.0,8.0,7.0,0.0,1.0,59%,1.0,,1.0,606.0,523.0,86%,,,
734777,2021-08-31 18:00:00+00:00,1630432800,FT,90,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 2,Memorial Stadium,"Bristol, Gloucestershire",510.0,W. Finnie,Bristol Rovers,1334,https://media.api-sports.io/football/teams/1334.png,True,Cheltenham,1372,https://media.api-sports.io/football/teams/1372.png,False,2,0,0,0,2,0,Bristol Rovers,https://media.api-sports.io/football/teams/1334.png,4.0,9.0,17.0,4.0,10.0,7.0,11.0,9.0,2.0,47%,,,3.0,389.0,304.0,78%,Cheltenham,https://media.api-sports.io/football/teams/1372.png,3.0,7.0,12.0,2.0,7.0,5.0,5.0,2.0,1.0,53%,,,2.0,458.0,350.0,76%,,,
734779,2021-08-31 18:00:00+00:00,1630432800,FT,90,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 1,The Valley,London,518.0,N. Hair,Charlton,1335,https://media.api-sports.io/football/teams/1335.png,True,Crawley Town,1362,https://media.api-sports.io/football/teams/1362.png,False,6,1,3,0,6,1,Charlton,https://media.api-sports.io/football/teams/1335.png,5.0,7.0,16.0,4.0,11.0,5.0,11.0,6.0,,50%,1.0,,5.0,411.0,321.0,78%,Crawley Town,https://media.api-sports.io/football/teams/1362.png,6.0,3.0,17.0,8.0,9.0,8.0,8.0,6.0,,50%,0.0,,0.0,416.0,318.0,76%,,,
734771,2021-08-31 18:00:00+00:00,1630432800,FT,90,1630432800,1630436400,,England,46,EFL Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2021,Group Stage - 2,Crown Oil Arena,"Rochdale, Greater Manchester",577.0,B. Toner,Rochdale,1339,https://media.api-sports.io/football/teams/1339.png,True,Liverpool U21,7196,https://media.api-sports.io/football/teams/7196.png,False,4,0,1,0,4,0,Rochdale,https://media.api-sports.io/football/teams/1339.png,9.0,5.0,14.0,0.0,9.0,5.0,6.0,3.0,1.0,50%,,,3.0,489.0,395.0,81%,Liverpool U21,https://media.api-sports.io/football/teams/7196.png,3.0,4.0,8.0,1.0,6.0,2.0,8.0,4.0,3.0,50%,,,5.0,507.0,417.0,82%,,,
