fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
1098404,2023-08-22 18:00:00+00:00,1692727200,FT,90,1692727200,1692730800,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 1,Poundland Bescot Stadium,"Walsall, West Midlands",18620,T. Parsons,Walsall,1342,https://media.api-sports.io/football/teams/1342.png,Brighton U21,7191,https://media.api-sports.io/football/teams/7191.png,2,3,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,58,522,290,464,406,348,174,348,0,116,58,174,116,58,-116,116,51,16
1098418,2023-08-22 18:00:00+00:00,1692727200,PEN,120,1692727200,1692730800,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 1,The County Ground,"Swindon, Wiltshire",592,L. Swabey,Swindon Town,1353,https://media.api-sports.io/football/teams/1353.png,Arsenal U21,7189,https://media.api-sports.io/football/teams/7189.png,2,2,2,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,58,232,116,522,464,580,174,232,0,58,58,58,116,116,-348,-58,59,30
1098405,2023-08-22 18:30:00+00:00,1692729000,PEN,120,1692729000,1692732600,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 1,Edgeley Park,"Stockport, Greater Manchester",3535,M. Corlett,Stockport County,4686,https://media.api-sports.io/football/teams/4686.png,Manchester United U21,7198,https://media.api-sports.io/football/teams/7198.png,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,232,58,232,290,348,754,232,174,58,0,58,58,116,116,-116,-464,31,60
1098406,2023-08-22 18:45:00+00:00,1692729900,PEN,120,1692729900,1692733500,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 1,Fratton Park,Portsmouth,573,C. Brook,Portsmouth,1355,https://media.api-sports.io/football/teams/1355.png,Fulham U21,7194,https://media.api-sports.io/football/teams/7194.png,3,3,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,406,290,696,464,580,464,232,232,116,58,58,116,58,58,116,0,21,28
1098407,2023-08-29 18:00:00+00:00,1693332000,FT,90,1693332000,1693335600,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 1,Stadium mk,"Milton Keynes, Buckinghamshire",560,J. Miles,Milton Keynes Dons,1348,https://media.api-sports.io/football/teams/1348.png,Chelsea U21,7192,https://media.api-sports.io/football/teams/7192.png,4,1,1,1,4,1,10.0,6.0,16.0,0.0,11.0,5.0,7.0,3.0,4.0,0.41,4.0,0.0,6.0,418.0,328.0,0.78,7.0,8.0,18.0,3.0,13.0,5.0,7.0,4.0,3.0,0.59,2.0,0.0,4.0,595.0,508.0,0.85,522,58,464,174,406,638,232,174,174,0,0,58,58,116,58,-464,18,61
1098480,2023-08-29 18:30:00+00:00,1693333800,PEN,120,1693333800,1693337400,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 1,Blundell Park,"Cleethorpes, North East Lincolnshire",538,D. Middleton,Grimsby,1365,https://media.api-sports.io/football/teams/1365.png,Manchester City U21,7197,https://media.api-sports.io/football/teams/7197.png,2,2,0,2,2,2,4.0,12.0,22.0,6.0,18.0,4.0,6.0,13.0,1.0,0.6,2.0,0.0,4.0,515.0,427.0,0.83,6.0,1.0,8.0,1.0,3.0,5.0,8.0,3.0,2.0,0.4,1.0,1.0,2.0,371.0,289.0,0.78,58,58,174,174,348,464,174,174,0,0,58,58,116,116,-174,-290,56,58
1098415,2023-09-05 18:00:00+00:00,1693936800,PEN,120,1693936800,1693940400,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 2,The Cherry Red Records Stadium,London,12456,S. Parkinson,Afc Wimbledon,1333,https://media.api-sports.io/football/teams/1333.png,Stevenage,1368,https://media.api-sports.io/football/teams/1368.png,1,1,0,0,1,1,3.0,5.0,11.0,3.0,7.0,4.0,11.0,6.0,2.0,0.45,3.0,0.0,5.0,316.0,194.0,0.61,6.0,4.0,11.0,1.0,6.0,5.0,11.0,3.0,1.0,0.55,4.0,0.0,2.0,391.0,263.0,0.67,580,232,638,348,406,232,348,174,174,58,58,58,116,58,232,116,9,29
1098412,2023-09-05 18:00:00+00:00,1693936800,FT,90,1693936800,1693940400,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 2,Highbury Stadium,"Fleetwood, Lancashire",533,S. Simpson,Fleetwood Town,1336,https://media.api-sports.io/football/teams/1336.png,Tranmere,1381,https://media.api-sports.io/football/teams/1381.png,2,0,0,0,2,0,8.0,7.0,19.0,4.0,13.0,6.0,14.0,9.0,0.0,0.55,5.0,0.0,4.0,495.0,411.0,0.83,4.0,2.0,10.0,4.0,7.0,3.0,6.0,2.0,2.0,0.45,4.0,1.0,6.0,419.0,327.0,0.78,406,58,522,0,348,174,232,174,116,0,58,58,58,116,174,-174,20,57
1098417,2023-09-05 18:00:00+00:00,1693936800,FT,90,1693936800,1693940400,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 2,Sixfields Stadium,"Northampton, East Midlands",11881,G. Rhodes,Northampton,1337,https://media.api-sports.io/football/teams/1337.png,Oxford United,1338,https://media.api-sports.io/football/teams/1338.png,1,3,1,1,1,3,4.0,4.0,10.0,2.0,7.0,3.0,14.0,0.0,1.0,0.41,2.0,1.0,5.0,390.0,299.0,0.77,8.0,6.0,17.0,3.0,12.0,5.0,6.0,8.0,4.0,0.59,1.0,0.0,3.0,557.0,471.0,0.85,58,522,290,522,464,232,174,290,0,174,58,0,116,116,-174,290,55,13
1098416,2023-09-05 18:00:00+00:00,1693936800,FT,90,1693936800,1693940400,0.0,England,46,Efl Trophy,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/46.png,2023,Group Stage - 2,Priestfield Stadium,"Gillingham, Kent",537,B. Atkinson,Gillingham,1347,https://media.api-sports.io/football/teams/1347.png,Leyton Orient,1373,https://media.api-sports.io/football/teams/1373.png,2,1,0,1,2,1,5.0,7.0,16.0,4.0,14.0,2.0,7.0,8.0,4.0,0.49,1.0,0.0,4.0,486.0,380.0,0.78,4.0,7.0,14.0,3.0,4.0,10.0,16.0,3.0,3.0,0.51,4.0,2.0,4.0,530.0,435.0,0.82,174,58,174,232,406,348,174,174,58,0,0,58,116,116,-232,-116,45,52
