fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
867946,2022-08-05 19:00:00+00:00,1659726000,FT,90,1659726000,1659729600,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Selhurst Park,London,525,A. Taylor,Crystal Palace,52,https://media.api-sports.io/football/teams/52.png,False,Arsenal,42,https://media.api-sports.io/football/teams/42.png,True,0,2,0,1,0,2,Crystal Palace,https://media.api-sports.io/football/teams/52.png,2,2,10,6,9,1,16,3,1.0,56%,1.0,,1.0,562,487,87%,Arsenal,https://media.api-sports.io/football/teams/42.png,2,4,10,4,8,2,11,5,2.0,44%,2.0,,2.0,438,360,82%,,,
867947,2022-08-06 11:30:00+00:00,1659785400,FT,90,1659785400,1659789000,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Craven Cottage,London,535,A. Madley,Fulham,36,https://media.api-sports.io/football/teams/36.png,,Liverpool,40,https://media.api-sports.io/football/teams/40.png,,2,2,1,0,2,2,Fulham,https://media.api-sports.io/football/teams/36.png,3,2,9,4,7,2,7,4,4.0,33%,2.0,,1.0,294,181,62%,Liverpool,https://media.api-sports.io/football/teams/40.png,4,5,11,2,9,2,9,4,4.0,67%,0.0,,1.0,612,473,77%,,,
867951,2022-08-06 14:00:00+00:00,1659794400,FT,90,1659794400,1659798000,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,St. James' Park,Newcastle upon Tyne,562,S. Hooper,Newcastle,34,https://media.api-sports.io/football/teams/34.png,True,Nottingham Forest,65,https://media.api-sports.io/football/teams/65.png,False,2,0,0,0,2,0,Newcastle,https://media.api-sports.io/football/teams/34.png,10,8,23,5,16,7,9,11,2.0,61%,0.0,,0.0,469,379,81%,Nottingham Forest,https://media.api-sports.io/football/teams/65.png,0,3,5,2,4,1,14,1,0.0,39%,3.0,,7.0,294,207,70%,,,
867948,2022-08-06 14:00:00+00:00,1659794400,FT,90,1659794400,1659798000,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Vitality Stadium,"Bournemouth, Dorset",504,P. Bankes,Bournemouth,35,https://media.api-sports.io/football/teams/35.png,True,Aston Villa,66,https://media.api-sports.io/football/teams/66.png,False,2,0,1,0,2,0,Bournemouth,https://media.api-sports.io/football/teams/35.png,3,2,7,2,6,1,18,5,1.0,34%,3.0,,2.0,301,211,70%,Aston Villa,https://media.api-sports.io/football/teams/66.png,2,7,15,6,4,11,16,5,4.0,66%,3.0,,1.0,571,479,84%,,,
867952,2022-08-06 14:00:00+00:00,1659794400,FT,90,1659794400,1659798000,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Tottenham Hotspur Stadium,London,593,A. Marriner,Tottenham,47,https://media.api-sports.io/football/teams/47.png,True,Southampton,41,https://media.api-sports.io/football/teams/41.png,False,4,1,2,1,4,1,Tottenham,https://media.api-sports.io/football/teams/47.png,8,6,18,4,14,4,11,10,2.0,58%,3.0,,1.0,554,471,85%,Southampton,https://media.api-sports.io/football/teams/41.png,2,5,10,3,6,4,6,2,0.0,42%,0.0,,5.0,410,337,82%,,,
867949,2022-08-06 14:00:00+00:00,1659794400,FT,90,1659794400,1659798000,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Elland Road,"Leeds, West Yorkshire",546,R. Jones,Leeds,63,https://media.api-sports.io/football/teams/63.png,True,Wolves,39,https://media.api-sports.io/football/teams/39.png,False,2,1,1,1,2,1,Leeds,https://media.api-sports.io/football/teams/63.png,4,5,12,3,7,5,13,6,0.0,40%,2.0,,5.0,355,269,76%,Wolves,https://media.api-sports.io/football/teams/39.png,6,6,15,3,8,7,9,4,1.0,60%,0.0,,3.0,546,463,85%,,,
867953,2022-08-06 16:30:00+00:00,1659803400,FT,90,1659803400,1659807000,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Goodison Park,Liverpool,8560,C. Pawson,Everton,45,https://media.api-sports.io/football/teams/45.png,False,Chelsea,49,https://media.api-sports.io/football/teams/49.png,True,0,1,0,1,0,1,Everton,https://media.api-sports.io/football/teams/45.png,4,3,8,1,7,1,14,4,0.0,37%,3.0,,5.0,335,246,73%,Chelsea,https://media.api-sports.io/football/teams/49.png,6,3,15,6,11,4,11,16,2.0,63%,2.0,,3.0,566,490,87%,,,
867954,2022-08-07 13:00:00+00:00,1659877200,FT,90,1659877200,1659880800,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,Old Trafford,Manchester,556,P. Tierney,Manchester United,33,https://media.api-sports.io/football/teams/33.png,False,Brighton,51,https://media.api-sports.io/football/teams/51.png,True,1,2,0,2,1,2,Manchester United,https://media.api-sports.io/football/teams/33.png,5,5,17,7,13,4,7,6,3.0,63%,4.0,,2.0,548,452,82%,Brighton,https://media.api-sports.io/football/teams/51.png,4,6,15,5,10,5,12,2,1.0,37%,1.0,,5.0,326,229,70%,,,
867950,2022-08-07 13:00:00+00:00,1659877200,FT,90,1659877200,1659880800,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,King Power Stadium,"Leicester, Leicestershire",547,J. Gillett,Leicester,46,https://media.api-sports.io/football/teams/46.png,,Brentford,55,https://media.api-sports.io/football/teams/55.png,,2,2,1,0,2,2,Leicester,https://media.api-sports.io/football/teams/46.png,5,6,14,3,5,9,6,5,2.0,55%,,,1.0,580,510,88%,Brentford,https://media.api-sports.io/football/teams/55.png,3,4,8,1,5,3,5,6,2.0,45%,,,3.0,457,386,84%,,,
867955,2022-08-07 15:30:00+00:00,1659886200,FT,90,1659886200,1659889800,,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2022,Regular Season - 1,London Stadium,London,598,M. Oliver,West Ham,48,https://media.api-sports.io/football/teams/48.png,False,Manchester City,50,https://media.api-sports.io/football/teams/50.png,True,0,2,0,1,0,2,West Ham,https://media.api-sports.io/football/teams/48.png,1,2,6,3,5,1,8,1,4.0,25%,0.0,,0.0,263,206,78%,Manchester City,https://media.api-sports.io/football/teams/50.png,2,8,14,4,9,5,4,4,1.0,75%,1.0,,1.0,833,774,93%,,,
