fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
1035037,2023-08-11 19:00:00+00:00,1691780400,FT,90,1691780400,1691784000,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Turf Moor,Burnley,512,C. Pawson,Burnley,44,https://media.api-sports.io/football/teams/44.png,Manchester City,50,https://media.api-sports.io/football/teams/50.png,0,3,0,2,0,3,1,3,6,2,5,1,11,6,0.0,0.34,0.0,1.0,5.0,365,290,0.79,8,4,17,5,14,3,8,5,1.0,0.66,0.0,0.0,1.0,706,634,0.9,1392,5278,2378,5568,4524,1972,2204,2204,290,1624,522,406,1392,174,-2146,3596,19,1
1035038,2023-08-12 11:30:00+00:00,1691839800,FT,90,1691839800,1691843400,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Emirates Stadium,London,494,M. Oliver,Arsenal,42,https://media.api-sports.io/football/teams/42.png,Nottingham Forest,65,https://media.api-sports.io/football/teams/65.png,2,1,2,0,2,1,7,3,15,5,8,7,12,8,2.0,0.78,2.0,0.0,1.0,769,693,0.9,2,3,6,1,4,2,12,3,1.0,0.22,2.0,0.0,5.0,200,137,0.69,5162,2088,5278,2842,1682,3886,2204,2204,1624,522,290,522,290,1160,3596,-1044,2,17
1035039,2023-08-12 14:00:00+00:00,1691848800,FT,90,1691848800,1691852400,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Vitality Stadium,"Bournemouth, Dorset",504,P. Bankes,Bournemouth,35,https://media.api-sports.io/football/teams/35.png,West Ham,48,https://media.api-sports.io/football/teams/48.png,1,1,0,0,1,1,5,6,14,3,5,9,9,10,0.0,0.63,1.0,0.0,1.0,517,423,0.82,3,9,16,4,12,4,14,4,2.0,0.37,4.0,0.0,4.0,304,206,0.68,2784,3016,3132,3480,3886,4292,2204,2204,754,812,522,580,928,812,-754,-812,13,9
1035041,2023-08-12 14:00:00+00:00,1691848800,FT,90,1691848800,1691852400,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Goodison Park,Liverpool,8560,S. Attwell,Everton,45,https://media.api-sports.io/football/teams/45.png,Fulham,36,https://media.api-sports.io/football/teams/36.png,0,1,0,0,0,1,9,6,19,4,14,5,12,10,6.0,0.41,0.0,0.0,1.0,366,288,0.79,2,6,9,1,6,3,6,4,3.0,0.59,2.0,0.0,9.0,556,470,0.85,2784,2726,2320,3190,2958,3538,2204,2204,754,754,522,464,928,986,-638,-348,12,14
1035040,2023-08-12 14:00:00+00:00,1691848800,FT,90,1691848800,1691852400,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,The American Express Community Stadium,"Falmer, East Sussex",508,D. Coote,Brighton,51,https://media.api-sports.io/football/teams/51.png,Luton,1359,https://media.api-sports.io/football/teams/1359.png,4,1,1,0,4,1,12,10,27,5,20,7,11,6,2.0,0.71,2.0,0.0,2.0,605,551,0.91,3,4,9,2,7,2,12,7,3.0,0.29,2.0,0.0,8.0,234,168,0.72,2784,1508,3190,3016,3596,4930,2204,2204,696,348,696,464,812,1392,-406,-1914,11,18
1035042,2023-08-12 14:00:00+00:00,1691848800,FT,90,1691848800,1691852400,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Bramall Lane,Sheffield,581,J. Brooks,Sheffield Utd,62,https://media.api-sports.io/football/teams/62.png,Crystal Palace,52,https://media.api-sports.io/football/teams/52.png,0,1,0,0,0,1,1,4,8,3,4,4,18,5,2.0,0.32,3.0,0.0,7.0,262,162,0.62,8,8,24,8,17,7,11,5,2.0,0.68,0.0,0.0,1.0,562,466,0.83,928,2842,2030,3306,6032,3364,2204,2204,174,754,406,580,1624,870,-4002,-58,20,10
1035043,2023-08-12 16:30:00+00:00,1691857800,FT,90,1691857800,1691861400,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,St. James' Park,Newcastle upon Tyne,562,A. Madley,Newcastle,34,https://media.api-sports.io/football/teams/34.png,Aston Villa,66,https://media.api-sports.io/football/teams/66.png,5,1,2,1,5,1,13,2,17,2,14,3,12,6,2.0,0.53,4.0,0.0,5.0,502,428,0.85,6,7,16,3,12,4,17,5,0.0,0.47,4.0,0.0,7.0,447,382,0.85,3480,3944,4930,4408,3596,3538,2204,2204,1044,1160,348,464,812,580,1334,870,7,4
1035044,2023-08-13 13:00:00+00:00,1691931600,FT,90,1691931600,1691935200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Gtech Community Stadium,"Brentford, Middlesex",10503,R. Jones,Brentford,55,https://media.api-sports.io/football/teams/55.png,Tottenham,47,https://media.api-sports.io/football/teams/47.png,2,2,2,2,2,2,6,2,11,3,9,2,12,3,1.0,0.3,1.0,0.0,4.0,306,235,0.77,6,6,18,6,12,6,13,6,0.0,0.7,4.0,0.0,4.0,711,638,0.9,2262,3828,3248,4292,3770,3538,2204,2204,580,1160,522,348,1102,696,-522,754,16,5
1035045,2023-08-13 15:30:00+00:00,1691940600,FT,90,1691940600,1691944200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Stamford Bridge,London,519,A. Taylor,Chelsea,49,https://media.api-sports.io/football/teams/49.png,Liverpool,40,https://media.api-sports.io/football/teams/40.png,1,1,1,1,1,1,4,4,10,2,9,1,5,4,3.0,0.65,3.0,0.0,0.0,698,610,0.87,1,7,13,5,8,5,13,4,5.0,0.35,3.0,0.0,4.0,377,301,0.8,3654,4756,4466,4988,3654,2378,2204,2204,1044,1392,522,580,638,232,812,2610,6,3
1035046,2023-08-14 19:00:00+00:00,1692039600,FT,90,1692039600,1692043200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 1,Old Trafford,Manchester,556,S. Hooper,Manchester United,33,https://media.api-sports.io/football/teams/33.png,Wolves,39,https://media.api-sports.io/football/teams/39.png,1,0,0,0,1,0,3,4,15,8,12,3,15,8,1.0,0.51,2.0,0.0,6.0,465,383,0.82,6,7,23,10,17,6,10,7,3.0,0.49,3.0,0.0,2.0,439,355,0.81,3480,2668,3306,2900,3364,3770,2204,2204,1044,754,348,406,812,1044,-58,-870,8,15
1035053,2023-08-18 18:45:00+00:00,1692384300,FT,90,1692384300,1692387900,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,The City Ground,"Nottingham, Nottinghamshire",566,P. Bankes,Nottingham Forest,65,https://media.api-sports.io/football/teams/65.png,Sheffield Utd,62,https://media.api-sports.io/football/teams/62.png,2,1,1,0,2,1,4,7,16,5,9,7,5,6,3.0,0.5,2.0,0.0,2.0,436,343,0.79,3,3,7,1,4,3,9,7,2.0,0.5,3.0,0.0,2.0,437,328,0.75,2088,928,2843,2030,3888,6033,2205,2205,522,174,522,406,1161,1625,-1045,-4003,17,20
1035049,2023-08-19 14:00:00+00:00,1692453600,FT,90,1692453600,1692457200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Craven Cottage,London,535,D. Bond,Fulham,36,https://media.api-sports.io/football/teams/36.png,Brentford,55,https://media.api-sports.io/football/teams/55.png,0,3,0,1,0,3,2,4,10,4,4,6,13,5,1.0,0.55,4.0,1.0,5.0,474,396,0.84,8,7,17,2,15,2,12,5,4.0,0.45,2.0,0.0,2.0,391,325,0.83,2729,2263,3191,3250,3538,3772,2205,2205,755,580,464,523,986,1102,-347,-522,14,16
1035056,2023-08-19 14:00:00+00:00,1692453600,FT,90,1692453600,1692457200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Molineux Stadium,"Wolverhampton, West Midlands",600,A. Madley,Wolves,39,https://media.api-sports.io/football/teams/39.png,Brighton,51,https://media.api-sports.io/football/teams/51.png,1,4,0,1,1,4,5,6,16,5,12,4,14,5,4.0,0.46,5.0,1.0,4.0,462,389,0.84,8,5,16,3,11,5,11,3,7.0,0.54,6.0,0.0,4.0,552,486,0.88,2668,2787,2900,3194,3771,3597,2205,2205,754,697,406,696,1045,812,-871,-403,15,11
1035050,2023-08-19 14:00:00+00:00,1692453600,FT,90,1692453600,1692457200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Anfield,Liverpool,550,T. Bramall,Liverpool,40,https://media.api-sports.io/football/teams/40.png,Bournemouth,35,https://media.api-sports.io/football/teams/35.png,3,1,2,1,3,1,10,8,26,8,17,9,11,10,0.0,0.65,1.0,1.0,4.0,600,516,0.86,5,7,13,1,6,7,13,2,3.0,0.35,3.0,0.0,8.0,325,236,0.73,4757,2785,4989,3133,2379,3887,2205,2205,1392,754,581,523,232,928,2610,-754,3,13
1035054,2023-08-19 16:30:00+00:00,1692462600,FT,90,1692462600,1692466200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Tottenham Hotspur Stadium,London,593,M. Oliver,Tottenham,47,https://media.api-sports.io/football/teams/47.png,Manchester United,33,https://media.api-sports.io/football/teams/33.png,2,0,0,0,2,0,6,7,17,4,13,4,9,5,1.0,0.56,1.0,0.0,6.0,502,428,0.85,6,7,22,9,16,6,8,6,4.0,0.44,3.0,0.0,5.0,401,332,0.83,3829,3483,4294,3307,3540,3364,2205,2205,1160,1045,349,348,696,812,754,-57,5,8
1035052,2023-08-19 19:00:00+00:00,1692471600,FT,90,1692471600,1692475200,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Etihad Stadium,Manchester,555,R. Jones,Manchester City,50,https://media.api-sports.io/football/teams/50.png,Newcastle,34,https://media.api-sports.io/football/teams/34.png,1,0,1,0,1,0,4,3,14,7,10,4,12,3,1.0,0.6,1.0,0.0,1.0,679,608,0.9,1,2,7,4,4,3,11,0,4.0,0.4,5.0,0.0,3.0,452,387,0.86,5281,3483,5571,4935,1972,3597,2205,2205,1625,1045,406,348,174,812,3599,1338,1,7
1035047,2023-08-20 13:00:00+00:00,1692536400,FT,90,1692536400,1692540000,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Villa Park,Birmingham,495,A. Taylor,Aston Villa,66,https://media.api-sports.io/football/teams/66.png,Everton,45,https://media.api-sports.io/football/teams/45.png,4,0,2,0,4,0,7,4,13,2,9,4,8,7,1.0,0.6,3.0,0.0,2.0,566,507,0.9,2,3,9,4,6,3,12,6,1.0,0.4,4.0,0.0,3.0,361,294,0.81,3944,2784,4409,2320,3543,2959,2205,2205,1160,754,464,522,581,929,866,-639,4,12
1035055,2023-08-20 15:30:00+00:00,1692545400,FT,90,1692545400,1692549000,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,London Stadium,London,598,J. Brooks,West Ham,48,https://media.api-sports.io/football/teams/48.png,Chelsea,49,https://media.api-sports.io/football/teams/49.png,3,1,1,1,3,1,6,3,12,3,7,5,12,3,3.0,0.24,4.0,1.0,3.0,227,157,0.69,4,9,17,4,11,6,9,9,2.0,0.76,3.0,0.0,3.0,716,630,0.88,3017,3655,3481,4467,4293,3655,2205,2205,812,1044,581,523,812,638,-812,812,9,6
1035048,2023-08-21 19:00:00+00:00,1692644400,FT,90,1692644400,1692648000,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 2,Selhurst Park,London,525,D. Coote,Crystal Palace,52,https://media.api-sports.io/football/teams/52.png,Arsenal,42,https://media.api-sports.io/football/teams/42.png,0,1,0,0,0,1,2,5,14,7,10,4,14,1,0.0,0.47,2.0,0.0,2.0,428,370,0.86,3,7,14,4,11,3,10,8,2.0,0.53,3.0,1.0,2.0,489,422,0.86,2845,5165,3307,5280,3364,1683,2205,2205,755,1625,580,290,870,290,-57,3597,10,2
1035062,2023-08-25 19:00:00+00:00,1692990000,FT,90,1692990000,1692993600,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 3,Stamford Bridge,London,519,R. Jones,Chelsea,49,https://media.api-sports.io/football/teams/49.png,Luton,1359,https://media.api-sports.io/football/teams/1359.png,3,0,1,0,3,0,8,6,19,5,16,3,15,6,0.0,0.67,2.0,0.0,1.0,653,603,0.92,1,5,11,5,7,4,12,4,0.0,0.33,3.0,0.0,5.0,306,240,0.78,3655,1508,4468,3017,3658,4934,2206,2205,1044,348,523,464,639,1393,810,-1917,6,18
1035057,2023-08-26 11:30:00+00:00,1693049400,FT,90,1693049400,1693053000,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 3,Vitality Stadium,"Bournemouth, Dorset",504,T. Robinson,Bournemouth,35,https://media.api-sports.io/football/teams/35.png,Tottenham,47,https://media.api-sports.io/football/teams/47.png,0,2,0,1,0,2,3,5,11,3,6,5,18,6,3.0,0.43,1.0,0.0,4.0,391,312,0.8,6,7,17,4,12,5,11,2,0.0,0.57,3.0,0.0,3.0,537,477,0.89,2785,3832,3134,4296,3890,3540,2206,2206,754,1161,523,349,929,696,-756,756,13,5
1035059,2023-08-26 14:00:00+00:00,1693058400,FT,90,1693058400,1693062000,0.0,England,39,Premier League,https://media.api-sports.io/flags/gb-eng.svg,https://media.api-sports.io/football/leagues/39.png,2023,Regular Season - 3,Gtech Community Stadium,"Brentford, Middlesex",10503,P. Bankes,Brentford,55,https://media.api-sports.io/football/teams/55.png,Crystal Palace,52,https://media.api-sports.io/football/teams/52.png,1,1,1,0,1,1,1,4,12,7,10,2,9,8,2.0,0.6,0.0,0.0,4.0,518,439,0.85,5,4,15,6,10,5,15,6,2.0,0.4,0.0,0.0,0.0,348,283,0.81,2266,2845,3253,3307,3772,3365,2206,2206,581,755,523,580,1102,871,-519,-58,16,10
