fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
1208418,2024-07-09 15:30:00+00:00,1720539000,FT,90,1720539000,1720542600,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Aukštaitija stadionas,Panevėžys,11572,L. Cibelli,Panevėžys,3874,https://media.api-sports.io/football/teams/3874.png,Hjk Helsinki,649,https://media.api-sports.io/football/teams/649.png,3,0,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,232,58,290,58,464,232,232,116,58,0,58,58,116,58,-174,-174,53,72
1208410,2024-07-09 16:45:00+00:00,1720543500,FT,90,1720543500,1720547100,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,MFA Centenary Stadium,Ta'Qali,1067,A. Stavrev,Hamrun Spartans,4626,https://media.api-sports.io/football/teams/4626.png,Lincoln Red Imps Fc,667,https://media.api-sports.io/football/teams/667.png,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,3.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,6.0,1.0,0.0,,,,174,174,58,58,58,464,116,232,58,58,0,0,58,174,0,-406,58,63
1208406,2024-07-09 18:00:00+00:00,1720548000,FT,90,1720548000,1720551600,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Park Hall Stadium,"Oswestry / Croesoswallt, Shropshire",1684,B. Van Driessche,The New Saints,354,https://media.api-sports.io/football/teams/354.png,Dečić,3745,https://media.api-sports.io/football/teams/3745.png,3,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,232,58,290,58,464,232,232,116,58,0,58,58,116,58,-174,-174,53,72
1208412,2024-07-09 18:00:00+00:00,1720548000,FT,90,1720548000,1720551600,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Estadi Nacional,Andorra la Vella,2618,M. Bîrsan,Ue Santa Coloma,703,https://media.api-sports.io/football/teams/703.png,Ballkani,12733,https://media.api-sports.io/football/teams/12733.png,1,2,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,174,174,174,174,406,174,232,116,58,58,0,0,174,58,-232,0,61,56
1208422,2024-07-09 18:45:00+00:00,1720550700,FT,90,1720550700,1720554300,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Víkingsvöllur,Reykjavík,831,S. Kringstad,Vikingur Reykjavik,278,https://media.api-sports.io/football/teams/278.png,Shamrock Rovers,652,https://media.api-sports.io/football/teams/652.png,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,58,232,58,232,116,406,116,232,0,58,58,58,58,116,-58,-174,66,55
1208424,2024-07-09 19:00:00+00:00,1720551600,FT,90,1720551600,1720555200,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Stadio Olimpico di Serravalle,Serravalle,2616,A. Bandić,Virtus,5308,https://media.api-sports.io/football/teams/5308.png,Fcsb,559,https://media.api-sports.io/football/teams/559.png,1,7,0,5,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,638,58,928,638,348,116,348,0,174,0,116,116,58,-580,580,81,28
1208428,2024-07-10 15:00:00+00:00,1720623600,FT,90,1720623600,1720627200,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Stadion Qajimuqan Muñaytpasov,Shymkent,,P. Kolarić,Ordabasy,692,https://media.api-sports.io/football/teams/692.png,Petrocub,2271,https://media.api-sports.io/football/teams/2271.png,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,58,290,0,116,58,116,116,232,0,58,58,116,58,58,-58,0,68,51
1208414,2024-07-10 16:00:00+00:00,1720627200,FT,90,1720627200,1720630800,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,A. Le Coq Arena,Tallinn,605,Alejandro Muñiz,Flora Tallinn,687,https://media.api-sports.io/football/teams/687.png,Celje,4360,https://media.api-sports.io/football/teams/4360.png,0,5,0,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,406,58,464,406,406,116,232,0,116,0,58,116,58,-348,58,78,40
1208404,2024-07-10 17:00:00+00:00,1720630800,FT,90,1720630800,1720634400,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,Štadión Tehelné pole,Bratislava,11914,S. Frappart,Slovan Bratislava,656,https://media.api-sports.io/football/teams/656.png,Struga,4346,https://media.api-sports.io/football/teams/4346.png,4,2,2,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,1044,0,1450,174,1972,348,928,116,290,0,174,0,464,116,-522,-174,14,76
1208420,2024-07-10 17:00:00+00:00,1720630800,FT,90,1720630800,1720634400,0.0,World,2,Uefa Champions League,,https://media.api-sports.io/football/leagues/2.png,2024,1St Qualifying Round,LNK Sporta Parks,Riga,,O. Berka,Rīgas Fs,4160,https://media.api-sports.io/football/teams/4160.png,Larne,5354,https://media.api-sports.io/football/teams/5354.png,3,0,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,348,0,464,0,406,406,232,116,116,0,0,0,116,116,58,-406,47,80
