fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
811715,2021-11-11 00:00:00+00:00,1636588800,FT,90,1636588800,1636592400,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade Michel Volnay,Saint-Pierre,2143,Unknown,Makes,18140,https://media.api-sports.io/football/teams/18140.png,Saint-Denis,18149,https://media.api-sports.io/football/teams/18149.png,1,9,0,5,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,232,58,696,522,406,58,174,0,58,0,58,58,58,-464,290,190,39
811657,2021-11-12 18:00:00+00:00,1636740000,FT,90,1636740000,1636743600,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade des Marais,Chambly,1695,M. Bollengier,Chambly Thelle Fc,1291,https://media.api-sports.io/football/teams/1291.png,Rouen,3221,https://media.api-sports.io/football/teams/3221.png,3,2,0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,232,0,174,116,116,174,116,58,58,0,58,0,0,58,58,-58,48,131
811665,2021-11-12 19:00:00+00:00,1636743600,PEN,120,1636743600,1636747200,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade François Coty,Ajaccio,632,H. Ben El Hadj,Ajaccio,98,https://media.api-sports.io/football/teams/98.png,Orleans,103,https://media.api-sports.io/football/teams/103.png,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,58,116,0,58,0,58,58,116,0,0,58,116,0,0,0,0,116,91
811697,2021-11-13 13:00:00+00:00,1636808400,FT,90,1636808400,1636812000,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade Clos Bon Aure,Pont-Saint-Esprit,,A. Taleb,Chusclan-Laudun-L'Ardois,18128,https://media.api-sports.io/football/teams/18128.png,Nimes,92,https://media.api-sports.io/football/teams/92.png,0,3,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,232,0,348,174,348,58,174,0,58,0,58,58,58,-174,0,176,58
811698,2021-11-13 13:00:00+00:00,1636808400,FT,90,1636808400,1636812000,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade des Peyrères 1,Canéjan,,G. Angoula,Sag Cestas,18147,https://media.api-sports.io/football/teams/18147.png,Cholet,1292,https://media.api-sports.io/football/teams/1292.png,0,2,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,348,0,232,116,116,58,174,0,116,0,0,58,58,-116,116,165,30
811693,2021-11-13 13:00:00+00:00,1636808400,FT,90,1636808400,1636812000,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade Charles Trevoux,Craponne,,A. Petit,Saint-Cyr Collonges,18148,https://media.api-sports.io/football/teams/18148.png,Grenoble,101,https://media.api-sports.io/football/teams/101.png,1,2,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,174,58,116,116,232,58,116,0,58,0,0,58,58,-58,-116,136,81
811674,2021-11-13 13:30:00+00:00,1636810200,FT,90,1636810200,1636813800,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade Fred Aubert,Saint-Brieuc,2118,L. Boukeroui,Plédran,3213,https://media.api-sports.io/football/teams/3213.png,Les Jumeaux M'Zouasia,13608,https://media.api-sports.io/football/teams/13608.png,1,5,0,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,348,58,464,290,696,58,174,0,116,0,0,58,58,-232,-232,181,33
811691,2021-11-13 13:30:00+00:00,1636810200,FT,90,1636810200,1636813800,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Parc des Sports du Bram,Louhans,2028,W. Toulliou,Bresse Jura Foot,18123,https://media.api-sports.io/football/teams/18123.png,Sochaux,115,https://media.api-sports.io/football/teams/115.png,1,3,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,406,58,348,174,58,58,174,0,116,0,58,58,0,-116,290,157,16
811694,2021-11-13 13:30:00+00:00,1636810200,FT,90,1636810200,1636813800,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Stade de Football Raymond Roure,Langlade Gard,,J. Lomi,Langlade,18137,https://media.api-sports.io/football/teams/18137.png,Agde,9263,https://media.api-sports.io/football/teams/9263.png,1,2,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,174,58,116,116,116,58,116,0,58,0,0,58,58,-58,0,136,73
811678,2021-11-13 14:00:00+00:00,1636812000,FT,90,1636812000,1636815600,0.0,France,66,Coupe De France,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/66.png,2021,7Th Round,Complexe Sportif Des Chevrets 3,Saint-Philbert-de-Grand-Lieu,22128,G. Deneuve,St-Philbert Gd Lieu,15110,https://media.api-sports.io/football/teams/15110.png,Vannes,3129,https://media.api-sports.io/football/teams/3129.png,0,2,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,,,0,522,0,464,116,290,58,232,0,174,0,0,58,58,-116,174,165,10
