fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
157422,2019-08-09 18:45:00+00:00,1565376300,FT,90,1565376300,1565379900,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade Louis II,Monaco,659,R. Buquet,Monaco,91,https://media.api-sports.io/football/teams/91.png,Lyon,80,https://media.api-sports.io/football/teams/80.png,0,3,0,2,0,3,1.0,3.0,7.0,3.0,4.0,3.0,10.0,2.0,2.0,0.38,2.0,1.0,1.0,392.0,336.0,0.86,3.0,7.0,13.0,3.0,4.0,9.0,17.0,5.0,1.0,0.62,2.0,0.0,1.0,621.0,569.0,0.92,2320,2320,2552,2436,2552,1566,1624,1624,638,638,406,406,580,580,0,870,9,7
157414,2019-08-10 15:30:00+00:00,1565451000,FT,90,1565451000,1565454600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Orange Vélodrome,Marseille,667,J. Brisard,Marseille,81,https://media.api-sports.io/football/teams/81.png,Reims,93,https://media.api-sports.io/football/teams/93.png,0,2,0,0,0,2,2.0,2.0,10.0,6.0,5.0,5.0,18.0,5.0,0.0,0.64,1.0,0.0,3.0,572.0,488.0,0.85,5.0,1.0,8.0,2.0,5.0,3.0,8.0,3.0,3.0,0.36,0.0,0.0,2.0,331.0,241.0,0.73,3248,2378,2378,1508,1682,1218,1624,1624,928,580,464,638,232,406,696,290,2,5
157418,2019-08-10 18:00:00+00:00,1565460000,FT,90,1565460000,1565463600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade Raymond-Kopa,Angers,634,H. Ben El Hadj,Angers,77,https://media.api-sports.io/football/teams/77.png,Bordeaux,78,https://media.api-sports.io/football/teams/78.png,3,1,3,1,3,1,4.0,8.0,14.0,2.0,5.0,9.0,11.0,4.0,2.0,0.47,2.0,0.0,2.0,419.0,324.0,0.77,3.0,3.0,8.0,2.0,4.0,4.0,15.0,3.0,1.0,0.53,1.0,0.0,1.0,469.0,384.0,0.82,2262,2146,1624,2320,1914,1972,1624,1624,638,522,348,580,638,522,-290,348,10,12
157417,2019-08-10 18:00:00+00:00,1565460000,FT,90,1565460000,1565463600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade de la Mosson,Montpellier,660,W. Delajod,Montpellier,82,https://media.api-sports.io/football/teams/82.png,Rennes,94,https://media.api-sports.io/football/teams/94.png,0,1,0,1,0,1,5.0,13.0,24.0,6.0,15.0,9.0,20.0,7.0,0.0,0.55,3.0,0.0,2.0,440.0,363.0,0.83,3.0,4.0,9.0,2.0,5.0,4.0,19.0,1.0,0.0,0.45,3.0,1.0,5.0,372.0,299.0,0.8,2320,2900,2030,2204,1972,1392,1624,1624,638,870,406,290,580,464,58,812,8,3
157415,2019-08-10 18:00:00+00:00,1565460000,FT,90,1565460000,1565463600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Allianz Riviera,Nice,663,J. Pignard,Nice,84,https://media.api-sports.io/football/teams/84.png,Amiens,87,https://media.api-sports.io/football/teams/87.png,2,1,1,0,2,1,6.0,8.0,17.0,3.0,11.0,6.0,10.0,7.0,0.0,0.68,3.0,0.0,1.0,622.0,554.0,0.89,2.0,3.0,8.0,3.0,7.0,1.0,8.0,3.0,4.0,0.32,4.0,1.0,3.0,275.0,209.0,0.76,2378,1334,2378,1798,2204,2900,1624,1624,638,232,464,638,522,754,174,-1102,6,19
157413,2019-08-10 18:00:00+00:00,1565460000,FT,90,1565460000,1565463600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade Gaston-Gérard,Dijon,645,T. Léonard,Dijon,89,https://media.api-sports.io/football/teams/89.png,Saint Etienne,1063,https://media.api-sports.io/football/teams/1063.png,1,2,1,2,1,2,7.0,4.0,15.0,4.0,9.0,6.0,17.0,12.0,0.0,0.53,0.0,0.0,2.0,456.0,373.0,0.82,4.0,6.0,12.0,2.0,7.0,5.0,10.0,5.0,1.0,0.47,2.0,0.0,5.0,415.0,335.0,0.81,1740,1740,1566,1682,2146,2610,1624,1624,406,464,522,348,696,812,-580,-928,16,17
157421,2019-08-10 18:00:00+00:00,1565460000,FT,90,1565460000,1565463600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade Francis-Le Blé,Brest,641,O. Thual,Stade Brestois 29,106,https://media.api-sports.io/football/teams/106.png,Toulouse,96,https://media.api-sports.io/football/teams/96.png,1,1,1,0,1,1,5.0,9.0,16.0,2.0,11.0,5.0,11.0,4.0,0.0,0.37,0.0,0.0,1.0,328.0,235.0,0.72,3.0,6.0,13.0,4.0,10.0,3.0,14.0,7.0,0.0,0.63,0.0,0.0,4.0,552.0,462.0,0.84,1972,754,1972,1276,2146,3364,1624,1624,464,174,580,232,580,1218,-174,-2088,14,20
157419,2019-08-11 13:00:00+00:00,1565528400,FT,90,1565528400,1565532000,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade Pierre-Mauroy,Villeneuve d'Ascq,655,M. Lesage,Lille,79,https://media.api-sports.io/football/teams/79.png,Nantes,83,https://media.api-sports.io/football/teams/83.png,2,1,1,0,2,1,3.0,7.0,13.0,3.0,8.0,5.0,13.0,5.0,3.0,0.54,2.0,0.0,3.0,420.0,357.0,0.85,3.0,9.0,13.0,1.0,7.0,6.0,17.0,11.0,2.0,0.46,4.0,0.0,1.0,348.0,276.0,0.79,2842,2146,2030,1624,1566,1798,1624,1624,870,638,232,232,522,754,464,-174,4,13
157416,2019-08-11 15:00:00+00:00,1565535600,FT,90,1565535600,1565539200,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Stade de la Meinau,Strasbourg,681,A. Gautier,Strasbourg,95,https://media.api-sports.io/football/teams/95.png,Metz,112,https://media.api-sports.io/football/teams/112.png,1,1,1,0,1,1,2.0,9.0,13.0,2.0,7.0,6.0,6.0,3.0,2.0,0.59,0.0,0.0,2.0,612.0,523.0,0.85,3.0,4.0,7.0,0.0,5.0,2.0,12.0,4.0,2.0,0.41,1.0,0.0,2.0,416.0,329.0,0.79,2204,1972,1856,1566,1856,2030,1566,1624,638,464,290,580,638,580,0,-464,11,15
157420,2019-08-11 19:00:00+00:00,1565550000,FT,90,1565550000,1565553600,0.0,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2019,Regular Season - 1,Parc des Princes,Paris,671,C. Turpin,Paris Saint Germain,85,https://media.api-sports.io/football/teams/85.png,Nimes,92,https://media.api-sports.io/football/teams/92.png,3,0,1,0,3,0,5.0,5.0,12.0,2.0,10.0,2.0,17.0,2.0,0.0,0.74,2.0,0.0,1.0,765.0,707.0,0.92,1.0,4.0,5.0,0.0,4.0,1.0,8.0,6.0,0.0,0.26,0.0,0.0,2.0,243.0,189.0,0.78,3944,1566,4350,1682,1392,2552,1566,1624,1276,406,116,348,174,870,2958,-870,1,18
