fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
1213754,2024-08-16 18:45:00+00:00,1723833900,FT,90,1723833900,1723837500,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade Océane,Le Havre,652.0,W. Delajod,Le Havre,111,https://media.api-sports.io/football/teams/111.png,False,Paris Saint Germain,85,https://media.api-sports.io/football/teams/85.png,True,1,4,0,1,1,4,Le Havre,https://media.api-sports.io/football/teams/111.png,2,1,5,2,3,2,11,2,1.0,24%,3.0,,5,252,189,75%,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,10,4,15,1,13,2,9,8,1.0,76%,0.0,,1,824,770,93%,,,
1213747,2024-08-17 15:00:00+00:00,1723906800,FT,90,1723906800,1723910400,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade Francis-Le Blé,Brest,641.0,B. Bastien,Stade Brestois 29,106,https://media.api-sports.io/football/teams/106.png,False,Marseille,81,https://media.api-sports.io/football/teams/81.png,True,1,5,1,3,1,5,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,7,2,10,1,6,4,12,5,2.0,50%,4.0,,0,493,423,86%,Marseille,https://media.api-sports.io/football/teams/81.png,5,1,7,1,7,0,8,0,0.0,50%,1.0,,6,513,446,87%,,,
1213752,2024-08-17 17:00:00+00:00,1723914000,FT,90,1723914000,1723917600,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade Auguste-Delaune,Reims,,E. Wattellier,Reims,93,https://media.api-sports.io/football/teams/93.png,False,Lille,79,https://media.api-sports.io/football/teams/79.png,True,0,2,0,1,0,2,Reims,https://media.api-sports.io/football/teams/93.png,0,1,2,1,1,1,6,0,0.0,31%,2.0,1.0,4,283,209,74%,Lille,https://media.api-sports.io/football/teams/79.png,6,7,22,9,14,8,15,8,2.0,69%,2.0,0.0,0,633,576,91%,,,
1213751,2024-08-17 19:00:00+00:00,1723921200,FT,90,1723921200,1723924800,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade Louis-II,Monaco,20470.0,C. Turpin,Monaco,91,https://media.api-sports.io/football/teams/91.png,True,Saint Etienne,1063,https://media.api-sports.io/football/teams/1063.png,False,1,0,1,0,1,0,Monaco,https://media.api-sports.io/football/teams/91.png,6,4,17,7,14,3,13,5,2.0,62%,1.0,,4,483,407,84%,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,4,5,11,2,5,6,14,4,3.0,38%,1.0,,5,288,207,72%,,,
1213753,2024-08-18 13:00:00+00:00,1723986000,FT,90,1723986000,1723989600,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade de l'Abbé Deschamps,Auxerre,636.0,R. Lissorgue,Auxerre,108,https://media.api-sports.io/football/teams/108.png,True,Nice,84,https://media.api-sports.io/football/teams/84.png,False,2,1,1,1,2,1,Auxerre,https://media.api-sports.io/football/teams/108.png,7,8,16,1,10,6,11,3,2.0,45%,,,1,406,346,85%,Nice,https://media.api-sports.io/football/teams/84.png,2,4,9,3,7,2,17,5,3.0,55%,,,5,488,426,87%,,,
1213750,2024-08-18 15:00:00+00:00,1723993200,FT,90,1723993200,1723996800,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade Raymond Kopa,Angers,634.0,T. Léonard,Angers,77,https://media.api-sports.io/football/teams/77.png,False,Lens,116,https://media.api-sports.io/football/teams/116.png,True,0,1,0,1,0,1,Angers,https://media.api-sports.io/football/teams/77.png,3,2,8,3,3,5,12,7,4.0,41%,1.0,,3,334,245,73%,Lens,https://media.api-sports.io/football/teams/116.png,4,6,10,0,7,3,14,3,3.0,59%,0.0,,3,501,410,82%,,,
1213748,2024-08-18 15:00:00+00:00,1723993200,FT,90,1723993200,1723996800,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stade de la Mosson-Mondial 98,Montpellier,20107.0,M. Vernice,Montpellier,82,https://media.api-sports.io/football/teams/82.png,,Strasbourg,95,https://media.api-sports.io/football/teams/95.png,,1,1,0,0,1,1,Montpellier,https://media.api-sports.io/football/teams/82.png,5,1,8,2,6,2,19,6,,42%,4.0,,3,319,250,78%,Strasbourg,https://media.api-sports.io/football/teams/95.png,4,6,11,1,9,2,18,4,,58%,3.0,,4,452,369,82%,,,
1213749,2024-08-18 15:00:00+00:00,1723993200,FT,90,1723993200,1723996800,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Stadium de Toulouse,Toulouse,682.0,J. Stinat,Toulouse,96,https://media.api-sports.io/football/teams/96.png,,Nantes,83,https://media.api-sports.io/football/teams/83.png,,0,0,0,0,0,0,Toulouse,https://media.api-sports.io/football/teams/96.png,6,3,12,3,11,1,14,10,,54%,1.0,,2,483,397,82%,Nantes,https://media.api-sports.io/football/teams/83.png,2,5,10,3,7,3,11,5,,46%,3.0,,6,418,348,83%,,,
1213755,2024-08-18 18:45:00+00:00,1724006700,FT,90,1724006700,1724010300,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 1,Roazhon Park,Rennes,680.0,B. Millot,Rennes,94,https://media.api-sports.io/football/teams/94.png,True,Lyon,80,https://media.api-sports.io/football/teams/80.png,False,3,0,2,0,3,0,Rennes,https://media.api-sports.io/football/teams/94.png,8,10,22,4,17,5,13,7,1.0,48%,2.0,,2,420,354,84%,Lyon,https://media.api-sports.io/football/teams/80.png,2,8,16,6,13,3,12,7,2.0,52%,1.0,,5,455,377,83%,,,
1213756,2024-08-23 18:45:00+00:00,1724438700,FT,90,1724438700,1724442300,,France,61,Ligue 1,https://media.api-sports.io/flags/fr.svg,https://media.api-sports.io/football/leagues/61.png,2024,Regular Season - 2,Parc des Princes,Paris,671.0,M. Bollengier,Paris Saint Germain,85,https://media.api-sports.io/football/teams/85.png,True,Montpellier,82,https://media.api-sports.io/football/teams/82.png,False,6,0,2,0,6,0,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,11,12,27,4,17,10,11,10,0.0,69%,1.0,,3,744,694,93%,Montpellier,https://media.api-sports.io/football/teams/82.png,3,3,8,2,6,2,17,2,2.0,31%,4.0,,5,338,282,83%,,,
