fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
872880,2022-08-05 16:30:00+00:00,1659717000,FT,90,1659717000,1659720600,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Sportpark Ronhof Thomas Sommer,Fürth,718,A. Aarnink,SpVgg Greuther Furth,178,https://media.api-sports.io/football/teams/178.png,,Karlsruher SC,785,https://media.api-sports.io/football/teams/785.png,,1,1,0,0,1,1,SpVgg Greuther Furth,https://media.api-sports.io/football/teams/178.png,3,4,10,3,6,4,10,7,2.0,55%,4.0,,2.0,338,264,78%,Karlsruher SC,https://media.api-sports.io/football/teams/785.png,3,3,9,3,5,4,16,3,1.0,45%,3.0,,2.0,280,190,68%,,,
872884,2022-08-05 16:30:00+00:00,1659717000,FT,90,1659717000,1659720600,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,BWT-Stadion am Hardtwald,Sandhausen,740,S. Waschitzki,SV Sandhausen,189,https://media.api-sports.io/football/teams/189.png,True,Fortuna Dusseldorf,158,https://media.api-sports.io/football/teams/158.png,False,1,0,0,0,1,0,SV Sandhausen,https://media.api-sports.io/football/teams/189.png,4,3,9,2,7,2,18,5,1.0,31%,4.0,,5.0,213,124,58%,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,5,5,12,2,6,6,13,8,0.0,69%,1.0,,2.0,494,405,82%,,,
872881,2022-08-06 11:00:00+00:00,1659783600,FT,90,1659783600,1659787200,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Volksparkstadion,Hamburg,720,R. Hartmann,Hamburger SV,175,https://media.api-sports.io/football/teams/175.png,True,FC Heidenheim,180,https://media.api-sports.io/football/teams/180.png,False,1,0,1,0,1,0,Hamburger SV,https://media.api-sports.io/football/teams/175.png,4,9,13,0,12,1,10,2,2.0,49%,1.0,,1.0,389,298,77%,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,1,4,14,9,9,5,13,15,3.0,51%,2.0,,3.0,384,287,75%,,,
872885,2022-08-06 11:00:00+00:00,1659783600,FT,90,1659783600,1659787200,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Jahnstadion Regensburg,Regensburg,10490,D. Schlager,Jahn Regensburg,177,https://media.api-sports.io/football/teams/177.png,,FC Nurnberg,171,https://media.api-sports.io/football/teams/171.png,,0,0,0,0,0,0,Jahn Regensburg,https://media.api-sports.io/football/teams/177.png,3,3,9,3,7,2,24,6,3.0,43%,3.0,,1.0,320,240,75%,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,1,4,12,7,7,5,13,4,0.0,57%,1.0,,3.0,433,336,78%,,,
872882,2022-08-06 11:00:00+00:00,1659783600,FT,90,1659783600,1659787200,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Home Deluxe Arena,Paderborn,18622,R. Braun,SC Paderborn 07,185,https://media.api-sports.io/football/teams/185.png,True,Hannover 96,166,https://media.api-sports.io/football/teams/166.png,False,4,2,1,2,4,2,SC Paderborn 07,https://media.api-sports.io/football/teams/185.png,11,14,30,5,20,10,10,3,3.0,53%,2.0,,5.0,426,340,80%,Hannover 96,https://media.api-sports.io/football/teams/166.png,7,3,16,6,12,4,9,3,2.0,47%,4.0,,8.0,374,276,74%,,,
872883,2022-08-06 18:30:00+00:00,1659810600,FT,90,1659810600,1659814200,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Ostseestadion,Rostock,722,S. Jablonski,Hansa Rostock,1321,https://media.api-sports.io/football/teams/1321.png,True,Arminia Bielefeld,188,https://media.api-sports.io/football/teams/188.png,False,2,1,1,0,2,1,Hansa Rostock,https://media.api-sports.io/football/teams/1321.png,4,9,16,3,10,6,7,7,1.0,51%,1.0,,3.0,410,320,78%,Arminia Bielefeld,https://media.api-sports.io/football/teams/188.png,4,5,13,4,9,4,8,7,0.0,49%,0.0,,2.0,401,293,73%,,,
872886,2022-08-07 11:30:00+00:00,1659871800,FT,90,1659871800,1659875400,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,MDCC-Arena,Magdeburg,733,T. Gerach,FC Magdeburg,179,https://media.api-sports.io/football/teams/179.png,False,Holstein Kiel,191,https://media.api-sports.io/football/teams/191.png,True,1,2,1,1,1,2,FC Magdeburg,https://media.api-sports.io/football/teams/179.png,3,4,9,2,5,4,10,3,3.0,58%,4.0,1.0,4.0,488,383,78%,Holstein Kiel,https://media.api-sports.io/football/teams/191.png,6,8,18,4,13,5,15,9,5.0,42%,4.0,0.0,2.0,335,241,72%,,,
872887,2022-08-07 11:30:00+00:00,1659871800,FT,90,1659871800,1659875400,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Eintracht-Stadion,Braunschweig,708,M. Burda,Eintracht Braunschweig,744,https://media.api-sports.io/football/teams/744.png,False,SV Darmstadt 98,181,https://media.api-sports.io/football/teams/181.png,True,0,1,0,0,0,1,Eintracht Braunschweig,https://media.api-sports.io/football/teams/744.png,2,2,6,2,3,3,15,2,1.0,44%,2.0,,4.0,322,208,65%,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,5,13,24,6,14,10,12,5,6.0,56%,3.0,,3.0,414,323,78%,,,
872888,2022-08-07 11:30:00+00:00,1659871800,FT,90,1659871800,1659875400,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 3,Fritz-Walter-Stadion,Kaiserslautern,728,H. Osmers,FC Kaiserslautern,745,https://media.api-sports.io/football/teams/745.png,True,FC St. Pauli,186,https://media.api-sports.io/football/teams/186.png,False,2,1,1,0,2,1,FC Kaiserslautern,https://media.api-sports.io/football/teams/745.png,3,5,10,2,7,3,9,8,4.0,37%,1.0,,3.0,317,227,72%,FC St. Pauli,https://media.api-sports.io/football/teams/186.png,4,8,15,3,13,2,11,4,0.0,63%,1.0,,1.0,563,466,83%,,,
872892,2022-08-12 16:30:00+00:00,1660321800,FT,90,1660321800,1660325400,,Germany,79,2. Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/79.png,2022,Regular Season - 4,Max-Morlock-Stadion,Nürnberg,713,F. Lechner,FC Nurnberg,171,https://media.api-sports.io/football/teams/171.png,False,FC Heidenheim,180,https://media.api-sports.io/football/teams/180.png,True,0,3,0,1,0,3,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,3,4,11,4,5,6,5,2,1.0,48%,0.0,,2.0,465,345,74%,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,5,8,16,3,10,6,11,6,1.0,52%,1.0,,3.0,488,382,78%,,,
