fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,away_team,away_team_id,away_team_flag,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes,home_points,away_points,home_goals_for,away_goals_for,home_goals_against,away_goals_against,home_played,away_played,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_goals_diff,away_goals_diff,home_rank,away_rank
587176,2020-09-18 18:30:00+00:00,1600453800,FT,90,1600453800,1600457400,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,Allianz Arena,München,700,F. Zwayer,Bayern Munich,157,https://media.api-sports.io/football/teams/157.png,Fc Schalke 04,174,https://media.api-sports.io/football/teams/174.png,8,0,3,0,8,0,12,6,21,3,17,4,11,9,3.0,0.62,1.0,0.0,1.0,604,539,0.89,1,2,5,2,3,2,12,2,3.0,0.38,2.0,0.0,3.0,361,268,0.74,4524,928,5742,1450,2552,4988,1972,1972,1392,174,348,406,232,1392,3190,-3538,1,18
587183,2020-09-19 13:30:00+00:00,1600522200,FT,90,1600522200,1600525800,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,wohninvest WESERSTADION,Bremen,755,S. Stegemann,Werder Bremen,162,https://media.api-sports.io/football/teams/162.png,Hertha Berlin,159,https://media.api-sports.io/football/teams/159.png,1,4,0,2,1,4,6,7,16,3,8,8,13,7,0.0,0.44,2.0,0.0,2.0,334,232,0.69,6,6,13,1,12,1,17,4,0.0,0.56,0.0,0.0,5.0,431,341,0.79,1798,2030,2088,2378,3306,3016,1972,1972,406,464,580,638,986,870,-1218,-638,17,15
587180,2020-09-19 13:30:00+00:00,1600522200,FT,90,1600522200,1600525800,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,Deutsche Bank Park,Frankfurt am Main,10491,B. Brand,Eintracht Frankfurt,169,https://media.api-sports.io/football/teams/169.png,Arminia Bielefeld,188,https://media.api-sports.io/football/teams/188.png,1,1,0,0,1,1,6,6,18,6,12,6,14,14,2.0,0.62,2.0,0.0,3.0,533,425,0.8,4,5,12,3,5,7,13,3,1.0,0.38,2.0,0.0,5.0,331,231,0.7,3480,2030,4002,1508,3074,3016,1972,1972,928,522,696,464,348,986,928,-1508,5,16
587184,2020-09-19 13:30:00+00:00,1600522200,FT,90,1600522200,1600525800,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,Mercedes-Benz-Arena,Stuttgart,750,B. Cortus,Vfb Stuttgart,172,https://media.api-sports.io/football/teams/172.png,Sc Freiburg,160,https://media.api-sports.io/football/teams/160.png,2,3,0,2,2,3,7,10,26,9,17,9,12,7,0.0,0.64,2.0,0.0,2.0,551,455,0.83,6,0,7,1,6,1,16,2,3.0,0.36,2.0,0.0,4.0,308,216,0.7,2610,2610,3248,3016,3190,3016,1972,1972,696,696,522,522,754,754,58,0,9,10
587181,2020-09-19 13:30:00+00:00,1600522200,FT,90,1600522200,1600525800,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,Stadion An der Alten Försterei,Berlin,748,M. Fritz,Union Berlin,182,https://media.api-sports.io/football/teams/182.png,Fc Augsburg,170,https://media.api-sports.io/football/teams/170.png,1,3,0,1,1,3,3,6,15,6,8,7,9,8,4.0,0.58,2.0,0.0,2.0,533,433,0.81,5,1,9,3,7,2,9,1,1.0,0.42,0.0,0.0,2.0,386,286,0.74,2900,2088,2900,2088,2494,3132,1972,1972,696,580,812,348,464,1044,406,-1044,7,13
587182,2020-09-19 13:30:00+00:00,1600522200,FT,90,1600522200,1600525800,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,RheinEnergieStadion,Köln,731,D. Siebert,1.Fc Köln,192,https://media.api-sports.io/football/teams/192.png,1899 Hoffenheim,167,https://media.api-sports.io/football/teams/167.png,2,3,1,2,2,3,6,6,13,1,10,3,12,1,0.0,0.49,3.0,0.0,4.0,446,356,0.8,7,5,13,1,8,5,13,6,2.0,0.51,4.0,0.0,4.0,456,358,0.79,2088,2494,2262,3016,3596,3132,2088,1972,522,638,522,580,1044,754,-1334,-116,14,11
587177,2020-09-19 16:30:00+00:00,1600533000,FT,90,1600533000,1600536600,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,Signal-Iduna-Park,Dortmund,702,F. Brych,Borussia Dortmund,165,https://media.api-sports.io/football/teams/165.png,Borussia Monchengladbach,163,https://media.api-sports.io/football/teams/163.png,3,0,1,0,3,0,4,3,10,3,9,1,10,1,2.0,0.47,1.0,0.0,2.0,530,462,0.87,2,2,8,4,4,4,9,3,2.0,0.53,1.0,0.0,1.0,585,515,0.88,3712,2842,4350,3712,2668,3248,1972,1972,1160,754,232,580,580,638,1682,464,3,8
587178,2020-09-20 13:30:00+00:00,1600608600,FT,90,1600608600,1600612200,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,Red Bull Arena,Leipzig,738,M. Gräfe,Rb Leipzig,173,https://media.api-sports.io/football/teams/173.png,Fsv Mainz 05,164,https://media.api-sports.io/football/teams/164.png,3,1,2,0,3,1,10,10,23,3,20,3,5,7,1.0,0.72,1.0,0.0,0.0,746,662,0.89,1,4,9,4,6,3,11,5,3.0,0.28,2.0,0.0,6.0,268,195,0.73,3770,2262,3480,2262,1856,3248,1972,1972,1102,580,464,522,406,870,1624,-986,2,12
587179,2020-09-20 16:00:00+00:00,1600617600,FT,90,1600617600,1600621200,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 1,VOLKSWAGEN ARENA,Wolfsburg,752,S. Jablonski,Vfl Wolfsburg,161,https://media.api-sports.io/football/teams/161.png,Bayer Leverkusen,168,https://media.api-sports.io/football/teams/168.png,0,0,0,0,0,0,1,4,9,4,6,3,14,4,3.0,0.4,1.0,0.0,3.0,390,289,0.74,3,2,7,2,6,1,12,4,3.0,0.6,2.0,0.0,1.0,576,468,0.81,3538,3016,3538,3074,2146,2262,1972,1972,986,812,580,580,406,580,1392,812,4,6
587189,2020-09-25 18:30:00+00:00,1601058600,FT,90,1601058600,1601062200,0.0,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2020,Regular Season - 2,Olympiastadion Berlin,Berlin,694,B. Dankert,Hertha Berlin,159,https://media.api-sports.io/football/teams/159.png,Eintracht Frankfurt,169,https://media.api-sports.io/football/teams/169.png,1,3,0,2,1,3,6,4,12,2,7,5,13,4,1.0,0.56,3.0,0.0,0.0,484,406,0.84,3,7,11,1,7,4,16,3,0.0,0.44,4.0,0.0,6.0,381,289,0.76,2033,3481,2382,4003,3017,3075,1973,1973,465,928,638,697,870,348,-635,928,15,5
