fixture_id,date,timestamp,status,maintime,first_half,second_half,extratime,country,league_id,league_name,league_flag,league_logo,season,round,venue_name,venue_city,venue_id,referee,home_team,home_team_id,home_team_flag,home_winner,away_team,away_team_id,away_team_flag,away_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,home_team_name,home_team_logo,home_Shots on Goal,home_Shots off Goal,home_Total Shots,home_Blocked Shots,home_Shots insidebox,home_Shots outsidebox,home_Fouls,home_Corner Kicks,home_Offsides,home_Ball Possession,home_Yellow Cards,home_Red Cards,home_Goalkeeper Saves,home_Total passes,home_Passes accurate,home_Passes %,away_team_name,away_team_logo,away_Shots on Goal,away_Shots off Goal,away_Total Shots,away_Blocked Shots,away_Shots insidebox,away_Shots outsidebox,away_Fouls,away_Corner Kicks,away_Offsides,away_Ball Possession,away_Yellow Cards,away_Red Cards,away_Goalkeeper Saves,away_Total passes,away_Passes accurate,away_Passes %,odds_home_win,odds_draw,odds_away_win
1048881,2023-08-18 18:30:00+00:00,1692383400,FT,90,1692383400,1692387000,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,wohninvest WESERSTADION,Bremen,755,F. Zwayer,Werder Bremen,162,https://media.api-sports.io/football/teams/162.png,False,Bayern Munich,157,https://media.api-sports.io/football/teams/157.png,True,0,4,0,1,0,4,Werder Bremen,https://media.api-sports.io/football/teams/162.png,1,5,6,0,3,3,17,0,3.0,28%,2.0,,6.0,244,176,72%,Bayern Munich,https://media.api-sports.io/football/teams/157.png,10,7,25,8,14,11,11,6,0.0,72%,1.0,,1.0,664,601,91%,,,
1048886,2023-08-19 13:30:00+00:00,1692451800,FT,90,1692451800,1692455400,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,Volkswagen Arena,Wolfsburg,752,F. Badstübner,VfL Wolfsburg,161,https://media.api-sports.io/football/teams/161.png,True,FC Heidenheim,180,https://media.api-sports.io/football/teams/180.png,False,2,0,2,0,2,0,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,8,7,18,3,14,4,10,1,2.0,48%,3.0,,1.0,472,388,82%,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,1,6,14,7,9,5,9,7,0.0,52%,0.0,,6.0,484,383,79%,,,
1048887,2023-08-19 13:30:00+00:00,1692451800,FT,90,1692451800,1692455400,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,PreZero Arena,Sinsheim,724,S. Jablonski,1899 Hoffenheim,167,https://media.api-sports.io/football/teams/167.png,False,SC Freiburg,160,https://media.api-sports.io/football/teams/160.png,True,1,2,0,2,1,2,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,4,7,22,11,14,8,9,4,3.0,50%,0.0,,6.0,449,353,79%,SC Freiburg,https://media.api-sports.io/football/teams/160.png,9,7,18,2,14,4,9,2,0.0,50%,1.0,,3.0,450,347,77%,,,
1048884,2023-08-19 13:30:00+00:00,1692451800,FT,90,1692451800,1692455400,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,BayArena,Leverkusen,699,F. Brych,Bayer Leverkusen,168,https://media.api-sports.io/football/teams/168.png,True,RB Leipzig,173,https://media.api-sports.io/football/teams/173.png,False,3,2,2,1,3,2,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,7,3,11,1,6,5,13,4,2.0,45%,1.0,,4.0,442,362,82%,RB Leipzig,https://media.api-sports.io/football/teams/173.png,6,4,14,4,9,5,10,5,0.0,55%,2.0,,4.0,557,478,86%,,,
1048888,2023-08-19 13:30:00+00:00,1692451800,FT,90,1692451800,1692455400,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,WWK Arena,Augsburg,698,D. Schlager,FC Augsburg,170,https://media.api-sports.io/football/teams/170.png,,Borussia Monchengladbach,163,https://media.api-sports.io/football/teams/163.png,,4,4,3,3,4,4,FC Augsburg,https://media.api-sports.io/football/teams/170.png,7,7,20,6,12,8,9,8,4.0,56%,1.0,,1.0,478,404,85%,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,6,3,10,1,8,2,13,7,1.0,44%,2.0,,3.0,367,282,77%,,,
1048889,2023-08-19 13:30:00+00:00,1692451800,FT,90,1692451800,1692455400,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,Stuttgart Arena,Stuttgart,20739,D. Siebert,VfB Stuttgart,172,https://media.api-sports.io/football/teams/172.png,True,Vfl Bochum,176,https://media.api-sports.io/football/teams/176.png,False,5,0,2,0,5,0,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,9,6,21,6,14,7,5,7,2.0,61%,1.0,,1.0,547,477,87%,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,1,2,4,1,4,0,12,0,2.0,39%,1.0,,4.0,366,275,75%,,,
1048882,2023-08-19 16:30:00+00:00,1692462600,FT,90,1692462600,1692466200,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,BVB Stadion Dortmund,Dortmund,20733,D. Aytekin,Borussia Dortmund,165,https://media.api-sports.io/football/teams/165.png,True,1.FC Köln,192,https://media.api-sports.io/football/teams/192.png,False,1,0,0,0,1,0,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,2,6,13,5,10,3,13,6,1.0,67%,1.0,,4.0,702,618,88%,1.FC Köln,https://media.api-sports.io/football/teams/192.png,4,5,11,2,6,5,11,3,2.0,33%,0.0,,1.0,339,263,78%,,,
1048883,2023-08-20 13:30:00+00:00,1692538200,FT,90,1692538200,1692541800,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,Stadion An der Alten Försterei,Berlin,748,T. Stieler,Union Berlin,182,https://media.api-sports.io/football/teams/182.png,True,FSV Mainz 05,164,https://media.api-sports.io/football/teams/164.png,False,4,1,2,0,4,1,Union Berlin,https://media.api-sports.io/football/teams/182.png,6,4,11,1,9,2,15,3,1.0,46%,1.0,,3.0,375,278,74%,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,3,3,10,4,9,1,16,1,0.0,54%,5.0,,2.0,429,332,77%,,,
1048885,2023-08-20 15:30:00+00:00,1692545400,FT,90,1692545400,1692549000,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 1,Frankfurt Arena,Frankfurt am Main,20734,H. Osmers,Eintracht Frankfurt,169,https://media.api-sports.io/football/teams/169.png,True,SV Darmstadt 98,181,https://media.api-sports.io/football/teams/181.png,False,1,0,1,0,1,0,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,5,9,1,7,2,9,7,0.0,61%,2.0,,2.0,578,501,87%,SV Darmstadt 98,https://media.api-sports.io/football/teams/181.png,2,5,10,3,6,4,14,3,2.0,39%,3.0,,2.0,355,278,78%,,,
1048891,2023-08-25 18:30:00+00:00,1692988200,FT,90,1692988200,1692991800,,Germany,78,Bundesliga,https://media.api-sports.io/flags/de.svg,https://media.api-sports.io/football/leagues/78.png,2023,Regular Season - 2,Leipzig Stadium,Leipzig,20737,F. Willenborg,RB Leipzig,173,https://media.api-sports.io/football/teams/173.png,True,VfB Stuttgart,172,https://media.api-sports.io/football/teams/172.png,False,5,1,0,1,5,1,RB Leipzig,https://media.api-sports.io/football/teams/173.png,11,6,20,3,11,9,11,4,4.0,54%,1.0,,2.0,510,441,86%,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,4,4,9,1,5,4,10,4,1.0,46%,1.0,,6.0,439,357,81%,,,
